boss,key,seed
HiryuuPlant,Ifrit's Fire,6840370
Atmos,2nd Tablet,6840370
Guardians,Shrine Page,6840370
Gilgamesh 4,Falls Page,6840370
Antlion,Moogle Suit,6840370
"Triton, Neregeid & Phobos",Steamship Key,6840370
Minotauros,Anti Barrier,6840370
Leviathan,Adamantite,6840370
Bahamut,Bracelet,6840370
Shiva,Elder Branch,6840370
Crayclaw,Submarine Key,6840370
Karlabos,Canal Key,3668666
Galura,Sandworm Bait,3668666
LiquiFlame,3rd Tablet,3668666
Sergeant & DeathClaw,Elder Branch,3668666
Sandworm,2nd Tablet,3668666
AdamanTiMi,Shrine Page,3668666
Sol Cannon,Walse Tower Key,3668666
ArchaeAvis,Bracelet,3668666
Chim.Brain,Ifrit's Fire,3668666
Titan,Big Bridge Key,3668666
Gilgamesh 1,Steamship Key,3668666
Tyrasaurus,Moogle Suit,3668666
Gilgamesh 3 & Enkidou,Anti Barrier,3668666
Gilgamesh 4,1st Tablet,3668666
Antlion,Trench Page,3668666
Merugene,4th Tablet,3668666
Odin,Adamantite,3668666
"Triton, Neregeid & Phobos",Falls Page,3668666
Ifrit,Hiryuu Call,3668666
Crayclaw,Submarine Key,3668666
Byblos,Big Bridge Key,4377186
Magisa & Forza,Pyramid Page,4377186
Sergeant & DeathClaw,Canal Key,4377186
Sandworm,3rd Tablet,4377186
Sol Cannon,Shrine Page,4377186
Gilgamesh 1,Moogle Suit,4377186
Gilgamesh 2,Elder Branch,4377186
Abductor,Adamantite,4377186
Atmos,Steamship Key,4377186
Guardians,Bracelet,4377186
Carbunkle,Walse Tower Key,4377186
Gilgamesh 4,2nd Tablet,4377186
Merugene,Sandworm Bait,4377186
Odin,Hiryuu Call,4377186
"Triton, Neregeid & Phobos",Anti Barrier,4377186
Omniscient,4th Tablet,4377186
Leviathan,Ifrit's Fire,4377186
Stalker,Falls Page,4377186
GoGo,1st Tablet,4377186
Shiva,Submarine Key,4377186
WingRaptor,Sandworm Bait,3418669
Karlabos,Moogle Suit,3418669
Siren,Elder Branch,3418669
Magisa & Forza,Canal Key,3418669
Galura,Shrine Page,3418669
Sergeant & DeathClaw,4th Tablet,3418669
Sandworm,Anti Barrier,3418669
ArchaeAvis,Submarine Key,3418669
Titan,Adamantite,3418669
Gilgamesh 2,Ifrit's Fire,3418669
Tyrasaurus,Falls Page,3418669
HiryuuPlant,Trench Page,3418669
Gilgamesh 3 & Enkidou,Walse Tower Key,3418669
Atmos,3rd Tablet,3418669
Antlion,1st Tablet,3418669
"Triton, Neregeid & Phobos",2nd Tablet,3418669
Omniscient,Hiryuu Call,3418669
Minotauros,Bracelet,3418669
Stalker,Steamship Key,3418669
Shiva,Big Bridge Key,3418669
Byblos,Canal Key,3167951
WingRaptor,Big Bridge Key,3167951
Siren,Moogle Suit,3167951
Magisa & Forza,Trench Page,3167951
Sandworm,Hiryuu Call,3167951
ArchaeAvis,Steamship Key,3167951
Chim.Brain,Adamantite,3167951
Puroboros,3rd Tablet,3167951
Titan,Anti Barrier,3167951
Gilgamesh 2,Ifrit's Fire,3167951
Tyrasaurus,Bracelet,3167951
Abductor,2nd Tablet,3167951
HiryuuPlant,Shrine Page,3167951
Gilgamesh 3 & Enkidou,Falls Page,3167951
Carbunkle,Elder Branch,3167951
Gilgamesh 4,Sandworm Bait,3167951
Antlion,4th Tablet,3167951
Odin,Pyramid Page,3167951
Ifrit,Submarine Key,3167951
Shiva,1st Tablet,3167951
WingRaptor,Trench Page,1293964
Karlabos,Sandworm Bait,1293964
Siren,4th Tablet,1293964
Magisa & Forza,Canal Key,1293964
Galura,1st Tablet,1293964
Sol Cannon,Bracelet,1293964
Puroboros,Elder Branch,1293964
Gilgamesh 1,Big Bridge Key,1293964
Tyrasaurus,Falls Page,1293964
Abductor,Shrine Page,1293964
HiryuuPlant,Anti Barrier,1293964
Gilgamesh 3 & Enkidou,Steamship Key,1293964
Guardians,Hiryuu Call,1293964
Carbunkle,2nd Tablet,1293964
Merugene,Ifrit's Fire,1293964
"Triton, Neregeid & Phobos",Pyramid Page,1293964
Omniscient,Moogle Suit,1293964
Stalker,Submarine Key,1293964
GoGo,3rd Tablet,1293964
Bahamut,Walse Tower Key,1293964
Byblos,4th Tablet,8475223
WingRaptor,Moogle Suit,8475223
Magisa & Forza,Bracelet,8475223
Galura,Sandworm Bait,8475223
LiquiFlame,Canal Key,8475223
ArchaeAvis,Falls Page,8475223
Chim.Brain,Walse Tower Key,8475223
Puroboros,Pyramid Page,8475223
Titan,Trench Page,8475223
Gilgamesh 2,Shrine Page,8475223
Gilgamesh 3 & Enkidou,Adamantite,8475223
Guardians,2nd Tablet,8475223
Carbunkle,Steamship Key,8475223
Antlion,Big Bridge Key,8475223
Merugene,Hiryuu Call,8475223
"Triton, Neregeid & Phobos",Elder Branch,8475223
Stalker,3rd Tablet,8475223
GoGo,Anti Barrier,8475223
Ifrit,Ifrit's Fire,8475223
Crayclaw,1st Tablet,8475223
Karlabos,Sandworm Bait,640446
Siren,Falls Page,640446
Magisa & Forza,Big Bridge Key,640446
LiquiFlame,Bracelet,640446
Sergeant & DeathClaw,3rd Tablet,640446
Sol Cannon,2nd Tablet,640446
ArchaeAvis,Submarine Key,640446
Puroboros,Shrine Page,640446
Titan,Trench Page,640446
Tyrasaurus,Elder Branch,640446
Guardians,Anti Barrier,640446
Carbunkle,Walse Tower Key,640446
Antlion,Hiryuu Call,640446
Merugene,Moogle Suit,640446
Odin,4th Tablet,640446
"Triton, Neregeid & Phobos",1st Tablet,640446
Minotauros,Pyramid Page,640446
GoGo,Canal Key,640446
Bahamut,Ifrit's Fire,640446
Crayclaw,Steamship Key,640446
WingRaptor,Canal Key,5899694
Galura,1st Tablet,5899694
Sergeant & DeathClaw,Pyramid Page,5899694
AdamanTiMi,Shrine Page,5899694
Sol Cannon,2nd Tablet,5899694
ArchaeAvis,Big Bridge Key,5899694
Chim.Brain,3rd Tablet,5899694
Gilgamesh 1,Ifrit's Fire,5899694
Abductor,Trench Page,5899694
Gilgamesh 3 & Enkidou,Moogle Suit,5899694
Atmos,Bracelet,5899694
Guardians,4th Tablet,5899694
Carbunkle,Adamantite,5899694
Gilgamesh 4,Hiryuu Call,5899694
Antlion,Elder Branch,5899694
Odin,Submarine Key,5899694
"Triton, Neregeid & Phobos",Sandworm Bait,5899694
Stalker,Walse Tower Key,5899694
Ifrit,Anti Barrier,5899694
Shiva,Falls Page,5899694
Byblos,Moogle Suit,642414
WingRaptor,4th Tablet,642414
Karlabos,2nd Tablet,642414
LiquiFlame,Hiryuu Call,642414
Sergeant & DeathClaw,Big Bridge Key,642414
AdamanTiMi,Trench Page,642414
Sol Cannon,Canal Key,642414
Puroboros,Submarine Key,642414
Gilgamesh 1,Shrine Page,642414
Abductor,3rd Tablet,642414
HiryuuPlant,Sandworm Bait,642414
Guardians,Walse Tower Key,642414
Carbunkle,Ifrit's Fire,642414
Gilgamesh 4,Adamantite,642414
"Triton, Neregeid & Phobos",Pyramid Page,642414
Minotauros,1st Tablet,642414
Leviathan,Steamship Key,642414
GoGo,Bracelet,642414
Bahamut,Falls Page,642414
Ifrit,Elder Branch,642414
WingRaptor,Walse Tower Key,6920001
Karlabos,Falls Page,6920001
Galura,Anti Barrier,6920001
LiquiFlame,Pyramid Page,6920001
Sergeant & DeathClaw,Submarine Key,6920001
Sandworm,Ifrit's Fire,6920001
AdamanTiMi,Canal Key,6920001
ArchaeAvis,Hiryuu Call,6920001
Puroboros,4th Tablet,6920001
Titan,2nd Tablet,6920001
Gilgamesh 2,Steamship Key,6920001
Tyrasaurus,1st Tablet,6920001
Abductor,Sandworm Bait,6920001
Gilgamesh 4,3rd Tablet,6920001
Antlion,Adamantite,6920001
Minotauros,Trench Page,6920001
Leviathan,Elder Branch,6920001
Ifrit,Bracelet,6920001
Shiva,Shrine Page,6920001
Crayclaw,Moogle Suit,6920001
Karlabos,Steamship Key,6046686
AdamanTiMi,Moogle Suit,6046686
Sol Cannon,4th Tablet,6046686
Chim.Brain,Hiryuu Call,6046686
Puroboros,Submarine Key,6046686
Titan,Bracelet,6046686
Gilgamesh 2,3rd Tablet,6046686
Tyrasaurus,Walse Tower Key,6046686
Abductor,Adamantite,6046686
Atmos,Big Bridge Key,6046686
Guardians,1st Tablet,6046686
Carbunkle,Elder Branch,6046686
Gilgamesh 4,Shrine Page,6046686
Merugene,Anti Barrier,6046686
Odin,Falls Page,6046686
Minotauros,Sandworm Bait,6046686
Leviathan,Ifrit's Fire,6046686
Bahamut,Pyramid Page,6046686
Ifrit,Canal Key,6046686
Shiva,Trench Page,6046686
WingRaptor,Elder Branch,7063494
LiquiFlame,Falls Page,7063494
AdamanTiMi,Pyramid Page,7063494
ArchaeAvis,Trench Page,7063494
Puroboros,Walse Tower Key,7063494
Titan,Steamship Key,7063494
Gilgamesh 1,Submarine Key,7063494
Gilgamesh 2,Moogle Suit,7063494
Tyrasaurus,Canal Key,7063494
HiryuuPlant,4th Tablet,7063494
Gilgamesh 3 & Enkidou,Adamantite,7063494
Atmos,Hiryuu Call,7063494
Carbunkle,1st Tablet,7063494
Gilgamesh 4,3rd Tablet,7063494
Odin,Shrine Page,7063494
Leviathan,Sandworm Bait,7063494
GoGo,Big Bridge Key,7063494
Bahamut,Bracelet,7063494
Ifrit,2nd Tablet,7063494
Shiva,Ifrit's Fire,7063494
Karlabos,Bracelet,1972662
Siren,2nd Tablet,1972662
Magisa & Forza,Canal Key,1972662
LiquiFlame,4th Tablet,1972662
Sergeant & DeathClaw,Sandworm Bait,1972662
AdamanTiMi,1st Tablet,1972662
ArchaeAvis,Elder Branch,1972662
Puroboros,Shrine Page,1972662
Gilgamesh 2,Pyramid Page,1972662
Abductor,Walse Tower Key,1972662
Gilgamesh 3 & Enkidou,Steamship Key,1972662
Atmos,Trench Page,1972662
Guardians,Hiryuu Call,1972662
Carbunkle,3rd Tablet,1972662
Gilgamesh 4,Ifrit's Fire,1972662
Odin,Submarine Key,1972662
"Triton, Neregeid & Phobos",Big Bridge Key,1972662
Leviathan,Adamantite,1972662
Stalker,Moogle Suit,1972662
Ifrit,Anti Barrier,1972662
