playthrough_log,all_keys_obtained_flag,completeable_seed_flag,sphere_num,tablets_sphere_num,sphere_zero_keys_num,seed
"Number of sphere zero keys: (13)
Sphere 0:	Big Bridge Key	 (WingRaptor loc)
Sphere 0:	Moogle Suit	 (Siren loc)
Sphere 0:	Trench Page	 (Magisa & Forza loc)
Sphere 0:	Adamantite	 (Chim.Brain loc)
Sphere 0:	3rd Tablet	 (Puroboros loc)
Sphere 0:	Anti Barrier	 (Titan loc)
Sphere 0:	Bracelet	 (Tyrasaurus loc)
Sphere 0:	2nd Tablet	 (Abductor loc)
Sphere 0:	Shrine Page	 (HiryuuPlant loc)
Sphere 0:	4th Tablet	 (Antlion loc)
Sphere 0:	Pyramid Page	 (Odin loc)
Sphere 0:	Submarine Key	 (Ifrit loc)
Sphere 0:	1st Tablet	 (Shiva loc)
Sphere 1:	Steamship Key	 (ArchaeAvis loc via Adamantite)
Sphere 1:	Ifrit's Fire	 (Gilgamesh 2 loc via Big Bridge Key)
Sphere 1:	Elder Branch	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 1:	Sandworm Bait	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 2:	Canal Key	 (Byblos loc via Ifrit's Fire)
Sphere 2:	Hiryuu Call	 (Sandworm loc via Sandworm Bait)
Sphere 2:	Falls Page	 (Gilgamesh 3 & Enkidou loc via Hiryuu Call)
All tablets obtained (1 spheres).
All keys obtained.
",True,True,3,1,13,3167951
"Number of sphere zero keys: (10)
Sphere 0:	Trench Page	 (WingRaptor loc)
Sphere 0:	Sandworm Bait	 (Karlabos loc)
Sphere 0:	4th Tablet	 (Siren loc)
Sphere 0:	Canal Key	 (Magisa & Forza loc)
Sphere 0:	Elder Branch	 (Puroboros loc)
Sphere 0:	Falls Page	 (Tyrasaurus loc)
Sphere 0:	Shrine Page	 (Abductor loc)
Sphere 0:	Anti Barrier	 (HiryuuPlant loc)
Sphere 0:	Ifrit's Fire	 (Merugene loc)
Sphere 0:	Walse Tower Key	 (Bahamut loc)
Sphere 1:	1st Tablet	 (Galura loc via Walse Tower Key)
Sphere 1:	Big Bridge Key	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 1:	Hiryuu Call	 (Guardians loc via Elder Branch)
Sphere 1:	Moogle Suit	 (Omniscient loc via Elder Branch)
Sphere 1:	Submarine Key	 (Stalker loc via Shrine Page)
Sphere 1:	3rd Tablet	 (GoGo loc via Submarine Key)
Sphere 2:	Steamship Key	 (Gilgamesh 3 & Enkidou loc via Hiryuu Call)
Sphere 2:	Pyramid Page	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
All tablets NOT obtained.
All keys NOT obtained.
",False,False,100,0,10,1293964
"Number of sphere zero keys: (9)
Sphere 0:	Moogle Suit	 (WingRaptor loc)
Sphere 0:	Bracelet	 (Magisa & Forza loc)
Sphere 0:	Walse Tower Key	 (Chim.Brain loc)
Sphere 0:	Pyramid Page	 (Puroboros loc)
Sphere 0:	Trench Page	 (Titan loc)
Sphere 0:	Big Bridge Key	 (Antlion loc)
Sphere 0:	Hiryuu Call	 (Merugene loc)
Sphere 0:	Ifrit's Fire	 (Ifrit loc)
Sphere 0:	1st Tablet	 (Crayclaw loc)
Sphere 1:	4th Tablet	 (Byblos loc via Ifrit's Fire)
Sphere 1:	Sandworm Bait	 (Galura loc via Walse Tower Key)
Sphere 1:	Shrine Page	 (Gilgamesh 2 loc via Big Bridge Key)
Sphere 1:	Adamantite	 (Gilgamesh 3 & Enkidou loc via Hiryuu Call)
Sphere 1:	3rd Tablet	 (Stalker loc via Shrine Page)
Sphere 2:	Falls Page	 (ArchaeAvis loc via Adamantite)
All tablets NOT obtained.
All keys NOT obtained.
",False,False,100,0,9,8475223
"Number of sphere zero keys: (11)
Sphere 0:	Sandworm Bait	 (Karlabos loc)
Sphere 0:	Falls Page	 (Siren loc)
Sphere 0:	Big Bridge Key	 (Magisa & Forza loc)
Sphere 0:	Shrine Page	 (Puroboros loc)
Sphere 0:	Trench Page	 (Titan loc)
Sphere 0:	Elder Branch	 (Tyrasaurus loc)
Sphere 0:	Hiryuu Call	 (Antlion loc)
Sphere 0:	Moogle Suit	 (Merugene loc)
Sphere 0:	4th Tablet	 (Odin loc)
Sphere 0:	Ifrit's Fire	 (Bahamut loc)
Sphere 0:	Steamship Key	 (Crayclaw loc)
Sphere 1:	Bracelet	 (LiquiFlame loc via Steamship Key)
Sphere 1:	3rd Tablet	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 1:	Anti Barrier	 (Guardians loc via Elder Branch)
Sphere 1:	Walse Tower Key	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 1:	Pyramid Page	 (Minotauros loc via Elder Branch)
All tablets NOT obtained.
All keys NOT obtained.
",False,False,100,0,11,640446
"Number of sphere zero keys: (8)
Sphere 0:	Canal Key	 (WingRaptor loc)
Sphere 0:	Shrine Page	 (AdamanTiMi loc)
Sphere 0:	3rd Tablet	 (Chim.Brain loc)
Sphere 0:	Trench Page	 (Abductor loc)
Sphere 0:	Elder Branch	 (Antlion loc)
Sphere 0:	Submarine Key	 (Odin loc)
Sphere 0:	Anti Barrier	 (Ifrit loc)
Sphere 0:	Falls Page	 (Shiva loc)
Sphere 1:	Ifrit's Fire	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 1:	Bracelet	 (Atmos loc via Submarine Key)
Sphere 1:	4th Tablet	 (Guardians loc via Elder Branch)
Sphere 1:	Adamantite	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 1:	Hiryuu Call	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 1:	Sandworm Bait	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
Sphere 1:	Walse Tower Key	 (Stalker loc via Shrine Page)
Sphere 2:	1st Tablet	 (Galura loc via Walse Tower Key)
Sphere 2:	2nd Tablet	 (Sol Cannon loc via Adamantite)
Sphere 2:	Big Bridge Key	 (ArchaeAvis loc via Adamantite)
Sphere 2:	Moogle Suit	 (Gilgamesh 3 & Enkidou loc via Hiryuu Call)
All tablets obtained (2 spheres).
All keys NOT obtained.
",False,True,100,2,8,5899694
"Number of sphere zero keys: (8)
Sphere 0:	4th Tablet	 (WingRaptor loc)
Sphere 0:	2nd Tablet	 (Karlabos loc)
Sphere 0:	Trench Page	 (AdamanTiMi loc)
Sphere 0:	Submarine Key	 (Puroboros loc)
Sphere 0:	3rd Tablet	 (Abductor loc)
Sphere 0:	Sandworm Bait	 (HiryuuPlant loc)
Sphere 0:	Falls Page	 (Bahamut loc)
Sphere 0:	Elder Branch	 (Ifrit loc)
Sphere 1:	Walse Tower Key	 (Guardians loc via Elder Branch)
Sphere 1:	Pyramid Page	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
Sphere 1:	1st Tablet	 (Minotauros loc via Elder Branch)
Sphere 1:	Steamship Key	 (Leviathan loc via Submarine Key, Falls Page)
Sphere 1:	Bracelet	 (GoGo loc via Submarine Key)
Sphere 2:	Hiryuu Call	 (LiquiFlame loc via Steamship Key)
Sphere 2:	Big Bridge Key	 (Sergeant & DeathClaw loc via Steamship Key)
All tablets obtained (1 spheres).
All keys NOT obtained.
",False,True,100,1,8,642414
"Number of sphere zero keys: (11)
Sphere 0:	Walse Tower Key	 (WingRaptor loc)
Sphere 0:	Falls Page	 (Karlabos loc)
Sphere 0:	Canal Key	 (AdamanTiMi loc)
Sphere 0:	4th Tablet	 (Puroboros loc)
Sphere 0:	2nd Tablet	 (Titan loc)
Sphere 0:	1st Tablet	 (Tyrasaurus loc)
Sphere 0:	Sandworm Bait	 (Abductor loc)
Sphere 0:	Adamantite	 (Antlion loc)
Sphere 0:	Bracelet	 (Ifrit loc)
Sphere 0:	Shrine Page	 (Shiva loc)
Sphere 0:	Moogle Suit	 (Crayclaw loc)
Sphere 1:	Anti Barrier	 (Galura loc via Walse Tower Key)
Sphere 1:	Ifrit's Fire	 (Sandworm loc via Sandworm Bait)
Sphere 1:	Hiryuu Call	 (ArchaeAvis loc via Adamantite)
Sphere 1:	3rd Tablet	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
All tablets obtained (1 spheres).
All keys NOT obtained.
",False,True,100,1,11,6920001
"Number of sphere zero keys: (12)
Sphere 0:	Steamship Key	 (Karlabos loc)
Sphere 0:	Moogle Suit	 (AdamanTiMi loc)
Sphere 0:	Hiryuu Call	 (Chim.Brain loc)
Sphere 0:	Submarine Key	 (Puroboros loc)
Sphere 0:	Bracelet	 (Titan loc)
Sphere 0:	Walse Tower Key	 (Tyrasaurus loc)
Sphere 0:	Adamantite	 (Abductor loc)
Sphere 0:	Anti Barrier	 (Merugene loc)
Sphere 0:	Falls Page	 (Odin loc)
Sphere 0:	Pyramid Page	 (Bahamut loc)
Sphere 0:	Canal Key	 (Ifrit loc)
Sphere 0:	Trench Page	 (Shiva loc)
Sphere 1:	4th Tablet	 (Sol Cannon loc via Adamantite)
Sphere 1:	Big Bridge Key	 (Atmos loc via Submarine Key)
Sphere 1:	Elder Branch	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 1:	Shrine Page	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 1:	Sandworm Bait	 (Minotauros loc via Elder Branch)
Sphere 1:	Ifrit's Fire	 (Leviathan loc via Submarine Key, Falls Page)
Sphere 2:	3rd Tablet	 (Gilgamesh 2 loc via Big Bridge Key)
Sphere 2:	1st Tablet	 (Guardians loc via Elder Branch)
All tablets NOT obtained.
All keys obtained.
",True,False,3,0,12,6046686
"Number of sphere zero keys: (10)
Sphere 0:	Elder Branch	 (WingRaptor loc)
Sphere 0:	Pyramid Page	 (AdamanTiMi loc)
Sphere 0:	Walse Tower Key	 (Puroboros loc)
Sphere 0:	Steamship Key	 (Titan loc)
Sphere 0:	Canal Key	 (Tyrasaurus loc)
Sphere 0:	4th Tablet	 (HiryuuPlant loc)
Sphere 0:	Shrine Page	 (Odin loc)
Sphere 0:	Bracelet	 (Bahamut loc)
Sphere 0:	2nd Tablet	 (Ifrit loc)
Sphere 0:	Ifrit's Fire	 (Shiva loc)
Sphere 1:	Falls Page	 (LiquiFlame loc via Steamship Key)
All tablets NOT obtained.
All keys NOT obtained.
",False,False,100,0,10,7063494
"Number of sphere zero keys: (8)
Sphere 0:	Bracelet	 (Karlabos loc)
Sphere 0:	2nd Tablet	 (Siren loc)
Sphere 0:	Canal Key	 (Magisa & Forza loc)
Sphere 0:	1st Tablet	 (AdamanTiMi loc)
Sphere 0:	Shrine Page	 (Puroboros loc)
Sphere 0:	Walse Tower Key	 (Abductor loc)
Sphere 0:	Submarine Key	 (Odin loc)
Sphere 0:	Anti Barrier	 (Ifrit loc)
Sphere 1:	Trench Page	 (Atmos loc via Submarine Key)
Sphere 1:	3rd Tablet	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 1:	Ifrit's Fire	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 1:	Big Bridge Key	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
Sphere 1:	Moogle Suit	 (Stalker loc via Shrine Page)
Sphere 2:	Pyramid Page	 (Gilgamesh 2 loc via Big Bridge Key)
All tablets NOT obtained.
All keys NOT obtained.
",False,False,100,0,8,1972662
