item_id,readable_name,valid,type,subtype,value,max_count,tier,textbox_addr,textmenu_addr,data_addr
30,Tempest,TRUE,weapon,katana,7,1,7,E75CE0,D11530,D10240
31,Rod,TRUE,weapon,rod,1,3,1,E75CF8,D11539,D1024C
32,Fire Rod,TRUE,weapon,rod,3,3,3,E75D10,D11542,D10258
33,Ice Rod,TRUE,weapon,rod,3,3,3,E75D28,D1154B,D10264
34,Thunder Rod,TRUE,weapon,rod,3,3,3,E75D40,D11554,D10270
35,Venom Rod,TRUE,weapon,rod,3,3,3,E75D58,D1155D,D1027C
36,Lillith Rod,TRUE,weapon,rod,4,3,4,E75D70,D11566,D10288
37,Wizard Rod,TRUE,weapon,rod,4,3,4,E75D88,D1156F,D10294
38,Staff,TRUE,weapon,staff,1,3,1,E75DA0,D11578,D102A0
39,Mythril Staff,TRUE,weapon,staff,2,3,2,E75DB8,D11581,D102AC
3A,Power Staff,TRUE,weapon,staff,3,3,3,E75DD0,D1158A,D102B8
3B,Healing Staff,TRUE,weapon,staff,3,3,3,E75DE8,D11593,D102C4
3C,Staff of Light,TRUE,weapon,staff,5,3,5,E75E00,D1159C,D102D0
3D,Sage's Staff,TRUE,weapon,staff,7,3,7,E75E18,D115A5,D102DC
3E,Judgement Staff,TRUE,weapon,staff,7,1,7,E75E30,D115AE,D102E8
3F,Fire Bow,TRUE,weapon,bow,2,3,2,E75E48,D115B7,D102F4
40,Ice Bow,TRUE,weapon,bow,2,3,2,E75E60,D115C0,D10300
41,Thunder Bow,TRUE,weapon,bow,2,3,2,E75E78,D115C9,D1030C
42,Darkness Bow,TRUE,weapon,bow,2,3,2,E75E90,D115D2,D10318
43,Killer Bow,TRUE,weapon,bow,2,3,2,E75EA8,D115DB,D10324
44,Elven Bow,TRUE,weapon,bow,3,3,3,E75EC0,D115E4,D10330
45,Yoichi Bow,TRUE,weapon,bow,4,1,4,E75ED8,D115ED,D1033C
46,Artemis Bow,TRUE,weapon,bow,4,1,4,E75EF0,D115F6,D10348
47,Silver Harp,TRUE,weapon,harp,1,3,1,E75F08,D115FF,D10354
48,Dream Harp,TRUE,weapon,harp,2,3,2,E75F20,D11608,D10360
49,Lamia's Harp,TRUE,weapon,harp,3,3,3,E75F38,D11611,D1036C
4A,Apollo's Harp,TRUE,weapon,harp,7,1,7,E75F50,D1161A,D10378
4B,Whip,TRUE,weapon,whip,1,3,1,E75F68,D11623,D10384
4C,Chain Whip,TRUE,weapon,whip,2,3,2,E75F80,D1162C,D10390
4D,Thunder Whip,TRUE,weapon,whip,3,3,3,E75F98,D11635,D1039C
4E,Flame Whip,TRUE,weapon,whip,4,3,4,E75FB0,D1163E,D103A8
4F,Dragon's Whisker,TRUE,weapon,whip,7,1,7,E75FC8,D11647,D103B4
50,Giyaman,TRUE,weapon,bell,1,3,1,E75FE0,D11650,D103C0
51,Earth Bell,TRUE,weapon,bell,2,3,2,E75FF8,D11659,D103CC
52,Rune Chime,TRUE,weapon,bell,3,1,3,E76010,D11662,D103D8
53,Tinkerbell,TRUE,weapon,bell,7,1,7,E76028,D1166B,D103E4
54,Sabre (*Dummy),FALSE,dummy,dummy,0,0,0,E76040,D11674,D103F0
55,Drain Sword,TRUE,weapon,sword,3,3,3,E76058,D1167D,D103FC
56,RuneEdge,TRUE,weapon,sword,5,3,5,E76070,D11686,D10408
57,Flametongue,TRUE,weapon,sword,5,3,5,E76088,D1168F,D10414
58,IceBrand,TRUE,weapon,sword,5,3,5,E760A0,D11698,D10420
59,Full Moon,TRUE,weapon,flail,4,3,4,E760B8,D116A1,D1042C
5A,Shuriken,TRUE,item,throw,3,3,3,E760D0,D116AA,D10438
5B,Pinwheel,TRUE,item,throw,5,3,5,E760E8,D116B3,D10444
5C,Excailbur,FALSE,item,throw,1,1,1,E76100,D116BC,D10450
5D,BeastKiller,TRUE,weapon,whip,5,3,5,E76118,D116C5,D1045C
5E,Flail,TRUE,weapon,flail,2,3,2,E76130,D116CE,D10468
5F,Morning Star,TRUE,weapon,flail,3,3,3,E76148,D116D7,D10474
60,Wonder Wand,TRUE,weapon,rod,5,1,5,E76160,D116E0,D10480
61,Brave Blade,FALSE,weapon,sword,8,1,8,E76178,D116E9,D1048C
62,Soot,FALSE,weapon,flail,1,3,1,E76190,D116F2,D10498
63,Chicken Knife,FALSE,weapon,knife,8,1,8,E761A8,D116FB,D104A4
64,RisingSun,TRUE,weapon,flail,3,3,3,E761C0,D11704,D104B0
65,Silver Bow,TRUE,weapon,bow,3,3,3,E761D8,D1170D,D104BC
66,Gale Bow,TRUE,weapon,bow,3,3,3,E761F0,D11716,D104C8
67,AntiMagic Bow,TRUE,weapon,bow,4,3,4,E76208,D1171F,D104D4
68,Avis Killer,TRUE,weapon,bow,4,3,4,E76220,D11728,D104E0
69,DoomCut,TRUE,weapon,axe,5,3,5,E76238,D11731,D104EC
6A,Giant's Axe,TRUE,weapon,axe,5,3,5,E76250,D1173A,D104F8
6B,ManEater,TRUE,weapon,knife,6,3,6,E76268,D11743,D10504
6C,Thief Knife,TRUE,weapon,knife,3,1,3,E76280,D1174C,D10510
6D,Dancing Dagger,TRUE,weapon,knife,4,1,4,E76298,D11755,D1051C
6E,Enhancer,TRUE,weapon,sword,5,3,5,E762B0,D1175E,D10528
