ability_id,readable_name,valid,value,related_jobs,max_count,progression_id,tier
5C,Blank9,FALSE,0,[],0,FF,0
5D,Blank10,FALSE,0,[],0,FF,0
5E,Blank11,FALSE,0,[],0,FF,0
5F,Blank27,FALSE,0,[],0,FF,0
60,X-Magic,TRUE,3,[“RedMage”],1,25,8
61,Blue,TRUE,2,[“BlueMage”],1,26,5
62,Blank12,FALSE,0,[],0,FF,0
63,Blank13,FALSE,0,[],0,FF,0
64,Blank14,FALSE,0,[],0,FF,0
65,Blank15,FALSE,0,[],0,FF,0
66,Blank16,FALSE,0,[],0,FF,0
67,Blank17,FALSE,0,[],0,FF,0
68,Equip Shield,TRUE,2,[“Knight”],1,27,3
69,Equip Armors,TRUE,2,[“Knight”],1,28,3
6A,Equip Ribbon,TRUE,2,[“Dancer”],1,29,3
6B,Equip Swords,TRUE,2,[“Knight”],1,2A,3
6C,Equip Spears,TRUE,2,[“Dragoon”],1,2B,3
6D,Equip Katana,TRUE,2,[“Samurai”],1,2C,3
6E,Equip Axes,TRUE,2,[“Berserker”],1,2D,3
6F,Equip Bows,TRUE,2,[“Hunter”],1,2E,3
70,Equip Whips,TRUE,2,[“Mediator”],1,2F,3
71,Equip Harps,TRUE,2,[“Bard”],1,30,3
72,Agility,TRUE,2,[“Thief”],1,31,2
73,HP +10%,TRUE,2,[“Monk”],1,32,2
74,HP +20%,TRUE,2,[“Monk”],1,32,2
75,HP +30%,TRUE,2,[“Monk”],1,32,3
76,MP +10%,TRUE,2,[“WhiteMage”],1,33,2
77,MP +30%,TRUE,2,[“BlackMage”],1,33,3
78,Brawl,TRUE,2,[“Monk”],1,34,2
79,Dbl Grip,TRUE,2,[“Knight”],1,35,4
7A,2-Handed,TRUE,2,[“Ninja”],1,36,4
7B,Medicine,TRUE,2,[“Chemist”],1,37,2
7C,Cover,TRUE,2,[“Knight”],1,38,2
7D,Counter,TRUE,2,[“Monk”],1,39,2
7E,Evade,TRUE,2,[“MysticKnight”],1,3A,2
7F,Learning,FALSE,0,[“BlueMage”],0,3B,0
80,Barrier,TRUE,2,[“MysticKnight”],1,3C,2
81,Berserk,TRUE,2,[“Berserker”],1,3D,2
82,Caution,TRUE,2,[“Thief”],1,3E,2
83,Preemptive,TRUE,2,[“Ninja”],1,3F,2
84,Passages,FALSE,0,[“Knight”],0,40,0
85,DmgFloor,TRUE,2,[“Geomancer”],1,41,2
86,Pitfalls,FALSE,0,[“Geomancer”],0,42,0
87,Equip Rods,TRUE,2,[“TimeMage”],1,43,4
88,Dash,FALSE,0,[“Thief”],0,44,0
