char,job,byte_string
Lenna,Dragoon,f73e8410ff7fa6213f53ff400e6e6751df2d17343f4e997fa042df032045937a
Lenna,Ninja,a0028410ff7fa6213f53ff4020498038df2d17343f4ee61a79027f3f0e6e3f03
Lenna,Samurai,19218410ff7fa6213f53ff403b301124df2d17343f4e734ead359f03df4e2835
Lenna,Berserker,d34d8410ff7fa6213f53ff403c033702df2d17343f4e7701ff6b3d3eff33d110
Lenna,Hunter,934c8410ff7fa6213f53ff4040534032df2d17343f4eff11ff6b3f03ae141f11
Lenna,Mystic Knight,06228410ff7f880c3f4354367c19950cf8316b11394b7f2f00620045a042c86e
Lenna,White Mage,80258410ff7fa6213f53ff40ff6b7f3fdf2d17343f4ebb1c58321f3c1f3cd110
Lenna,Black Mage,524e8410ff7f95478410ff40206a6051841017343f4e790295473f03a042e02d
Lenna,Time Mage,f73e8410ff7fa6213f53ff407e01b900df2d17343f4e0e6e7e4bff6be348d110
Lenna,Summoner,a0028410ff7fa6213f53ff4080026005df2d17343f4e7f3f3f2fff6bce2dd110
Lenna,Blue Mage,19218410ff7fa6213f53ff40a961e348df2d17343f4e0e6eff6b1a1813181f03
Lenna,Red Mage,d34d8410ff7fa6213f53ff40df081508df2d17343f4e9e227f3fbf1758326f11
Lenna,Trainer,934c8410ff7fa6213f53ff403f4b5a3adf2d17343f4ed110c059e348ff6b793e
Lenna,Chemist,06228410ff7fa6213f53ff403f163601df2d17343f4edf572e3b0022ff2acc10
Lenna,Geomancer,80258410ff7fa6213f53ff40004f203adf2d17343f4e9547ff411f303f03ff6b
Lenna,Bard,524e8410ff7fa6213f53ff402e3ba612df2d17343f4ef821ff6bc0699f781450
Lenna,Dancer,f73e8410ff7fa6213f53ff40c06ac069df2d17343f4e750b6059ff6bb00aff40
Lenna,Mimic,a0028410ff7fa6213f53ff40bf0e7f15df2d17343f4ec06ac0697a1df50b0622
Lenna,Freelancer,19218410ff7fa6213f53ff40bf0e7f15df2d17343f4ec06ac0697a1df50b0622
Galuf,Knight,06228410ff7f880c3f4354367c19950cf8316b11394b7f2f00620045a042c86e
Galuf,Monk,524e8410ff7f880c3f4354364929a518f8316b11394b66321a2cef5d6b51ff4c
Galuf,Thief,f73e8410ff7f880c3f435436e61ae30df8316b11394b3f03d725ff6bbf3bd110
Galuf,Dragoon,a0028410ff7f880c3f435436b461ec40f8316b11394b0f7e696d3f031b04d77e
Galuf,Ninja,19218410ff7f880c3f435436714ead35f8316b11394b4925fe191b0dff7f1c03
Galuf,Samurai,00008410ff7f880c3f4354361b046c0cf8316b11394b385b5246ff7f3404c330
Galuf,Berserker,19218410ff7f880c3f435436b94ad12df8316b11394b1b043a5bff6bdd56e029
Galuf,Hunter,a0028410ff7f880c3f4354362a270a22f8316b11394bad001c035301f768df63
Galuf,Mystic Knight,06228410ff7f880c3f435436ff6b1847f8316b11394b19017479a042ce2d2d44
Galuf,White Mage,524e8410ff7f880c3f435436ff6b7f3ff8316b11394bbb1c5832a042e02dd110
Galuf,Black Mage,f73e8410ff7f5f1a84105436cc71e33cf8316b11394b1602bf43fc02004f002e
Galuf,Time Mage,a0028410ff7f880c3f4354367e01b900f8316b11394b0e6e7e4bff6be348d110
Galuf,Summoner,19218410ff7f880c3f435436801e601df8316b11394b7f3f3f03ff6bce2dd110
Galuf,Blue Mage,00008410ff7f880c3f435436a961e348f8316b11394b7f3fff6bfa2013181f03
Galuf,Red Mage,19218410ff7f880c3f435436df201518f8316b11394b3f467f3fbf1758326f11
Galuf,Trainer,a0028410ff7f880c3f4354363f4b5a3af8316b11394bd110c059e348ff6bbf17
Galuf,Chemist,06228410ff7f880c3f4354361f03b601f8316b11394bff6b2057e029bf3fcc10
Galuf,Geomancer,524e8410ff7f880c3f435436ed16040af8316b11394b5501937fad7e9f028c1b
Galuf,Bard,f73e8410ff7f880c3f435436c91e8005f8316b11394bff6b1318bc025a15cc10
Galuf,Dancer,a0028410ff7f880c3f435436fa01d600f8316b11394b4a290006007eb51fe348
Galuf,Mimic,19218410ff7f880c3f435436207ee07cf8316b11394bfb141100bf3fa40a5301
Galuf,Freelancer,00008410ff7f880c3f4354364053203ef8316b11394b5f039f0e5b62bb0d5535
Faris,Knight,06228410ff7fa621fe4ab951a06180383b2e50493c6e9b0240721477e61ae30d
Faris,Monk,80258410ff7fa621fe4ab951bf3b77263b2e50493c6eff6bff111f11a042f200
Faris,Thief,524e8410ff7fa621fe4ab9517f1a77013b2e50493c6e3f032043403abf3bd110
Faris,Dragoon,f73e8410ff7fa621fe4ab951bf10b5103b2e50493c6e7f12a0423f03a043af10
Faris,Ninja,a0028410ff7fa621fe4ab9513b3011243b2e50493c6edf3879027f3f0e6e3f03
Faris,Samurai,19218410ff7fa621fe4ab951734e8c313b2e50493c6eff7f79029f03a0612835
Faris,Berserker,d34d8410ff7fa621fe4ab9513c0337023b2e50493c6e7701ff6b3d3ef200d110
Faris,Hunter,934c8410ff7fa621fe4ab951405340323b2e50493c6eff11ff6b77010c099947
Faris,Mystic Knight,06228410ff7fa621fe4ab9513967ad393b2e50493c6eff6bc057e029de021f01
Faris,White Mage,80258410ff7fa621fe4ab951ff6b7f3f3b2e50493c6ebb1c5832b6147f4d9611
Faris,Black Mage,524e8410ff7f9547fe4ab951206a60513b2e50493c6ee90195470903de029501
Faris,Time Mage,f73e8410ff7fa621fe4ab951ca478a463b2e50493c6e0e6e7e4bff6be3481f01
Faris,Summoner,a0028410ff7fa621fe4ab951800260053b2e50493c6e7f3fff6b3616ce2dd110
Faris,Blue Mage,19218410ff7fa621fe4ab951a961e3483b2e50493c6eff6b3e1afc1813181f03
Faris,Red Mage,d34d8410ff7fa621fe4ab951df0815083b2e50493c6eff6bfe1abf1758326f11
Faris,Trainer,934c8410ff7fa621fe4ab9513f4b5a3a3b2e50493c6eb511805a8349ff6b793e
Faris,Chemist,06228410ff7fa621fe4ab9511f03b6013b2e50493c6eff6b2057e029bf3fcc10
Faris,Geomancer,80258410ff7fa621fe4ab951ec5500493b2e50493c6eec5e640b06223f03b801
Faris,Bard,524e8410ff7fa621fe4ab9512e3b26123b2e50493c6e5521ff6b1d031477606a
Faris,Dancer,f73e8410ff7fa621fe4ab951bf0318023b2e50493c6e750b7f6acc105f4d7a28
Faris,Mimic,a0028410ff7fa621fe4ab951640b06223b2e50493c6e3c0253011477606aff03
Faris,Freelancer,19218410ff7fa621fe4ab951640b06223b2e50493c6e3c0253011477606aa04d
Cara,Knight,06228410ff7f00693f531f03ff4d9f343f3adb0dff3f606a640b06221477b801
Cara,Monk,80258410ff7f00693f531f033f021f003f3adb0dff3fec5eff5714003f03391a
Cara,Thief,524e8410ff7f00693f531f032e3b26123f3adb0dff3f5521391abf031477606a
Cara,Dragoon,f73e8410ff7f00693f531f0392650f3d3f3adb0dff3f5d03577ecc10640b040a
Cara,Ninja,a0028410ff7f00693f531f03206e80553f3adb0dff3f147726127f3f0e6e640b
Cara,Samurai,19218410ff7f00693f531f033b3011243f3adb0dff3f734ead359f03ff6d3f02
Cara,Berserker,d34d8410ff7f00693f531f033c0337023f3adb0dff3f7701ff6b1f67f200ff3f
Cara,Hunter,934c8410ff7f00693f531f03640b06223f3adb0dff3fff11ff6b3f03ae141f11
Cara,Mystic Knight,06228410ff7f00693f531f033967ad393f3adb0dff3fff6be036e0295d393b30
Cara,White Mage,80258410ff7f00693f531f03ff6b7f3f3f3adb0dff3fbb1c5304851c1f039611
Cara,Black Mage,524e8410ff7f8b7a3f531f03206a60513f3adb0dff3fd70195475f02ca2c926d
Cara,Time Mage,f73e8410ff7f00693f531f037e01b9003f3adb0dff3f0e6e7e4bff6b2359d110
Cara,Summoner,a0028410ff7f00693f531f03800260053f3adb0dff3f7f3f3f1fff6bce2dd110
Cara,Blue Mage,19218410ff7f00693f531f03af61ea483f3adb0dff3fdc76375efc2813241f03
Cara,Red Mage,d34d8410ff7f00693f531f03ff2c53183f3adb0dff3f3f52bf33bf4b58326f11
Cara,Trainer,934c8410ff7f00693f531f033f4b5a3a3f3adb0dff3fd1101f03e348ff6be079
Cara,Chemist,06228410ff7f00693f531f031f03b6013f3adb0dff3fff6b2057e029bf3fcc10
Cara,Geomancer,80258410ff7f00693f531f03a076a0413f3adb0dff3f9547ff419c309f338536
Cara,Bard,524e8410ff7f00693f531f032e3b852e3f3adb0dff3fb115ff6b0016955dea48
Cara,Dancer,f73e8410ff7f00693f531f037e01b9003f3adb0dff3f207f7e4b80278351d110
Cara,Mimic,a0028410ff7f00693f531f03567a2d793f3adb0dff3f7f405f035f72a51ee53b
Cara,Freelancer,19218410ff7f00693f531f03567a2d793f3adb0dff3f7f405f035f72a51ee53b
