magic_id,readable_name,type,value,max_count,valid,item_randomization_valid,related_jobs,progression_id,tier,randomization_power
38,Regen,Time,2,1,TRUE,TRUE,[“TimeMage”],13,1,53
39,Void,Time,2,1,TRUE,FALSE,[“TimeMage”],14,1,
3A,Haste,Time,2,1,TRUE,TRUE,[“TimeMage”],15,1,56
3B,Float,Time,2,1,TRUE,TRUE,[“TimeMage”],13,1,57
3C,Demi,Time,2,1,TRUE,TRUE,[“TimeMage”],14,1,62
3D,Stop,Time,2,1,TRUE,TRUE,[“TimeMage”],12,2,70
3E,Exit,Time,2,1,FALSE,FALSE,[“TimeMage”],15,2,
3F,Comet,Time,2,1,TRUE,TRUE,[“TimeMage”],16,3,92
40,Slow2,Time,2,1,TRUE,TRUE,[“TimeMage”],12,3,81
41,Reset,Time,2,1,TRUE,FALSE,[“TimeMage”],13,1,
42,Qrter,Time,2,1,TRUE,TRUE,[“TimeMage”],14,4,97
43,Hast2,Time,2,1,TRUE,TRUE,[“TimeMage”],15,4,94
44,Old,Time,2,1,TRUE,TRUE,[“TimeMage”],14,3,99
45,Meteo,Time,2,1,TRUE,TRUE,[“TimeMage”],16,7,110
46,Quick,Time,2,1,TRUE,FALSE,[“TimeMage”],15,7,102
47,Xzone,Time,2,1,TRUE,TRUE,[“TimeMage”],13,4,105
48,Chocob,Esper,2,1,TRUE,FALSE,[“Summoner”],17,1,
49,Sylph,Esper,2,1,TRUE,FALSE,[“Summoner”],18,1,
4A,Remora,Esper,2,1,TRUE,FALSE,[“Summoner”],19,1,
4B,Shiva,Esper,2,1,TRUE,FALSE,[“Summoner”],1A,2,
4C,Ramuh,Esper,2,1,TRUE,FALSE,[“Summoner”],1A,2,
4D,Ifrit,Esper,2,1,TRUE,FALSE,[“Summoner”],1A,2,
4E,Titan,Esper,2,1,TRUE,FALSE,[“Summoner”],17,4,
4F,Golem,Esper,2,1,TRUE,FALSE,[“Summoner”],17,5,
50,Shoat,Esper,2,1,TRUE,FALSE,[“Summoner”],19,4,
51,Crbnkl,Esper,2,1,TRUE,FALSE,[“Summoner”],18,5,
52,Syldra,Esper,2,1,TRUE,FALSE,[“Summoner”],18,6,
53,Odin,Esper,2,1,TRUE,FALSE,[“Summoner”],17,7,
54,Phenix,Esper,2,1,TRUE,FALSE,[“Summoner”],18,8,
55,Levia,Esper,2,1,TRUE,FALSE,[“Summoner”],19,8,
56,Bahmut,Esper,2,1,TRUE,FALSE,[“Summoner”],1A,8,
57,Power,Song,2,1,TRUE,FALSE,[“Bard”],1B,1,
58,Speed,Song,2,1,TRUE,FALSE,[“Bard”],1C,1,
59,Vitality,Song,2,1,TRUE,FALSE,[“Bard”],1B,1,
5A,Magic,Song,2,1,TRUE,FALSE,[“Bard”],1D,1,
5B,Hero,Song,2,1,TRUE,FALSE,[“Bard”],1E,4,
5C,Requiem,Song,2,1,TRUE,FALSE,[“Bard”],1C,1,
5D,Love,Song,2,1,TRUE,FALSE,[“Bard”],1D,1,
5E,Charm,Song,2,1,TRUE,FALSE,[“Bard”],1E,1,
82,Condemn,Blue,2,1,TRUE,TRUE,[“BlueMage”],22,4,34
83,Roulette,Blue,2,1,TRUE,TRUE,[“BlueMage”],22,1,12
84,AquaRake,Blue,2,1,TRUE,TRUE,[“BlueMage”],22,2,47
85,L5 Doom,Blue,2,1,TRUE,TRUE,[“BlueMage”],1F,6,84
86,L4 Qrter,Blue,2,1,TRUE,TRUE,[“BlueMage”],1F,4,65
87,L2 Old,Blue,2,1,TRUE,TRUE,[“BlueMage”],1F,6,65
88,L3 Flare,Blue,2,1,TRUE,TRUE,[“BlueMage”],1F,4,65
89,FrogSong,Blue,2,1,TRUE,TRUE,[“BlueMage”],21,1,22
8A,TinySong,Blue,2,1,TRUE,TRUE,[“BlueMage”],21,1,23
8B,Flash,Blue,2,1,TRUE,TRUE,[“BlueMage”],24,1,17
8C,Time Slip,Blue,2,1,TRUE,TRUE,[“BlueMage”],24,1,16
8D,MoonFlut,Blue,2,1,TRUE,TRUE,[“BlueMage”],21,1,17
8E,DethClaw,Blue,2,1,TRUE,TRUE,[“BlueMage”],24,2,39
8F,Aero,Blue,2,1,TRUE,TRUE,[“BlueMage”],20,1,34
90,Aero 2,Blue,2,1,TRUE,TRUE,[“BlueMage”],20,2,55
91,Aero 3,Blue,2,1,TRUE,TRUE,[“BlueMage”],20,5,79
92,Emission,Blue,2,1,TRUE,TRUE,[“BlueMage”],26,2,44
93,GblinPnch,Blue,2,1,TRUE,TRUE,[“BlueMage”],26,1,9
94,DrkShock,Blue,2,1,TRUE,TRUE,[“BlueMage”],25,4,77
95,GuardOff,Blue,2,1,TRUE,TRUE,[“BlueMage”],23,3,66
96,Fusion,Blue,2,1,TRUE,TRUE,[“BlueMage”],25,2,29
97,MindBlst,Blue,2,1,TRUE,TRUE,[“BlueMage”],27,5,87
98,Vampire,Blue,2,1,TRUE,TRUE,[“BlueMage”],27,1,13
99,Hammer,Blue,2,1,TRUE,TRUE,[“BlueMage”],23,1,21
9A,BigGuard,Blue,2,1,TRUE,TRUE,[“BlueMage”],23,7,102
9B,Exploder,Blue,2,1,TRUE,TRUE,[“BlueMage”],25,2,32
9C,????,Blue,2,1,TRUE,TRUE,[“BlueMage”],25,1,16
9D,Blowfish,Blue,2,1,TRUE,TRUE,[“BlueMage”],26,5,59
9E,WhiteWind,Blue,2,1,TRUE,TRUE,[“BlueMage”],27,5,68
9F,Missile,Blue,2,1,TRUE,TRUE,[“BlueMage”],26,2,33
