idx,address,original_reward,area,description,reward_style,tier,force_type,required_key_items,required_key_items_lock1,required_key_items_lock2,exdeath_address,hint_tags,world
186,D133DE,Pinwheel,Exdeath's Castle,Exdeath's Castle Chest,chest,5,,,,,,,
187,D133E2,4400,Moogle Village,Moogle Cave Chest,chest,4,,,,,,,
188,D133E6,Phoenix Down,Moogle Village,Moogle Cave Chest,chest,4,,,,,,,
189,D133EA,Cabin,Moogle Village,Moogle Village Chest,chest,9,,,,,,,
190,D133EE,Dancing Dagger,Moogle Village,Moogle Village Chest,chest,9,,,,,,,
191,D133F2,1,Moogle Village,Moogle Village Chest,chest,9,,,,,,,
192,D133F6,10000,Moogle Village,Moogle Village Chest,chest,9,,,,,,,
193,D133FA,Phoenix Down,Moogle Village,Moogle Village Chest,chest,9,,,,,,,
194,D133FE,Ether,Moogle Village,Moogle Village Chest,chest,9,,,,,,,
195,D13402,Elf Cape,Moogle Village,Moogle Village Chest,chest,9,,,,,,,
196,D13406,Angel Gwn,Bal Castle,Bal Castle Chest,chest,4,,,,,,,
197,D1340A,Hero Drink,Bal Castle,Bal Castle Chest,chest,4,,,,,,,
198,D1340E,Exit,Bal Castle,Bal Castle Chest,chest,4,,,,,,,
199,D13412,Bone Mail,Hiryuu Valley,Hiryuu Valley Skull,chest,4,,,,,,,
200,D13416,5000,Hiryuu Valley,Hiryuu Valley Chest,chest,4,,,,,,,
201,D1341A,Cabin,Hiryuu Valley,Hiryuu Valley Chest,chest,4,,,,,,,
202,D1341E,7000,Hiryuu Valley,Hiryuu Valley Chest,chest,4,,,,,,,
203,D13422,Hypno Helm,Hiryuu Valley,Hiryuu Valley Chest,chest,4,,,,,,,
204,D13426,Air Blade,Hiryuu Valley,Hiryuu Valley Chest,chest,4,,,,,,,
205,D1342A,Phoenix Down,Hiryuu Valley,Hiryuu Valley Chest,chest,4,,,,,,,
206,D1342E,5000,Surgate Castle,Surgate Castle Chest,chest,4,,,,,,,
207,D13432,Float,Surgate Castle,Surgate Castle Chest,chest,4,,,,,,,
208,D13436,Drain Sword,Barrier Tower,Barrier Tower Chest MIB 1,mib_key,4,Item,[“Submarine Key”],"[“Adamantite”, “Submarine Key”]",[“Submarine Key”],87,[“tower”],2
209,D1343A,9000,Barrier Tower,Barrier Tower Chest,chest,4,,,,,,,
210,D1343E,18000,Barrier Tower,Barrier Tower Chest,chest,4,,,,,,,
211,D13442,Gold Hairpin,Barrier Tower,Barrier Tower Chest MIB 2,mib_key,4,Item,[“Submarine Key”],"[“Adamantite”, “Submarine Key”]",[“Submarine Key”],88,[“tower”],2
212,D13446,Guardian,Mua,Mua Town Barrel,chest,4,,,,,,,
213,D1344A,2500,Mua,Mua Forest Chest,chest,4,,,,,,,
214,D1344E,Ether,Mua,Mua Forest Chest,chest,4,,,,,,,
215,D13452,4900,Mua,Mua Forest Chest,chest,4,,,,,,,
216,D13456,Phoenix Down,Mua,Mua Forest Chest,chest,4,,,,,,,
217,D1345A,9500,Mua,Mua Forest Chest,chest,4,,,,,,,
218,D1345E,Soot,Mua,Mua Forest Chest,chest,4,,,,,,,
219,D13462,Flametongue,Mua,Mua Forest Chest,chest,4,,,,,,,
220,D13466,Cabin,Mua,Mua Forest Chest,chest,4,,,,,,,
221,D1346A,Giant Drink,Mua,Mua Forest Chest,chest,4,,,,,,,
222,D1346E,Elixir,Mua,Mua Forest Chest,chest,4,,,,,,,
223,D13472,Morning Star,Mua,Mua Forest Chest,chest,4,,,,,,,
224,D13476,Ether,Solitary Island,Solitary Island Chest,chest,6,,,,,,,
225,D1347A,DragonFang,Solitary Island,Solitary Island Chest,chest,6,,,,,,,
226,D1347E,Elixir,Pyramid,Pyramid Chest,chest,6,,,,,,,
227,D13482,Elixir,Pyramid,Pyramid Chest,chest,7,,,,,,,
228,D13486,Black Robe,Pyramid,Pyramid Chest MIB 1,mib_key,9,Item,[“Pyramid Page”],"[“Adamantite”, “Anti Barrier”, “Bracelet”, “Pyramid Page”]","[“Anti Barrier”, “Bracelet”, “Pyramid Page”]",89,,3
229,D1348A,Thornlet,Pyramid,Pyramid Chest,chest,6,,,,,,,
230,D1348E,DarkMatter,Pyramid,Pyramid Chest MIB 2,mib_key,9,Item,[“Pyramid Page”],"[“Adamantite”, “Anti Barrier”, “Bracelet”, “Pyramid Page”]","[“Anti Barrier”, “Bracelet”, “Pyramid Page”]",8A,,3
231,D13492,Crystal Armor,Pyramid,Pyramid Chest MIB 3,mib_key,9,Item,[“Pyramid Page”],"[“Adamantite”, “Anti Barrier”, “Bracelet”, “Pyramid Page”]","[“Anti Barrier”, “Bracelet”, “Pyramid Page”]",8B,,3
232,D13496,Cursed Ring,Pyramid,Pyramid Chest,chest,6,,,,,,,
233,D1349A,Ice Shield,Pyramid,Pyramid Chest,chest,6,,,,,,,
234,D1349E,Flame Shield,Pyramid,Pyramid Chest,chest,6,,,,,,,
235,D134A2,DarkMatter,Pyramid,Pyramid Chest,chest,6,,,,,,,
236,D134A6,White Robe,Pyramid,Pyramid Chest,chest,7,,,,,,,
237,D134AA,DarkSuit,Pyramid,Pyramid Chest,chest,7,,,,,,,
238,D134AE,DarkMatter,Pyramid,Pyramid Chest,chest,7,,,,,,,
239,D134B2,DarkMatter,Pyramid,Pyramid Chest,chest,7,,,,,,,
240,D134B6,DarkMatter,Pyramid,Pyramid Chest,chest,7,,,,,,,
241,D134BA,9000,Pyramid,Pyramid Chest,chest,8,,,,,,,
242,D134BE,8000,Pyramid,Pyramid Chest,chest,8,,,,,,,
243,D134C2,Earth Hammer,Pyramid,Pyramid Chest,chest,8,,,,,,,
244,D134C6,10000,Pyramid,Pyramid Chest,chest,8,,,,,,,
245,D134CA,Cabin,Pyramid,Pyramid Chest,chest,8,,,,,,,
246,D134CE,Elixir,Pyramid,Pyramid Chest,chest,8,,,,,,,
247,D134D2,12000,Pyramid,Pyramid Chest,chest,5,,,,,,,
248,D134D6,DarkMatter,Pyramid,Pyramid Chest,chest,5,,,,,,,
249,D134DA,Elixir,Pyramid,Pyramid Chest,chest,5,,,,,,,
250,D134DE,DarkMatter,Pyramid,Pyramid Chest,chest,5,,,,,,,
251,D134E2,Guard Ring,Pyramid,Pyramid Chest,chest,5,,,,,,,
252,D134E6,Ribbon,Pyramid,Pyramid Chest,chest,5,,,,,,,
253,D134EA,Gold Hairpin,Pyramid,Pyramid Chest,chest,5,,,,,,,
254,D134EE,12000,Solitary Island,Solitary Island Chest,chest,6,,,,,,,
255,D134F2,Hi-Potion,Solitary Island,Solitary Island Chest,chest,6,,,,,,,
256,D134F6,Protect Drink,Solitary Island,Solitary Island Chest,chest,6,,,,,,,
257,D134FA,BeastKiller,Solitary Island,Solitary Island Chest,chest,6,,,,,,,
258,D134FE,RisingSun,Solitary Island,Solitary Island Chest MIB 1,mib_key,6,Item,[“Shrine Page”],"[“Adamantite”, “Anti Barrier”, “Bracelet”, “Shrine Page”]","[“Anti Barrier”, “Bracelet”, “Shrine Page”]",8C,[“bridge”],3
259,D13502,Ether,Solitary Island,Solitary Island Chest,chest,6,,,,,,,
260,D13506,Guard Ring,Solitary Island,Solitary Island Chest MIB 2,mib_key,6,Item,[“Shrine Page”],"[“Adamantite”, “Anti Barrier”, “Bracelet”, “Shrine Page”]","[“Anti Barrier”, “Bracelet”, “Shrine Page”]",8D,[“bridge”],3
261,D1350A,Crystal Helm,Solitary Island,Solitary Island Chest,chest,6,,,,,,,
262,D1350E,9000,Solitary Island,Solitary Island Chest,chest,6,,,,,,,
263,D13512,Elixir,Solitary Island,Solitary Island Chest,chest,6,,,,,,,
264,D13516,DarkMatter,Solitary Island,Solitary Island Chest,chest,6,,,,,,,
265,D1351A,Circlet,Solitary Island,Solitary Island Chest,chest,6,,,,,,,
266,D1351E,Ether,Fork Tower,Fork Tower L. Chest,chest,7,,,,,,,
267,D13522,Wonder Wand,Fork Tower,Fork Tower L. Chest,chest,7,,,,,,,
268,D13526,Hi-Potion,Fork Tower,Fork Tower R. Chest,chest,7,,,,,,,
269,D1352A,Defender Sword,Fork Tower,Fork Tower R. Chest,chest,7,,,,,,,
270,D1352E,Water Scroll,Great Trench,Great Trench Chest,chest,6,,,,,,,
271,D13532,Flame Ring,Great Trench,Great Trench Chest,chest,6,,,,,,,
272,D13536,DragonFang,Great Trench,Great Trench Chest,chest,6,,,,,,,
273,D1353A,Ether,Great Trench,Great Trench Chest,chest,6,,,,,,,
274,D1353E,Phoenix Down,Great Trench,Great Trench Chest,chest,6,,,,,,,
275,D13542,Kaiser Knuckles,Istory Falls,Great Trench Chest,chest,6,,,,,,,
276,D13546,Ether,Istory Falls,Istory Falls Chest,chest,6,,,,,,,
277,D1354A,TurtleShell,Istory Falls,Istory Falls Chest,chest,6,,,,,,,
278,D1354E,Air Knife,Istory Falls,Istory Falls Chest,chest,6,,,,,,,
279,D13552,Giant Drink,Istory Falls,Istory Falls Chest,chest,6,,,,,,,
280,D13556,RuneEdge,Istory Falls,Istory Falls Chest,chest,6,,,,,,,
281,D1355A,Guard Ring,Istory Falls,Istory Falls Chest,chest,6,,,,,,,
282,D1355E,Wall Ring,Istory Falls,Istory Falls Chest,chest,6,,,,,,,
283,D13562,Phoenix Down,Istory Falls,Istory Falls Chest,chest,6,,,,,,,
284,D13566,Enhancer,Istory Falls,Istory Falls Chest,chest,6,,,,,,,
285,D1356A,12000,Istory Falls,Istory Falls Chest,chest,6,,,,,,,
286,D1356E,Artemis Bow,Istory Falls,Istory Falls Chest,chest,6,,,,,,,
287,D13572,Pinwheel,Istory Falls,Istory Falls Chest,chest,6,,,,,,,
288,D13576,Aegis Shield,Istory Falls,Istory Falls Chest,chest,6,,,,,,,
289,D1357A,Giant's Axe,Istory Falls,Istory Falls Chest,chest,6,,,,,,,
290,D1357E,5000,Phoenix Tower,Phoenix Tower Pot,chest,1,Item,,,,,,
291,D13582,Phoenix Down,Phoenix Tower,Phoenix Tower Pot,chest,1,Item,,,,,,
292,D13586,10000,Phoenix Tower,Phoenix Tower Pot,chest,1,Item,,,,,,
293,D1358A,Phoenix Down,Phoenix Tower,Phoenix Tower Pot,chest,1,Item,,,,,,
294,D1358E,Phoenix Down,Phoenix Tower,Phoenix Tower Pot,chest,1,Item,,,,,,
295,D13592,15000,Phoenix Tower,Phoenix Tower Pot,chest,1,Item,,,,,,
296,D13596,20000,Phoenix Tower,Phoenix Tower Pot,chest,1,Item,,,,,,
297,D1359A,Phoenix Down,Phoenix Tower,Phoenix Tower Pot,chest,1,Item,,,,,,
298,D1359E,Avis Killer,Phoenix Tower,Phoenix Tower Pot,chest,1,Item,,,,,,
299,D135A2,25000,Phoenix Tower,Phoenix Tower Pot,chest,1,Item,,,,,,
300,D135A6,Thief Knife,Mirage Village,Mirage Village Barrel,chest,7,,,,,,,
301,D135AA,Ether,Rift,Rift (Ruins) Chest,chest,7,,,,,,,
302,D135AE,Cabin,Rift,Rift (Ruins) Chest,chest,7,,,,,,,
303,D135B2,Elixir,Rift,Rift (Ruins) Chest,chest,7,,,,,,,
304,D135B6,DarkMatter,Rift,Rift (Ruins) Chest,chest,7,,,,,,,
305,D135BA,Elixir,Rift,Rift (Ruins) Chest,chest,7,,,,,,,
306,D135BE,Drain Sword,Rift,Rift (Ruins) Chest,chest,7,,,,,,,
307,D135C2,DragonFang,Rift,Rift (Forest) Chest,chest,7,,,,,,,
308,D135C6,Ribbon,Rift,Rift (Forest) Chest,chest,7,,,,,,,
309,D135CA,Enhancer,Rift,Rift (Forest) Chest,chest,7,,,,,,,
310,D135CE,Lillith Rod,Rift,Rift (Forest) Chest,chest,7,,,,,,,
311,D135D2,Angel Ring,Rift,Rift (Cave) Chest,chest,7,,,,,,,
312,D135D6,Coral Ring,Rift,Rift (Cave) Chest,chest,7,,,,,,,
313,D135DA,Thor Hammer,Rift,Rift (Castle) Chest,chest,7,,,,,,,
