check,value
Moogle Village Chest Elf Cape,2.0
Moogle Village Chest Ether,1.0
Moogle Village Chest Phoenix Down,3.0
Mua Forest Chest 9500,3.0
Mua Forest Chest Elixir,2.0
Mua Forest Chest Ether,1.0
Mua Forest Chest Flametongue,3.0
Mua Forest Chest Giant Drink,4.0
Mua Forest Chest Phoenix Down,3.0
Mua Forest Chest Soot,1.0
North Mountain Chest Phoenix Down,0.0
Odin New,4.0
Phoenix Phenix,1.0
Phoenix Tower Pot 10000,3.0
Phoenix Tower Pot 15000,2.0
Phoenix Tower Pot Avis Killer,1.0
Phoenix Tower Pot Phoenix Down,2.0
Pirate's Cave Chest 300,1.0
Pirate's Cave Chest Ether,1.0
Pirate's Cave Chest Leather Cap,1.0
Pirate's Cave Chest Tent,1.0
Power Song from Crescent Town Power,2.0
Puroboros New,4.0
Pyramid Chest 10000,3.0
Pyramid Chest 12000,1.0
Pyramid Chest 8000,4.0
Pyramid Chest 9000,3.0
Pyramid Chest Black Robe,2.0
Pyramid Chest Cabin,1.0
Pyramid Chest Crystal Armor,2.0
Pyramid Chest Cursed Ring,2.0
Pyramid Chest DarkMatter,3.0
Pyramid Chest DarkSuit,3.0
Pyramid Chest Earth Hammer,3.0
Pyramid Chest Elixir,4.0
Pyramid Chest Flame Shield,3.0
Pyramid Chest Gold Hairpin,4.0
Pyramid Chest Ice Shield,3.0
Pyramid Chest Thornlet,1.0
Pyramid Chest White Robe,1.0
Pyramid Top Pyramid Tablet,2.0
Requiem Song at Kelb Requiem,3.0
Ribbon from girl in Rugor Ribbon,3.0
Rift (Castle) Chest Red Shoes,2.0
Rift (Castle) Chest Running Shoes,2.0
Rift (Cave) Chest Coral Ring,2.0
Rift (Forest) Chest DragonFang,2.5
Rift (Forest) Chest Enhancer,4.0
Rift (Ruins) Chest Cabin,2.0
Rift (Ruins) Chest DarkMatter,2.0
Rift (Ruins) Chest Elixir,1.0
Rift (Ruins) Chest Ether,0.0
Ruined City Chest Size,2.0
Ship Graveyard Chest Phoenix Down,4.0
Ship Graveyard Chest Potion,2.0
Shiva New,4.0
Shiva Shiva,3.0
Siren New,4.0
Sol Cannon New,4.0
Solitary Island Chest 12000,2.0
Solitary Island Chest 9000,3.0
Solitary Island Chest Circlet,2.0
Solitary Island Chest DarkMatter,4.0
Solitary Island Chest DragonFang,4.0
Solitary Island Chest Ether,3.0
Solitary Island Chest Guard Ring,2.0
Solitary Island Chest Hi-Potion,1.0
Solitary Island Chest RisingSun,3.0
Speed Song at Surgate Speed,3.0
Steamship Chest Elixir,3.0
Steamship Chest Full Moon,1.0
Steamship Chest Mythril Glove,4.0
Steamship Chest Thief's Glove,2.0
Surgate Castle Chest 5000,1.0
Syldra Syldra,1.0
Temptation Song at Lix Charm,3.0
The Void Chest Ragnarok,1.0
Titan Titan,1.0
Toad Event Toad,3.0
Tule Barrel 150,4.0
Tule Barrel Potion,2.0
Tule Box Leather Shoes,2.0
Tule Bush Phoenix Down,2.0
Tycoon Castle Barrel Cabin,2.0
Tycoon Castle Barrel Phoenix Down,3.0
Tycoon Castle Cabin Cabin,1.0
Tycoon Castle Chest Shuriken,3.0
Tycoon Castle Pot Elixir,2.0
Tycoon Castle Pot Maiden's Kiss,3.0
Tycoon Meteor Chest Phoenix Down,2.0
Walse Castle Barrel Tent,3.0
Walse Castle Pot Drag,4.0
Walse Tower Chest GoGo,2.0
Walse Tower Chest Maiden's Kiss,2.0
Walse Tower Chest Silk robe,2.0
Walse Tower Chest Silver Armlet,1.0
Water Crystal Berserker,1.0
Water Crystal Samurai,2.0
Water Crystal Summoner,2.0
Water Crystal TimeMage,3.0
Wind Crystal BlackMage,0.0
Wind Crystal Knight,4.0
Wind Crystal Thief,4.0
Wind Shrine Chest Broadsword,4.0
Wind Shrine Chest Leather Cap,2.0
Wind Shrine Chest Staff,2.0
Wind Shrine Chest Tent,2.0
WingRaptor New,4.0
