check,reward,mib,seed
Lone Wolf Barrel Cabin,Toad->Bio->Flare,,3806906
Lone Wolf Chest Thunder Whip,Regen->Float->Reset->Xzone,,3806906
Moat Item Epee,MP +X%,,3806906
Shop Backdoor Lamia Harp,Red Shoes,,3806906
Top of the Falls Magic Lamp,Circlet,,3806906
Wind Shrine Chest Broadsword,Elf Cape,,3806906
Beginner's House Chest Ether,Thief Knife,,3806906
Beginner's House Chest 100,DarkMatter,,3806906
Beginner's House Chest Potion,Bronze Shield,,3806906
Beginner's House Chest Phoenix Down,Chemist Job Crystal,,3806906
Beginner's House Chest Tent,Crystal Shield,,3806906
Beginner's House Chest Leather Shoes,Tinkerbell,,3806906
Pirate's Cave Chest Leather Cap,Tent,,3806906
Pirate's Cave Chest Tent,Power Staff,,3806906
Pirate's Cave Chest Ether,2000 gil,,3806906
Pirate's Cave Chest 300,Black Ability Progressive,,3806906
Wind Shrine Chest Tent,Tempest,,3806906
Wind Shrine Chest Leather Cap,Bone Mail,,3806906
Wind Shrine Chest Staff,DarkSuit,,3806906
Tule Barrel 150,Masamune,MIB,3806906
Tule Box Leather Shoes,Cure White Magic Progressive,,3806906
Tule Barrel Potion,2-Handed,,3806906
Tule Box Tent,1000 gil,,3806906
Tule Bush Phoenix Down,Angel Gwn,,3806906
Ship Graveyard Chest Flail,Conjure,,3806906
Ship Graveyard Chest Phoenix Down,Mediator Job Crystal,,3806906
Ship Graveyard Chest Tent,Scan->Charm->Holy,,3806906
Ship Graveyard Box 990,Staff,,3806906
Ship Graveyard Chest Potion,20000 gil,,3806906
Ship Graveyard Chest Antidote,HiPotion,,3806906
Carwen Barrel Antidote,Antidote,,3806906
Carwen Box Ice Rod,8000 gil,,3806906
Carwen Pot 1000,4400 gil,,3806906
North Mountain Chest Soft,Kick,,3806906
North Mountain Chest Phoenix Down,100 gil,,3806906
Walse Town Pot Glasses,Regen->Float->Reset->Xzone,,3806906
Tycoon Castle Pot Hi-Potion,9000 gil,,3806906
Tycoon Castle Pot Ether,HP +X%,,3806906
Tycoon Castle Barrel Elixir,Shuriken,,3806906
Tycoon Castle Barrel Phoenix Down,10000 gil,,3806906
Tycoon Castle Barrel Cabin,Cabin,,3806906
Tycoon Castle Pot Elixir,Mute->Psych->Holy Sword,,3806906
Tycoon Castle Pot Phoenix Down,Staff of Light,,3806906
Tycoon Castle Pot Maiden's Kiss,Air Blade,,3806906
Tycoon Castle Chest Shuriken,Steal,,3806906
Tycoon Castle Chest Giyaman,Coronet,,3806906
Tycoon Castle Chest Katana,MgcSword Ability Progressive,,3806906
Walse Castle Chest Elf Cape,Ragnarok,,3806906
Walse Castle Pot 1000,Combine,,3806906
Walse Castle Pot Drag,Haste->Exit->Hast2->Quick,,3806906
Walse Castle Box 490,Mythril Hammer,,3806906
Walse Castle Barrel Tent,Ribbon,,3806906
Walse Castle Barrel Phoenix Down,Bolt Sword Magic Progressive,,3806906
Walse Tower Chest Silk robe,Coral Sword,,3806906
Walse Tower Chest Maiden's Kiss,8000 gil,,3806906
Walse Tower Chest Silver Armlet,Epee Sword,,3806906
Walse Tower Chest Ether,Ice Black Magic Progressive,,3806906
Tycoon Meteor Chest Phoenix Down,Smoke,,3806906
Karnak Castle Chest Gungnir,Stealth Suit,MIB,3806906
Karnak Castle Chest Thunder Scroll,Venom Axe,MIB,3806906
Karnak Castle Chest 2000,Mythril Sword,MIB,3806906
Karnak Castle Chest Elixir,Iron Shield,MIB,3806906
Karnak Castle Chest Ribbon,RegalCut,,3806906
Karnak Castle Chest Shuriken,Dream Harp,MIB,3806906
Karnak Castle Chest Elf Cape,Rune Chime,MIB,3806906
Karnak Castle Chest Guardian,Diamond Helm,,3806906
Karnak Town Barrel Fire Rod,Power Wrist,,3806906
Steamship Chest Cabin,MgcSword Ability Progressive,,3806906
Steamship Chest Phoenix Down,Shiva->Ramuh->Ifrit->Bahmut,,3806906
Steamship Chest Elixir,12000 gil,,3806906
Steamship Chest GrnBeret,5000 gil,,3806906
Steamship Chest Thief's Glove,Animals->Aim->X-Fight,,3806906
Ancient Library Chest Ether,8000 gil,,3806906
Ancient Library Chest Phoenix Down,9000 gil,,3806906
Ancient Library Chest Stealth Suit,Fire Black Magic Progressive,,3806906
Jacole Cave Chest Shuriken,12000 gil,,3806906
Jacole Cave Chest Tent,2500 gil,,3806906
Ruined City Chest Shuriken,Coral Ring,,3806906
Ruined City Chest Size,25000 gil,,3806906
Flying Lonka Ruins Chest Golden Armor,Antdt->Image->Heal,,3806906
Flying Lonka Ruins Chest Elixir,9000 gil,,3806906
Flying Lonka Ruins Chest Phoenix Down,Ribbon,,3806906
Flying Lonka Ruins Chest Golden Shield,Escape,,3806906
Steamship Chest Mythril Glove,Cursed Ring,,3806906
Steamship Chest Full Moon,Dimen Ability Progressive,,3806906
Flying Lonka Ruins Chest Hi-Potion,Silver Bow,,3806906
Flying Lonka Ruins Chest 5000,Sylph->Crbnkl->Phenix->Syldra,,3806906
Flying Lonka Ruins Chest Shuriken,Regen->Float->Reset->Xzone,,3806906
Flying Lonka Ruins Chest Ancient Sword,Observe,,3806906
Flying Lonka Ruins Chest Full Moon,Venom->Drain->Break Sword,,3806906
Flying Lonka Ruins Chest Power Wrist,2000 gil,,3806906
Flying Lonka Ruins Chest Ether,Sleep->Psych->Doom,,3806906
Flying Lonka Ruins Chest Cabin,Blue,,3806906
Exdeath's Castle Chest Ether,????->Fusion->Exploder->DrkShock,,3806906
Exdeath's Castle Chest Diamond Shield,18000 gil,,3806906
Exdeath's Castle Chest Ice Shield,Charm->Hero@Song,,3806906
Exdeath's Castle Chest Elixir,Armor->Shell->Wall->Dispel,,3806906
Exdeath's Castle Chest Gale Bow,Protect Drink,,3806906
Exdeath's Castle Chest IceBrand,Phoenix Down,,3806906
Exdeath's Castle Chest Kotetsu,Defender Sword,,3806906
Exdeath's Castle Chest 9900,Cursed Shield,,3806906
Exdeath's Castle Chest 8000,5000 gil,,3806906
Exdeath's Castle Chest DblLance,Venom Axe,,3806906
Exdeath's Castle Chest Partisan,Evade,,3806906
Exdeath's Castle Chest Pinwheel,Morning Star,,3806906
Moogle Cave Chest 4400,100 gil,,3806906
Moogle Cave Chest Phoenix Down,BlackMage Job Crystal,,3806906
Moogle Village Chest Cabin,Ice Black Magic Progressive,,3806906
Moogle Village Chest Dancing Dagger,Flash->Time Slip->DethClaw,,3806906
Moogle Village Chest 1,10000 gil,,3806906
Moogle Village Chest 10000,Chocob->Titan->Golem->Odin,,3806906
Moogle Village Chest Phoenix Down,Bolt Black Magic Progressive,,3806906
Moogle Village Chest Ether,Magic Lamp,,3806906
Moogle Village Chest Elf Cape,Running Shoes,,3806906
Bal Castle Chest Angel Gwn,2500 gil,,3806906
Bal Castle Chest Hero Drink,Hero Drink,,3806906
Bal Castle Chest Exit,Giant Drink,,3806906
Hiryuu Valley Skull Bone Mail,Earth Hammer,,3806906
Hiryuu Valley Chest 5000,9500 gil,,3806906
Hiryuu Valley Chest Cabin,Iron Helm,,3806906
Hiryuu Valley Chest 7000,MP +X%,,3806906
Hiryuu Valley Chest Coronet,Flail,,3806906
Hiryuu Valley Chest Air Blade,Whip,,3806906
Hiryuu Valley Chest Phoenix Down,FrogSong->TinySong->MoonFlut,,3806906
Surgate Castle Chest 5000,100 gil,,3806906
Surgate Castle Chest Float,5000 gil,,3806906
Barrier Tower Chest Drain Sword,Angel Ring,,3806906
Barrier Tower Chest 9000,Dancing Dagger,MIB,3806906
Barrier Tower Chest 18000,Diamond Shield,MIB,3806906
Barrier Tower Chest Gold Hairpin,DblLance,,3806906
Mua Town Barrel Guardian,10000 gil,,3806906
Mua Forest Chest 2500,Chocob->Titan->Golem->Odin,,3806906
Mua Forest Chest Ether,10000 gil,,3806906
Mua Forest Chest 4900,Bolt Black Magic Progressive,,3806906
Mua Forest Chest Phoenix Down,Analyze,,3806906
Mua Forest Chest 9500,5000 gil,,3806906
Mua Forest Chest Soot,Sing,,3806906
Mua Forest Chest Flametongue,Ice Black Magic Progressive,,3806906
Mua Forest Chest Cabin,MgcSword Ability Progressive,,3806906
Mua Forest Chest Giant Drink,Giant Drink,,3806906
Mua Forest Chest Elixir,Elixir,,3806906
Mua Forest Chest Morning Star,Mute->Size->Bersk,,3806906
Solitary Island Chest Ether,Leather Armor,,3806906
Solitary Island Chest DragonFang,Silver Bow,,3806906
Pyramid Chest Elixir,Vampire->MindBlst->WhiteWind,,3806906
Pyramid Chest Black Robe,Glasses,,3806906
Pyramid Chest Thornlet,DarkHood,,3806906
Pyramid Chest DarkMatter,Epee Sword,,3806906
Pyramid Chest Crystal Armor,Tent,MIB,3806906
Pyramid Chest Cursed Ring,Tiger Mask,MIB,3806906
Pyramid Chest Ice Shield,Tricorn Hat,,3806906
Pyramid Chest Flame Shield,Bizen,,3806906
Pyramid Chest White Robe,Crystal Armor,,3806906
Pyramid Chest DarkSuit,Dragoon Lance,,3806906
Pyramid Chest 9000,Equip Armors,,3806906
Pyramid Chest 8000,Mythril Glove,,3806906
Pyramid Chest Earth Hammer,Silver Plate,,3806906
Pyramid Chest 10000,Mythril Spear,MIB,3806906
Pyramid Chest Cabin,Cabin,,3806906
Pyramid Chest 12000,Bard's Surplice,MIB,3806906
Pyramid Chest Guard Ring,Cabin,MIB,3806906
Pyramid Chest Ribbon,Power Wrist,MIB,3806906
Pyramid Chest Gold Hairpin,RuneEdge,,3806906
Solitary Island Chest 12000,990 gil,,3806906
Solitary Island Chest Hi-Potion,Fire Bow,MIB,3806906
Solitary Island Chest Protect Drink,Ice Sword Magic Progressive,,3806906
Solitary Island Chest BeastKiller,Kunai,,3806906
Solitary Island Chest RisingSun,Dagger,,3806906
Solitary Island Chest Guard Ring,Crystal Armor,,3806906
Solitary Island Chest Crystal Helm,Rune Axe,,3806906
Solitary Island Chest 9000,L4Qrter->L3Flare->L2Old->L5Doom,,3806906
Solitary Island Chest Elixir,Sleep->Bio->Flare Sword,,3806906
Solitary Island Chest DarkMatter,Vampire->MindBlst->WhiteWind,,3806906
Solitary Island Chest Circlet,Glasses,,3806906
Fork Tower L. Chest Ether,990 gil,,3806906
Fork Tower L. Chest Wonder Wand,15000 gil,,3806906
Fork Tower R. Chest Hi-Potion,Guardian,,3806906
Fork Tower R. Chest Defender Sword,Leather Armor,,3806906
Great Trench Chest Water Scroll,12000 gil,,3806906
Great Trench Chest Flame Ring,Fire Black Magic Progressive,,3806906
Great Trench Chest DragonFang,Avis Killer,,3806906
Great Trench Chest Ether,Leather Shoes,,3806906
Great Trench Chest Phoenix Down,BlueMage Job Crystal,,3806906
Great Trench Chest Kaiser Knuckles,Sleep->Psych->Doom,,3806906
Istory Falls Chest Ether,490 gil,,3806906
Istory Falls Chest TurtleShell,9900 gil,,3806906
Istory Falls Chest Air Lance,Potion,,3806906
Istory Falls Chest Giant Drink,Knight Job Crystal,,3806906
Istory Falls Chest RuneEdge,Wizard Rod,,3806906
Istory Falls Chest Guard Ring,Mythril Helm,,3806906
Istory Falls Chest Wall Ring,Battle Axe,,3806906
Istory Falls Chest Phoenix Down,Mythril Armor,,3806906
Istory Falls Chest Enhancer,Summon Ability Progressive,,3806906
Istory Falls Chest 12000,Venom Rod,,3806906
Istory Falls Chest Artemis Bow,Flash->Time Slip->DethClaw,,3806906
Istory Falls Chest Pinwheel,12000 gil,,3806906
Istory Falls Chest Aegis Shield,9000 gil,,3806906
Istory Falls Chest Giant's Axe,Giant's Axe,,3806906
Phoenix Tower Pot 5000,Chain Whip,MIB,3806906
Phoenix Tower Pot Phoenix Down,Bronze Helm,,3806906
Phoenix Tower Pot 10000,Dagger,MIB,3806906
Phoenix Tower Pot 15000,Tricorn Hat,,3806906
Phoenix Tower Pot 20000,Flame Scroll,,3806906
Phoenix Tower Pot Avis Killer,HiPotion,MIB,3806906
Phoenix Tower Pot 25000,Antidote,MIB,3806906
Mirage Village Barrel Thief Knife,1000 gil,,3806906
Rift (Ruins) Chest Ether,1000 gil,,3806906
Rift (Ruins) Chest Cabin,Dancer Job Crystal,,3806906
Rift (Ruins) Chest Elixir,Dragoon Job Crystal,,3806906
Rift (Ruins) Chest DarkMatter,2000 gil,,3806906
Rift (Ruins) Chest Drain Sword,Shuriken,,3806906
Rift (Forest) Chest DragonFang,GrnBeret,,3806906
Rift (Forest) Chest Ribbon,Equip Shield,,3806906
Rift (Forest) Chest Enhancer,Terrain,,3806906
Rift (Forest) Chest Lillith Rod,Venom->Drain->Break,,3806906
Rift (Cave) Chest Angel Ring,1000 gil,,3806906
Rift (Cave) Chest Coral Ring,Ramuh,,3806906
Rift (Castle) Chest Thor Hammer,Berserk,,3806906
Rift (Castle) Chest Running Shoes,MgcSword Ability Progressive,,3806906
Rift (Castle) Chest Red Shoes,4900 gil,,3806906
Rift (Castle) Chest Rainbow Dress,300 gil,,3806906
Rift (Castle) Chest ManEater,Leather Shield,,3806906
The Void Chest Pinwheel,150 gil,,3806906
The Void Chest Elixir,WhiteMage Job Crystal,,3806906
The Void Chest Ragnarok,Golem,MIB,3806906
WingRaptor New,Sasuke,,3806906
Karlabos New,Dragon's Whisker,,3806906
Siren New,Assassin,,3806906
Galura New,Yoichi Bow,,3806906
LiquiFlame New,Coral Ring,,3806906
Sergeant & DeathClaw New,Thor Hammer,,3806906
AdamanTiMi New,Holy Lance,,3806906
ArchaeAvis New,Diamond Shield,,3806906
Chim.Brain New,Enhancer,,3806906
Puroboros New,DoomCut,,3806906
Gilgamesh 1 New,Magic Lamp,,3806906
Abductor New,Flame Ring,,3806906
Atmos New,DiamndPlt,,3806906
"Triton, Neregeid & Phobos New",Genji Helm,,3806906
Leviathan New,Gold Hairpin,,3806906
GoGo New,Artemis Bow,,3806906
Ifrit New,Dragon's Whisker,,3806906
Crayclaw New,Crystal Shield,,3806906
