check,reward,value
Tycoon Castle Chest Shuriken,DarkSuit,1
Tycoon Castle Pot Ether,Ether,1
Tycoon Castle Pot Hi-Potion,Bronze Helm,1
Tycoon Castle Pot Phoenix Down,Phoenix Down,1
Walse Castle Chest Elf Cape,Elf Cape,1
Walse Castle Pot Drag,Mythril Helm,1
Walse Tower Chest Maiden's Kiss,Air Blade,1
Walse Tower Chest Silk robe,Sage's Staff,1
Walse Tower Chest Silver Armlet,Speed Drink,1
Walse Town Pot Glasses,Cotton Robe,1
Water Crystal Berserker,Hero Drink,1
Water Crystal MysticKnight,Chain Whip,1
Water Crystal Samurai,Iron Helm,1
Water Crystal Summoner,Ether,1
Water Crystal TimeMage,Spear,1
Wind Crystal BlackMage,Staff of Light,1
Wind Crystal BlueMage,Ice Shield,1
Wind Crystal Knight,Guardian,1
Wind Crystal Thief,Soot,1
Wind Crystal WhiteMage,Thief's Glove,1
Wind Shrine Chest Broadsword,Gungnir,1
Wind Shrine Chest Leather Cap,Flirt,1
