shop_name,item,value
Mua Magic 1,Cabin,1
Mua Magic 1,IceBrand,1
Mua Magic 1,LuckMallet,1
Mua Magic 1,Mirage Vest,1
Mua Magic 1,Morning Star,1
Mua Magic 1,Plumed Hat,1
Mua Magic 2,Equip Shield,1
Mua Magic 2,Mantra,1
Mua Magic 2,White Lv.2,1
Mua Magic 3,Bronze Helm,1
Mua Magic 3,Coral Sword,1
Mua Magic 3,DarkSuit,1
Mua Magic 3,Elixir,1
Mua Magic 3,Flame Shield,1
Mua Magic 3,Phoenix Down,1
Mua Magic 3,Speed Drink,1
Mua Magic 3,Venom Rod,1
Mua Weapon,Antidote,1
Mua Weapon,Bronze Armor,1
Mua Weapon,Enhancer,1
Mua Weapon,HiPotion,1
Mua Weapon,LuckMallet,1
Mua Weapon,Soft,1
Mua Weapon,TurtleShell,1
Rugor Armor,Blowfish,1
Rugor Armor,DethClaw,1
Rugor Armor,DrkShock,1
Rugor Armor,Image,2
Rugor Armor,Slow,1
Rugor Weapon,Air Blade,1
Rugor Weapon,Black Robe,1
Rugor Weapon,Cursed Shield,1
Rugor Weapon,Earth Hammer,1
Rugor Weapon,Golden Armor,1
Rugor Weapon,Tent,2
Rugor Weapon,TurtleShell,1
Surgate Armor,2-Handed,1
Surgate Armor,DrgnSwd,1
Surgate Armor,Smoke,1
Surgate Armor,Tame,1
Surgate Weapon,Bolt2,2
Surgate Weapon,GuardOff,1
Surgate Weapon,Venom,2
Surgate Weapon,WhiteWind,1
Tule Armor,Capture,1
Tule Armor,Counter,1
Tule Armor,Equip Armors,1
Tule Armor,Equip Harps,1
Tule Inn,Cabin,1
Tule Inn,Guard Ring,1
Tule Inn,HiPotion,1
Tule Inn,OmegaMedl,1
Tule Inn,Potion,1
Tule Inn,Power Staff,1
Tule Inn,Soft,1
Tule Inn,Speed Drink,1
Tule Magic,Brave Blade,1
Tule Magic,Chain Whip,1
Tule Magic,Dragon's Whisker,1
Tule Magic,HiPotion,1
Tule Magic,Leather Armor,1
Tule Magic,Maiden's Kiss,1
Tule Magic,Power Staff,1
Tule Magic,Rune Axe,1
Tule Weapon,Aero 3,1
Worus Armor,Charm,2
Worus Armor,Doom,1
Worus Armor,Exploder,1
Worus Armor,MgthyGrd,1
Worus Magic,Black Lv.2,1
Worus Magic,Pray,1
Worus Weapon,Battle Axe,1
Worus Weapon,Coral Ring,1
Worus Weapon,Ether,1
Worus Weapon,Flame Shield,1
Worus Weapon,Mage Masher,1
Worus Weapon,Phoenix Down,1
Worus Weapon,Potion,2
