check,reward,value
12 Kuzar Events Assassin,Leather Armor,1
12 Kuzar Events Assassin,Lumina Robe,1
12 Kuzar Events Assassin,Mantra,1
12 Kuzar Events Assassin,Mythril Glove,1
12 Kuzar Events Assassin,Mythril Hammer,1
12 Kuzar Events Assassin,Orialcon,1
12 Kuzar Events Assassin,Rainbow Dress,1
12 Kuzar Events Assassin,Red Lv.1,2
12 Kuzar Events Assassin,Red Lv.2,1
12 Kuzar Events Assassin,RisingSun,1
12 Kuzar Events Assassin,Rune Axe,1
12 Kuzar Events Assassin,Running Shoes,1
12 Kuzar Events Assassin,Sage's Staff,1
12 Kuzar Events Assassin,Silver Armlet,1
12 Kuzar Events Assassin,Soot,1
12 Kuzar Events Assassin,Strength,1
12 Kuzar Events Assassin,SwdSlap,1
12 Kuzar Events Assassin,Thunder Rod,1
12 Kuzar Events Assassin,Training Suit,1
12 Kuzar Events Assassin,Venom Axe,1
12 Kuzar Events Assassin,Whip,1
12 Kuzar Events Assassin,Yoichi Bow,1
12 Kuzar Events Earth Bell,AntiMagic Bow,2
12 Kuzar Events Earth Bell,Apollo's Harp,1
12 Kuzar Events Earth Bell,Caution,1
12 Kuzar Events Earth Bell,CopperPlt,1
12 Kuzar Events Earth Bell,Coral Ring,1
12 Kuzar Events Earth Bell,Coral Sword,1
12 Kuzar Events Earth Bell,Cover,3
12 Kuzar Events Earth Bell,Cursed Shield,1
12 Kuzar Events Earth Bell,Dagger,1
12 Kuzar Events Earth Bell,DarkMatter,1
12 Kuzar Events Earth Bell,Defender Sword,2
12 Kuzar Events Earth Bell,DmgFloor,1
12 Kuzar Events Earth Bell,Dragon's Whisker,1
12 Kuzar Events Earth Bell,DragonFang,1
12 Kuzar Events Earth Bell,Equip Bows,1
12 Kuzar Events Earth Bell,Equip Shield,1
12 Kuzar Events Earth Bell,Escape,2
12 Kuzar Events Earth Bell,Ether,1
12 Kuzar Events Earth Bell,Flame Ring,1
12 Kuzar Events Earth Bell,Full Moon,2
12 Kuzar Events Earth Bell,Gale Bow,1
12 Kuzar Events Earth Bell,Giant's Axe,1
12 Kuzar Events Earth Bell,GilToss,1
12 Kuzar Events Earth Bell,Guard Ring,1
12 Kuzar Events Earth Bell,Gungnir,1
12 Kuzar Events Earth Bell,Ice Shield,1
12 Kuzar Events Earth Bell,IceBrand,1
12 Kuzar Events Earth Bell,Leather Armor,1
12 Kuzar Events Earth Bell,Maiden's Kiss,1
12 Kuzar Events Earth Bell,ManEater,1
12 Kuzar Events Earth Bell,Murasume,1
12 Kuzar Events Earth Bell,Mythril Armor,1
12 Kuzar Events Earth Bell,Mythril Hammer,1
12 Kuzar Events Earth Bell,Mythril Helm,1
12 Kuzar Events Earth Bell,Mythril Knife,1
12 Kuzar Events Earth Bell,Orialcon,1
12 Kuzar Events Earth Bell,Phoenix Down,1
12 Kuzar Events Earth Bell,Pinwheel,1
12 Kuzar Events Earth Bell,Potion,1
12 Kuzar Events Earth Bell,Power Drink,1
12 Kuzar Events Earth Bell,Pray,1
12 Kuzar Events Earth Bell,Revivify,1
12 Kuzar Events Earth Bell,Silver Armlet,1
12 Kuzar Events Earth Bell,Soot,1
12 Kuzar Events Earth Bell,Spear,1
12 Kuzar Events Earth Bell,Terrain,1
12 Kuzar Events Earth Bell,Thief's Glove,1
12 Kuzar Events Earth Bell,Thunder Bow,1
12 Kuzar Events Earth Bell,Thunder Scroll,2
12 Kuzar Events Earth Bell,Tiger Mask,1
12 Kuzar Events Earth Bell,Tinkerbell,1
12 Kuzar Events Earth Bell,Training Suit,1
12 Kuzar Events Earth Bell,Tricorn Hat,1
12 Kuzar Events Earth Bell,Venom Rod,1
12 Kuzar Events Excalibur,Air Lance,1
12 Kuzar Events Excalibur,Apollo's Harp,1
12 Kuzar Events Excalibur,Artemis Bow,1
12 Kuzar Events Excalibur,Bronze Armor,1
12 Kuzar Events Excalibur,Cabin,1
12 Kuzar Events Excalibur,Combine,1
12 Kuzar Events Excalibur,Coral Ring,1
12 Kuzar Events Excalibur,Cotton Robe,1
12 Kuzar Events Excalibur,Counter,1
12 Kuzar Events Excalibur,Crystal Shield,1
12 Kuzar Events Excalibur,Cursed Ring,1
12 Kuzar Events Excalibur,Cursed Shield,2
12 Kuzar Events Excalibur,Dagger,1
12 Kuzar Events Excalibur,Dragoon Lance,1
12 Kuzar Events Excalibur,Earth Bell,1
12 Kuzar Events Excalibur,Earth Hammer,1
12 Kuzar Events Excalibur,Equip Armors,1
12 Kuzar Events Excalibur,Equip Katana,1
12 Kuzar Events Excalibur,Equip Rods,2
12 Kuzar Events Excalibur,Fire Bow,1
12 Kuzar Events Excalibur,Flame Scroll,2
12 Kuzar Events Excalibur,Gauntlets,1
12 Kuzar Events Excalibur,Giant's Axe,1
12 Kuzar Events Excalibur,Golden Armor,1
12 Kuzar Events Excalibur,Golden Shield,1
12 Kuzar Events Excalibur,Hide,1
12 Kuzar Events Excalibur,Holy Lance,1
12 Kuzar Events Excalibur,Ice Shield,1
12 Kuzar Events Excalibur,Killer Bow,1
12 Kuzar Events Excalibur,Knife,1
12 Kuzar Events Excalibur,Lamia's Tiara,1
12 Kuzar Events Excalibur,LuckMallet,1
12 Kuzar Events Excalibur,ManEater,1
12 Kuzar Events Excalibur,Morning Star,1
12 Kuzar Events Excalibur,Mythril Armor,1
12 Kuzar Events Excalibur,Mythril Knife,1
12 Kuzar Events Excalibur,Mythril Sword,1
12 Kuzar Events Excalibur,Ogre Killer,1
12 Kuzar Events Excalibur,Plumed Hat,3
12 Kuzar Events Excalibur,Protect Drink,1
12 Kuzar Events Excalibur,Revive,2
12 Kuzar Events Excalibur,Revivify,3
12 Kuzar Events Excalibur,Slash,1
12 Kuzar Events Excalibur,Slumber Sword,2
12 Kuzar Events Excalibur,Spear,2
12 Kuzar Events Excalibur,Staff of Light,1
12 Kuzar Events Excalibur,SwdSlap,1
12 Kuzar Events Excalibur,Tempest,1
12 Kuzar Events Excalibur,Thief Knife,1
12 Kuzar Events Excalibur,Thief's Glove,1
12 Kuzar Events Excalibur,Tinkerbell,3
12 Kuzar Events Excalibur,Tricorn Hat,1
12 Kuzar Events Excalibur,TurtleShell,2
12 Kuzar Events Flame Whip,Air Blade,1
12 Kuzar Events Flame Whip,Angel Gwn,1
12 Kuzar Events Flame Whip,Apollo's Harp,1
12 Kuzar Events Flame Whip,Barrier,1
12 Kuzar Events Flame Whip,Battle Axe,1
12 Kuzar Events Flame Whip,BeastKiller,1
12 Kuzar Events Flame Whip,Blue,1
12 Kuzar Events Flame Whip,Capture,1
12 Kuzar Events Flame Whip,Cotton Robe,1
12 Kuzar Events Flame Whip,Crystal Helm,1
12 Kuzar Events Flame Whip,Cursed Ring,1
12 Kuzar Events Flame Whip,Dagger,1
12 Kuzar Events Flame Whip,Dancing Dagger,1
12 Kuzar Events Flame Whip,DiamndPlt,1
12 Kuzar Events Flame Whip,Diamond Armor,1
12 Kuzar Events Flame Whip,Dragoon Lance,1
12 Kuzar Events Flame Whip,Drain Sword,1
12 Kuzar Events Flame Whip,Dream Harp,1
12 Kuzar Events Flame Whip,Elven Bow,2
12 Kuzar Events Flame Whip,Enhancer,1
12 Kuzar Events Flame Whip,Equip Shield,1
12 Kuzar Events Flame Whip,Excalibur,1
12 Kuzar Events Flame Whip,Eyedrop,1
12 Kuzar Events Flame Whip,Flame Scroll,1
12 Kuzar Events Flame Whip,Flame Shield,1
12 Kuzar Events Flame Whip,Flametongue,1
12 Kuzar Events Flame Whip,Flirt,1
12 Kuzar Events Flame Whip,Forged,1
12 Kuzar Events Flame Whip,Genji Armor,1
12 Kuzar Events Flame Whip,Giant Drink,1
12 Kuzar Events Flame Whip,Golden Helm,1
12 Kuzar Events Flame Whip,Healing Staff,1
12 Kuzar Events Flame Whip,HiPotion,1
12 Kuzar Events Flame Whip,Ice Rod,1
12 Kuzar Events Flame Whip,Iron Shield,1
12 Kuzar Events Flame Whip,Kodachi,1
12 Kuzar Events Flame Whip,Kunai,1
12 Kuzar Events Flame Whip,Lamia's Harp,2
12 Kuzar Events Flame Whip,Lamia's Tiara,1
12 Kuzar Events Flame Whip,Leather Armor,1
12 Kuzar Events Flame Whip,LuckMallet,1
12 Kuzar Events Flame Whip,Lumina Robe,2
12 Kuzar Events Flame Whip,Magic Lamp,1
12 Kuzar Events Flame Whip,Magus,1
12 Kuzar Events Flame Whip,ManEater,1
12 Kuzar Events Flame Whip,Mantra,1
12 Kuzar Events Flame Whip,Partisan,1
12 Kuzar Events Flame Whip,Phoenix Down,1
12 Kuzar Events Flame Whip,Pinwheel,1
12 Kuzar Events Flame Whip,Power Staff,1
12 Kuzar Events Flame Whip,Rod,1
12 Kuzar Events Flame Whip,Rune Axe,1
12 Kuzar Events Flame Whip,Sage's Staff,1
12 Kuzar Events Flame Whip,Silver Harp,1
12 Kuzar Events Flame Whip,Sing,1
12 Kuzar Events Flame Whip,Speed Drink,1
12 Kuzar Events Flame Whip,Staff,2
12 Kuzar Events Flame Whip,Strength,1
12 Kuzar Events Flame Whip,Thief Knife,1
12 Kuzar Events Flame Whip,Thunder Rod,1
12 Kuzar Events Flame Whip,Tricorn Hat,2
12 Kuzar Events Flame Whip,War Hammer,1
12 Kuzar Events Holy Lance,Angel Gwn,1
12 Kuzar Events Holy Lance,Antidote,1
12 Kuzar Events Holy Lance,Bandana,1
12 Kuzar Events Holy Lance,BeastKiller,1
12 Kuzar Events Holy Lance,Capture,2
12 Kuzar Events Holy Lance,CopperPlt,1
12 Kuzar Events Holy Lance,Dancing Dagger,2
12 Kuzar Events Holy Lance,Darkness Bow,2
12 Kuzar Events Holy Lance,Diamond Armlet,1
12 Kuzar Events Holy Lance,Diamond Armor,1
12 Kuzar Events Holy Lance,Diamond Shield,1
12 Kuzar Events Holy Lance,DoomCut,1
12 Kuzar Events Holy Lance,Drink,1
12 Kuzar Events Holy Lance,Enhancer,1
12 Kuzar Events Holy Lance,Fire Rod,1
12 Kuzar Events Holy Lance,Flail,1
12 Kuzar Events Holy Lance,Gale Bow,1
12 Kuzar Events Holy Lance,Golden Armor,1
12 Kuzar Events Holy Lance,Healing Staff,2
12 Kuzar Events Holy Lance,Hide,1
12 Kuzar Events Holy Lance,Ice Rod,1
12 Kuzar Events Holy Lance,Iron Shield,1
12 Kuzar Events Holy Lance,Judgement Staff,1
12 Kuzar Events Holy Lance,Kick,1
12 Kuzar Events Holy Lance,Knife,2
12 Kuzar Events Holy Lance,Leather Cap,1
12 Kuzar Events Holy Lance,Leather Shoes,1
12 Kuzar Events Holy Lance,Lillith Rod,1
12 Kuzar Events Holy Lance,LuckMallet,1
12 Kuzar Events Holy Lance,Lumina Robe,1
12 Kuzar Events Holy Lance,Mirage Vest,1
12 Kuzar Events Holy Lance,Mythril Armor,1
12 Kuzar Events Holy Lance,Mythril Spear,1
12 Kuzar Events Holy Lance,Mythril Staff,1
12 Kuzar Events Holy Lance,OmegaMedl,2
12 Kuzar Events Holy Lance,Partisan,1
12 Kuzar Events Holy Lance,Plumed Hat,1
12 Kuzar Events Holy Lance,Power Drink,1
12 Kuzar Events Holy Lance,Preemptive,2
12 Kuzar Events Holy Lance,Red Lv.2,1
12 Kuzar Events Holy Lance,RegalCut,1
12 Kuzar Events Holy Lance,Rune Axe,1
12 Kuzar Events Holy Lance,Silk robe,1
12 Kuzar Events Holy Lance,Soft,1
12 Kuzar Events Holy Lance,Speed Drink,1
12 Kuzar Events Holy Lance,SwdSlap,1
12 Kuzar Events Holy Lance,Tinkerbell,1
12 Kuzar Events Holy Lance,Training Suit,2
12 Kuzar Events Holy Lance,Tricorn Hat,1
12 Kuzar Events Holy Lance,Trident,1
12 Kuzar Events Holy Lance,White Robe,1
12 Kuzar Events Masamune,Apollo's Harp,1
12 Kuzar Events Masamune,Bizen,2
12 Kuzar Events Masamune,Brave Blade,1
12 Kuzar Events Masamune,Broadsword,1
12 Kuzar Events Masamune,Bronze Shield,2
12 Kuzar Events Masamune,Chicken Knife,1
12 Kuzar Events Masamune,CopperPlt,1
12 Kuzar Events Masamune,Coral Ring,1
12 Kuzar Events Masamune,Coronet,1
12 Kuzar Events Masamune,Cover,1
12 Kuzar Events Masamune,Diamond Helm,1
12 Kuzar Events Masamune,Diamond Shield,1
12 Kuzar Events Masamune,Dream Harp,1
12 Kuzar Events Masamune,Earth Bell,1
12 Kuzar Events Masamune,Epee Sword,1
12 Kuzar Events Masamune,Equip Katana,2
12 Kuzar Events Masamune,Equip Whips,1
12 Kuzar Events Masamune,Evade,1
12 Kuzar Events Masamune,Forged,1
12 Kuzar Events Masamune,Gale Bow,1
12 Kuzar Events Masamune,Genji Armor,1
12 Kuzar Events Masamune,Genji Gloves,1
12 Kuzar Events Masamune,Genji Helm,1
12 Kuzar Events Masamune,Giant's Axe,1
12 Kuzar Events Masamune,GilToss,1
12 Kuzar Events Masamune,Giyaman,1
12 Kuzar Events Masamune,GrnBeret,1
12 Kuzar Events Masamune,Guard Ring,1
12 Kuzar Events Masamune,Healing Staff,1
12 Kuzar Events Masamune,IceBrand,1
12 Kuzar Events Masamune,Kick,1
12 Kuzar Events Masamune,Kotetsu,1
12 Kuzar Events Masamune,Lamia's Harp,1
12 Kuzar Events Masamune,Leather Armor,1
12 Kuzar Events Masamune,Leather Shield,2
12 Kuzar Events Masamune,Mage Masher,1
12 Kuzar Events Masamune,ManEater,2
12 Kuzar Events Masamune,Masamune,1
12 Kuzar Events Masamune,Mimic,1
12 Kuzar Events Masamune,OmegaMedl,1
12 Kuzar Events Masamune,Orialcon,1
12 Kuzar Events Masamune,Partisan,1
12 Kuzar Events Masamune,Pinwheel,1
12 Kuzar Events Masamune,Power Drink,1
12 Kuzar Events Masamune,Power Wrist,1
12 Kuzar Events Masamune,Ramuh,4
12 Kuzar Events Masamune,Red Lv.1,1
12 Kuzar Events Masamune,Rod,1
12 Kuzar Events Masamune,Sasuke,2
12 Kuzar Events Masamune,Slash,1
12 Kuzar Events Masamune,Speed Drink,1
12 Kuzar Events Masamune,Tempest,1
12 Kuzar Events Masamune,Thornlet,2
12 Kuzar Events Masamune,Tiger Mask,1
12 Kuzar Events Masamune,Tinkerbell,1
12 Kuzar Events Masamune,Trident,1
12 Kuzar Events Masamune,War Hammer,1
12 Kuzar Events Masamune,Wizard Rod,1
12 Kuzar Events Rune Axe,Air Blade,1
12 Kuzar Events Rune Axe,Air Lance,1
12 Kuzar Events Rune Axe,Avis Killer,2
12 Kuzar Events Rune Axe,Bandana,1
12 Kuzar Events Rune Axe,Bard's Surplice,1
12 Kuzar Events Rune Axe,Coral Ring,1
12 Kuzar Events Rune Axe,Cotton Robe,1
12 Kuzar Events Rune Axe,Counter,1
12 Kuzar Events Rune Axe,Crystal Helm,1
12 Kuzar Events Rune Axe,Crystal Shield,1
12 Kuzar Events Rune Axe,DarkHood,1
12 Kuzar Events Rune Axe,Diamond Armlet,1
12 Kuzar Events Rune Axe,Diamond Helm,1
12 Kuzar Events Rune Axe,DragonFang,1
12 Kuzar Events Rune Axe,Drain Sword,1
12 Kuzar Events Rune Axe,Elf Cape,1
12 Kuzar Events Rune Axe,Elixir,1
12 Kuzar Events Rune Axe,Equip Katana,1
12 Kuzar Events Rune Axe,Excalibur,2
12 Kuzar Events Rune Axe,Fire Bow,1
12 Kuzar Events Rune Axe,Flame Shield,1
12 Kuzar Events Rune Axe,Flirt,1
12 Kuzar Events Rune Axe,Full Moon,1
12 Kuzar Events Rune Axe,Gaia Gear,2
12 Kuzar Events Rune Axe,Gauntlets,1
12 Kuzar Events Rune Axe,Giant Drink,1
12 Kuzar Events Rune Axe,Glasses,1
12 Kuzar Events Rune Axe,Golden Armor,1
12 Kuzar Events Rune Axe,Guardian,1
12 Kuzar Events Rune Axe,Iron Shield,3
12 Kuzar Events Rune Axe,Javelin,1
12 Kuzar Events Rune Axe,Judgement Staff,1
12 Kuzar Events Rune Axe,Katana,1
12 Kuzar Events Rune Axe,Lamia's Harp,2
12 Kuzar Events Rune Axe,Leather Armor,2
12 Kuzar Events Rune Axe,Leather Shoes,2
12 Kuzar Events Rune Axe,LuckMallet,1
12 Kuzar Events Rune Axe,Medicine,2
12 Kuzar Events Rune Axe,Mimic,1
12 Kuzar Events Rune Axe,Mythril Shield,1
12 Kuzar Events Rune Axe,Mythril Sword,1
12 Kuzar Events Rune Axe,Ogre Killer,1
12 Kuzar Events Rune Axe,Power Drink,1
12 Kuzar Events Rune Axe,Power Wrist,1
12 Kuzar Events Rune Axe,Pray,1
12 Kuzar Events Rune Axe,RegalCut,1
12 Kuzar Events Rune Axe,Revivify,1
12 Kuzar Events Rune Axe,Ribbon,1
12 Kuzar Events Rune Axe,Shuriken,1
12 Kuzar Events Rune Axe,Silver Armlet,1
12 Kuzar Events Rune Axe,Soft,2
12 Kuzar Events Rune Axe,Staff of Light,1
12 Kuzar Events Rune Axe,SwdSlap,1
12 Kuzar Events Rune Axe,Tame,1
12 Kuzar Events Rune Axe,Trident,1
12 Kuzar Events Rune Axe,Wonder Wand,1
12 Kuzar Events Sage's Staff,2-Handed,1
12 Kuzar Events Sage's Staff,Air Blade,1
12 Kuzar Events Sage's Staff,Air Lance,2
12 Kuzar Events Sage's Staff,Bard's Surplice,1
12 Kuzar Events Sage's Staff,Bone Mail,1
12 Kuzar Events Sage's Staff,Bronze Armor,2
12 Kuzar Events Sage's Staff,Combine,1
12 Kuzar Events Sage's Staff,Coral Ring,1
12 Kuzar Events Sage's Staff,Cotton Robe,2
12 Kuzar Events Sage's Staff,Cursed Ring,1
12 Kuzar Events Sage's Staff,DarkMatter,1
12 Kuzar Events Sage's Staff,Dbl Grip,1
12 Kuzar Events Sage's Staff,Diamond Shield,1
12 Kuzar Events Sage's Staff,Drain Sword,1
12 Kuzar Events Sage's Staff,DrgnCrest,1
12 Kuzar Events Sage's Staff,Drink,1
12 Kuzar Events Sage's Staff,Elven Bow,2
12 Kuzar Events Sage's Staff,Equip Katana,1
12 Kuzar Events Sage's Staff,Equip Shield,1
12 Kuzar Events Sage's Staff,Fire Bow,1
12 Kuzar Events Sage's Staff,Flame Whip,1
12 Kuzar Events Sage's Staff,Glasses,3
12 Kuzar Events Sage's Staff,Golden Helm,1
12 Kuzar Events Sage's Staff,Guardian,1
12 Kuzar Events Sage's Staff,Ice Rod,1
12 Kuzar Events Sage's Staff,IceBrand,1
12 Kuzar Events Sage's Staff,Iron Shield,1
12 Kuzar Events Sage's Staff,Katana,1
12 Kuzar Events Sage's Staff,Killer Bow,1
12 Kuzar Events Sage's Staff,Leather Armor,1
12 Kuzar Events Sage's Staff,Lumina Robe,1
12 Kuzar Events Sage's Staff,Masamune,1
12 Kuzar Events Sage's Staff,Mythril Hammer,1
12 Kuzar Events Sage's Staff,Mythril Spear,1
12 Kuzar Events Sage's Staff,Orialcon,1
12 Kuzar Events Sage's Staff,Pinwheel,1
12 Kuzar Events Sage's Staff,Red Lv.1,1
12 Kuzar Events Sage's Staff,Red Shoes,1
12 Kuzar Events Sage's Staff,Ribbon,2
12 Kuzar Events Sage's Staff,Rod,1
12 Kuzar Events Sage's Staff,Silk robe,1
12 Kuzar Events Sage's Staff,Silver Bow,1
12 Kuzar Events Sage's Staff,Slumber Sword,1
12 Kuzar Events Sage's Staff,Staff,1
12 Kuzar Events Sage's Staff,Staff of Light,1
12 Kuzar Events Sage's Staff,Stealth Suit,1
12 Kuzar Events Sage's Staff,Strength,1
12 Kuzar Events Sage's Staff,Tempest,1
12 Kuzar Events Sage's Staff,Tent,1
12 Kuzar Events Sage's Staff,Terrain,1
12 Kuzar Events Sage's Staff,Thief's Glove,1
12 Kuzar Events Sage's Staff,Thunder Rod,1
12 Kuzar Events Sage's Staff,Thunder Whip,1
12 Kuzar Events Sage's Staff,Tricorn Hat,1
12 Kuzar Events Sage's Staff,TurtleShell,1
12 Kuzar Events Sage's Staff,Wonder Wand,1
12 Kuzar Events Sasuke,2-Handed,1
12 Kuzar Events Sasuke,Agility,1
12 Kuzar Events Sasuke,Air Blade,1
12 Kuzar Events Sasuke,Antidote,1
12 Kuzar Events Sasuke,Avis Killer,2
12 Kuzar Events Sasuke,Bandana,2
12 Kuzar Events Sasuke,Barrier,1
12 Kuzar Events Sasuke,BeastKiller,1
12 Kuzar Events Sasuke,Bone Mail,1
12 Kuzar Events Sasuke,Bronze Helm,2
12 Kuzar Events Sasuke,Catch,1
12 Kuzar Events Sasuke,Coral Sword,1
12 Kuzar Events Sasuke,Cotton Robe,1
12 Kuzar Events Sasuke,Crystal Helm,1
12 Kuzar Events Sasuke,Crystal Shield,1
12 Kuzar Events Sasuke,Cursed Shield,1
12 Kuzar Events Sasuke,Darkness Bow,1
12 Kuzar Events Sasuke,Defender Sword,1
12 Kuzar Events Sasuke,DiamndPlt,2
12 Kuzar Events Sasuke,Diamond Armor,1
12 Kuzar Events Sasuke,DrgnSwd,1
12 Kuzar Events Sasuke,Epee Sword,1
12 Kuzar Events Sasuke,Equip Swords,2
12 Kuzar Events Sasuke,Equip Whips,1
12 Kuzar Events Sasuke,Eyedrop,1
12 Kuzar Events Sasuke,Fire Bow,1
12 Kuzar Events Sasuke,Flail,1
12 Kuzar Events Sasuke,Flame Whip,1
12 Kuzar Events Sasuke,Gold Hairpin,1
12 Kuzar Events Sasuke,Golden Helm,1
12 Kuzar Events Sasuke,IceBrand,1
12 Kuzar Events Sasuke,Kaiser Knuckles,1
12 Kuzar Events Sasuke,Katana,1
12 Kuzar Events Sasuke,Kotetsu,1
12 Kuzar Events Sasuke,Mythril Hammer,1
12 Kuzar Events Sasuke,Mythril Shield,1
12 Kuzar Events Sasuke,Mythril Sword,1
12 Kuzar Events Sasuke,Orialcon,1
12 Kuzar Events Sasuke,Plumed Hat,1
12 Kuzar Events Sasuke,Potion,1
12 Kuzar Events Sasuke,Preemptive,2
12 Kuzar Events Sasuke,Rainbow Dress,1
12 Kuzar Events Sasuke,Shuriken,1
12 Kuzar Events Sasuke,Silk robe,1
12 Kuzar Events Sasuke,Silver Bow,1
12 Kuzar Events Sasuke,Silver Harp,1
12 Kuzar Events Sasuke,Smoke,1
12 Kuzar Events Sasuke,Terrain,1
12 Kuzar Events Sasuke,Tricorn Hat,1
12 Kuzar Events Sasuke,TurtleShell,1
12 Kuzar Events Sasuke,Venom Rod,2
12 Kuzar Events Sasuke,Wind Spear,1
12 Kuzar Events Sasuke,Wonder Wand,3
12 Kuzar Events Sasuke,X-Magic,1
12 Kuzar Events Wizard Rod,Air Lance,1
12 Kuzar Events Wizard Rod,Antidote,1
12 Kuzar Events Wizard Rod,BeastKiller,1
12 Kuzar Events Wizard Rod,Black Robe,1
12 Kuzar Events Wizard Rod,Brave Blade,1
12 Kuzar Events Wizard Rod,Bronze Armor,1
12 Kuzar Events Wizard Rod,Chain Whip,1
12 Kuzar Events Wizard Rod,Conjure,1
12 Kuzar Events Wizard Rod,DarkHood,1
12 Kuzar Events Wizard Rod,Defender Sword,1
12 Kuzar Events Wizard Rod,Diamond Armlet,1
12 Kuzar Events Wizard Rod,DoomCut,1
12 Kuzar Events Wizard Rod,Drain Sword,2
12 Kuzar Events Wizard Rod,Elixir,1
12 Kuzar Events Wizard Rod,Enhancer,2
12 Kuzar Events Wizard Rod,Flame Shield,2
12 Kuzar Events Wizard Rod,Flirt,1
