shop_name,item,value
Bal/Kelb Armor,Leather Armor,1
Bal/Kelb Armor,Leather Cap,2
Bal/Kelb Armor,Leather Shield,1
Bal/Kelb Armor,Life,2
Bal/Kelb Armor,Life2,2
Bal/Kelb Armor,Lillith Rod,1
Bal/Kelb Armor,Love,2
Bal/Kelb Armor,LuckMallet,2
Bal/Kelb Armor,MP +10%,2
Bal/Kelb Armor,Mage Masher,1
Bal/Kelb Armor,Magic,1
Bal/Kelb Armor,Maiden's Kiss,2
Bal/Kelb Armor,Mantra,1
Bal/Kelb Armor,Medicine,4
Bal/Kelb Armor,Meteo,3
Bal/Kelb Armor,MgcSwrd Lv.2,2
Bal/Kelb Armor,MgcSwrd Lv.3,2
Bal/Kelb Armor,MgcSwrd Lv.6,2
Bal/Kelb Armor,MgcSwrd Lv.7,2
Bal/Kelb Armor,Mimic,4
Bal/Kelb Armor,MindBlst,3
Bal/Kelb Armor,Mirage Vest,2
Bal/Kelb Armor,MoonFlut,1
Bal/Kelb Armor,Mute,2
Bal/Kelb Armor,Mythril Armor,3
Bal/Kelb Armor,Mythril Hammer,1
Bal/Kelb Armor,Mythril Helm,1
Bal/Kelb Armor,Mythril Knife,2
Bal/Kelb Armor,Mythril Shield,2
Bal/Kelb Armor,Mythril Spear,1
Bal/Kelb Armor,Mythril Staff,1
Bal/Kelb Armor,Mythril Sword,1
Bal/Kelb Armor,Observe,1
Bal/Kelb Armor,Ogre Killer,1
Bal/Kelb Armor,Orialcon,2
Bal/Kelb Armor,Partisan,1
Bal/Kelb Armor,Phoenix Down,3
Bal/Kelb Armor,Pinwheel,2
Bal/Kelb Armor,Plumed Hat,1
Bal/Kelb Armor,Potion,1
Bal/Kelb Armor,Power,1
Bal/Kelb Armor,Power Drink,1
Bal/Kelb Armor,Power Staff,1
Bal/Kelb Armor,Power Wrist,1
Bal/Kelb Armor,Preemptive,1
Bal/Kelb Armor,Protect Drink,2
Bal/Kelb Armor,Psych,8
Bal/Kelb Armor,Quick,4
Bal/Kelb Armor,Rainbow Dress,1
Bal/Kelb Armor,Ramuh,6
Bal/Kelb Armor,Red Lv.1,1
Bal/Kelb Armor,Red Lv.2,2
Bal/Kelb Armor,Remora,1
Bal/Kelb Armor,Requiem,1
Bal/Kelb Armor,Reset,4
Bal/Kelb Armor,Revivify,2
Bal/Kelb Armor,Ribbon,2
Bal/Kelb Armor,RisingSun,1
Bal/Kelb Armor,Rod,1
Bal/Kelb Armor,Roulette,2
Bal/Kelb Armor,Rune Axe,1
Bal/Kelb Armor,RuneEdge,1
Bal/Kelb Armor,Running Shoes,2
Bal/Kelb Armor,Sasuke,1
Bal/Kelb Armor,Shell,2
Bal/Kelb Armor,Shiva,1
Bal/Kelb Armor,Shoat,4
Bal/Kelb Armor,Shuriken,2
Bal/Kelb Armor,Silver Armlet,1
Bal/Kelb Armor,Silver Harp,2
Bal/Kelb Armor,Silver Plate,2
Bal/Kelb Armor,Sing,1
Bal/Kelb Armor,Slash,2
Bal/Kelb Armor,Sleep,4
Bal/Kelb Armor,Slow,1
Bal/Kelb Armor,Slow2,1
Bal/Kelb Armor,Slumber Sword,3
Bal/Kelb Armor,Smoke,2
Bal/Kelb Armor,Soft,1
Bal/Kelb Armor,Soot,2
Bal/Kelb Armor,Spear,1
Bal/Kelb Armor,Speed,2
Bal/Kelb Armor,Staff,2
Bal/Kelb Armor,Staff of Light,1
Bal/Kelb Armor,Steal,3
Bal/Kelb Armor,Stealth Suit,1
Bal/Kelb Armor,Stop,3
Bal/Kelb Armor,Strength,1
Bal/Kelb Armor,Summon Lv.1,2
Bal/Kelb Armor,Summon Lv.2,2
Bal/Kelb Armor,Summon Lv.3,3
Bal/Kelb Armor,Summon Lv.4,1
Bal/Kelb Armor,Summon Lv.5,2
Bal/Kelb Armor,SwdSlap,3
Bal/Kelb Armor,Syldra,1
Bal/Kelb Armor,Sylph,1
Bal/Kelb Armor,Tame,1
Bal/Kelb Armor,Tent,1
Bal/Kelb Armor,Terrain,5
Bal/Kelb Armor,Thief's Glove,2
Bal/Kelb Armor,Thornlet,3
Bal/Kelb Armor,Thunder Bow,2
Bal/Kelb Armor,Thunder Scroll,1
Bal/Kelb Armor,Thunder Whip,1
Bal/Kelb Armor,TinySong,2
Bal/Kelb Armor,Titan,2
Bal/Kelb Armor,Training Suit,1
Bal/Kelb Armor,Tricorn Hat,1
Bal/Kelb Armor,Trident,1
Bal/Kelb Armor,TurtleShell,2
Bal/Kelb Armor,Vampire,3
Bal/Kelb Armor,Venom,4
Bal/Kelb Armor,Vitality,1
Bal/Kelb Armor,Void,3
Bal/Kelb Armor,Wall Ring,3
Bal/Kelb Armor,War Hammer,1
Bal/Kelb Armor,Water Scroll,4
Bal/Kelb Armor,Whip,2
Bal/Kelb Armor,White Lv.3,2
Bal/Kelb Armor,White Lv.6,1
Bal/Kelb Armor,White Robe,2
Bal/Kelb Armor,WhiteWind,1
Bal/Kelb Armor,Wind Spear,1
Bal/Kelb Armor,Wizard Rod,3
Bal/Kelb Armor,X-Fight,1
Bal/Kelb Armor,Xzone,1
Bal/Kelb Armor,Yoichi Bow,2
Bal/Kelb Weapon,2-Handed,1
Bal/Kelb Weapon,????,1
Bal/Kelb Weapon,Aero 2,2
Bal/Kelb Weapon,Aero 3,2
Bal/Kelb Weapon,Aim,1
Bal/Kelb Weapon,Air Blade,1
Bal/Kelb Weapon,Air Lance,3
Bal/Kelb Weapon,Analyze,1
Bal/Kelb Weapon,Animals,1
Bal/Kelb Weapon,Antdt,2
Bal/Kelb Weapon,AntiMagic Bow,1
Bal/Kelb Weapon,Antidote,2
Bal/Kelb Weapon,Apollo's Harp,1
Bal/Kelb Weapon,AquaRake,1
Bal/Kelb Weapon,Armor,2
Bal/Kelb Weapon,Avis Killer,3
Bal/Kelb Weapon,Bahmut,2
Bal/Kelb Weapon,Bandana,1
Bal/Kelb Weapon,Bard's Surplice,1
Bal/Kelb Weapon,Battle Axe,2
Bal/Kelb Weapon,BeastKiller,2
Bal/Kelb Weapon,Bio,4
Bal/Kelb Weapon,Bizen,3
Bal/Kelb Weapon,Black Lv.3,2
Bal/Kelb Weapon,Black Lv.4,1
Bal/Kelb Weapon,Black Lv.6,1
Bal/Kelb Weapon,Black Robe,1
Bal/Kelb Weapon,Blowfish,1
Bal/Kelb Weapon,Blue,1
Bal/Kelb Weapon,Bolt,10
Bal/Kelb Weapon,Bolt2,6
Bal/Kelb Weapon,Bolt3,4
Bal/Kelb Weapon,Brawl,1
Bal/Kelb Weapon,Break,2
Bal/Kelb Weapon,Broadsword,2
Bal/Kelb Weapon,Bronze Armor,3
Bal/Kelb Weapon,Bronze Helm,2
Bal/Kelb Weapon,Bronze Shield,2
Bal/Kelb Weapon,BuildUp,2
Bal/Kelb Weapon,Cabin,2
Bal/Kelb Weapon,Capture,1
Bal/Kelb Weapon,Catch,1
Bal/Kelb Weapon,Caution,1
Bal/Kelb Weapon,Chain Whip,1
Bal/Kelb Weapon,Charm,2
Bal/Kelb Weapon,Chocob,2
Bal/Kelb Weapon,Circlet,1
Bal/Kelb Weapon,Combine,1
Bal/Kelb Weapon,Condemn,4
Bal/Kelb Weapon,Control,1
Bal/Kelb Weapon,Coral Ring,1
Bal/Kelb Weapon,Coral Sword,1
Bal/Kelb Weapon,Coronet,2
Bal/Kelb Weapon,Cotton Robe,1
Bal/Kelb Weapon,Cover,5
Bal/Kelb Weapon,Crbnkl,1
Bal/Kelb Weapon,Crystal Armor,2
Bal/Kelb Weapon,Crystal Helm,1
Bal/Kelb Weapon,Crystal Shield,1
Bal/Kelb Weapon,Cure2,2
Bal/Kelb Weapon,Cure3,1
Bal/Kelb Weapon,Cursed Ring,2
Bal/Kelb Weapon,Cursed Shield,2
Bal/Kelb Weapon,Dagger,2
Bal/Kelb Weapon,Dancing Dagger,1
Bal/Kelb Weapon,DarkHood,2
Bal/Kelb Weapon,DarkMatter,1
Bal/Kelb Weapon,DarkSuit,1
Bal/Kelb Weapon,Darkness Bow,2
Bal/Kelb Weapon,Dbl Grip,3
Bal/Kelb Weapon,DblLance,1
Bal/Kelb Weapon,Defender Sword,2
Bal/Kelb Weapon,Demi,1
Bal/Kelb Weapon,DethClaw,3
Bal/Kelb Weapon,DiamndPlt,3
Bal/Kelb Weapon,Diamond Armlet,2
Bal/Kelb Weapon,Diamond Armor,3
Bal/Kelb Weapon,Diamond Helm,1
Bal/Kelb Weapon,Diamond Shield,1
Bal/Kelb Weapon,Dimen Lv.1,2
Bal/Kelb Weapon,Dimen Lv.2,1
Bal/Kelb Weapon,Dimen Lv.3,2
Bal/Kelb Weapon,Dimen Lv.4,1
Bal/Kelb Weapon,Dimen Lv.5,4
Bal/Kelb Weapon,Dimen Lv.6,2
Bal/Kelb Weapon,Dispel,2
Bal/Kelb Weapon,DmgFloor,2
Bal/Kelb Weapon,Doom,3
Bal/Kelb Weapon,DoomCut,1
Bal/Kelb Weapon,DragonFang,2
Bal/Kelb Weapon,Dragoon Lance,1
Bal/Kelb Weapon,Drain,4
Bal/Kelb Weapon,Drain Sword,1
Bal/Kelb Weapon,Dream Harp,2
Bal/Kelb Weapon,DrgnCrest,3
Bal/Kelb Weapon,DrgnSwd,2
Bal/Kelb Weapon,Drink,1
Bal/Kelb Weapon,Earth Bell,1
Bal/Kelb Weapon,Earth Hammer,1
Bal/Kelb Weapon,Elf Cape,1
Bal/Kelb Weapon,Elixir,2
Bal/Kelb Weapon,Emission,2
Bal/Kelb Weapon,Enhancer,2
Bal/Kelb Weapon,Epee Sword,2
Bal/Kelb Weapon,Equip Bows,1
Bal/Kelb Weapon,Equip Harps,2
Bal/Kelb Weapon,Equip Rods,1
Bal/Kelb Weapon,Equip Shield,2
Bal/Kelb Weapon,Equip Swords,1
Bal/Kelb Weapon,Escape,3
Bal/Kelb Weapon,Ether,4
Bal/Kelb Weapon,Excalibur,1
Bal/Kelb Weapon,Exit,1
Bal/Kelb Weapon,Exploder,2
Bal/Kelb Weapon,Eyedrop,2
Bal/Kelb Weapon,Fire,2
Bal/Kelb Weapon,Fire Bow,2
Bal/Kelb Weapon,Fire Rod,3
Bal/Kelb Weapon,Fire2,2
Bal/Kelb Weapon,Fire3,6
Bal/Kelb Weapon,Flail,1
Bal/Kelb Weapon,Flame Ring,2
Bal/Kelb Weapon,Flame Scroll,1
Bal/Kelb Weapon,Flame Shield,3
Bal/Kelb Weapon,Flametongue,1
Bal/Kelb Weapon,Flash,2
Bal/Kelb Weapon,Flirt,2
Bal/Kelb Weapon,Forged,2
Bal/Kelb Weapon,FrogSong,2
Bal/Kelb Weapon,Full Moon,3
Bal/Kelb Weapon,Fusion,3
Bal/Kelb Weapon,Gaia Gear,3
Bal/Kelb Weapon,Gale Bow,1
Bal/Kelb Weapon,Gauntlets,1
Bal/Kelb Weapon,GblinPnch,2
Bal/Kelb Weapon,Genji Armor,1
Bal/Kelb Weapon,Giant Drink,1
Bal/Kelb Weapon,Giant's Axe,2
Bal/Kelb Weapon,Giant's Gloves,1
Bal/Kelb Weapon,Giyaman,1
Bal/Kelb Weapon,Gold Hairpin,3
Bal/Kelb Weapon,Golden Armor,7
Bal/Kelb Weapon,Golden Helm,3
Bal/Kelb Weapon,Golden Shield,3
Bal/Kelb Weapon,Golem,2
Bal/Kelb Weapon,GrnBeret,1
Bal/Kelb Weapon,Guard Ring,1
Bal/Kelb Weapon,Guardian,2
Bal/Kelb Weapon,Gungnir,4
Bal/Kelb Weapon,HP +10%,4
Bal/Kelb Weapon,HP +20%,1
Bal/Kelb Weapon,Hast2,2
Bal/Kelb Weapon,Healing Staff,2
Bal/Kelb Weapon,HiPotion,2
Bal/Kelb Weapon,Hide,1
Bal/Kelb Weapon,Holy,4
Bal/Kelb Weapon,Ice,10
Bal/Kelb Weapon,Ice Bow,2
Bal/Kelb Weapon,Ice Shield,2
Bal/Kelb Weapon,Ice2,2
Bal/Kelb Weapon,Ifrit,5
Bal/Kelb Weapon,Image,4
Bal/Kelb Weapon,Iron Armor,2
Bal/Kelb Weapon,Iron Helm,2
Bal/Kelb Weapon,Iron Shield,1
Bal/Kelb Weapon,Javelin,2
Bal/Kelb Weapon,Jump,2
Bal/Kelb Weapon,Katana,2
Bal/Kelb Weapon,Killer Bow,3
Bal/Kelb Weapon,Kotetsu,1
Bal/Kelb Weapon,Kunai,1
Bal/Kelb Weapon,L2 Old,1
Bal/Kelb Weapon,L4 Qrter,2
Bal/Kelb Weapon,L5 Doom,2
Bal/Kelb Weapon,Lamia's Harp,3
Bal/Kelb Weapon,Leather Armor,1
Bal/Kelb Weapon,Leather Cap,1
Bal/Kelb Weapon,Leather Shield,1
Bal/Kelb Weapon,Leather Shoes,1
Bal/Kelb Weapon,Levia,1
Bal/Kelb Weapon,Life,2
Bal/Kelb Weapon,Life2,2
Bal/Kelb Weapon,Lillith Rod,1
Bal/Kelb Weapon,Love,1
Bal/Kelb Weapon,Lumina Robe,1
Bal/Kelb Weapon,MP +30%,2
Bal/Kelb Weapon,Mage Masher,1
Bal/Kelb Weapon,Magic,1
Bal/Kelb Weapon,Maiden's Kiss,2
Bal/Kelb Weapon,ManEater,2
Bal/Kelb Weapon,Mantra,2
Bal/Kelb Weapon,Medicine,1
Bal/Kelb Weapon,Meteo,1
Bal/Kelb Weapon,MgcSwrd Lv.3,2
Bal/Kelb Weapon,MgcSwrd Lv.5,1
Bal/Kelb Weapon,MgcSwrd Lv.6,1
Bal/Kelb Weapon,MgthyGrd,2
Bal/Kelb Weapon,Mimic,2
Bal/Kelb Weapon,Mirage Vest,1
Bal/Kelb Weapon,Morning Star,1
Bal/Kelb Weapon,Mute,2
Bal/Kelb Weapon,Mythril Armor,1
Bal/Kelb Weapon,Mythril Glove,1
Bal/Kelb Weapon,Mythril Hammer,1
Bal/Kelb Weapon,Mythril Helm,3
Bal/Kelb Weapon,Mythril Knife,3
Bal/Kelb Weapon,Mythril Shield,3
Bal/Kelb Weapon,Mythril Spear,2
Bal/Kelb Weapon,Mythril Staff,2
Bal/Kelb Weapon,Observe,1
Bal/Kelb Weapon,Odin,3
Bal/Kelb Weapon,Ogre Killer,2
Bal/Kelb Weapon,OmegaMedl,1
Bal/Kelb Weapon,Orialcon,2
Bal/Kelb Weapon,Partisan,2
Bal/Kelb Weapon,Phenix,2
Bal/Kelb Weapon,Phoenix Down,1
Bal/Kelb Weapon,Pinwheel,2
Bal/Kelb Weapon,Plumed Hat,2
Bal/Kelb Weapon,Potion,4
Bal/Kelb Weapon,Power,2
Bal/Kelb Weapon,Power Drink,1
Bal/Kelb Weapon,Power Staff,1
Bal/Kelb Weapon,Power Wrist,1
Bal/Kelb Weapon,Pray,1
Bal/Kelb Weapon,Preemptive,3
Bal/Kelb Weapon,Protect Drink,3
Bal/Kelb Weapon,Psych,2
Bal/Kelb Weapon,Qrter,1
Bal/Kelb Weapon,Quick,1
Bal/Kelb Weapon,Ragnarok,1
Bal/Kelb Weapon,Rainbow Dress,1
Bal/Kelb Weapon,Ramuh,2
Bal/Kelb Weapon,Red Lv.1,2
Bal/Kelb Weapon,Red Lv.2,1
Bal/Kelb Weapon,Red Lv.3,3
Bal/Kelb Weapon,RegalCut,3
Bal/Kelb Weapon,Requiem,1
Bal/Kelb Weapon,Revive,4
Bal/Kelb Weapon,Revivify,4
Bal/Kelb Weapon,Ribbon,2
Bal/Kelb Weapon,RisingSun,1
Bal/Kelb Weapon,Rod,1
Bal/Kelb Weapon,Roulette,1
Bal/Kelb Weapon,Running Shoes,1
Bal/Kelb Weapon,Sasuke,1
Bal/Kelb Weapon,Scan,3
Bal/Kelb Weapon,Shiva,3
Bal/Kelb Weapon,Shuriken,1
Bal/Kelb Weapon,Silver Armlet,2
Bal/Kelb Weapon,Silver Bow,1
Bal/Kelb Weapon,Silver Harp,1
Bal/Kelb Weapon,Silver Plate,2
Bal/Kelb Weapon,Sing,1
Bal/Kelb Weapon,Size,3
Bal/Kelb Weapon,Sleep,2
Bal/Kelb Weapon,Slow,2
Bal/Kelb Weapon,Slow2,2
Bal/Kelb Weapon,Slumber Sword,1
Bal/Kelb Weapon,Smoke,1
Bal/Kelb Weapon,Soft,3
Bal/Kelb Weapon,Spear,2
Bal/Kelb Weapon,Speed Drink,1
Bal/Kelb Weapon,Staff,1
Bal/Kelb Weapon,Staff of Light,5
Bal/Kelb Weapon,Steal,4
Bal/Kelb Weapon,Stealth Suit,3
Bal/Kelb Weapon,Stop,2
Bal/Kelb Weapon,Strength,1
Bal/Kelb Weapon,Summon Lv.3,2
Bal/Kelb Weapon,Summon Lv.4,1
Bal/Kelb Weapon,Summon Lv.5,1
Bal/Kelb Weapon,Syldra,3
Bal/Kelb Weapon,Sylph,4
Bal/Kelb Weapon,Tempest,1
Bal/Kelb Weapon,Tent,2
Bal/Kelb Weapon,Terrain,1
Bal/Kelb Weapon,Thief Knife,1
Bal/Kelb Weapon,Thornlet,5
Bal/Kelb Weapon,Throw,2
Bal/Kelb Weapon,Thunder Bow,1
Bal/Kelb Weapon,Thunder Rod,1
Bal/Kelb Weapon,Thunder Scroll,2
Bal/Kelb Weapon,Time Slip,1
Bal/Kelb Weapon,TinySong,1
Bal/Kelb Weapon,Titan,2
Bal/Kelb Weapon,Toad,2
Bal/Kelb Weapon,Training Suit,2
Bal/Kelb Weapon,Tricorn Hat,2
Bal/Kelb Weapon,Trident,1
Bal/Kelb Weapon,TurtleShell,3
Bal/Kelb Weapon,Vampire,1
Bal/Kelb Weapon,Venom,6
Bal/Kelb Weapon,Venom Axe,1
Bal/Kelb Weapon,Venom Rod,2
Bal/Kelb Weapon,Void,1
Bal/Kelb Weapon,Wall,2
Bal/Kelb Weapon,Wall Ring,2
Bal/Kelb Weapon,Water Scroll,2
Bal/Kelb Weapon,Whip,3
Bal/Kelb Weapon,White Lv.1,3
Bal/Kelb Weapon,White Lv.2,1
Bal/Kelb Weapon,White Lv.3,1
Bal/Kelb Weapon,White Lv.4,2
Bal/Kelb Weapon,White Lv.5,3
Bal/Kelb Weapon,White Lv.6,1
Bal/Kelb Weapon,White Robe,1
Bal/Kelb Weapon,Wind Spear,3
Bal/Kelb Weapon,Wonder Wand,1
Bal/Kelb Weapon,X-Fight,2
Bal/Kelb Weapon,X-Magic,1
Bal/Kelb Weapon,Xzone,1
Bal/Kelb Weapon,Yoichi Bow,1
Carwen Armor,????,2
Carwen Armor,Aero 3,1
Carwen Armor,Air Blade,2
Carwen Armor,Analyze,1
Carwen Armor,Ancient Sword,2
Carwen Armor,Angel Ring,2
Carwen Armor,Animals,1
Carwen Armor,Antdt,3
Carwen Armor,Antidote,9
Carwen Armor,Artemis Bow,1
Carwen Armor,Assassin,1
Carwen Armor,Avis Killer,1
Carwen Armor,Bandana,1
Carwen Armor,Barrier,1
Carwen Armor,BeastKiller,2
Carwen Armor,Berserk,1
Carwen Armor,Bersk,3
Carwen Armor,Bio,6
Carwen Armor,Black Lv.1,2
Carwen Armor,Black Lv.2,1
Carwen Armor,Black Lv.3,2
Carwen Armor,Black Lv.6,2
Carwen Armor,Black Robe,2
Carwen Armor,Bolt,2
Carwen Armor,Bolt2,6
Carwen Armor,Bolt3,4
Carwen Armor,Break,6
Carwen Armor,Bronze Armor,1
Carwen Armor,Bronze Helm,1
Carwen Armor,Bronze Shield,2
Carwen Armor,BuildUp,1
Carwen Armor,Cabin,5
Carwen Armor,Caution,2
Carwen Armor,Charm,4
Carwen Armor,Chicken Knife,1
Carwen Armor,Chocob,2
Carwen Armor,Comet,2
Carwen Armor,Condemn,1
Carwen Armor,Coral Sword,1
Carwen Armor,Coronet,2
Carwen Armor,Counter,1
Carwen Armor,Crystal Armor,4
Carwen Armor,Crystal Helm,1
Carwen Armor,Crystal Shield,2
Carwen Armor,Cure2,4
Carwen Armor,Cursed Ring,1
Carwen Armor,Cursed Shield,2
Carwen Armor,Dagger,1
Carwen Armor,Dance,3
Carwen Armor,DarkHood,2
Carwen Armor,DarkMatter,2
Carwen Armor,DarkSuit,1
Carwen Armor,Dbl Grip,1
Carwen Armor,DblLance,1
Carwen Armor,Defender Sword,1
Carwen Armor,Demi,4
Carwen Armor,Diamond Shield,1
Carwen Armor,Dimen Lv.3,2
Carwen Armor,Dimen Lv.5,1
Carwen Armor,Dimen Lv.6,1
Carwen Armor,Dispel,2
Carwen Armor,Doom,2
Carwen Armor,DoomCut,1
Carwen Armor,Dragoon Lance,1
Carwen Armor,Drain,2
Carwen Armor,Dream Harp,2
Carwen Armor,DrgnCrest,1
Carwen Armor,DrkShock,2
Carwen Armor,Earth Bell,1
Carwen Armor,Earth Hammer,1
Carwen Armor,Elf Cape,1
Carwen Armor,Elixir,4
Carwen Armor,Elven Bow,2
Carwen Armor,Enhancer,2
Carwen Armor,Equip Armors,2
Carwen Armor,Equip Harps,1
Carwen Armor,Equip Shield,2
Carwen Armor,Equip Whips,1
Carwen Armor,Ether,3
Carwen Armor,Exit,1
Carwen Armor,Exploder,3
Carwen Armor,Eyedrop,9
Carwen Armor,Fire,6
Carwen Armor,Fire Bow,1
Carwen Armor,Fire2,2
Carwen Armor,Fire3,6
Carwen Armor,Flail,1
Carwen Armor,Flame Ring,1
Carwen Armor,Flame Shield,2
Carwen Armor,Flametongue,4
Carwen Armor,Flare,8
Carwen Armor,Flirt,1
Carwen Armor,Float,1
Carwen Armor,Forged,3
Carwen Armor,Fusion,1
Carwen Armor,Gaia Gear,2
Carwen Armor,Gale Bow,1
Carwen Armor,Gauntlets,1
Carwen Armor,GblinPnch,1
Carwen Armor,Genji Gloves,1
