,shop_name,shop_type,item,seed
151,Crescent Weapon,01,None,8122306
152,Crescent Armor,07,Equip Axes,8122306
153,Crescent Armor,07,DmgFloor,8122306
154,Crescent Armor,07,None,8122306
155,Crescent Armor,07,None,8122306
156,Crescent Armor,07,None,8122306
157,Crescent Armor,07,None,8122306
158,Crescent Armor,07,None,8122306
159,Crescent Armor,07,None,8122306
160,Istory Relic,00,Fire3,8122306
161,Istory Relic,00,Ice3,8122306
162,Istory Relic,00,Fire2,8122306
163,Istory Relic,00,None,8122306
164,Istory Relic,00,None,8122306
165,Istory Relic,00,None,8122306
166,Istory Relic,00,None,8122306
167,Istory Relic,00,None,8122306
168,Jacole Weapon,07,Monk,8122306
169,Jacole Weapon,07,Hunter,8122306
170,Jacole Weapon,07,SwdSlap,8122306
171,Jacole Weapon,07,Counter,8122306
172,Jacole Weapon,07,None,8122306
173,Jacole Weapon,07,None,8122306
174,Jacole Weapon,07,None,8122306
175,Jacole Weapon,07,None,8122306
176,Jacole Armor,00,Levia,8122306
177,Jacole Armor,00,Bersk,8122306
178,Jacole Armor,00,Sleep,8122306
179,Jacole Armor,00,None,8122306
180,Jacole Armor,00,None,8122306
181,Jacole Armor,00,None,8122306
182,Jacole Armor,00,None,8122306
183,Jacole Armor,00,None,8122306
184,Common World 2 Inn 1,07,MgcSwrd Lv.7,8122306
185,Common World 2 Inn 1,07,Aim,8122306
186,Common World 2 Inn 1,07,Dimen Lv.6,8122306
187,Common World 2 Inn 1,07,MP +30%,8122306
188,Common World 2 Inn 1,07,None,8122306
189,Common World 2 Inn 1,07,None,8122306
190,Common World 2 Inn 1,07,None,8122306
191,Common World 2 Inn 1,07,None,8122306
192,Lix Guild,01,ManEater,8122306
193,Lix Guild,01,TurtleShell,8122306
194,Lix Guild,01,Crystal Shield,8122306
195,Lix Guild,01,Diamond Armor,8122306
196,Lix Guild,01,Spear,8122306
197,Lix Guild,01,Maiden's Kiss,8122306
198,Lix Guild,01,TurtleShell,8122306
199,Lix Guild,01,None,8122306
200,Lix Armor,01,Sage's Staff,8122306
201,Lix Armor,01,Rune Chime,8122306
202,Lix Armor,01,Flame Ring,8122306
203,Lix Armor,01,LuckMallet,8122306
204,Lix Armor,01,Potion,8122306
205,Lix Armor,01,HiPotion,8122306
206,Lix Armor,01,Elixir,8122306
207,Lix Armor,01,Tent,8122306
208,Lix Magic,07,Equip Shield,8122306
209,Lix Magic,07,None,8122306
210,Lix Magic,07,None,8122306
211,Lix Magic,07,None,8122306
212,Lix Magic,07,None,8122306
213,Lix Magic,07,None,8122306
214,Lix Magic,07,None,8122306
215,Lix Magic,07,None,8122306
216,Rugor Weapon,00,MgthyGrd,8122306
217,Rugor Weapon,00,Break,8122306
218,Rugor Weapon,00,Old,8122306
219,Rugor Weapon,00,Meteo,8122306
220,Rugor Weapon,00,Vitality,8122306
221,Rugor Weapon,00,None,8122306
222,Rugor Weapon,00,None,8122306
223,Rugor Weapon,00,None,8122306
224,Rugor Armor,07,Steal,8122306
225,Rugor Armor,07,Equip Harps,8122306
226,Rugor Armor,07,Jump,8122306
227,Rugor Armor,07,Mantra,8122306
228,Rugor Armor,07,None,8122306
229,Rugor Armor,07,None,8122306
230,Rugor Armor,07,None,8122306
231,Rugor Armor,07,None,8122306
232,Common World 2 Inn 2,01,Stealth Suit,8122306
233,Common World 2 Inn 2,01,DarkHood,8122306
234,Common World 2 Inn 2,01,Dream Harp,8122306
235,Common World 2 Inn 2,01,Flame Ring,8122306
236,Common World 2 Inn 2,01,CopperPlt,8122306
237,Common World 2 Inn 2,01,Wind Spear,8122306
238,Common World 2 Inn 2,01,Rune Axe,8122306
239,Common World 2 Inn 2,01,Ice Rod,8122306
240,Bal/Kelb Weapon,00,Requiem,8122306
241,Bal/Kelb Weapon,00,Bolt,8122306
242,Bal/Kelb Weapon,00,Mute,8122306
243,Bal/Kelb Weapon,00,Drain,8122306
244,Bal/Kelb Weapon,00,Cure3,8122306
245,Bal/Kelb Weapon,00,None,8122306
246,Bal/Kelb Weapon,00,None,8122306
247,Bal/Kelb Weapon,00,None,8122306
248,Bal/Kelb Armor,07,Dimen Lv.5,8122306
249,Bal/Kelb Armor,07,Berserk,8122306
250,Bal/Kelb Armor,07,MgcSwrd Lv.6,8122306
251,Bal/Kelb Armor,07,Revive,8122306
252,Bal/Kelb Armor,07,None,8122306
253,Bal/Kelb Armor,07,None,8122306
254,Bal/Kelb Armor,07,None,8122306
255,Bal/Kelb Armor,07,None,8122306
256,Kelb Weapon,01,Cabin,8122306
257,Kelb Weapon,01,Glasses,8122306
258,Kelb Weapon,01,Flail,8122306
259,Kelb Weapon,01,Strength,8122306
260,Kelb Weapon,01,Silver Armlet,8122306
261,Kelb Weapon,01,Ether,8122306
262,Kelb Weapon,01,Soft,8122306
263,Kelb Weapon,01,None,8122306
264,Kelb Armor,01,Chicken Knife,8122306
265,Kelb Armor,01,Thornlet,8122306
266,Kelb Armor,01,Chain Whip,8122306
267,Kelb Armor,01,Shoat,8122306
268,Kelb Armor,01,Potion,8122306
269,Kelb Armor,01,LuckMallet,8122306
270,Kelb Armor,01,None,8122306
271,Kelb Armor,01,None,8122306
272,Common World 2 Magic 1,07,Equip Bows,8122306
273,Common World 2 Magic 1,07,Caution,8122306
274,Common World 2 Magic 1,07,Berserker,8122306
275,Common World 2 Magic 1,07,GilToss,8122306
276,Common World 2 Magic 1,07,None,8122306
277,Common World 2 Magic 1,07,None,8122306
278,Common World 2 Magic 1,07,None,8122306
279,Common World 2 Magic 1,07,None,8122306
280,Common World 2 Magic 2,00,Holy,8122306
281,Common World 2 Magic 2,00,Demi,8122306
282,Common World 2 Magic 2,00,None,8122306
283,Common World 2 Magic 2,00,None,8122306
284,Common World 2 Magic 2,00,None,8122306
285,Common World 2 Magic 2,00,None,8122306
286,Common World 2 Magic 2,00,None,8122306
287,Common World 2 Magic 2,00,None,8122306
288,Common World 2 Magic 3,00,L2 Old,8122306
289,Common World 2 Magic 3,00,Fire,8122306
290,Common World 2 Magic 3,00,None,8122306
291,Common World 2 Magic 3,00,None,8122306
292,Common World 2 Magic 3,00,None,8122306
293,Common World 2 Magic 3,00,None,8122306
294,Common World 2 Magic 3,00,None,8122306
295,Common World 2 Magic 3,00,None,8122306
296,Surgate Weapon,01,Plumed Hat,8122306
297,Surgate Weapon,01,Diamond Helm,8122306
298,Surgate Weapon,01,White Robe,8122306
299,Surgate Weapon,01,Silver Armlet,8122306
300,Surgate Weapon,01,HiPotion,8122306
301,Surgate Weapon,01,Revivify,8122306
302,Surgate Weapon,01,Antidote,8122306
303,Surgate Weapon,01,None,8122306
304,Surgate Armor,01,Leather Shoes,8122306
305,Surgate Armor,01,Shuriken,8122306
306,Surgate Armor,01,Mythril Knife,8122306
307,Surgate Armor,01,Avis Killer,8122306
308,Surgate Armor,01,Fire Rod,8122306
309,Surgate Armor,01,GrnBeret,8122306
310,Surgate Armor,01,Mythril Hammer,8122306
311,Surgate Armor,01,Thief's Glove,8122306
312,Mua Weapon,01,DarkMatter,8122306
313,Mua Weapon,01,Leather Armor,8122306
314,Mua Weapon,01,Coral Sword,8122306
315,Mua Weapon,01,Iron Armor,8122306
316,Mua Weapon,01,Soft,8122306
317,Mua Weapon,01,LuckMallet,8122306
318,Mua Weapon,01,Cabin,8122306
319,Mua Weapon,01,None,8122306
320,Mua Armor,00,Bio,8122306
321,Mua Armor,00,WhiteWind,8122306
322,Mua Armor,00,Antdt,8122306
323,Mua Armor,00,Emission,8122306
324,Mua Armor,00,Time Slip,8122306
325,Mua Armor,00,None,8122306
326,Mua Armor,00,None,8122306
327,Mua Armor,00,None,8122306
328,Mua Magic 1,00,Life2,8122306
329,Mua Magic 1,00,Slow,8122306
330,Mua Magic 1,00,Size,8122306
331,Mua Magic 1,00,Shell,8122306
332,Mua Magic 1,00,Break,8122306
333,Mua Magic 1,00,None,8122306
334,Mua Magic 1,00,None,8122306
335,Mua Magic 1,00,None,8122306
336,Mua Magic 2,00,GblinPnch,8122306
337,Mua Magic 2,00,Ice3,8122306
338,Mua Magic 2,00,Shiva,8122306
339,Mua Magic 2,00,Reset,8122306
340,Mua Magic 2,00,TinySong,8122306
341,Mua Magic 2,00,None,8122306
342,Mua Magic 2,00,None,8122306
343,Mua Magic 2,00,None,8122306
344,Mua Magic 3,07,BlueMage,8122306
345,Mua Magic 3,07,MysticKnight,8122306
346,Mua Magic 3,07,Summon Lv.5,8122306
347,Mua Magic 3,07,Summoner,8122306
348,Mua Magic 3,07,None,8122306
349,Mua Magic 3,07,None,8122306
350,Mua Magic 3,07,None,8122306
351,Mua Magic 3,07,None,8122306
352,Lix Inn,01,Thunder Bow,8122306
353,Lix Inn,01,Brave Blade,8122306
354,Lix Inn,01,Speed Drink,8122306
355,Lix Inn,01,Air Blade,8122306
356,Lix Inn,01,Hero Drink,8122306
357,Lix Inn,01,Flame Whip,8122306
358,Lix Inn,01,Guard Ring,8122306
359,Lix Inn,01,Rod,8122306
360,Dwarf Magic,07,MgcSwrd Lv.2,8122306
361,Dwarf Magic,07,Red Lv.1,8122306
362,Dwarf Magic,07,Throw,8122306
363,Dwarf Magic,07,White Lv.5,8122306
364,Dwarf Magic,07,None,8122306
365,Dwarf Magic,07,None,8122306
366,Dwarf Magic,07,None,8122306
367,Dwarf Magic,07,None,8122306
368,Dwarf Weapon,00,Float,8122306
369,Dwarf Weapon,00,Ice,8122306
370,Dwarf Weapon,00,Blowfish,8122306
371,Dwarf Weapon,00,Ice,8122306
372,Dwarf Weapon,00,None,8122306
373,Dwarf Weapon,00,None,8122306
374,Dwarf Weapon,00,None,8122306
375,Dwarf Weapon,00,None,8122306
376,Dwarf Armor,07,White Lv.1,8122306
377,Dwarf Armor,07,Equip Katana,8122306
378,Dwarf Armor,07,Dragoon,8122306
379,Dwarf Armor,07,Black Lv.5,8122306
380,Dwarf Armor,07,None,8122306
381,Dwarf Armor,07,None,8122306
382,Dwarf Armor,07,None,8122306
383,Dwarf Armor,07,None,8122306
384,Mirage Weapon,07,Slash,8122306
385,Mirage Weapon,07,Observe,8122306
386,Mirage Weapon,07,Dimen Lv.3,8122306
387,Mirage Weapon,07,Dbl Grip,8122306
388,Mirage Weapon,07,None,8122306
389,Mirage Weapon,07,None,8122306
390,Mirage Weapon,07,None,8122306
391,Mirage Weapon,07,None,8122306
392,Mirage Guild,00,Remora,8122306
393,Mirage Guild,00,Void,8122306
394,Mirage Guild,00,MindBlst,8122306
395,Mirage Guild,00,Ifrit,8122306
396,Mirage Guild,00,Image,8122306
397,Mirage Guild,00,None,8122306
398,Mirage Guild,00,None,8122306
399,Mirage Guild,00,None,8122306
400,Mirage Armor,07,Summon Lv.1,8122306
401,Mirage Armor,07,Mimic,8122306
402,Mirage Armor,07,Terrain,8122306
403,Mirage Armor,07,Dimen Lv.4,8122306
404,Mirage Armor,07,None,8122306
405,Mirage Armor,07,None,8122306
406,Mirage Armor,07,None,8122306
407,Mirage Armor,07,None,8122306
408,Mirage Relic,01,Giant's Gloves,8122306
409,Mirage Relic,01,Ice Rod,8122306
410,Mirage Relic,01,Bronze Shield,8122306
411,Mirage Relic,01,Genji Shield,8122306
412,Mirage Relic,01,HiPotion,8122306
413,Mirage Relic,01,Eyedrop,8122306
414,Mirage Relic,01,None,8122306
415,Mirage Relic,01,None,8122306
416,Mirage Magic 1,00,Hero,8122306
417,Mirage Magic 1,00,Bolt3,8122306
418,Mirage Magic 1,00,L5 Doom,8122306
419,Mirage Magic 1,00,Cure2,8122306
420,Mirage Magic 1,00,Ice2,8122306
421,Mirage Magic 1,00,None,8122306
422,Mirage Magic 1,00,None,8122306
423,Mirage Magic 1,00,None,8122306
424,Mirage Magic 2,01,Lillith Rod,8122306
425,Mirage Magic 2,01,Tinkerbell,8122306
426,Mirage Magic 2,01,Training Suit,8122306
427,Mirage Magic 2,01,Flame Shield,8122306
428,Mirage Magic 2,01,Diamond Armor,8122306
429,Mirage Magic 2,01,Crystal Helm,8122306
430,Mirage Magic 2,01,Gale Bow,8122306
431,Mirage Magic 2,01,Eyedrop,8122306
432,Mirage Inn 1,01,Thunder Whip,8122306
433,Mirage Inn 1,01,Tiger Mask,8122306
434,Mirage Inn 1,01,Iron Helm,8122306
435,Mirage Inn 1,01,Coral Sword,8122306
436,Mirage Inn 1,01,Kotetsu,8122306
437,Mirage Inn 1,01,Coral Ring,8122306
438,Mirage Inn 1,01,Potion,8122306
439,Mirage Inn 1,01,Phoenix Down,8122306
440,Mirage Inn 2,01,Orialcon,8122306
441,Mirage Inn 2,01,Venom Rod,8122306
442,Mirage Inn 2,01,Flametongue,8122306
443,Mirage Inn 2,01,Flame Scroll,8122306
444,Mirage Inn 2,01,Mythril Spear,8122306
445,Mirage Inn 2,01,Flame Whip,8122306
446,Mirage Inn 2,01,DiamndPlt,8122306
447,Mirage Inn 2,01,Training Suit,8122306
0,Tule Weapon,01,Trident,8697747
1,Tule Weapon,01,Golden Armor,8697747
2,Tule Weapon,01,DarkMatter,8697747
3,Tule Weapon,01,Venom Axe,8697747
4,Tule Weapon,01,Eyedrop,8697747
5,Tule Weapon,01,LuckMallet,8697747
6,Tule Weapon,01,None,8697747
7,Tule Weapon,01,None,8697747
8,Tule Armor,07,MgcSwrd Lv.7,8697747
9,Tule Armor,07,Preemptive,8697747
10,Tule Armor,07,Equip Ribbon,8697747
11,Tule Armor,07,None,8697747
12,Tule Armor,07,None,8697747
13,Tule Armor,07,None,8697747
14,Tule Armor,07,None,8697747
15,Tule Armor,07,None,8697747
16,Tule Inn,01,Shuriken,8697747
17,Tule Inn,01,Broadsword,8697747
18,Tule Inn,01,Full Moon,8697747
19,Tule Inn,01,Darkness Bow,8697747
20,Tule Inn,01,Elixir,8697747
21,Tule Inn,01,Maiden's Kiss,8697747
22,Tule Inn,01,Antidote,8697747
23,Tule Inn,01,None,8697747
24,Tule Magic,00,Old,8697747
25,Tule Magic,00,Cure2,8697747
26,Tule Magic,00,TinySong,8697747
27,Tule Magic,00,Stop,8697747
28,Tule Magic,00,Fire2,8697747
29,Tule Magic,00,None,8697747
30,Tule Magic,00,None,8697747
31,Tule Magic,00,None,8697747
32,Carwen Weapon,00,Charm,8697747
33,Carwen Weapon,00,Ice,8697747
34,Carwen Weapon,00,None,8697747
35,Carwen Weapon,00,None,8697747
36,Carwen Weapon,00,None,8697747
37,Carwen Weapon,00,None,8697747
38,Carwen Weapon,00,None,8697747
39,Carwen Weapon,00,None,8697747
40,Carwen Armor,07,Summon Lv.4,8697747
41,Carwen Armor,07,MP +30%,8697747
42,Carwen Armor,07,White Lv.5,8697747
43,Carwen Armor,07,White Lv.3,8697747
44,Carwen Armor,07,None,8697747
45,Carwen Armor,07,None,8697747
46,Carwen Armor,07,None,8697747
47,Carwen Armor,07,None,8697747
48,Carwen Inn,01,Guardian,8697747
49,Carwen Inn,01,Knife,8697747
50,Carwen Inn,01,DiamndPlt,8697747
51,Carwen Inn,01,Stealth Suit,8697747
52,Carwen Inn,01,Golden Helm,8697747
53,Carwen Inn,01,Earth Bell,8697747
54,Carwen Inn,01,Broadsword,8697747
55,Carwen Inn,01,Diamond Armor,8697747
56,Carwen Magic,07,Caution,8697747
57,Carwen Magic,07,Dbl Grip,8697747
58,Carwen Magic,07,Counter,8697747
59,Carwen Magic,07,Hide,8697747
60,Carwen Magic,07,None,8697747
61,Carwen Magic,07,None,8697747
62,Carwen Magic,07,None,8697747
63,Carwen Magic,07,None,8697747
64,Worus Weapon,01,Strength,8697747
65,Worus Weapon,01,GrnBeret,8697747
66,Worus Weapon,01,Maiden's Kiss,8697747
67,Worus Weapon,01,Staff,8697747
68,Worus Weapon,01,Morning Star,8697747
69,Worus Weapon,01,None,8697747
70,Worus Weapon,01,None,8697747
71,Worus Weapon,01,None,8697747
72,Worus Armor,00,Life,8697747
73,Worus Armor,00,Break,8697747
74,Worus Armor,00,Bolt3,8697747
75,Worus Armor,00,DrkShock,8697747
76,Worus Armor,00,None,8697747
77,Worus Armor,00,None,8697747
78,Worus Armor,00,None,8697747
79,Worus Armor,00,None,8697747
80,Worus Magic,01,Fire Bow,8697747
81,Worus Magic,01,Guard Ring,8697747
82,Worus Magic,01,Killer Bow,8697747
83,Worus Magic,01,Thunder Scroll,8697747
84,Worus Magic,01,Maiden's Kiss,8697747
85,Worus Magic,01,Leather Shield,8697747
86,Worus Magic,01,Whip,8697747
87,Worus Magic,01,HiPotion,8697747
88,Karnak Weapon 1,07,Combine,8697747
89,Karnak Weapon 1,07,Slash,8697747
90,Karnak Weapon 1,07,Brawl,8697747
91,Karnak Weapon 1,07,White Lv.2,8697747
92,Karnak Weapon 1,07,None,8697747
93,Karnak Weapon 1,07,None,8697747
94,Karnak Weapon 1,07,None,8697747
95,Karnak Weapon 1,07,None,8697747
96,Karnak Weapon 2,01,Thunder Rod,8697747
97,Karnak Weapon 2,01,Tricorn Hat,8697747
98,Karnak Weapon 2,01,Bandana,8697747
99,Karnak Weapon 2,01,Forged,8697747
100,Karnak Weapon 2,01,Phoenix Down,8697747
101,Karnak Weapon 2,01,None,8697747
102,Karnak Weapon 2,01,None,8697747
103,Karnak Weapon 2,01,None,8697747
104,Karnak Armor,00,Fire2,8697747
105,Karnak Armor,00,Venom,8697747
106,Karnak Armor,00,Wall,8697747
107,Karnak Armor,00,DethClaw,8697747
108,Karnak Armor,00,L3 Flare,8697747
109,Karnak Armor,00,None,8697747
110,Karnak Armor,00,None,8697747
111,Karnak Armor,00,None,8697747
112,Common World 1 Inn,07,Barrier,8697747
113,Common World 1 Inn,07,Equip Swords,8697747
114,Common World 1 Inn,07,Berserk,8697747
115,Common World 1 Inn,07,MgcSwrd Lv.5,8697747
116,Common World 1 Inn,07,None,8697747
117,Common World 1 Inn,07,None,8697747
118,Common World 1 Inn,07,None,8697747
119,Common World 1 Inn,07,None,8697747
120,Karnak Magic 1,01,Defender Sword,8697747
121,Karnak Magic 1,01,DiamndPlt,8697747
122,Karnak Magic 1,01,Leather Shoes,8697747
123,Karnak Magic 1,01,LuckMallet,8697747
124,Karnak Magic 1,01,Staff,8697747
125,Karnak Magic 1,01,Guard Ring,8697747
126,Karnak Magic 1,01,Gaia Gear,8697747
127,Karnak Magic 1,01,Ether,8697747
128,Karnak Magic 2,00,Heal,8697747
129,Karnak Magic 2,00,WhiteWind,8697747
130,Karnak Magic 2,00,Bahmut,8697747
131,Karnak Magic 2,00,Speed,8697747
132,Karnak Magic 2,00,Life2,8697747
133,Karnak Magic 2,00,None,8697747
134,Karnak Magic 2,00,None,8697747
135,Karnak Magic 2,00,None,8697747
136,Karnak Magic 3,01,Artemis Bow,8697747
137,Karnak Magic 3,01,Shuriken,8697747
138,Karnak Magic 3,01,OmegaMedl,8697747
139,Karnak Magic 3,01,Healing Staff,8697747
140,Karnak Magic 3,01,Fire Bow,8697747
141,Karnak Magic 3,01,Wizard Rod,8697747
142,Karnak Magic 3,01,DarkHood,8697747
143,Karnak Magic 3,01,Aegis Shield,8697747
144,Crescent Weapon,07,Equip Whips,8697747
145,Crescent Weapon,07,SwdSlap,8697747
146,Crescent Weapon,07,Dance,8697747
147,Crescent Weapon,07,Terrain,8697747
148,Crescent Weapon,07,None,8697747
149,Crescent Weapon,07,None,8697747
150,Crescent Weapon,07,None,8697747
151,Crescent Weapon,07,None,8697747
152,Crescent Armor,00,Size,8697747
153,Crescent Armor,00,Sleep,8697747
154,Crescent Armor,00,None,8697747
155,Crescent Armor,00,None,8697747
156,Crescent Armor,00,None,8697747
157,Crescent Armor,00,None,8697747
158,Crescent Armor,00,None,8697747
159,Crescent Armor,00,None,8697747
160,Istory Relic,01,Soft,8697747
161,Istory Relic,01,Ancient Sword,8697747
162,Istory Relic,01,GrnBeret,8697747
163,Istory Relic,01,Power Wrist,8697747
164,Istory Relic,01,TurtleShell,8697747
165,Istory Relic,01,Soft,8697747
166,Istory Relic,01,LuckMallet,8697747
167,Istory Relic,01,Tent,8697747
168,Jacole Weapon,01,Thunder Rod,8697747
169,Jacole Weapon,01,Coral Sword,8697747
170,Jacole Weapon,01,Silver Harp,8697747
171,Jacole Weapon,01,Mirage Vest,8697747
172,Jacole Weapon,01,Kotetsu,8697747
173,Jacole Weapon,01,Pinwheel,8697747
174,Jacole Weapon,01,Revivify,8697747
175,Jacole Weapon,01,Tent,8697747
176,Jacole Armor,07,Black Lv.5,8697747
177,Jacole Armor,07,MP +10%,8697747
178,Jacole Armor,07,DrgnSwd,8697747
179,Jacole Armor,07,None,8697747
180,Jacole Armor,07,None,8697747
181,Jacole Armor,07,None,8697747
182,Jacole Armor,07,None,8697747
183,Jacole Armor,07,None,8697747
184,Common World 2 Inn 1,07,Escape,8697747
185,Common World 2 Inn 1,07,Red Lv.3,8697747
186,Common World 2 Inn 1,07,Jump,8697747
187,Common World 2 Inn 1,07,Mimic,8697747
188,Common World 2 Inn 1,07,None,8697747
189,Common World 2 Inn 1,07,None,8697747
190,Common World 2 Inn 1,07,None,8697747
191,Common World 2 Inn 1,07,None,8697747
192,Lix Guild,00,Shell,8697747
193,Lix Guild,00,MindBlst,8697747
194,Lix Guild,00,Ice3,8697747
195,Lix Guild,00,Reset,8697747
196,Lix Guild,00,None,8697747
197,Lix Guild,00,None,8697747
198,Lix Guild,00,None,8697747
199,Lix Guild,00,None,8697747
