,boss,key,seed
7,Puroboros,Bracelet,6019304
8,Gilgamesh 1,Shrine Page,6019304
9,Tyrasaurus,Trench Page,6019304
10,Gilgamesh 3 & Enkidou,Anti Barrier,6019304
11,Atmos,2nd Tablet,6019304
12,Guardians,Walse Tower Key,6019304
13,"Triton, Neregeid & Phobos",Moogle Suit,6019304
14,Omniscient,Pyramid Page,6019304
15,Minotauros,Sandworm Bait,6019304
16,GoGo,Falls Page,6019304
17,Bahamut,Ifrit's Fire,6019304
18,Ifrit,Steamship Key,6019304
19,Shiva,4th Tablet,6019304
0,Byblos,Moogle Suit,6097998
1,WingRaptor,Big Bridge Key,6097998
2,Siren,Anti Barrier,6097998
3,Magisa & Forza,Steamship Key,6097998
4,Galura,Shrine Page,6097998
5,LiquiFlame,Submarine Key,6097998
6,Sergeant & DeathClaw,Falls Page,6097998
7,Sol Cannon,2nd Tablet,6097998
8,Chim.Brain,1st Tablet,6097998
9,Gilgamesh 1,Adamantite,6097998
10,Abductor,Pyramid Page,6097998
11,Gilgamesh 3 & Enkidou,4th Tablet,6097998
12,Guardians,Ifrit's Fire,6097998
13,Gilgamesh 4,Trench Page,6097998
14,Antlion,Sandworm Bait,6097998
15,Merugene,3rd Tablet,6097998
16,Odin,Hiryuu Call,6097998
17,"Triton, Neregeid & Phobos",Walse Tower Key,6097998
18,Bahamut,Bracelet,6097998
19,Shiva,Elder Branch,6097998
0,WingRaptor,Anti Barrier,6406261
1,Magisa & Forza,Ifrit's Fire,6406261
2,Sergeant & DeathClaw,2nd Tablet,6406261
3,Sandworm,Big Bridge Key,6406261
4,Sol Cannon,Walse Tower Key,6406261
5,ArchaeAvis,Steamship Key,6406261
6,Gilgamesh 1,Falls Page,6406261
7,Abductor,Trench Page,6406261
8,Gilgamesh 3 & Enkidou,Moogle Suit,6406261
9,Atmos,Hiryuu Call,6406261
10,Guardians,Submarine Key,6406261
11,Gilgamesh 4,Shrine Page,6406261
12,Antlion,Sandworm Bait,6406261
13,Merugene,Elder Branch,6406261
14,Odin,Adamantite,6406261
15,Omniscient,Pyramid Page,6406261
16,GoGo,3rd Tablet,6406261
17,Bahamut,1st Tablet,6406261
18,Shiva,4th Tablet,6406261
19,Crayclaw,Bracelet,6406261
0,Siren,Bracelet,4975490
1,LiquiFlame,Adamantite,4975490
2,Sergeant & DeathClaw,Walse Tower Key,4975490
3,Sandworm,Pyramid Page,4975490
4,AdamanTiMi,Shrine Page,4975490
5,Sol Cannon,Falls Page,4975490
6,ArchaeAvis,Trench Page,4975490
7,Puroboros,3rd Tablet,4975490
8,Gilgamesh 1,Steamship Key,4975490
9,Tyrasaurus,Sandworm Bait,4975490
10,Abductor,Anti Barrier,4975490
11,HiryuuPlant,4th Tablet,4975490
12,Gilgamesh 3 & Enkidou,Big Bridge Key,4975490
13,Atmos,Hiryuu Call,4975490
14,Gilgamesh 4,Submarine Key,4975490
15,Leviathan,1st Tablet,4975490
16,Stalker,Elder Branch,4975490
17,GoGo,Moogle Suit,4975490
18,Ifrit,2nd Tablet,4975490
19,Crayclaw,Ifrit's Fire,4975490
0,Byblos,Trench Page,9604770
1,Karlabos,Adamantite,9604770
2,Galura,4th Tablet,9604770
3,LiquiFlame,2nd Tablet,9604770
4,Sandworm,3rd Tablet,9604770
5,AdamanTiMi,Steamship Key,9604770
6,Sol Cannon,Pyramid Page,9604770
7,Puroboros,Ifrit's Fire,9604770
8,Tyrasaurus,Anti Barrier,9604770
9,Abductor,Shrine Page,9604770
10,Atmos,Sandworm Bait,9604770
11,Guardians,Hiryuu Call,9604770
12,Gilgamesh 4,Moogle Suit,9604770
13,Antlion,Submarine Key,9604770
14,Merugene,Elder Branch,9604770
15,"Triton, Neregeid & Phobos",Falls Page,9604770
16,Omniscient,Bracelet,9604770
17,Minotauros,Big Bridge Key,9604770
18,Leviathan,1st Tablet,9604770
19,GoGo,Walse Tower Key,9604770
0,Karlabos,Hiryuu Call,8787629
1,Siren,Sandworm Bait,8787629
2,Magisa & Forza,2nd Tablet,8787629
3,Sergeant & DeathClaw,Moogle Suit,8787629
4,Sandworm,4th Tablet,8787629
5,Chim.Brain,Shrine Page,8787629
6,Tyrasaurus,Bracelet,8787629
7,Atmos,Anti Barrier,8787629
8,Guardians,Steamship Key,8787629
9,Carbunkle,Pyramid Page,8787629
10,Odin,Falls Page,8787629
11,"Triton, Neregeid & Phobos",Ifrit's Fire,8787629
12,Omniscient,1st Tablet,8787629
13,Leviathan,Big Bridge Key,8787629
14,Stalker,Submarine Key,8787629
15,GoGo,3rd Tablet,8787629
16,Bahamut,Walse Tower Key,8787629
17,Ifrit,Elder Branch,8787629
18,Shiva,Trench Page,8787629
19,Crayclaw,Adamantite,8787629
0,Byblos,Trench Page,1385871
1,WingRaptor,Walse Tower Key,1385871
2,Karlabos,Shrine Page,1385871
3,Siren,2nd Tablet,1385871
4,Magisa & Forza,Anti Barrier,1385871
5,Galura,Moogle Suit,1385871
6,Sergeant & DeathClaw,Adamantite,1385871
7,Sol Cannon,4th Tablet,1385871
8,Chim.Brain,Hiryuu Call,1385871
9,Puroboros,Elder Branch,1385871
10,HiryuuPlant,1st Tablet,1385871
11,Atmos,Ifrit's Fire,1385871
12,Guardians,Submarine Key,1385871
13,Gilgamesh 4,Steamship Key,1385871
14,Antlion,Sandworm Bait,1385871
15,Merugene,Pyramid Page,1385871
16,Odin,Bracelet,1385871
17,Leviathan,Big Bridge Key,1385871
18,GoGo,3rd Tablet,1385871
19,Crayclaw,Falls Page,1385871
