,check,reward,mib,seed
64,Toad Event Toad,MgcSword Ability Progressive,,8122306
65,Aegis Shield Chest Aegis Shield,Equip Whips,,8122306
66,Lone Wolf Barrel Cabin,Haste->Exit->Hast2->Quick,,8122306
67,Lone Wolf Chest Thunder Whip,Thunder Whip,,8122306
68,Moat Item Epee,WhiteMage Job Crystal,,8122306
69,Shop Backdoor Lamia Harp,Equip Ribbon,,8122306
70,Top of the Falls Magic Lamp,Ice Rod,,8122306
71,Wind Shrine Chest Broadsword,Dimen Ability Progressive,,8122306
72,Beginner's House Chest Ether,5000 gil,,8122306
73,Beginner's House Chest 100,Control,,8122306
74,Beginner's House Chest Potion,Rune Axe,,8122306
75,Beginner's House Chest Phoenix Down,100 gil,,8122306
76,Beginner's House Chest Tent,Judgement Staff,,8122306
77,Beginner's House Chest Leather Shoes,Orialcon,,8122306
78,Pirate's Cave Chest Leather Cap,10000 gil,,8122306
79,Pirate's Cave Chest Tent,Cotton Robe,,8122306
80,Pirate's Cave Chest Ether,DrgnSwd,,8122306
81,Pirate's Cave Chest 300,Haste->Exit->Hast2->Quick,,8122306
82,Wind Shrine Chest Tent,Javelin,,8122306
83,Wind Shrine Chest Leather Cap,300 gil,,8122306
84,Wind Shrine Chest Staff,Pinwheel,,8122306
85,Tule Barrel 150,Soft,MIB,8122306
86,Tule Box Leather Shoes,Golden Armor,,8122306
87,Tule Barrel Potion,Bronze Armor,,8122306
88,Tule Box Tent,Sasuke,,8122306
89,Tule Bush Phoenix Down,Black Robe,,8122306
90,Ship Graveyard Chest Flail,Cursed Ring,,8122306
91,Ship Graveyard Chest Phoenix Down,2-Handed,,8122306
92,Ship Graveyard Chest Tent,Regen->Float->Reset->Xzone,,8122306
93,Ship Graveyard Box 990,Plumed Hat,,8122306
94,Ship Graveyard Chest Potion,Cover,,8122306
95,Ship Graveyard Chest Antidote,White Ability Progressive,,8122306
96,Carwen Barrel Antidote,Antidote,,8122306
97,Carwen Box Ice Rod,5000 gil,,8122306
98,Carwen Pot 1000,Diamond Shield,,8122306
99,North Mountain Chest Soft,9000 gil,,8122306
100,North Mountain Chest Phoenix Down,Scan->Charm->Holy,,8122306
101,Walse Town Pot Glasses,Black Ability Progressive,,8122306
102,Tycoon Castle Pot Hi-Potion,DoomCut,,8122306
103,Tycoon Castle Pot Ether,Ether,,8122306
104,Tycoon Castle Barrel Elixir,Elixir,,8122306
105,Tycoon Castle Barrel Phoenix Down,Thief's Glove,,8122306
106,Tycoon Castle Barrel Cabin,RisingSun,,8122306
107,Tycoon Castle Pot Elixir,AntiMagic Bow,,8122306
108,Tycoon Castle Pot Phoenix Down,Summon Ability Progressive,,8122306
109,Tycoon Castle Pot Maiden's Kiss,Lamia's Tiara,,8122306
110,Tycoon Castle Chest Shuriken,Flash->Time Slip->DethClaw,,8122306
111,Tycoon Castle Chest Giyaman,MP +X%,,8122306
112,Tycoon Castle Chest Katana,8000 gil,,8122306
113,Walse Castle Chest Elf Cape,Wizard Rod,,8122306
114,Walse Castle Pot 1000,Fire Rod,,8122306
115,Walse Castle Pot Drag,Red Shoes,,8122306
116,Walse Castle Box 490,9000 gil,,8122306
117,Walse Castle Barrel Tent,Tame,,8122306
118,Walse Castle Barrel Phoenix Down,Giant's Axe,,8122306
119,Walse Tower Chest Silk robe,TurtleShell,,8122306
120,Walse Tower Chest Maiden's Kiss,Sylph->Crbnkl->Phenix->Syldra,,8122306
121,Walse Tower Chest Silver Armlet,Enhancer,,8122306
122,Walse Tower Chest Ether,L4Qrter->L3Flare->L2Old->L5Doom,,8122306
123,Tycoon Meteor Chest Phoenix Down,Condemn->Roulette->AquaRake,,8122306
124,Karnak Castle Chest Gungnir,Darkness Bow,,8122306
125,Karnak Castle Chest Thunder Scroll,Cursed Ring,MIB,8122306
126,Karnak Castle Chest 2000,Diamond Armor,MIB,8122306
127,Karnak Castle Chest Elixir,Air Blade,MIB,8122306
128,Karnak Castle Chest Ribbon,Leather Cap,,8122306
129,Karnak Castle Chest Shuriken,Gauntlets,MIB,8122306
130,Karnak Castle Chest Elf Cape,Slumber Sword,MIB,8122306
131,Karnak Castle Chest Guardian,Maiden's Kiss,MIB,8122306
132,Karnak Town Barrel Fire Rod,4400 gil,,8122306
133,Steamship Chest Cabin,HiPotion,,8122306
134,Steamship Chest Phoenix Down,Javelin,,8122306
135,Steamship Chest Elixir,Crystal Shield,,8122306
136,Steamship Chest GrnBeret,Slow->Stop->Slow2,,8122306
137,Steamship Chest Thief's Glove,20000 gil,,8122306
138,Ancient Library Chest Ether,9900 gil,,8122306
139,Ancient Library Chest Phoenix Down,Venom Rod,,8122306
140,Ancient Library Chest Stealth Suit,100 gil,,8122306
141,Jacole Cave Chest Shuriken,25000 gil,,8122306
142,Jacole Cave Chest Tent,Knife,,8122306
143,Ruined City Chest Shuriken,990 gil,,8122306
144,Ruined City Chest Size,Venom Rod,,8122306
145,Flying Lonka Ruins Chest Golden Armor,Crystal Shield,,8122306
146,Flying Lonka Ruins Chest Elixir,Guardian,,8122306
147,Flying Lonka Ruins Chest Phoenix Down,5000 gil,,8122306
148,Flying Lonka Ruins Chest Golden Shield,Leather Shoes,,8122306
149,Steamship Chest Mythril Glove,490 gil,,8122306
150,Steamship Chest Full Moon,Ice Black Magic Progressive,,8122306
151,Flying Lonka Ruins Chest Hi-Potion,Slumber Sword,,8122306
152,Flying Lonka Ruins Chest 5000,Crystal Helm,,8122306
153,Flying Lonka Ruins Chest Shuriken,Mute->Psych->Holy Sword,,8122306
154,Flying Lonka Ruins Chest Ancient Sword,Drain Sword,,8122306
155,Flying Lonka Ruins Chest Full Moon,12000 gil,,8122306
156,Flying Lonka Ruins Chest Power Wrist,Flirt,,8122306
157,Flying Lonka Ruins Chest Ether,Training Suit,,8122306
158,Flying Lonka Ruins Chest Cabin,Samurai Job Crystal,,8122306
159,Exdeath's Castle Chest Ether,Dimen Ability Progressive,,8122306
160,Exdeath's Castle Chest Diamond Shield,Drink,,8122306
161,Exdeath's Castle Chest Ice Shield,Wonder Wand,,8122306
162,Exdeath's Castle Chest Elixir,1000 gil,,8122306
163,Exdeath's Castle Chest Gale Bow,10000 gil,,8122306
164,Exdeath's Castle Chest IceBrand,Leather Shield,,8122306
165,Exdeath's Castle Chest Kotetsu,TurtleShell,,8122306
166,Exdeath's Castle Chest 9900,????->Fusion->Exploder->DrkShock,,8122306
167,Exdeath's Castle Chest 8000,Kick,,8122306
168,Exdeath's Castle Chest DblLance,5000 gil,,8122306
169,Exdeath's Castle Chest Partisan,1000 gil,,8122306
170,Exdeath's Castle Chest Pinwheel,Void->Demi->Qrter->Old,,8122306
171,Moogle Cave Chest 4400,Orialcon,,8122306
172,Moogle Cave Chest Phoenix Down,Thunder Rod,,8122306
173,Moogle Village Chest Cabin,Knight Job Crystal,,8122306
174,Moogle Village Chest Dancing Dagger,IceBrand,,8122306
175,Moogle Village Chest 1,9000 gil,,8122306
176,Moogle Village Chest 10000,Bolt Black Magic Progressive,,8122306
177,Moogle Village Chest Phoenix Down,Magic->Love@Song,,8122306
178,Moogle Village Chest Ether,1000 gil,,8122306
179,Moogle Village Chest Elf Cape,Fire Black Magic Progressive,,8122306
180,Bal Castle Chest Angel Gwn,15000 gil,,8122306
181,Bal Castle Chest Hero Drink,White Ability Progressive,,8122306
182,Bal Castle Chest Exit,GuardOff->Hammer->MghtyGrd,,8122306
183,Hiryuu Valley Skull Bone Mail,Equip Swords,,8122306
184,Hiryuu Valley Chest 5000,TurtleShell,,8122306
185,Hiryuu Valley Chest Cabin,Wind Spear,,8122306
186,Hiryuu Valley Chest 7000,10000 gil,,8122306
187,Hiryuu Valley Chest Coronet,1000 gil,,8122306
188,Hiryuu Valley Chest Air Blade,Gauntlets,,8122306
189,Hiryuu Valley Chest Phoenix Down,9000 gil,,8122306
190,Surgate Castle Chest 5000,12000 gil,,8122306
191,Surgate Castle Chest Float,Thor Hammer,,8122306
192,Barrier Tower Chest Drain Sword,Holy Lance,,8122306
193,Barrier Tower Chest 9000,Fire Rod,MIB,8122306
194,Barrier Tower Chest 18000,Ether,MIB,8122306
195,Barrier Tower Chest Gold Hairpin,Mage Masher,,8122306
196,Mua Town Barrel Guardian,Guardian,,8122306
197,Mua Forest Chest 2500,HP +X%,,8122306
198,Mua Forest Chest Ether,Ninja Job Crystal,,8122306
199,Mua Forest Chest 4900,Condemn->Roulette->AquaRake,,8122306
200,Mua Forest Chest Phoenix Down,Staff of Light,,8122306
201,Mua Forest Chest 9500,Aero Blue Magic Progressive,,8122306
202,Mua Forest Chest Soot,9500 gil,,8122306
203,Mua Forest Chest Flametongue,Iron Armor,,8122306
204,Mua Forest Chest Cabin,12000 gil,,8122306
205,Mua Forest Chest Giant Drink,Armor->Shell->Wall->Dispel,,8122306
206,Mua Forest Chest Elixir,Combine,,8122306
207,Mua Forest Chest Morning Star,Image,,8122306
208,Solitary Island Chest Ether,Magic Lamp,,8122306
209,Solitary Island Chest DragonFang,Golden Shield,,8122306
210,Pyramid Chest Elixir,Spear,,8122306
211,Pyramid Chest Black Robe,DarkHood,MIB,8122306
212,Pyramid Chest Thornlet,Kodachi,MIB,8122306
213,Pyramid Chest DarkMatter,Avis Killer,MIB,8122306
214,Pyramid Chest Crystal Armor,Gungnir,,8122306
215,Pyramid Chest Cursed Ring,Silver Bow,MIB,8122306
216,Pyramid Chest Ice Shield,Lamia's Tiara,,8122306
217,Pyramid Chest Flame Shield,Coral Ring,MIB,8122306
218,Pyramid Chest White Robe,Staff,MIB,8122306
219,Pyramid Chest DarkSuit,Mythril Shield,,8122306
220,Pyramid Chest 9000,Mythril Knife,,8122306
221,Pyramid Chest 8000,Thunder Rod,MIB,8122306
222,Pyramid Chest Earth Hammer,RuneEdge,,8122306
223,Pyramid Chest 10000,Wizard Rod,MIB,8122306
224,Pyramid Chest Cabin,Ribbon,MIB,8122306
225,Pyramid Chest 12000,Venom Axe,MIB,8122306
226,Pyramid Chest Guard Ring,Escape,,8122306
227,Pyramid Chest Ribbon,HP +X%,,8122306
228,Pyramid Chest Gold Hairpin,Aero Blue Magic Progressive,,8122306
229,Solitary Island Chest 12000,Mediator Job Crystal,,8122306
230,Solitary Island Chest Hi-Potion,Partisan,,8122306
231,Solitary Island Chest Protect Drink,Black Ability Progressive,,8122306
232,Solitary Island Chest BeastKiller,Mythril Shield,MIB,8122306
233,Solitary Island Chest RisingSun,Spear,,8122306
234,Solitary Island Chest Guard Ring,Mage Masher,MIB,8122306
235,Solitary Island Chest Crystal Helm,Genji Helm,,8122306
236,Solitary Island Chest 9000,Black Ability Progressive,,8122306
237,Solitary Island Chest Elixir,Ramuh,,8122306
238,Solitary Island Chest DarkMatter,Ether,,8122306
239,Solitary Island Chest Circlet,Regen->Float->Reset->Xzone,,8122306
240,Fork Tower L. Chest Ether,Aero Blue Magic Progressive,,8122306
241,Fork Tower L. Chest Wonder Wand,2500 gil,,8122306
242,Fork Tower R. Chest Hi-Potion,2000 gil,,8122306
243,Fork Tower R. Chest Defender Sword,CornaJar,,8122306
244,Great Trench Chest Water Scroll,4900 gil,,8122306
245,Great Trench Chest Flame Ring,Capture,,8122306
246,Great Trench Chest DragonFang,Silver Plate,,8122306
247,Great Trench Chest Ether,490 gil,,8122306
248,Great Trench Chest Phoenix Down,4400 gil,,8122306
249,Great Trench Chest Kaiser Knuckles,Kaiser Knuckles,,8122306
250,Istory Falls Chest Ether,Dagger,,8122306
251,Istory Falls Chest TurtleShell,18000 gil,,8122306
252,Istory Falls Chest Air Lance,Kodachi,,8122306
253,Istory Falls Chest Giant Drink,Mythril Helm,,8122306
254,Istory Falls Chest RuneEdge,Crystal Armor,,8122306
255,Istory Falls Chest Guard Ring,Power Drink,,8122306
256,Istory Falls Chest Wall Ring,Diamond Shield,,8122306
257,Istory Falls Chest Phoenix Down,Phoenix Down,,8122306
258,Istory Falls Chest Enhancer,Freelancer Job Crystal,,8122306
259,Istory Falls Chest 12000,Lamia's Harp,,8122306
260,Istory Falls Chest Artemis Bow,1000 gil,,8122306
261,Istory Falls Chest Pinwheel,100 gil,,8122306
262,Istory Falls Chest Aegis Shield,Animals->Aim->X-Fight,,8122306
263,Istory Falls Chest Giant's Axe,Tricorn Hat,,8122306
264,Phoenix Tower Pot 5000,Rainbow Dress,MIB,8122306
265,Phoenix Tower Pot Phoenix Down,Soft,MIB,8122306
266,Phoenix Tower Pot 10000,Speed->Requiem Song,,8122306
267,Phoenix Tower Pot 15000,DrgnCrest,,8122306
268,Phoenix Tower Pot 20000,Bronze Helm,MIB,8122306
269,Phoenix Tower Pot Avis Killer,Thief Knife,MIB,8122306
270,Phoenix Tower Pot 25000,Staff of Light,,8122306
271,Mirage Village Barrel Thief Knife,2000 gil,,8122306
272,Rift (Ruins) Chest Ether,Mimic Job Crystal,,8122306
273,Rift (Ruins) Chest Cabin,Equip Rods,,8122306
274,Rift (Ruins) Chest Elixir,HiPotion,,8122306
275,Rift (Ruins) Chest DarkMatter,Thunder Bow,,8122306
276,Rift (Ruins) Chest Drain Sword,Gungnir,,8122306
277,Rift (Forest) Chest DragonFang,Sleep->Bio->Flare Sword,,8122306
278,Rift (Forest) Chest Ribbon,Golden Helm,,8122306
279,Rift (Forest) Chest Enhancer,Antdt->Image->Heal,,8122306
280,Rift (Forest) Chest Lillith Rod,Sleep->Psych->Doom,,8122306
281,Rift (Cave) Chest Angel Ring,White Ability Progressive,,8122306
282,Rift (Cave) Chest Coral Ring,Staff of Light,,8122306
283,Rift (Castle) Chest Thor Hammer,300 gil,,8122306
284,Rift (Castle) Chest Running Shoes,150 gil,,8122306
285,Rift (Castle) Chest Red Shoes,8000 gil,,8122306
286,Rift (Castle) Chest Rainbow Dress,Comet->Meteo,,8122306
287,Rift (Castle) Chest ManEater,Armor->Shell->Wall->Dispel,,8122306
288,The Void Chest Pinwheel,Cabin,,8122306
289,The Void Chest Elixir,Red1->Red2->Red3->X-Magic,,8122306
290,The Void Chest Ragnarok,DarkSuit,MIB,8122306
291,WingRaptor New,Genji Gloves,,8122306
292,Karlabos New,Defender Sword,,8122306
293,Siren New,DarkSuit,,8122306
294,Sergeant & DeathClaw New,Elf Cape,,8122306
295,Sandworm New,Coral Ring,,8122306
296,AdamanTiMi New,Crystal Armor,,8122306
297,ArchaeAvis New,25000 gil,,8122306
298,Tyrasaurus New,Genji Helm,,8122306
299,Gilgamesh 3 & Enkidou New,Dragon's Whisker,,8122306
300,Atmos New,Masamune,,8122306
301,Guardians New,Masamune,,8122306
302,Gilgamesh 4 New,Gold Hairpin,,8122306
303,Antlion New,Artemis Bow,,8122306
304,Omniscient New,Crystal Helm,,8122306
305,GoGo New,DiamndPlt,,8122306
306,Bahamut New,Mirage Vest,,8122306
307,Ifrit New,Wizard Rod,,8122306
308,Shiva New,Crystal Shield,,8122306
0,Wind Crystal Knight,Void->Demi->Qrter->Old,,8697747
1,Wind Crystal BlueMage,Cabin,,8697747
2,Wind Crystal BlackMage,Shiva->Ramuh->Ifrit->Bahmut,,8697747
3,Wind Crystal WhiteMage,Knight Job Crystal,,8697747
4,Wind Crystal Monk,Speed->Requiem Song,,8697747
5,Wind Crystal Thief,Murasume,,8697747
6,Fire Crystal Mediator,L4Qrter->L3Flare->L2Old->L5Doom,,8697747
7,Fire Crystal Geomancer,Equip Rods,,8697747
8,Fire Crystal Ninja,Mythril Helm,,8697747
9,Black Choco Crystals Bard,Equip Armors,,8697747
10,Black Choco Crystals Hunter,Equip Harps,,8697747
11,Earth Crystal Samurai,GbnPnch->Emision->Missle->Blwfsh,,8697747
12,Earth Crystal Dragoon,Equip Spears,,8697747
13,Earth Crystal Chemist,Morning Star,,8697747
14,Earth Crystal Dancer,Bolt Black Magic Progressive,,8697747
15,Leviathan Esper Levia,Sylph->Crbnkl->Phenix->Syldra,,8697747
16,Titan Titan,Dimen Ability Progressive,,8697747
17,Carbuncle Crbnkl,Training Suit,,8697747
18,Syldra Syldra,HP +X%,,8697747
19,Odin Odin,Cover,,8697747
20,Phoenix Phenix,Tricorn Hat,,8697747
21,Bahamut Bahmut,Water Scroll,,8697747
22,Life (or Strength) Song from Crescent Town bard Vitality,Animals->Aim->X-Fight,,8697747
23,Temptation Song at Lix Charm,Toad->Bio->Flare,,8697747
24,Love Song at Istory Love,Wall Ring,,8697747
25,Requiem Song at Kelb Requiem,MgcSword Ability Progressive,,8697747
26,Speed Song at Surgate Speed,Bolt Sword Magic Progressive,,8697747
27,Magic Song at Ancient Library Magic,Golden Helm,,8697747
28,Power Song from Crescent Town Power,Golden Shield,,8697747
29,Hero Song from Crescent Town Hero,Giant's Gloves,,8697747
30,"Fork Tower, two Magics Holy",Monk Job Crystal,,8697747
31,"Fork Tower, two Magics Flare",MysticKnight Job Crystal,,8697747
32,Meteo Meteo,RisingSun,,8697747
33,"5 potions in Wind Shrine, bottom left guy Potion",Flash->Time Slip->DethClaw,,8697747
34,"8 potions, Pirate after Torna Canal Key acquired Potion",Fire Sword Magic Progressive,,8697747
35,Chancellor at Tycoon Healing Staff,Healing Staff,,8697747
36,Magisa & Forza Mythril Helm,Equip Axes,,8697747
37,CornaJar at Kelb CornaJar,Sleep->Bio->Flare Sword,,8697747
38,Ribbon from girl in Rugor Ribbon,Haste->Exit->Hast2->Quick,,8697747
39,Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Sleep->Bio->Flare Sword,,8697747
40,12 Kuzar Events Assassin,Flame Ring,,8697747
41,12 Kuzar Events Apollo's Harp,Shiva->Ramuh->Ifrit->Bahmut,,8697747
42,12 Kuzar Events Excalibur,Silver Plate,,8697747
43,12 Kuzar Events Flame Whip,Elf Cape,,8697747
44,12 Kuzar Events Earth Bell,Regen->Float->Reset->Xzone,,8697747
45,12 Kuzar Events Holy Lance,Guard Ring,,8697747
46,12 Kuzar Events Masamune,Thunder Whip,,8697747
47,12 Kuzar Events Wizard Rod,GilToss,,8697747
48,12 Kuzar Events Rune Axe,RuneEdge,,8697747
49,12 Kuzar Events Sage's Staff,BlackMage Job Crystal,,8697747
50,12 Kuzar Events Sasuke,Genji Helm,,8697747
51,12 Kuzar Events Yoichi Bow,Ice Rod,,8697747
52,Shiva Shiva,Charm->Hero@Song,,8697747
53,Ifrit Ifrit,Mute->Psych->Holy Sword,,8697747
54,Water Crystal Samurai,Revivify,,8697747
55,Water Crystal Berserker,Genji Armor,,8697747
56,Water Crystal MysticKnight,Power Wrist,,8697747
57,Water Crystal TimeMage,DoomCut,,8697747
58,Water Crystal Summoner,Rune Chime,,8697747
59,Brave Blade Brave Blade,Brave Blade,,8697747
60,Chicken Knife Chicken Knife,Animals->Aim->X-Fight,,8697747
61,Tycoon Castle Cabin Cabin,Dimen Ability Progressive,,8697747
62,Walse Tower Chest GoGo,Fire Bow,,8697747
63,Pyramid Top Pyramid Tablet,Cursed Shield,,8697747
64,Toad Event Toad,Morning Star,,8697747
65,Aegis Shield Chest Aegis Shield,Gale Bow,,8697747
66,Lone Wolf Barrel Cabin,Power->Vitality Song,,8697747
67,Lone Wolf Chest Thunder Whip,Thunder Whip,,8697747
68,Moat Item Epee,Bard Job Crystal,,8697747
69,Shop Backdoor Lamia Harp,Cursed Ring,,8697747
70,Top of the Falls Magic Lamp,Staff of Light,,8697747
71,Wind Shrine Chest Broadsword,490 gil,,8697747
72,Beginner's House Chest Ether,Tempest,,8697747
73,Beginner's House Chest 100,Lamia's Harp,,8697747
74,Beginner's House Chest Potion,Flame Scroll,MIB,8697747
75,Beginner's House Chest Phoenix Down,Red Shoes,,8697747
76,Beginner's House Chest Tent,Condemn->Roulette->AquaRake,,8697747
77,Beginner's House Chest Leather Shoes,Thunder Whip,,8697747
78,Pirate's Cave Chest Leather Cap,100 gil,,8697747
79,Pirate's Cave Chest Tent,25000 gil,,8697747
80,Pirate's Cave Chest Ether,Freelancer Job Crystal,,8697747
81,Pirate's Cave Chest 300,8000 gil,,8697747
82,Wind Shrine Chest Tent,Phoenix Down,,8697747
83,Wind Shrine Chest Leather Cap,Power->Vitality Song,,8697747
84,Wind Shrine Chest Staff,Speed Drink,,8697747
85,Tule Barrel 150,Flame Scroll,,8697747
86,Tule Box Leather Shoes,Iron Helm,,8697747
87,Tule Barrel Potion,10000 gil,,8697747
88,Tule Box Tent,Chocob->Titan->Golem->Odin,,8697747
89,Tule Bush Phoenix Down,9900 gil,,8697747
90,Ship Graveyard Chest Flail,2000 gil,,8697747
91,Ship Graveyard Chest Phoenix Down,100 gil,,8697747
92,Ship Graveyard Chest Tent,Soft,,8697747
93,Ship Graveyard Box 990,Fire Black Magic Progressive,,8697747
94,Ship Graveyard Chest Potion,1000 gil,,8697747
95,Ship Graveyard Chest Antidote,Gungnir,,8697747
96,Carwen Barrel Antidote,Summoner Job Crystal,,8697747
97,Carwen Box Ice Rod,8000 gil,,8697747
98,Carwen Pot 1000,Shiva->Ramuh->Ifrit->Bahmut,,8697747
99,North Mountain Chest Soft,9500 gil,,8697747
100,North Mountain Chest Phoenix Down,5000 gil,,8697747
101,Walse Town Pot Glasses,Spear,,8697747
102,Tycoon Castle Pot Hi-Potion,RuneEdge,,8697747
103,Tycoon Castle Pot Ether,Forged,,8697747
104,Tycoon Castle Barrel Elixir,HP +X%,,8697747
105,Tycoon Castle Barrel Phoenix Down,Defender Sword,,8697747
106,Tycoon Castle Barrel Cabin,Epee Sword,,8697747
107,Tycoon Castle Pot Elixir,Sylph->Crbnkl->Phenix->Syldra,,8697747
108,Tycoon Castle Pot Phoenix Down,Phoenix Down,,8697747
109,Tycoon Castle Pot Maiden's Kiss,Thornlet,,8697747
110,Tycoon Castle Chest Shuriken,4900 gil,,8697747
111,Tycoon Castle Chest Giyaman,15000 gil,,8697747
112,Tycoon Castle Chest Katana,White Ability Progressive,,8697747
113,Walse Castle Chest Elf Cape,2000 gil,,8697747
114,Walse Castle Pot 1000,2000 gil,,8697747
115,Walse Castle Pot Drag,Elf Cape,,8697747
116,Walse Castle Box 490,Staff of Light,,8697747
117,Walse Castle Barrel Tent,Bolt Sword Magic Progressive,,8697747
118,Walse Castle Barrel Phoenix Down,Silver Plate,,8697747
119,Walse Tower Chest Silk robe,Chain Whip,,8697747
120,Walse Tower Chest Maiden's Kiss,9000 gil,,8697747
121,Walse Tower Chest Silver Armlet,Summon Ability Progressive,,8697747
122,Walse Tower Chest Ether,Ether,,8697747
123,Tycoon Meteor Chest Phoenix Down,Comet->Meteo,,8697747
124,Karnak Castle Chest Gungnir,Broadsword,MIB,8697747
125,Karnak Castle Chest Thunder Scroll,Broadsword,MIB,8697747
126,Karnak Castle Chest 2000,Antidote,MIB,8697747
127,Karnak Castle Chest Elixir,Golden Helm,MIB,8697747
128,Karnak Castle Chest Ribbon,Soft,,8697747
129,Karnak Castle Chest Shuriken,Mythril Armor,MIB,8697747
130,Karnak Castle Chest Elf Cape,Wizard Rod,MIB,8697747
131,Karnak Castle Chest Guardian,Bone Mail,,8697747
132,Karnak Town Barrel Fire Rod,Ice Sword Magic Progressive,,8697747
133,Steamship Chest Cabin,FrogSong->TinySong->MoonFlut,,8697747
134,Steamship Chest Phoenix Down,Wall Ring,,8697747
135,Steamship Chest Elixir,5000 gil,,8697747
136,Steamship Chest GrnBeret,Fire Black Magic Progressive,,8697747
137,Steamship Chest Thief's Glove,HP +X%,,8697747
138,Ancient Library Chest Ether,Black Ability Progressive,,8697747
139,Ancient Library Chest Phoenix Down,RedMage Job Crystal,,8697747
140,Ancient Library Chest Stealth Suit,RuneEdge,,8697747
141,Jacole Cave Chest Shuriken,9900 gil,,8697747
142,Jacole Cave Chest Tent,9000 gil,,8697747
143,Ruined City Chest Shuriken,Magic->Love@Song,,8697747
144,Ruined City Chest Size,12000 gil,,8697747
145,Flying Lonka Ruins Chest Golden Armor,18000 gil,,8697747
