playthrough_log,all_keys_obtained_flag,completeable_seed_flag,sphere_num,tablets_sphere_num,sphere_zero_keys_num,seed
"Number of sphere zero keys: (7)
Sphere 0:	Big Bridge Key	 (Karlabos loc)
Sphere 0:	Trench Page	 (Siren loc)
Sphere 0:	Bracelet	 (Chim.Brain loc)
Sphere 0:	Falls Page	 (Puroboros loc)
Sphere 0:	Moogle Suit	 (HiryuuPlant loc)
Sphere 0:	Ifrit's Fire	 (Odin loc)
Sphere 0:	Pyramid Page	 (Bahamut loc)
Sphere 1:	Shrine Page	 (Byblos loc via Ifrit's Fire)
Sphere 1:	Hiryuu Call	 (Gilgamesh 2 loc via Big Bridge Key)
Sphere 1:	Sandworm Bait	 (Gilgamesh 3 & Enkidou loc via Hiryuu Call)
Sphere 1:	Anti Barrier	 (Stalker loc via Shrine Page)
Sphere 2:	Adamantite	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 3:	Submarine Key	 (ArchaeAvis loc via Adamantite)
Sphere 3:	2nd Tablet	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
Sphere 3:	Elder Branch	 (Leviathan loc via Submarine Key, Falls Page)
Sphere 3:	Steamship Key	 (GoGo loc via Submarine Key)
Sphere 4:	Canal Key	 (LiquiFlame loc via Steamship Key)
Sphere 4:	3rd Tablet	 (Guardians loc via Elder Branch)
Sphere 4:	Walse Tower Key	 (Omniscient loc via Elder Branch)
Sphere 4:	1st Tablet	 (Minotauros loc via Elder Branch)
All tablets NOT obtained.
All keys obtained.
",True,False,5,0,7,9551699
"Number of sphere zero keys: (9)
Sphere 0:	Anti Barrier	 (WingRaptor loc)
Sphere 0:	2nd Tablet	 (AdamanTiMi loc)
Sphere 0:	Sandworm Bait	 (Chim.Brain loc)
Sphere 0:	Steamship Key	 (Abductor loc)
Sphere 0:	3rd Tablet	 (HiryuuPlant loc)
Sphere 0:	Elder Branch	 (Merugene loc)
Sphere 0:	Submarine Key	 (Bahamut loc)
Sphere 0:	4th Tablet	 (Ifrit loc)
Sphere 0:	Big Bridge Key	 (Shiva loc)
Sphere 1:	Adamantite	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 1:	Bracelet	 (Sandworm loc via Sandworm Bait)
Sphere 1:	Falls Page	 (Sol Cannon loc via Adamantite)
Sphere 1:	Canal Key	 (ArchaeAvis loc via Adamantite)
Sphere 1:	Shrine Page	 (Atmos loc via Submarine Key)
Sphere 1:	1st Tablet	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 1:	Pyramid Page	 (Omniscient loc via Elder Branch)
Sphere 1:	Moogle Suit	 (Leviathan loc via Submarine Key, Falls Page)
Sphere 1:	Ifrit's Fire	 (Stalker loc via Shrine Page)
Sphere 1:	Trench Page	 (GoGo loc via Submarine Key)
Sphere 2:	Hiryuu Call	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
All tablets obtained (1 spheres).
All keys obtained.
",True,True,3,1,9,2866685
"Number of sphere zero keys: (11)
Sphere 0:	Elder Branch	 (WingRaptor loc)
Sphere 0:	Steamship Key	 (Karlabos loc)
Sphere 0:	Big Bridge Key	 (AdamanTiMi loc)
Sphere 0:	Ifrit's Fire	 (Puroboros loc)
Sphere 0:	Hiryuu Call	 (Titan loc)
Sphere 0:	Submarine Key	 (Abductor loc)
Sphere 0:	Adamantite	 (HiryuuPlant loc)
Sphere 0:	Sandworm Bait	 (Antlion loc)
Sphere 0:	Walse Tower Key	 (Bahamut loc)
Sphere 0:	Canal Key	 (Shiva loc)
Sphere 0:	1st Tablet	 (Crayclaw loc)
Sphere 1:	Falls Page	 (Galura loc via Walse Tower Key)
Sphere 1:	Anti Barrier	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 1:	Trench Page	 (Sandworm loc via Sandworm Bait)
Sphere 1:	Pyramid Page	 (ArchaeAvis loc via Adamantite)
Sphere 1:	4th Tablet	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 1:	Shrine Page	 (Gilgamesh 3 & Enkidou loc via Hiryuu Call)
Sphere 1:	2nd Tablet	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
Sphere 1:	Moogle Suit	 (Stalker loc via Shrine Page)
Sphere 1:	3rd Tablet	 (GoGo loc via Submarine Key)
All tablets obtained (1 spheres).
All keys obtained.
",True,True,2,1,11,9392476
"Number of sphere zero keys: (12)
Sphere 0:	Sandworm Bait	 (WingRaptor loc)
Sphere 0:	Falls Page	 (Magisa & Forza loc)
Sphere 0:	Submarine Key	 (AdamanTiMi loc)
Sphere 0:	Shrine Page	 (Titan loc)
Sphere 0:	Elder Branch	 (Tyrasaurus loc)
Sphere 0:	Anti Barrier	 (Abductor loc)
Sphere 0:	Steamship Key	 (HiryuuPlant loc)
Sphere 0:	1st Tablet	 (Antlion loc)
Sphere 0:	Pyramid Page	 (Merugene loc)
Sphere 0:	Moogle Suit	 (Odin loc)
Sphere 0:	Walse Tower Key	 (Shiva loc)
Sphere 0:	Trench Page	 (Crayclaw loc)
Sphere 1:	4th Tablet	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 1:	2nd Tablet	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 1:	Adamantite	 (Minotauros loc via Elder Branch)
Sphere 1:	Ifrit's Fire	 (Leviathan loc via Submarine Key, Falls Page)
Sphere 1:	Hiryuu Call	 (Stalker loc via Shrine Page)
Sphere 2:	Canal Key	 (Byblos loc via Ifrit's Fire)
All tablets NOT obtained.
All keys NOT obtained.
",False,False,100,0,12,43911
"Number of sphere zero keys: (7)
Sphere 0:	Walse Tower Key	 (Karlabos loc)
Sphere 0:	Adamantite	 (Siren loc)
Sphere 0:	Anti Barrier	 (AdamanTiMi loc)
Sphere 0:	Submarine Key	 (Chim.Brain loc)
Sphere 0:	Bracelet	 (Puroboros loc)
Sphere 0:	Elder Branch	 (Shiva loc)
Sphere 0:	3rd Tablet	 (Crayclaw loc)
Sphere 1:	Ifrit's Fire	 (Galura loc via Walse Tower Key)
Sphere 1:	Shrine Page	 (Sol Cannon loc via Adamantite)
Sphere 1:	4th Tablet	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 1:	Falls Page	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 1:	Steamship Key	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 1:	Pyramid Page	 (Minotauros loc via Elder Branch)
Sphere 1:	Big Bridge Key	 (Leviathan loc via Submarine Key, Falls Page)
Sphere 1:	Canal Key	 (Stalker loc via Shrine Page)
Sphere 1:	2nd Tablet	 (GoGo loc via Submarine Key)
Sphere 2:	Hiryuu Call	 (Byblos loc via Ifrit's Fire)
Sphere 2:	Sandworm Bait	 (LiquiFlame loc via Steamship Key)
Sphere 2:	Trench Page	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 2:	1st Tablet	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
All tablets obtained (2 spheres).
All keys obtained.
",True,True,3,2,7,6352659
"Number of sphere zero keys: (10)
Sphere 0:	Walse Tower Key	 (Karlabos loc)
Sphere 0:	3rd Tablet	 (Siren loc)
Sphere 0:	Submarine Key	 (Chim.Brain loc)
Sphere 0:	Trench Page	 (Tyrasaurus loc)
Sphere 0:	Pyramid Page	 (HiryuuPlant loc)
Sphere 0:	Anti Barrier	 (Odin loc)
Sphere 0:	Canal Key	 (Bahamut loc)
Sphere 0:	Adamantite	 (Ifrit loc)
Sphere 0:	Hiryuu Call	 (Shiva loc)
Sphere 0:	Bracelet	 (Crayclaw loc)
Sphere 1:	Sandworm Bait	 (Galura loc via Walse Tower Key)
Sphere 1:	2nd Tablet	 (Sandworm loc via Sandworm Bait)
Sphere 1:	Steamship Key	 (Sol Cannon loc via Adamantite)
Sphere 1:	Moogle Suit	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
Sphere 1:	Elder Branch	 (GoGo loc via Submarine Key)
Sphere 2:	4th Tablet	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 2:	Falls Page	 (Guardians loc via Elder Branch)
Sphere 2:	1st Tablet	 (Omniscient loc via Elder Branch)
Sphere 2:	Ifrit's Fire	 (Leviathan loc via Submarine Key, Falls Page)
Sphere 3:	Shrine Page	 (Byblos loc via Ifrit's Fire)
All tablets obtained (2 spheres).
All keys obtained.
",True,True,4,2,10,9246526
"Number of sphere zero keys: (8)
Sphere 0:	2nd Tablet	 (WingRaptor loc)
Sphere 0:	4th Tablet	 (Siren loc)
Sphere 0:	Canal Key	 (AdamanTiMi loc)
Sphere 0:	Walse Tower Key	 (Titan loc)
Sphere 0:	Adamantite	 (Abductor loc)
Sphere 0:	Sandworm Bait	 (Antlion loc)
Sphere 0:	Ifrit's Fire	 (Ifrit loc)
Sphere 0:	Anti Barrier	 (Crayclaw loc)
Sphere 1:	Hiryuu Call	 (Byblos loc via Ifrit's Fire)
Sphere 1:	1st Tablet	 (Sol Cannon loc via Adamantite)
Sphere 1:	Bracelet	 (ArchaeAvis loc via Adamantite)
Sphere 1:	Steamship Key	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 1:	Moogle Suit	 (Gilgamesh 3 & Enkidou loc via Hiryuu Call)
Sphere 1:	Elder Branch	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 1:	Submarine Key	 (Omniscient loc via Elder Branch)
Sphere 2:	Trench Page	 (LiquiFlame loc via Steamship Key)
Sphere 2:	Big Bridge Key	 (Atmos loc via Submarine Key)
Sphere 2:	3rd Tablet	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
Sphere 3:	Falls Page	 (Gilgamesh 2 loc via Big Bridge Key)
Sphere 3:	Pyramid Page	 (Leviathan loc via Submarine Key, Falls Page)
All tablets obtained (2 spheres).
All keys obtained.
",True,True,4,2,8,5186604
"Number of sphere zero keys: (9)
Sphere 0:	Steamship Key	 (WingRaptor loc)
Sphere 0:	Walse Tower Key	 (Karlabos loc)
Sphere 0:	Ifrit's Fire	 (Siren loc)
Sphere 0:	Sandworm Bait	 (Magisa & Forza loc)
Sphere 0:	Anti Barrier	 (AdamanTiMi loc)
Sphere 0:	Hiryuu Call	 (Titan loc)
Sphere 0:	2nd Tablet	 (Antlion loc)
Sphere 0:	Big Bridge Key	 (Bahamut loc)
Sphere 0:	Canal Key	 (Shiva loc)
Sphere 1:	Elder Branch	 (Byblos loc via Ifrit's Fire)
Sphere 1:	Moogle Suit	 (Sandworm loc via Sandworm Bait)
Sphere 1:	Falls Page	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 1:	Submarine Key	 (Gilgamesh 2 loc via Big Bridge Key)
Sphere 1:	Adamantite	 (Gilgamesh 3 & Enkidou loc via Hiryuu Call)
Sphere 1:	Bracelet	 (Omniscient loc via Elder Branch)
Sphere 1:	Pyramid Page	 (Minotauros loc via Elder Branch)
Sphere 1:	3rd Tablet	 (Leviathan loc via Submarine Key, Falls Page)
Sphere 2:	Shrine Page	 (Sol Cannon loc via Adamantite)
Sphere 2:	Trench Page	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 2:	4th Tablet	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
All tablets NOT obtained.
All keys obtained.
",True,False,3,0,9,1052351
"Number of sphere zero keys: (7)
Sphere 0:	Bracelet	 (Karlabos loc)
Sphere 0:	Shrine Page	 (Siren loc)
Sphere 0:	2nd Tablet	 (Puroboros loc)
Sphere 0:	Moogle Suit	 (HiryuuPlant loc)
Sphere 0:	1st Tablet	 (Antlion loc)
Sphere 0:	Anti Barrier	 (Bahamut loc)
Sphere 0:	Steamship Key	 (Ifrit loc)
Sphere 1:	Pyramid Page	 (LiquiFlame loc via Steamship Key)
Sphere 1:	3rd Tablet	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 1:	Trench Page	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 1:	Big Bridge Key	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 1:	Submarine Key	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 1:	Walse Tower Key	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
Sphere 1:	Hiryuu Call	 (GoGo loc via Submarine Key)
Sphere 2:	Adamantite	 (Galura loc via Walse Tower Key)
Sphere 2:	Sandworm Bait	 (Gilgamesh 2 loc via Big Bridge Key)
Sphere 2:	Ifrit's Fire	 (Gilgamesh 3 & Enkidou loc via Hiryuu Call)
Sphere 3:	Elder Branch	 (Byblos loc via Ifrit's Fire)
Sphere 3:	Falls Page	 (Omniscient loc via Elder Branch)
Sphere 3:	4th Tablet	 (Minotauros loc via Elder Branch)
All tablets obtained (3 spheres).
All keys obtained.
",True,True,4,3,7,3425245
"Number of sphere zero keys: (10)
Sphere 0:	Moogle Suit	 (WingRaptor loc)
Sphere 0:	Shrine Page	 (Siren loc)
Sphere 0:	Submarine Key	 (AdamanTiMi loc)
Sphere 0:	Trench Page	 (Chim.Brain loc)
Sphere 0:	Falls Page	 (Puroboros loc)
Sphere 0:	Canal Key	 (Tyrasaurus loc)
Sphere 0:	Adamantite	 (Odin loc)
Sphere 0:	Steamship Key	 (Bahamut loc)
Sphere 0:	1st Tablet	 (Shiva loc)
Sphere 0:	Walse Tower Key	 (Crayclaw loc)
Sphere 1:	3rd Tablet	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 1:	Sandworm Bait	 (Sol Cannon loc via Adamantite)
Sphere 1:	Elder Branch	 (ArchaeAvis loc via Adamantite)
Sphere 1:	4th Tablet	 (Atmos loc via Submarine Key)
Sphere 1:	Pyramid Page	 (Guardians loc via Elder Branch)
Sphere 1:	Big Bridge Key	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
Sphere 1:	Hiryuu Call	 (Omniscient loc via Elder Branch)
Sphere 1:	Bracelet	 (Leviathan loc via Submarine Key, Falls Page)
Sphere 2:	2nd Tablet	 (Gilgamesh 2 loc via Big Bridge Key)
All tablets obtained (2 spheres).
All keys NOT obtained.
",False,True,100,2,10,2277122
