boss,key,seed
Siren,Adamantite,9306751
Magisa & Forza,Pyramid Page,9306751
LiquiFlame,Trench Page,9306751
Sol Cannon,Shrine Page,9306751
Chim.Brain,Ifrit's Fire,9306751
Puroboros,Elder Branch,9306751
Titan,Hiryuu Call,9306751
Gilgamesh 2,1st Tablet,9306751
HiryuuPlant,Steamship Key,9306751
Guardians,Submarine Key,9306751
Carbunkle,Moogle Suit,9306751
Gilgamesh 4,4th Tablet,9306751
Merugene,3rd Tablet,9306751
Omniscient,Canal Key,9306751
Minotauros,Sandworm Bait,9306751
Stalker,Big Bridge Key,9306751
GoGo,Bracelet,9306751
Ifrit,Falls Page,9306751
Shiva,Anti Barrier,9306751
Byblos,Falls Page,7090102
Siren,Walse Tower Key,7090102
Galura,2nd Tablet,7090102
Sandworm,Canal Key,7090102
Sol Cannon,Hiryuu Call,7090102
Titan,Trench Page,7090102
Gilgamesh 1,Adamantite,7090102
Gilgamesh 2,Submarine Key,7090102
Abductor,Big Bridge Key,7090102
Gilgamesh 3 & Enkidou,Steamship Key,7090102
Atmos,Bracelet,7090102
Carbunkle,Shrine Page,7090102
Gilgamesh 4,4th Tablet,7090102
Antlion,Anti Barrier,7090102
Odin,Pyramid Page,7090102
"Triton, Neregeid & Phobos",3rd Tablet,7090102
Omniscient,Sandworm Bait,7090102
Minotauros,Moogle Suit,7090102
Bahamut,Ifrit's Fire,7090102
Shiva,1st Tablet,7090102
Byblos,Trench Page,5367912
Siren,Sandworm Bait,5367912
Galura,Pyramid Page,5367912
Sergeant & DeathClaw,Ifrit's Fire,5367912
AdamanTiMi,2nd Tablet,5367912
Chim.Brain,Shrine Page,5367912
Puroboros,Moogle Suit,5367912
Gilgamesh 1,Steamship Key,5367912
Tyrasaurus,Submarine Key,5367912
Abductor,Hiryuu Call,5367912
HiryuuPlant,Elder Branch,5367912
Gilgamesh 3 & Enkidou,Big Bridge Key,5367912
Atmos,Falls Page,5367912
Carbunkle,1st Tablet,5367912
Omniscient,3rd Tablet,5367912
Minotauros,Bracelet,5367912
Leviathan,Canal Key,5367912
Stalker,Adamantite,5367912
GoGo,Walse Tower Key,5367912
Bahamut,4th Tablet,5367912
Siren,Steamship Key,4344320
Magisa & Forza,2nd Tablet,4344320
LiquiFlame,Sandworm Bait,4344320
Sergeant & DeathClaw,Moogle Suit,4344320
Titan,Bracelet,4344320
Gilgamesh 2,Walse Tower Key,4344320
Abductor,4th Tablet,4344320
HiryuuPlant,Hiryuu Call,4344320
Atmos,Falls Page,4344320
Carbunkle,Big Bridge Key,4344320
Gilgamesh 4,Shrine Page,4344320
Antlion,Elder Branch,4344320
Merugene,Pyramid Page,4344320
Odin,Trench Page,4344320
"Triton, Neregeid & Phobos",3rd Tablet,4344320
Minotauros,Canal Key,4344320
Stalker,1st Tablet,4344320
Ifrit,Submarine Key,4344320
Shiva,Anti Barrier,4344320
Crayclaw,Ifrit's Fire,4344320
Karlabos,Trench Page,5465129
Siren,Ifrit's Fire,5465129
Magisa & Forza,Adamantite,5465129
Galura,Shrine Page,5465129
LiquiFlame,1st Tablet,5465129
Sergeant & DeathClaw,Moogle Suit,5465129
Sandworm,Pyramid Page,5465129
Chim.Brain,Walse Tower Key,5465129
Titan,Submarine Key,5465129
Gilgamesh 1,Big Bridge Key,5465129
Gilgamesh 2,Canal Key,5465129
Abductor,Steamship Key,5465129
Atmos,4th Tablet,5465129
Carbunkle,Hiryuu Call,5465129
Odin,Elder Branch,5465129
"Triton, Neregeid & Phobos",Falls Page,5465129
Minotauros,3rd Tablet,5465129
Leviathan,2nd Tablet,5465129
Stalker,Bracelet,5465129
Bahamut,Sandworm Bait,5465129
Byblos,Shrine Page,9551699
Karlabos,Big Bridge Key,9551699
Siren,Trench Page,9551699
LiquiFlame,Canal Key,9551699
ArchaeAvis,Submarine Key,9551699
Chim.Brain,Bracelet,9551699
Puroboros,Falls Page,9551699
Gilgamesh 1,Adamantite,9551699
Gilgamesh 2,Hiryuu Call,9551699
HiryuuPlant,Moogle Suit,9551699
Gilgamesh 3 & Enkidou,Sandworm Bait,9551699
Guardians,3rd Tablet,9551699
Odin,Ifrit's Fire,9551699
"Triton, Neregeid & Phobos",2nd Tablet,9551699
Omniscient,Walse Tower Key,9551699
Minotauros,1st Tablet,9551699
Leviathan,Elder Branch,9551699
Stalker,Anti Barrier,9551699
GoGo,Steamship Key,9551699
Bahamut,Pyramid Page,9551699
WingRaptor,Anti Barrier,2866685
Sergeant & DeathClaw,Adamantite,2866685
Sandworm,Bracelet,2866685
AdamanTiMi,2nd Tablet,2866685
Sol Cannon,Falls Page,2866685
ArchaeAvis,Canal Key,2866685
Chim.Brain,Sandworm Bait,2866685
Abductor,Steamship Key,2866685
HiryuuPlant,3rd Tablet,2866685
Atmos,Shrine Page,2866685
Gilgamesh 4,1st Tablet,2866685
Merugene,Elder Branch,2866685
"Triton, Neregeid & Phobos",Hiryuu Call,2866685
Omniscient,Pyramid Page,2866685
Leviathan,Moogle Suit,2866685
Stalker,Ifrit's Fire,2866685
GoGo,Trench Page,2866685
Bahamut,Submarine Key,2866685
Ifrit,4th Tablet,2866685
Shiva,Big Bridge Key,2866685
WingRaptor,Elder Branch,9392476
Karlabos,Steamship Key,9392476
Galura,Falls Page,9392476
Sergeant & DeathClaw,Anti Barrier,9392476
Sandworm,Trench Page,9392476
AdamanTiMi,Big Bridge Key,9392476
ArchaeAvis,Pyramid Page,9392476
Puroboros,Ifrit's Fire,9392476
Titan,Hiryuu Call,9392476
Gilgamesh 1,4th Tablet,9392476
Abductor,Submarine Key,9392476
HiryuuPlant,Adamantite,9392476
Gilgamesh 3 & Enkidou,Shrine Page,9392476
Antlion,Sandworm Bait,9392476
"Triton, Neregeid & Phobos",2nd Tablet,9392476
Stalker,Moogle Suit,9392476
GoGo,3rd Tablet,9392476
Bahamut,Walse Tower Key,9392476
Shiva,Canal Key,9392476
Crayclaw,1st Tablet,9392476
Byblos,Canal Key,43911
WingRaptor,Sandworm Bait,43911
Magisa & Forza,Falls Page,43911
Sergeant & DeathClaw,4th Tablet,43911
AdamanTiMi,Submarine Key,43911
Titan,Shrine Page,43911
Gilgamesh 1,2nd Tablet,43911
Gilgamesh 2,Bracelet,43911
Tyrasaurus,Elder Branch,43911
Abductor,Anti Barrier,43911
HiryuuPlant,Steamship Key,43911
Gilgamesh 4,3rd Tablet,43911
Antlion,1st Tablet,43911
Merugene,Pyramid Page,43911
Odin,Moogle Suit,43911
Minotauros,Adamantite,43911
Leviathan,Ifrit's Fire,43911
Stalker,Hiryuu Call,43911
Shiva,Walse Tower Key,43911
Crayclaw,Trench Page,43911
Byblos,Hiryuu Call,6352659
Karlabos,Walse Tower Key,6352659
Siren,Adamantite,6352659
Galura,Ifrit's Fire,6352659
LiquiFlame,Sandworm Bait,6352659
Sergeant & DeathClaw,Trench Page,6352659
AdamanTiMi,Anti Barrier,6352659
Sol Cannon,Shrine Page,6352659
Chim.Brain,Submarine Key,6352659
Puroboros,Bracelet,6352659
Gilgamesh 1,4th Tablet,6352659
Carbunkle,Falls Page,6352659
Gilgamesh 4,Steamship Key,6352659
"Triton, Neregeid & Phobos",1st Tablet,6352659
Minotauros,Pyramid Page,6352659
Leviathan,Big Bridge Key,6352659
Stalker,Canal Key,6352659
GoGo,2nd Tablet,6352659
Shiva,Elder Branch,6352659
Crayclaw,3rd Tablet,6352659
Byblos,Shrine Page,9246526
Karlabos,Walse Tower Key,9246526
Siren,3rd Tablet,9246526
Galura,Sandworm Bait,9246526
Sergeant & DeathClaw,4th Tablet,9246526
Sandworm,2nd Tablet,9246526
Sol Cannon,Steamship Key,9246526
Chim.Brain,Submarine Key,9246526
Tyrasaurus,Trench Page,9246526
HiryuuPlant,Pyramid Page,9246526
Guardians,Falls Page,9246526
Odin,Anti Barrier,9246526
"Triton, Neregeid & Phobos",Moogle Suit,9246526
Omniscient,1st Tablet,9246526
Leviathan,Ifrit's Fire,9246526
GoGo,Elder Branch,9246526
Bahamut,Canal Key,9246526
Ifrit,Adamantite,9246526
Shiva,Hiryuu Call,9246526
Crayclaw,Bracelet,9246526
Byblos,Hiryuu Call,5186604
WingRaptor,2nd Tablet,5186604
Siren,4th Tablet,5186604
LiquiFlame,Trench Page,5186604
AdamanTiMi,Canal Key,5186604
Sol Cannon,1st Tablet,5186604
ArchaeAvis,Bracelet,5186604
Titan,Walse Tower Key,5186604
Gilgamesh 1,Steamship Key,5186604
Gilgamesh 2,Falls Page,5186604
Abductor,Adamantite,5186604
Gilgamesh 3 & Enkidou,Moogle Suit,5186604
Atmos,Big Bridge Key,5186604
Gilgamesh 4,Elder Branch,5186604
Antlion,Sandworm Bait,5186604
"Triton, Neregeid & Phobos",3rd Tablet,5186604
Omniscient,Submarine Key,5186604
Leviathan,Pyramid Page,5186604
Ifrit,Ifrit's Fire,5186604
Crayclaw,Anti Barrier,5186604
Byblos,Elder Branch,1052351
WingRaptor,Steamship Key,1052351
Karlabos,Walse Tower Key,1052351
Siren,Ifrit's Fire,1052351
Magisa & Forza,Sandworm Bait,1052351
Sandworm,Moogle Suit,1052351
AdamanTiMi,Anti Barrier,1052351
Sol Cannon,Shrine Page,1052351
Titan,Hiryuu Call,1052351
Gilgamesh 1,Falls Page,1052351
Gilgamesh 2,Submarine Key,1052351
Gilgamesh 3 & Enkidou,Adamantite,1052351
Gilgamesh 4,Trench Page,1052351
Antlion,2nd Tablet,1052351
"Triton, Neregeid & Phobos",4th Tablet,1052351
Omniscient,Bracelet,1052351
Minotauros,Pyramid Page,1052351
Leviathan,3rd Tablet,1052351
Bahamut,Big Bridge Key,1052351
Shiva,Canal Key,1052351
Byblos,Elder Branch,3425245
Karlabos,Bracelet,3425245
Siren,Shrine Page,3425245
Galura,Adamantite,3425245
LiquiFlame,Pyramid Page,3425245
Sergeant & DeathClaw,3rd Tablet,3425245
Puroboros,2nd Tablet,3425245
Gilgamesh 1,Trench Page,3425245
Gilgamesh 2,Sandworm Bait,3425245
HiryuuPlant,Moogle Suit,3425245
Gilgamesh 3 & Enkidou,Ifrit's Fire,3425245
Carbunkle,Big Bridge Key,3425245
Gilgamesh 4,Submarine Key,3425245
Antlion,1st Tablet,3425245
"Triton, Neregeid & Phobos",Walse Tower Key,3425245
Omniscient,Falls Page,3425245
Minotauros,4th Tablet,3425245
GoGo,Hiryuu Call,3425245
Bahamut,Anti Barrier,3425245
Ifrit,Steamship Key,3425245
WingRaptor,Moogle Suit,2277122
Siren,Shrine Page,2277122
Sergeant & DeathClaw,3rd Tablet,2277122
AdamanTiMi,Submarine Key,2277122
Sol Cannon,Sandworm Bait,2277122
ArchaeAvis,Elder Branch,2277122
Chim.Brain,Trench Page,2277122
Puroboros,Falls Page,2277122
Gilgamesh 1,Ifrit's Fire,2277122
Gilgamesh 2,2nd Tablet,2277122
Tyrasaurus,Canal Key,2277122
Atmos,4th Tablet,2277122
Guardians,Pyramid Page,2277122
Odin,Adamantite,2277122
"Triton, Neregeid & Phobos",Big Bridge Key,2277122
Omniscient,Hiryuu Call,2277122
Leviathan,Bracelet,2277122
Bahamut,Steamship Key,2277122
Shiva,1st Tablet,2277122
Crayclaw,Walse Tower Key,2277122
