check,reward,mib,seed
Mirage Village Barrel Thief Knife,1000 gil,,849039
Rift (Ruins) Chest Ether,HP +X%,,849039
Rift (Ruins) Chest Cabin,Mediator Job Crystal,,849039
Rift (Ruins) Chest Elixir,Trident,,849039
Rift (Ruins) Chest DarkMatter,Gauntlets,,849039
Rift (Ruins) Chest Drain Sword,Sylph->Crbnkl->Phenix->Syldra,,849039
Rift (Forest) Chest DragonFang,Silver Plate,,849039
Rift (Forest) Chest Ribbon,GbnPnch->Emision->Missle->Blwfsh,,849039
Rift (Forest) Chest Enhancer,White Ability Progressive,,849039
Rift (Forest) Chest Lillith Rod,Fire Black Magic Progressive,,849039
Rift (Cave) Chest Angel Ring,Summon Ability Progressive,,849039
Rift (Cave) Chest Coral Ring,Tiger Mask,,849039
Rift (Castle) Chest Thor Hammer,DoomCut,,849039
Rift (Castle) Chest Running Shoes,Antdt->Image->Heal,,849039
Rift (Castle) Chest Red Shoes,Venom->Drain->Break Sword,,849039
Rift (Castle) Chest Rainbow Dress,Void->Demi->Qrter->Old,,849039
Rift (Castle) Chest ManEater,18000 gil,,849039
The Void Chest Pinwheel,20000 gil,,849039
The Void Chest Elixir,Bolt Sword Magic Progressive,,849039
The Void Chest Ragnarok,Bronze Armor,MIB,849039
WingRaptor New,Excalibur,,849039
Karlabos New,Flame Ring,,849039
LiquiFlame New,DblLance,,849039
AdamanTiMi New,Assassin,,849039
Chim.Brain New,Gold Hairpin,,849039
Puroboros New,Coral Ring,,849039
Gilgamesh 1 New,25000 gil,,849039
Gilgamesh 2 New,Excalibur,,849039
Abductor New,AntiMagic Bow,,849039
HiryuuPlant New,Running Shoes,,849039
Atmos New,Masamune,,849039
Carbunkle New,Angel Ring,,849039
"Triton, Neregeid & Phobos New",Running Shoes,,849039
Omniscient New,Diamond Shield,,849039
Leviathan New,Crystal Shield,,849039
Bahamut New,Judgement Staff,,849039
Ifrit New,Tempest,,849039
Shiva New,Coral Ring,,849039
