item_id,readable_name,valid,type,subtype,value,max_count,tier,textbox_addr,textmenu_addr,data_addr,shop_addr
27,Rune Axe,TRUE,weapon,axe,7,3,7,E75C08,D114DF,D101D4,D12A4E
28,Thor Hammer,TRUE,weapon,axe,7,1,7,E75C20,D114E8,D101E0,D12A50
29,Katana,TRUE,weapon,katana,1,3,1,E75C38,D114F1,D101EC,D12A52
2A,Air Blade,TRUE,weapon,katana,2,3,2,E75C50,D114FA,D101F8,D12A54
2B,Kotetsu,TRUE,weapon,katana,3,3,3,E75C68,D11503,D10204,D12A56
2C,Bizen,TRUE,weapon,katana,4,3,4,E75C80,D1150C,D10210,D12A58
2D,Forged,TRUE,weapon,katana,4,3,4,E75C98,D11515,D1021C,D12A5A
2E,Murasame,TRUE,weapon,katana,6,1,6,E75CB0,D1151E,D10228,D12A5C
2F,Masamune,TRUE,weapon,katana,7,1,7,E75CC8,D11527,D10234,D12A5E
30,Tempest,TRUE,weapon,katana,7,1,7,E75CE0,D11530,D10240,D12A60
31,Rod,TRUE,weapon,rod,1,3,1,E75CF8,D11539,D1024C,D12A62
32,Fire Rod,TRUE,weapon,rod,3,3,3,E75D10,D11542,D10258,D12A64
33,Ice Rod,TRUE,weapon,rod,3,3,3,E75D28,D1154B,D10264,D12A66
34,Thunder Rod,TRUE,weapon,rod,3,3,3,E75D40,D11554,D10270,D12A68
35,Venom Rod,TRUE,weapon,rod,3,3,3,E75D58,D1155D,D1027C,D12A6A
36,Lillith Rod,TRUE,weapon,rod,4,3,4,E75D70,D11566,D10288,D12A6C
37,Wizard Rod,TRUE,weapon,rod,4,3,4,E75D88,D1156F,D10294,D12A6E
38,Staff,TRUE,weapon,staff,1,3,1,E75DA0,D11578,D102A0,D12A70
39,Mythril Staff,TRUE,weapon,staff,2,3,2,E75DB8,D11581,D102AC,D12A72
3A,Power Staff,TRUE,weapon,staff,3,3,3,E75DD0,D1158A,D102B8,D12A74
3B,Healing Staff,TRUE,weapon,staff,3,3,3,E75DE8,D11593,D102C4,D12A76
3C,Staff of Light,TRUE,weapon,staff,5,3,5,E75E00,D1159C,D102D0,D12A78
3D,Sage's Staff,TRUE,weapon,staff,7,3,7,E75E18,D115A5,D102DC,D12A7A
3E,Judgement Staff,TRUE,weapon,staff,7,1,7,E75E30,D115AE,D102E8,D12A7C
3F,Fire Bow,TRUE,weapon,bow,2,3,2,E75E48,D115B7,D102F4,D12A7E
40,Ice Bow,TRUE,weapon,bow,2,3,2,E75E60,D115C0,D10300,D12A80
41,Thunder Bow,TRUE,weapon,bow,2,3,2,E75E78,D115C9,D1030C,D12A82
42,Darkness Bow,TRUE,weapon,bow,2,3,3,E75E90,D115D2,D10318,D12A84
43,Killer Bow,TRUE,weapon,bow,2,3,3,E75EA8,D115DB,D10324,D12A86
44,Elven Bow,TRUE,weapon,bow,3,3,3,E75EC0,D115E4,D10330,D12A88
45,Yoichi Bow,TRUE,weapon,bow,4,1,7,E75ED8,D115ED,D1033C,D12A8A
46,Artemis Bow,TRUE,weapon,bow,4,1,8,E75EF0,D115F6,D10348,D12A8C
47,Silver Harp,TRUE,weapon,harp,1,3,1,E75F08,D115FF,D10354,D12A8E
48,Dream Harp,TRUE,weapon,harp,2,3,2,E75F20,D11608,D10360,D12A90
49,Lamia's Harp,TRUE,weapon,harp,3,3,3,E75F38,D11611,D1036C,D12A92
4A,Apollo's Harp,TRUE,weapon,harp,7,1,7,E75F50,D1161A,D10378,D12A94
4B,Whip,TRUE,weapon,whip,1,3,1,E75F68,D11623,D10384,D12A96
4C,Chain Whip,TRUE,weapon,whip,2,3,2,E75F80,D1162C,D10390,D12A98
4D,Thunder Whip,TRUE,weapon,whip,3,3,3,E75F98,D11635,D1039C,D12A9A
4E,Flame Whip,TRUE,weapon,whip,4,3,7,E75FB0,D1163E,D103A8,D12A9C
4F,Dragon's Whisker,TRUE,weapon,whip,7,1,7,E75FC8,D11647,D103B4,D12A9E
50,Giyaman,TRUE,weapon,bell,1,3,1,E75FE0,D11650,D103C0,D12AA0
51,Earth Bell,TRUE,weapon,bell,2,3,2,E75FF8,D11659,D103CC,D12AA2
52,Rune Chime,TRUE,weapon,bell,3,1,3,E76010,D11662,D103D8,D12AA4
53,Tinkerbell,TRUE,weapon,bell,7,1,7,E76028,D1166B,D103E4,D12AA6
54,Sabre (*Dummy),FALSE,dummy,dummy,0,0,0,E76040,D11674,D103F0,D12AA8
55,Drain Sword,TRUE,weapon,sword,3,3,3,E76058,D1167D,D103FC,D12AAA
56,RuneEdge,TRUE,weapon,sword,5,3,5,E76070,D11686,D10408,D12AAC
57,Flametongue,TRUE,weapon,sword,5,3,5,E76088,D1168F,D10414,D12AAE
58,IceBrand,TRUE,weapon,sword,5,3,5,E760A0,D11698,D10420,D12AB0
59,Full Moon,TRUE,weapon,flail,6,3,6,E760B8,D116A1,D1042C,D12AB2
5A,Shuriken,TRUE,item,throw,3,3,3,E760D0,D116AA,D10438,D12AB4
5B,Pinwheel,TRUE,item,throw,5,3,5,E760E8,D116B3,D10444,D12AB6
5C,Excailbur,FALSE,item,throw,1,1,1,E76100,D116BC,D10450,D12AB8
5D,BeastKiller,TRUE,weapon,whip,5,3,5,E76118,D116C5,D1045C,D12ABA
5E,Flail,TRUE,weapon,flail,3,3,3,E76130,D116CE,D10468,D12ABC
5F,Morning Star,TRUE,weapon,flail,5,3,5,E76148,D116D7,D10474,D12ABE
60,Wonder Wand,TRUE,weapon,rod,5,1,5,E76160,D116E0,D10480,D12AC0
61,Brave Blade,FALSE,weapon,sword,8,1,8,E76178,D116E9,D1048C,D12AC2
62,Soot,FALSE,weapon,flail,1,3,1,E76190,D116F2,D10498,D12AC4
63,Chicken Knife,FALSE,weapon,knife,8,1,8,E761A8,D116FB,D104A4,D12AC6
64,RisingSun,TRUE,weapon,flail,9,1,9,E761C0,D11704,D104B0,D12AC8
65,Silver Bow,TRUE,weapon,bow,3,3,3,E761D8,D1170D,D104BC,D12ACA
66,Gale Bow,TRUE,weapon,bow,3,3,3,E761F0,D11716,D104C8,D12ACC
67,AntiMagic Bow,TRUE,weapon,bow,4,3,4,E76208,D1171F,D104D4,D12ACE
68,Avis Killer,TRUE,weapon,bow,4,3,4,E76220,D11728,D104E0,D12AD0
69,DoomCut,TRUE,weapon,axe,5,3,5,E76238,D11731,D104EC,D12AD2
6A,Giant's Axe,TRUE,weapon,axe,5,3,5,E76250,D1173A,D104F8,D12AD4
6B,ManEater,TRUE,weapon,knife,6,3,6,E76268,D11743,D10504,D12AD6
6C,Thief Knife,TRUE,weapon,knife,3,1,3,E76280,D1174C,D10510,D12AD8
6D,Dancing Dagger,TRUE,weapon,knife,4,1,4,E76298,D11755,D1051C,D12ADA
6E,Enhancer,TRUE,weapon,sword,5,3,5,E762B0,D1175E,D10528,D12ADC
