idx,enemy_name,enemy_rank,tier,num_gauge_time,num_phys_power,num_phys_mult,num_evade,num_phys_def,num_mag_power,num_mag_def,num_mag_evade,num_mp,ai_starting_address,ai_write_loc,ai_skills,ai_hp_write_loc,ai_hp_mult
262,Forza,boss,3,45,80,9,0,10,0,5,5,100,D0B318,[],[],[],[]
262,Forza,boss,4,45,110,9,0,15,0,5,10,100,D0B318,[],[],[],[]
263,Magisa,boss,1,30,14,5,0,0,1,0,0,200,D0B323,"[42,43,44,46,47,48]","[Fire,Ice,Bolt,Aero,Specialty,Drain]",[6],[0.46]
263,Magisa,boss,2,35,50,5,5,0,40,10,5,500,D0B323,"[42,43,44,46,47,48]","[Fire2,Ice2,Bolt2,Aero2,Specialty,Drain]",[6],[0.46]
263,Magisa,boss,3,38,80,5,5,0,70,20,5,800,D0B323,"[42,43,44,46,47,48]","[Fire2,Ice2,Bolt2,Aero3,Specialty,Drain]",[6],[0.46]
263,Magisa,boss,4,40,110,5,10,0,50,30,10,1000,D0B323,"[42,43,44,46,47,48]","[Fire3,Ice3,Bolt3,Aero3,Specialty,Drain]",[6],[0.46]
264,Galura,boss,1,31,15,9,0,7,0,4,0,100,d0b356,[],[],[20],[0.66]
264,Galura,boss,2,31,50,9,0,7,0,4,0,100,d0b356,[],[],[20],[0.66]
264,Galura,boss,3,31,75,9,0,7,0,4,0,100,d0b356,[],[],[20],[0.66]
264,Galura,boss,4,31,130,9,0,7,0,4,0,100,d0b356,[],[],[20],[0.66]
265,LiquiFlame,boss,1,35,18,11,20,0,10,15,0,100,d0b37b,"[6,7,8]","[Fight,Specialty,Flame]",[],[]
265,LiquiFlame,boss,2,37,32,11,20,0,10,15,0,200,d0b37b,"[6,7,8]","[Fight,Specialty,Flame]",[],[]
265,LiquiFlame,boss,3,42,44,11,20,0,10,15,0,400,d0b37b,"[6,7,8]","[Fight,Specialty,Flame]",[],[]
265,LiquiFlame,boss,4,46,72,11,20,0,10,15,0,800,d0b37b,"[6,7,8]","[Fight,Specialty,Flame]",[],[]
266,LiquiFlame,boss,1,35,18,8,10,0,30,30,0,30,d0b395,[19],[Fire],[],[]
266,LiquiFlame,boss,2,37,32,8,10,0,30,30,0,90,d0b395,[19],[Fire2],[],[]
266,LiquiFlame,boss,3,42,44,8,10,0,0,30,0,270,d0b395,[19],[Fire3],[],[]
266,LiquiFlame,boss,4,46,72,8,10,0,30,30,0,600,d0b395,[19],[Flare],[],[]
267,LiquiFlame,boss,1,35,18,5,30,0,20,15,0,50,D0B3AF,[9],[Fire],[],[]
267,LiquiFlame,boss,2,37,32,5,30,0,20,15,0,100,D0B3AF,[9],[Fire2],[],[]
267,LiquiFlame,boss,3,42,44,5,30,0,20,15,0,200,D0B3AF,[9],[Fire3],[],[]
267,LiquiFlame,boss,4,46,72,5,30,0,20,15,0,400,D0B3AF,[9],[Fire3],[],[]
268,Commander,boss,1,25,8,6,10,0,10,0,0,200,d0b3ca,[],[],[],[]
268,Commander,boss,2,25,21,6,10,0,10,0,0,200,d0b3ca,[],[],[],[]
268,Commander,boss,3,25,42,6,10,0,10,0,0,200,d0b3ca,[],[],[],[]
268,Commander,boss,4,25,75,6,10,0,10,0,0,200,d0b3ca,[],[],[],[]
269,Sandworm,boss,1,50,10,7,0,0,1,10,10,10125,d0b3d5,"[6,7,8]","[Fight,Fight,Quicksand]",[],[]
269,Sandworm,boss,2,50,30,8,0,0,1,10,10,10125,d0b3d5,"[6,7,8]","[Fight,Quicksand,Quicksand]",[],[]
269,Sandworm,boss,3,50,65,10,0,0,1,10,10,10125,d0b3d5,"[6,7,8]","[Fight,Quicksand,Quicksand]",[],[]
269,Sandworm,boss,4,50,100,10,0,0,1,10,10,10125,d0b3d5,"[6,7,8]","[Fight,Fight,Quicksand]",[],[]
270,Hole,boss,1,1,25,10,0,0,1,10,10,10125,d0b3F1,[12],[Demi],[],[]
270,Hole,boss,2,1,25,10,0,0,1,10,10,10125,d0b3F1,[12],[Demi],[],[]
270,Hole,boss,3,1,25,10,0,0,1,10,10,10125,d0b3F1,[12],[Quarter],[],[]
270,Hole,boss,4,1,25,10,0,0,1,10,10,10125,d0b3F1,[12],[Quarter],[],[]
271,Hole,boss,1,98,7,2,0,0,1,10,10,10125,d0b3Ff,[],[],[],[]
271,Hole,boss,2,98,7,2,0,0,1,10,10,10125,d0b3Ff,[],[],[],[]
271,Hole,boss,3,98,7,2,0,0,1,10,10,10125,d0b3Ff,[],[],[],[]
271,Hole,boss,4,98,7,2,0,0,1,10,10,10125,d0b3Ff,[],[],[],[]
272,AdamanTiMi,boss,1,30,8,12,0,25,0,5,50,125,d0b41a,[],[],[],[]
272,AdamanTiMi,boss,2,30,31,18,0,25,0,5,50,125,d0b41a,[],[],[],[]
272,AdamanTiMi,boss,3,30,50,18,0,25,0,5,50,125,d0b41a,[],[],[],[]
272,AdamanTiMi,boss,4,30,85,18,0,25,0,5,50,125,d0b41a,[],[],[],[]
276,Sol Cannon,boss,1,55,7,2,0,5,1,10,10,1000,d0b4a1,[],[],[],[]
276,Sol Cannon,boss,2,55,7,2,0,5,1,10,10,1000,d0b4a1,[],[],[],[]
276,Sol Cannon,boss,3,60,7,2,0,5,1,10,10,1000,d0b4a1,[],[],[],[]
276,Sol Cannon,boss,4,60,7,2,0,5,1,10,10,1000,d0b4a1,[],[],[],[]
277,ArchaeAvis,boss,1,30,12,7,10,6,1,2,0,2000,d0b4f8,"[6,7,8]","[Fight,BreathWing,Specialty]",[],[]
277,ArchaeAvis,boss,2,30,39,7,10,12,1,6,0,2000,d0b4f8,"[6,7,8]","[Fight,BreathWing,Specialty]",[],[]
277,ArchaeAvis,boss,3,30,65,7,10,18,1,8,0,2000,d0b4f8,"[6,7,8]","[Fight,BreathWing,Specialty]",[],[]
277,ArchaeAvis,boss,4,30,105,7,10,28,1,10,0,2000,d0b4f8,"[6,7,8]","[Fight,BreathWing,Specialty]",[],[]
278,ArchaeAvis,boss,1,30,12,7,10,7,1,4,0,2000,d0b50D,"[6,7,8]","[Fight,MiniBlaze,Specialty]",[],[]
278,ArchaeAvis,boss,2,30,39,7,10,13,1,12,0,2000,d0b50D,"[6,7,8]","[Fight,MiniBlaze,Specialty]",[],[]
278,ArchaeAvis,boss,3,30,65,7,10,19,1,14,0,2000,d0b50D,"[6,7,8]","[Fight,Blaze,Specialty]",[],[]
278,ArchaeAvis,boss,4,30,105,7,10,32,1,18,0,2000,d0b50D,"[6,7,8]","[Fight,Blaze,Specialty]",[],[]
279,ArchaeAvis,boss,1,30,12,7,10,8,1,8,0,2000,d0b522,"[6,7,8]","[Fight,Fight,Specialty]",[],[]
279,ArchaeAvis,boss,2,30,39,7,10,14,1,18,0,2000,d0b522,"[6,7,8]","[Fight,MiniBlaze,Specialty]",[],[]
279,ArchaeAvis,boss,3,30,65,7,10,20,1,23,0,2000,d0b522,"[6,7,8]","[Fight,Flame,Specialty]",[],[]
279,ArchaeAvis,boss,4,30,105,7,10,30,1,30,0,2000,d0b522,"[6,7,8]","[Fight,Flame,Specialty]",[],[]
280,ArchaeAvis,boss,1,30,12,7,10,9,1,12,0,2000,d0b537,"[6,7,8]","[Fight,Fight,Specialty]",[],[]
280,ArchaeAvis,boss,2,30,39,7,10,16,1,24,0,2000,d0b537,"[6,7,8]","[Fight,Thunder,Specialty]",[],[]
280,ArchaeAvis,boss,3,30,65,7,10,23,1,32,0,2000,d0b537,"[6,7,8]","[Fight,Thunder,Specialty]",[],[]
280,ArchaeAvis,boss,4,30,105,7,10,32,1,36,0,2000,d0b537,"[6,7,8]","[Fight,Thunder,Specialty]",[],[]
281,ArchaeAvis,boss,1,35,12,9,10,8,1,15,0,2000,d0b561,"[6,7,8,10,11,12,14,15,16,18,19,20,22,23,24,26,27,28,30,31,32,34,35,36]","[BreathWing,Maelstrom,Specialty,Entangle,Fight,Specialty,Flame,Maelstrom,Specialty,Entangle,Fight,Specialty,Thunder,Maelstrom,Specialty,Entangle,Fight,Specialty,MiniBlaze,Maelstrom,Specialty,Entangle,Fight,Specialty]",[],[]
281,ArchaeAvis,boss,2,35,42,9,10,10,1,30,0,2000,d0b561,"[6,7,8,10,11,12,14,15,16,18,19,20,22,23,24,26,27,28,30,31,32,34,35,36]","[BreathWing,Maelstrom,Specialty,Entangle,Fight,Specialty,Flame,Maelstrom,Specialty,Entangle,Fight,Specialty,Thunder,Maelstrom,Specialty,Entangle,Fight,Specialty,MiniBlaze,Maelstrom,Specialty,Entangle,Fight,Specialty]",[],[]
281,ArchaeAvis,boss,3,35,70,9,10,12,1,35,0,2000,d0b561,"[6,7,8,10,11,12,14,15,16,18,19,20,22,23,24,26,27,28,30,31,32,34,35,36]","[BreathWing,Maelstrom,Specialty,Entangle,Fight,Specialty,Flame,Maelstrom,Specialty,Entangle,Fight,Specialty,Thunder,Maelstrom,Specialty,Entangle,Fight,Specialty,Blaze,Maelstrom,Specialty,Entangle,Fight,Specialty]",[],[]
281,ArchaeAvis,boss,4,35,115,9,10,16,1,40,0,2000,d0b561,"[6,7,8,10,11,12,14,15,16,18,19,20,22,23,24,26,27,28,30,31,32,34,35,36]","[BreathWing,Maelstrom,Specialty,Entangle,Fight,Specialty,Flame,Maelstrom,Specialty,Entangle,Fight,Specialty,Thunder,Maelstrom,Specialty,Entangle,Fight,Specialty,Blaze,Maelstrom,Specialty,Entangle,Fight,Specialty]",[],[]
282,Chim.Brain,boss,1,30,10,7,10,10,1,20,0,1000,d0b588,"[6,7,8,10,11,12]","[Fight,Fight,Specialty,AquaRake,MiniBlaze,Fight]",[],[]
282,Chim.Brain,boss,2,35,40,7,10,10,1,20,0,1000,d0b588,"[6,7,8,10,11,12]","[AquaRake,Fight,Specialty,AquaRake,Blaze,MiniBlaze]",[],[]
282,Chim.Brain,boss,3,35,65,7,10,10,1,20,0,1000,d0b588,"[6,7,8,10,11,12]","[AquaRake,Fight,Specialty,AquaRake,Blaze,Blaze]",[],[]
282,Chim.Brain,boss,4,40,110,7,10,10,30,20,0,1000,d0b588,"[6,7,8,10,11,12]","[AquaRake,Fight,Specialty,AquaRake,Blaze,Blaze]",[],[]
283,Titan,boss,1,25,5,20,10,10,0,0,0,2000,d0b597,"[6,7,8,10,11,12]","[Fight,Fight,Specialty,Fight,Quicksand,Specialty]",[],[]
283,Titan,boss,2,25,45,9,10,10,0,0,0,2000,d0b597,"[6,7,8,10,11,12]","[Fight,Fight,Specialty,Fight,Quicksand,Specialty]",[],[]
283,Titan,boss,3,25,85,10,10,10,0,0,0,2000,d0b597,"[6,7,8,10,11,12]","[Fight,Fight,Specialty,Fight,EarthShaker,Specialty]",[],[]
283,Titan,boss,4,25,120,11,10,10,0,0,0,2000,d0b597,"[6,7,8,10,11,12]","[Fight,Fight,Specialty,Fight,EarthShaker,Specialty]",[],[]
284,Puroboros,boss,1,20,8,7,0,0,10,0,0,100,d0b5ce,[],[],[],[]
284,Puroboros,boss,2,20,45,7,0,0,10,0,0,100,d0b5ce,[],[],[],[]
284,Puroboros,boss,3,20,65,7,0,0,10,0,0,100,d0b5ce,[],[],[],[]
284,Puroboros,boss,4,20,110,7,0,0,10,0,0,100,d0b5ce,[],[],[],[]
286,Gilgamesh,boss,1,25,15,6,0,0,0,0,0,2000,d0b5dd,[],[],[24],[0.87]
286,Gilgamesh,boss,2,25,40,6,0,0,0,0,0,2000,d0b5dd,[],[],[24],[0.87]
286,Gilgamesh,boss,3,25,90,6,0,0,0,0,0,2000,d0b5dd,[],[],[24],[0.87]
286,Gilgamesh,boss,4,25,140,6,0,0,0,0,0,2000,d0b5dd,[],[],[24],[0.87]
291,Gilgamesh,boss,1,45,15,7,10,8,0,10,0,1000,d0b63a,[],[],[58],[0.38]
291,Gilgamesh,boss,2,45,40,7,10,14,0,10,0,1000,d0b63a,[],[],[58],[0.38]
291,Gilgamesh,boss,3,45,90,7,10,17,0,10,0,1000,d0b63a,[],[],[58],[0.38]
291,Gilgamesh,boss,4,45,140,7,10,20,0,10,0,1000,d0b63a,[],[],[58],[0.38]
292,Tyrasaurus,boss,1,50,15,8,0,10,0,10,0,1000,d0b69c,[],[],[],[]
292,Tyrasaurus,boss,2,50,45,8,0,20,0,20,0,1000,d0b69c,[],[],[],[]
292,Tyrasaurus,boss,3,50,75,8,0,25,0,25,0,1000,d0b69c,[],[],[],[]
292,Tyrasaurus,boss,4,50,120,8,0,30,0,30,0,1000,d0b69c,[],[],[],[]
293,Shiva,boss,1,20,14,6,0,0,0,0,0,1000,d0b6b7,"[9,14]","[Ice,Ice]",[],[]
293,Shiva,boss,2,25,25,6,0,0,0,5,0,1000,d0b6b7,"[9,14]","[Ice2,Ice2]",[],[]
293,Shiva,boss,3,30,40,6,0,0,10,10,20,1000,d0b6b7,"[9,14]","[Ice3,Ice3]",[],[]
293,Shiva,boss,4,35,70,6,0,0,20,20,40,1000,d0b6b7,"[9,14]","[Snowstorm,Ice3]",[],[]
294,Abductor,boss,1,35,12,6,0,0,0,0,0,1000,d0b6c8,[],[],[],[]
294,Abductor,boss,2,35,40,6,0,5,50,8,0,1000,d0b6c8,[],[],[],[]
294,Abductor,boss,3,35,70,7,0,10,50,16,0,1000,d0b6c8,[],[],[],[]
294,Abductor,boss,4,35,110,8,0,15,100,24,0,1000,d0b6c8,[],[],[],[]
295,HiryuuPlant,boss,1,39,20,6,0,0,50,40,0,1000,d0b6d7,[],[],[],[]
295,HiryuuPlant,boss,2,42,40,6,0,0,50,45,0,1000,d0b6d7,[],[],[],[]
295,HiryuuPlant,boss,3,45,65,8,0,0,50,50,0,1000,d0b6d7,[],[],[],[]
295,HiryuuPlant,boss,4,48,100,8,0,0,50,55,0,1000,d0b6d7,[],[],[],[]
296,HiryuuFlowr,boss,1,22,3,20,0,0,30,30,30,1000,d0b716,[],[],[],[]
296,HiryuuFlowr,boss,2,22,5,20,0,0,40,40,30,1000,d0b716,[],[],[],[]
296,HiryuuFlowr,boss,3,22,15,20,0,0,50,50,30,1000,d0b716,[],[],[],[]
296,HiryuuFlowr,boss,4,22,20,20,0,0,60,60,30,1000,d0b716,[],[],[],[]
297,HiryuuFlowr,boss,1,17,3,20,0,0,30,30,30,1000,d0b721,[],[],[],[]
297,HiryuuFlowr,boss,2,17,5,20,0,0,40,40,30,1000,d0b721,[],[],[],[]
297,HiryuuFlowr,boss,3,17,15,20,0,0,50,50,30,1000,d0b721,[],[],[],[]
297,HiryuuFlowr,boss,4,17,20,20,0,0,60,60,30,1000,d0b721,[],[],[],[]
298,HiryuuFlowr,boss,1,27,3,20,0,0,30,30,30,1000,d0b72C,[],[],[],[]
298,HiryuuFlowr,boss,2,27,5,20,0,0,40,40,30,1000,d0b72C,[],[],[],[]
298,HiryuuFlowr,boss,3,27,15,20,0,0,50,50,30,1000,d0b72C,[],[],[],[]
298,HiryuuFlowr,boss,4,27,20,20,0,0,60,60,30,1000,d0b72C,[],[],[],[]
299,HiryuuFlowr,boss,1,22,3,20,0,0,30,30,30,1000,d0b737,[],[],[],[]
299,HiryuuFlowr,boss,2,22,5,20,0,0,40,40,30,1000,d0b737,[],[],[],[]
299,HiryuuFlowr,boss,3,22,15,20,0,0,50,50,30,1000,d0b737,[],[],[],[]
299,HiryuuFlowr,boss,4,22,20,20,0,0,60,60,30,1000,d0b737,[],[],[],[]
300,HiryuuFlowr,boss,1,18,3,20,0,0,30,30,30,1000,d0b742,[],[],[],[]
300,HiryuuFlowr,boss,2,18,5,20,0,0,40,40,30,1000,d0b742,[],[],[],[]
300,HiryuuFlowr,boss,3,18,15,20,0,0,50,50,30,1000,d0b742,[],[],[],[]
300,HiryuuFlowr,boss,4,18,20,20,0,0,60,60,30,1000,d0b742,[],[],[],[]
301,Gilgamesh,boss,1,45,20,5,5,5,25,5,10,888,d0b74d,[],[],[20],[0.67]
301,Gilgamesh,boss,2,46,50,5,10,10,40,10,10,888,d0b74d,[],[],[20],[0.67]
301,Gilgamesh,boss,3,47,75,6,15,15,55,15,10,888,d0b74d,[],[],[20],[0.67]
301,Gilgamesh,boss,4,48,105,7,20,20,70,20,10,888,d0b74d,[],[],[20],[0.67]
302,Enkidou,boss,1,45,20,5,10,0,20,0,20,1000,d0b7b9,[7],[Aero],[],[]
302,Enkidou,boss,2,46,50,5,20,0,30,0,20,1000,d0b7b9,[7],[Aero2],[],[]
302,Enkidou,boss,3,47,75,5,25,0,40,0,20,1000,d0b7b9,[7],[Aero3],[],[]
302,Enkidou,boss,4,48,105,5,30,0,50,0,20,1000,d0b7b9,[7],[Aero3],[],[]
303,Atmos,boss,1,36,10,10,0,14,80,20,20,10000,d0b7de,[],[],[],[]
303,Atmos,boss,2,40,10,10,0,14,80,20,20,10000,d0b7de,[],[],[],[]
303,Atmos,boss,3,44,10,10,0,14,80,20,20,10000,d0b7de,[],[],[],[]
303,Atmos,boss,4,48,10,10,0,14,80,20,20,10000,d0b7de,[],[],[],[]
304,Guardian,boss,1,30,15,10,0,3,0,5,10,10000,d0b85c,[9],[Fire],[2],[0.38]
304,Guardian,boss,2,35,40,10,0,7,15,10,15,10000,d0b85c,[9],[Fire2],[2],[0.38]
304,Guardian,boss,3,40,60,10,0,10,15,20,20,10000,d0b85c,[9],[Fire3],[2],[0.38]
304,Guardian,boss,4,45,90,10,0,13,15,25,20,10000,d0b85c,[9],[Fire3],[2],[0.38]
305,Guardian,boss,1,30,15,10,0,3,1,5,10,10000,d0b872,[5],[Quicksand],[2],[0.38]
305,Guardian,boss,2,35,40,10,0,7,1,10,15,10000,d0b872,[5],[Quicksand],[2],[0.38]
305,Guardian,boss,3,40,60,10,0,10,1,20,20,10000,d0b872,[5],[EarthShaker],[2],[0.38]
305,Guardian,boss,4,45,90,10,0,13,1,25,20,10000,d0b872,[5],[Quake],[2],[0.38]
306,Guardian,boss,1,35,15,10,0,3,0,5,10,10000,d0b884,[5],[MiniBlaze],[2],[0.38]
306,Guardian,boss,2,40,40,10,0,7,5,10,15,10000,d0b884,[5],[MiniBlaze],[2],[0.38]
306,Guardian,boss,3,45,60,10,0,10,15,20,20,10000,d0b884,[5],[AquaRake],[2],[0.38]
306,Guardian,boss,4,50,90,10,0,13,15,25,20,10000,d0b884,[5],[AquaRake],[2],[0.38]
307,Guardian,boss,1,40,15,10,0,3,0,5,10,10000,d0b896,[9],[Aero],[2],[0.38]
307,Guardian,boss,2,45,40,10,0,7,10,10,15,10000,d0b896,[9],[Aero2],[2],[0.38]
307,Guardian,boss,3,50,60,10,0,10,10,20,20,10000,d0b896,[9],[Aero3],[2],[0.38]
307,Guardian,boss,4,55,90,10,0,13,10,25,20,10000,d0b896,[9],[Aero3],[2],[0.38]
308,Carbunkle,boss,1,35,10,10,70,10,10,10,10,10000,d0b8ac,[],[],"[2,37]","[0.66,0.33]"
308,Carbunkle,boss,2,40,30,10,70,30,30,30,30,10000,d0b8ac,[],[],"[2,37]","[0.66,0.33]"
308,Carbunkle,boss,3,45,55,10,70,50,80,50,50,10000,d0b8ac,[],[],"[2,37]","[0.66,0.33]"
308,Carbunkle,boss,4,50,80,10,70,60,200,60,60,10000,d0b8ac,[],[],"[2,37]","[0.66,0.33]"
350,Carbunkle,boss,1,25,2,2,3,3,3,0,0,1000,d0b8ac,[],[],[],[]
350,Carbunkle,boss,2,25,5,2,7,7,7,0,0,1000,d0b8ac,[],[],[],[]
350,Carbunkle,boss,3,25,7,2,10,10,10,0,0,1000,d0b8ac,[],[],[],[]
350,Carbunkle,boss,4,25,10,2,13,13,13,0,0,1000,d0b8ac,[],[],[],[]
311,Exdeath,boss,1,50,58,20,10,25,0,25,85,32768,d0b9a3,[],[],"[2,44]","[0.66,0.33]"
311,Exdeath,boss,2,50,58,20,10,25,0,25,85,32768,d0b9a3,[],[],"[2,44]","[0.66,0.33]"
311,Exdeath,boss,3,50,58,20,10,25,0,25,85,32768,d0b9a3,[],[],"[2,44]","[0.66,0.33]"
311,Exdeath,boss,4,50,58,20,10,25,0,25,85,32768,d0b9a3,[],[],"[2,44]","[0.66,0.33]"
312,Antlion,boss,1,35,8,13,4,5,0,0,4,1000,d0ba29,[],[],[],[]
312,Antlion,boss,2,40,40,13,7,10,0,5,7,1000,d0ba29,[],[],[],[]
312,Antlion,boss,3,45,75,13,10,20,0,10,10,1000,d0ba29,[],[],[],[]
312,Antlion,boss,4,50,110,13,13,25,0,15,13,1000,d0ba29,[],[],[],[]
316,Merugene,boss,1,35,8,13,10,10,5,0,10,500,d0baba,"[6,7,10,11,14,15,18,19,22,23,26,27,30,31,34,35,38,39,55]","[Fight,Fight,Bolt,Fight,Ice,Fight,Fight,NoDamage,Bolt,NoDamage,Ice,NoDamage,Fight,NoDamage,Bolt,NoDamage,Ice,NoDamage,Ice]",[],[]
316,Merugene,boss,2,40,25,13,10,30,30,0,10,500,d0baba,"[6,7,10,11,14,15,18,19,22,23,26,27,30,31,34,35,38,39,55]","[Fight,Fight,Bolt2,Fight,Ice2,Fight,Fight,NoDamage,Bolt2,NoDamage,Ice2,NoDamage,Fight,NoDamage,Bolt2,NoDamage,Ice2,NoDamage,Ice2]",[],[]
316,Merugene,boss,3,45,49,13,10,50,5,0,10,500,d0baba,"[6,7,10,11,14,15,18,19,22,23,26,27,30,31,34,35,38,39,55]","[Fight,Fight,Bolt3,Fight,Ice3,Fight,Fight,NoDamage,Bolt3,NoDamage,Ice3,NoDamage,Fight,NoDamage,Bolt3,NoDamage,Ice3,NoDamage,Ice3]",[],[]
316,Merugene,boss,4,50,60,13,10,70,20,0,10,500,d0baba,"[6,7,10,11,14,15,18,19,22,23,26,27,30,31,34,35,38,39,55]","[Fight,Fight,Bolt3,Fight,Ice3,Fight,Fight,NoDamage,Bolt3,NoDamage,Holy,NoDamage,Fight,NoDamage,Bolt3,NoDamage,Ice3,NoDamage,Ice3]",[],[]
317,Merugene,boss,1,35,8,13,10,10,5,0,10,500,d0baf9,"[6,7,10,11,14,15,18,19,22,23,26,27,30,31,34,35,38,39,55]","[Fight,Fight,Bolt,Fight,Fire,Fight,Fight,NoDamage,Bolt,NoDamage,Fire,NoDamage,Fight,NoDamage,Bolt,NoDamage,Fire,NoDamage,Bolt]",[],[]
317,Merugene,boss,2,40,25,13,10,30,30,0,10,500,d0baf9,"[6,7,10,11,14,15,18,19,22,23,26,27,30,31,34,35,38,39,55]","[Fight,Fight,Bolt2,Fight,Fire2,Fight,Fight,NoDamage,Bolt2,NoDamage,Fire2,NoDamage,Fight,NoDamage,Bolt2,NoDamage,Fire2,NoDamage,Bolt2]",[],[]
317,Merugene,boss,3,45,49,13,10,50,5,0,10,500,d0baf9,"[6,7,10,11,14,15,18,19,22,23,26,27,30,31,34,35,38,39,55]","[Fight,Fight,Bolt3,Fight,Fire3,Fight,Fight,NoDamage,Bolt3,NoDamage,Fire3,NoDamage,Fight,NoDamage,Bolt3,NoDamage,Fire3,NoDamage,Bolt3]",[],[]
317,Merugene,boss,4,50,60,13,10,70,20,0,10,500,d0baf9,"[6,7,10,11,14,15,18,19,22,23,26,27,30,31,34,35,38,39,55]","[Fight,Fight,Bolt3,Fight,Fire3,Fight,Fight,NoDamage,Bolt3,NoDamage,Flare,NoDamage,Fight,NoDamage,Bolt3,NoDamage,Fire3,NoDamage,Bolt3]",[],[]
318,Merugene,boss,1,35,8,13,10,10,5,0,10,500,d0bb38,"[6,7,10,11,14,15,18,19,22,23,26,27,30,31,34,35,38,39,55]","[Fight,Fight,Fire,Fight,Ice,Fight,Fight,NoDamage,Fire,NoDamage,Ice,NoDamage,Fight,NoDamage,Fire,NoDamage,Ice,NoDamage,Fire]",[],[]
318,Merugene,boss,2,40,25,13,10,30,30,0,10,500,d0bb38,"[6,7,10,11,14,15,18,19,22,23,26,27,30,31,34,35,38,39,55]","[Fight,Fight,Ice2,Fight,Fire2,Fight,Fight,NoDamage,Ice2,NoDamage,Fire2,NoDamage,Fight,NoDamage,Ice2,NoDamage,Ice2,NoDamage,Fire2]",[],[]
318,Merugene,boss,3,45,49,13,10,50,5,0,10,500,d0bb38,"[6,7,10,11,14,15,18,19,22,23,26,27,30,31,34,35,38,39,55]","[Fight,Fight,Ice3,Fight,Fire3,Fight,Fight,NoDamage,Ice3,NoDamage,Fire3,NoDamage,Fight,NoDamage,Ice3,NoDamage,Fire3,NoDamage,Fire3]",[],[]
318,Merugene,boss,4,50,60,13,10,70,20,0,10,500,d0bb38,"[6,7,10,11,14,15,18,19,22,23,26,27,30,31,34,35,38,39,55]","[Fight,Fight,Ice3,Fight,Fire3,Fight,Fight,NoDamage,Ice3,NoDamage,Maelstrom,NoDamage,Fight,NoDamage,Fire3,NoDamage,Ice3,NoDamage,Fire3]",[],[]
319,Merugene,boss,1,35,8,13,0,0,0,10,10,500,d0bb77,"[6,7,10,11,14,15,18,19,22,23,26,27,30,31,34,35,38,39]","[Fire,Nothing,Ice,Nothing,Bolt,Nothing,Fire,NoDamage,Ice,NoDamage,Bolt,NoDamage,Fire,NoDamage,Ice,NoDamage,Bolt,NoDamage]",[],[]
