item_id,readable_name,valid,type,subtype,value,max_count,tier,textbox_addr,textmenu_addr,data_addr,byte_data,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8,byte9,byte10,byte11,byte12
1C,Partisan,TRUE,weapon,spear,4,3,4,E75B00,D1147C,D10150,008006801700783e33000000,00,80,06,80,17,00,78,3e,33,00,00,00
1D,Gungnir,TRUE,weapon,spear,5,3,5,E75B18,D11485,D1015C,008006801700783633000000,00,80,06,80,17,00,78,36,33,00,00,00
1E,DblLance,TRUE,weapon,spear,4,3,4,E75B30,D1148E,D10168,00801e800002783d33006455,00,80,1e,80,00,02,78,3d,33,00,64,55
1F,Holy Lance,TRUE,weapon,spear,7,1,7,E75B48,D11497,D10174,008006c21700786d33100000,00,80,06,c2,17,00,78,6d,33,10,00,00
20,Dragoon Lance,TRUE,weapon,spear,8,1,8,E75B60,D114A0,D10180,008006801700787773100000,00,80,06,80,17,00,78,77,73,10,00,00
21,Battle Axe,TRUE,weapon,axe,1,3,1,E75B78,D114A9,D1018C,008007805900781734500000,00,80,07,80,59,00,78,17,34,50,00,00
22,Mythril Hammer,TRUE,weapon,axe,2,3,2,E75B90,D114B2,D10198,388048805900781c34500000,38,80,48,80,59,00,78,1c,34,50,00,00
23,Ogre Killer,TRUE,weapon,axe,2,3,2,E75BA8,D114BB,D101A4,008047805900782134500000,00,80,47,80,59,00,78,21,34,50,00,00
24,War Hammer,TRUE,weapon,axe,3,3,3,E75BC0,D114C4,D101B0,008008805900782634500000,00,80,08,80,59,00,78,26,34,50,00,00
25,Venom Axe,TRUE,weapon,axe,3,3,3,E75BD8,D114CD,D101BC,008007805908783034504327,00,80,07,80,59,08,78,30,34,50,43,27
26,Earth Hammer,TRUE,weapon,axe,7,3,7,E75BF0,D114D6,D101C8,008008205902783a3a501956,00,80,08,20,59,02,78,3a,3a,50,19,56
27,Rune Axe,TRUE,weapon,axe,7,3,7,E75C08,D114DF,D101D4,0004078a690078473c5a0a05,00,04,07,8a,69,00,78,47,3c,5a,0a,05
28,Thor Hammer,TRUE,weapon,axe,7,1,7,E75C20,D114E8,D101E0,00404880580078513a500000,00,40,48,80,58,00,78,51,3a,50,00,00
29,Katana,TRUE,weapon,katana,1,3,1,E75C38,D114F1,D101EC,008009805a00782a370c0000,00,80,09,80,5a,00,78,2a,37,0c,00,00
2A,Air Blade,TRUE,weapon,katana,2,3,2,E75C50,D114FA,D101F8,388009405a02782c370c0c53,38,80,09,40,5a,02,78,2c,37,0c,0c,53
2B,Kotetsu,TRUE,weapon,katana,3,3,3,E75C68,D11503,D10204,008009805a00783a370c0000,00,80,09,80,5a,00,78,3a,37,0c,00,00
2C,Bizen,TRUE,weapon,katana,4,3,4,E75C80,D1150C,D10210,008009805a007833370c0000,00,80,09,80,5a,00,78,33,37,0c,00,00
2D,Forged,TRUE,weapon,katana,4,3,4,E75C98,D11515,D1021C,008009805a007857370c0000,00,80,09,80,5a,00,78,57,37,0c,00,00
2E,Murasume,TRUE,weapon,katana,6,1,6,E75CB0,D1151E,D10228,008009805a00786137190000,00,80,09,80,5a,00,78,61,37,19,00,00
2F,Masamune,TRUE,weapon,katana,7,1,7,E75CC8,D11527,D10234,308009805a203a6b370f0000,30,80,09,80,5a,20,3a,6b,37,0f,00,00
30,Tempest,TRUE,weapon,katana,7,1,7,E75CE0,D11530,D10240,008009805a00787537140000,00,80,09,80,5a,00,78,75,37,14,00,00
31,Rod,TRUE,weapon,rod,1,3,1,E75CF8,D11539,D1024C,38044a88230078083b460000,38,04,4a,88,23,00,78,08,3b,46,00,00
32,Fire Rod,TRUE,weapon,rod,3,3,3,E75D10,D11542,D10258,48044a012300b0103b500001,48,04,4a,01,23,00,b0,10,3b,50,00,01
33,Ice Rod,TRUE,weapon,rod,3,3,3,E75D28,D1154B,D10264,48044a022300b1103b500002,48,04,4a,02,23,00,b1,10,3b,50,00,02
34,Thunder Rod,TRUE,weapon,rod,3,3,3,E75D40,D11554,D10270,48044a042300b2103b500004,48,04,4a,04,23,00,b2,10,3b,50,00,04
35,Venom Rod,TRUE,weapon,rod,3,3,3,E75D58,D1155D,D1027C,38044a082300af203b500008,38,04,4a,08,23,00,af,20,3b,50,00,08
36,Lillith Rod,TRUE,weapon,rod,4,3,4,E75D70,D11566,D10288,38044a8a2308781e49501935,38,04,4a,8a,23,08,78,1e,49,50,19,35
37,Wizard Rod,TRUE,weapon,rod,4,3,4,E75D88,D1156F,D10294,38044a6f1e0078283b500007,38,04,4a,6f,1e,00,78,28,3b,50,00,07
38,Staff,TRUE,weapon,staff,1,3,1,E75DA0,D11578,D102A0,38804b8040007809345f0000,38,80,4b,80,40,00,78,09,34,5f,00,00
39,Mythril Staff,TRUE,weapon,staff,2,3,2,E75DB8,D11581,D102AC,38804b8000007813345f0000,38,80,4b,80,00,00,78,13,34,5f,00,00
3A,Power Staff,TRUE,weapon,staff,3,3,3,E75DD0,D1158A,D102B8,30804bc7000878007f4b6320,30,80,4b,c7,00,08,78,00,7f,4b,63,20
3B,Healing Staff,TRUE,weapon,staff,3,3,3,E75DE8,D11593,D102C4,30804b89000878007f006418,30,80,4b,89,00,08,78,00,7f,00,64,18
3C,Staff of Light,TRUE,weapon,staff,5,3,5,E75E00,D1159C,D102D0,38804b890000a22d06003c10,38,80,4b,89,00,00,a2,2d,06,00,3c,10
3D,Sage's Staff,TRUE,weapon,staff,7,3,7,E75E18,D115A5,D102DC,30804b101f0019356c002d01,30,80,4b,10,1f,00,19,35,6c,00,2d,01
3E,Judgement Staff,TRUE,weapon,staff,7,1,7,E75E30,D115AE,D102E8,38804b8a2300233c06005a10,38,80,4b,8a,23,00,23,3c,06,00,5a,10
3F,Fire Bow,TRUE,weapon,bow,2,3,2,E75E48,D115B7,D102F4,38404d809b00782736460001,38,40,4d,80,9b,00,78,27,36,46,00,01
40,Ice Bow,TRUE,weapon,bow,2,3,2,E75E60,D115C0,D10300,38404d809b00782736460002,38,40,4d,80,9b,00,78,27,36,46,00,02
41,Thunder Bow,TRUE,weapon,bow,2,3,2,E75E78,D115C9,D1030C,38404d809b00782736460004,38,40,4d,80,9b,00,78,27,36,46,00,04
42,Darkness Bow,TRUE,weapon,bow,2,3,2,E75E90,D115D2,D10318,38404d809b00782b3546c201,38,40,4d,80,9b,00,78,2b,35,46,c2,01
43,Killer Bow,TRUE,weapon,bow,2,3,2,E75EA8,D115DB,D10324,38404d809b00783135468880,38,40,4d,80,9b,00,78,31,35,46,88,80
44,Elven Bow,TRUE,weapon,bow,3,3,3,E75EC0,D115E4,D10330,38404d809b007838365a0f00,38,40,4d,80,9b,00,78,38,36,5a,0f,00
45,Yoichi Bow,TRUE,weapon,bow,4,1,4,E75ED8,D115ED,D1033C,38404de29b007865365a1e00,38,40,4d,e2,9b,00,78,65,36,5a,1e,00
46,Artemis Bow,TRUE,weapon,bow,4,1,4,E75EF0,D115F6,D10348,38404d809b00786f72040000,38,40,4d,80,9b,00,78,6f,72,04,00,00
47,Silver Harp,TRUE,weapon,harp,1,3,1,E75F08,D115FF,D10354,78204e809b08780f7f006474,78,20,4e,80,9b,08,78,0f,7f,00,64,74
48,Dream Harp,TRUE,weapon,harp,2,3,2,E75F20,D11608,D10360,78204e809b0878197f006375,78,20,4e,80,9b,08,78,19,7f,00,63,75
49,Lamia's Harp,TRUE,weapon,harp,3,3,3,E75F38,D11611,D1036C,78204e809b0878237f006376,78,20,4e,80,9b,08,78,23,7f,00,63,76
4A,Apollo's Harp,TRUE,weapon,harp,7,1,7,E75F50,D1161A,D10378,78204e809b08782d7f006377,78,20,4e,80,9b,08,78,2d,7f,00,63,77
4B,Whip,TRUE,weapon,whip,1,3,1,E75F68,D11623,D10384,38404f802308781a385a327f,38,40,4f,80,23,08,78,1a,38,5a,32,7f
4C,Chain Whip,TRUE,weapon,whip,2,3,2,E75F80,D1162C,D10390,38404f8023087834385a327f,38,40,4f,80,23,08,78,34,38,5a,32,7f
4D,Thunder Whip,TRUE,weapon,whip,3,3,3,E75F98,D11635,D1039C,38404f802308782a385a2126,38,40,4f,80,23,08,78,2a,38,5a,21,26
4E,Flame Whip,TRUE,weapon,whip,4,3,4,E75FB0,D1163E,D103A8,38404fe123087852385a2130,38,40,4f,e1,23,08,78,52,38,5a,21,30
4F,Dragon's Whisker,TRUE,weapon,whip,7,1,7,E75FC8,D11647,D103B4,38404f802308785c7210327f,38,40,4f,80,23,08,78,5c,72,10,32,7f
50,Giyaman,TRUE,weapon,bell,1,3,1,E75FE0,D11650,D103C0,382050802300781839000000,38,20,50,80,23,00,78,18,39,00,00,00
51,Earth Bell,TRUE,weapon,bell,2,3,2,E75FF8,D11659,D103CC,38205020230278233a631956,38,20,50,20,23,02,78,23,3a,63,19,56
52,Rune Chime,TRUE,weapon,bell,3,1,3,E76010,D11662,D103D8,3820507f2300782d3c630a05,38,20,50,7f,23,00,78,2d,3c,63,0a,05
53,Tinkerbell,TRUE,weapon,bell,7,1,7,E76028,D1166B,D103E4,382050802300783739000000,38,20,50,80,23,00,78,37,39,00,00,00
54,Sabre (*Dummy),FALSE,dummy,dummy,0,0,0,E76040,D11674,D103F0,388040800000780000000000,38,80,40,80,00,00,78,00,00,00,00,00
55,Drain Sword,TRUE,weapon,sword,3,3,3,E76058,D1167D,D103FC,3880458f000078540d195400,38,80,45,8f,00,00,78,54,0d,19,54,00
56,RuneEdge,TRUE,weapon,sword,5,3,5,E76070,D11686,D10408,38804480690078323c631408,38,80,44,80,69,00,78,32,3c,63,14,08
57,Flametongue,TRUE,weapon,sword,5,3,5,E76088,D1168F,D10414,388045805504783f31010000,38,80,45,80,55,04,78,3f,31,01,00,00
58,IceBrand,TRUE,weapon,sword,5,3,5,E760A0,D11698,D10420,008045804004784131020000,00,80,45,80,40,04,78,41,31,02,00,00
59,Full Moon,TRUE,weapon,flail,4,3,4,E760B8,D116A1,D1042C,38805e8023007823385f0000,38,80,5e,80,23,00,78,23,38,5f,00,00
5A,Shuriken,TRUE,item,throw,3,3,3,E760D0,D116AA,D10438,388000800000783200000000,38,80,00,80,00,00,78,32,00,00,00,00
5B,Pinwheel,TRUE,item,throw,5,3,5,E760E8,D116B3,D10444,388000800000787500000000,38,80,00,80,00,00,78,75,00,00,00,00
5C,Excailbur,FALSE,item,throw,1,1,1,E76100,D116BC,D10450,388004804000786428800100,38,80,04,80,40,00,78,64,28,80,01,00
5D,BeastKiller,TRUE,weapon,whip,5,3,5,E76118,D116C5,D1045C,38404f80230878487204327f,38,40,4f,80,23,08,78,48,72,04,32,7f
5E,Flail,TRUE,weapon,flail,2,3,2,E76130,D116CE,D10468,38804b80580078103a460000,38,80,4b,80,58,00,78,10,3a,46,00,00
5F,Morning Star,TRUE,weapon,flail,3,3,3,E76148,D116D7,D10474,38804b80580078323a5a0000,38,80,4b,80,58,00,78,32,3a,5a,00,00
60,Wonder Wand,TRUE,weapon,rod,5,1,5,E76160,D116E0,D10480,38044a892309c1007f006300,38,04,4a,89,23,09,c1,00,7f,00,63,00
61,Brave Blade,FALSE,weapon,sword,8,1,8,E76178,D116E9,D1048C,388045c7550478966e000000,38,80,45,c7,55,04,78,96,6e,00,00,00
62,Soot,TRUE,weapon,flail,1,3,1,E76190,D116F2,D10498,388000800000781900000000,38,80,00,80,00,00,78,19,00,00,00,00
63,Chicken Knife,FALSE,weapon,knife,8,1,8,E761A8,D116FB,D104A4,388042a7160678016400190a,38,80,42,a7,16,06,78,01,64,7f,19,0a
64,RisingSun,FALSE,weapon,flail,3,3,3,E761C0,D11704,D104B0,38405e8023007847385a0000,38,40,5e,80,23,00,78,47,38,5a,00,00
65,Silver Bow,TRUE,weapon,bow,3,3,3,E761D8,D1170D,D104BC,38404d809b00782635460000,38,40,4d,80,9b,00,78,26,35,46,00,00
66,Gale Bow,TRUE,weapon,bow,3,3,3,E761F0,D11716,D104C8,38404d809b02784538501917,38,40,4d,80,9b,02,78,45,38,50,19,17
67,AntiMagic Bow,TRUE,weapon,bow,4,3,4,E76208,D1171F,D104D4,38404d801b087800005a2115,38,40,4d,80,1b,08,78,00,00,5a,21,15
68,Avis Killer,TRUE,weapon,bow,4,3,4,E76220,D11728,D104E0,38404d809b00785b72080000,38,40,4d,80,9b,00,78,5b,72,08,00,00
69,DoomCut,TRUE,weapon,axe,5,3,5,E76238,D11731,D104EC,388047805908782b34552134,38,80,47,80,59,08,78,2b,34,55,21,34
6A,Giant's Axe,TRUE,weapon,axe,5,3,5,E76250,D1173A,D104F8,388047805900785b345a0000,38,80,47,80,59,00,78,5b,34,5a,00,00
6B,ManEater,TRUE,weapon,knife,6,3,6,E76268,D11743,D10504,388055f90000785973800000,38,80,55,f9,00,00,78,59,73,80,00,00
6C,Thief Knife,TRUE,weapon,knife,3,1,3,E76280,D1174C,D10510,388042a0160678423200210c,38,80,42,a0,16,06,78,42,32,00,21,0c
6D,Dancing Dagger,TRUE,weapon,knife,4,1,4,E76298,D11755,D1051C,388042a8160678333200322a,38,80,42,a8,16,06,78,33,32,00,32,2a
6E,Enhancer,TRUE,weapon,sword,5,3,5,E762B0,D1175E,D10528,3880448a5504786631000000,38,80,44,8a,55,04,78,66,31,00,00,00
