idx,idx_hex,monster_name,monster_rank,stats_address,drops_address,name_address,monster_name_python,unique_name,num_gauge_time,num_phys_power,num_phys_mult,num_evade,num_phys_def,num_mag_power,num_mag_def,num_mag_evade,num_hp,num_mp,num_exp,num_gil,num_level,gauge_time,phys_power,phys_mult,evade,phys_def,mag_power,mag_def,mag_evade,hp_lo,hp_hi,mp_lo,mp_hi,exp_lo,exp_hi,gil_lo,gil_hi,atk_index,elemental_immune,status0_immune,status1_immune,status2_immune,elemental_absorb,unavoidable_atk,elemental_weakness,monster_type,special_immune,initial_status0,initial_status1,initial_status2,initial_status3,name_index,level,steal_common,steal_rare,drop_common,drop_rare,steal_common_name,steal_rare_name,drop_common_name,drop_rare_name,name_string,immune_ dead,immune_ petrify,immune_ toad,immune_ mini,immune_ float,immune_ poison,immune_ zombie,immune_darkness,immune_aging,immune_sleep,immune_paralyze,immune_charm,immune_berserk,immune_mute,immune_image2,immune_image,immune_wall,immune_armor,immune_shell,immune_stop,immune_haste,immune_slow,immune_invul,immune_regen,immune_water,immune_wind,immune_earth,immune_holy,immune_poison,immune_lightning,immune_ice,immune_fire,absorb_water,absorb_wind,absorb_earth,absorb_holy,absorb_poison,absorb_lightning,absorb_ice,absorb_fire,weakness_water,weakness_wind,weakness_earth,weakness_holy,weakness_poison,weakness_lightning,weakness_ice,weakness_fire,inflictable_dead,inflictable_petrify,inflictable_toad,inflictable_mini,inflictable_float,inflictable_poison,inflictable_zombie,inflictable_darkness,inflictable_aging,inflictable_sleep,inflictable_paralyze,inflictable_charm,inflictable_berserk,inflictable_mute,inflictable_image2,inflictable_image,inflictable_wall,inflictable_armor,inflictable_shell,inflictable_stop,inflictable_haste,inflictable_slow,inflictable_invul,inflictable_regen,immune_text_water,immune_text_wind,immune_text_earth,immune_text_holy,immune_text_poison,immune_text_lightning,immune_text_ice,immune_text_fire,absorb_text_water,absorb_text_wind,absorb_text_earth,absorb_text_holy,absorb_text_poison,absorb_text_lightning,absorb_text_ice,absorb_text_fire,weakness_text_water,weakness_text_wind,weakness_text_earth,weakness_text_holy,weakness_text_poison,weakness_text_lightning,weakness_text_ice,weakness_text_fire
10,0A,ManiWizard,monster,D00140,D05028,E000B4,ManiWizard,ManiWizard_10,07,05,02,00,00,00,05,00,20,7,20,30,5,07,05,02,00,00,00,05,00,14,00,07,00,14,00,1E,00,00,00,00,00,00,00,80,00,80,00,00,00,00,00,0A,05,E0,E0,31,00,Potion,Potion,Rod, ,6c7a87827682937a8b7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,petrify,toad,mini,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,,,
11,0B,Magic Pot,monster,D00160,D0502C,E000BE,Magic_Pot,Magic_Pot_11,02,70,25,95,255,90,255,99,65001,49805,9961,9961,91,02,46,19,5F,FF,5A,FF,63,E7,FE,50,C3,10,27,10,27,00,00,FF,FF,10,00,00,00,20,18,00,00,60,00,0B,5B,E1,00,E3,00,HiPotion, ,Elixir, ,6c7a80827c966f888dff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,wall,armor,shell,,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,,,
12,0C,Sucker,monster,D00180,D05030,E000C8,Sucker,Sucker_12,20,07,03,00,00,00,05,00,50,0,21,40,6,14,07,03,00,00,00,05,00,32,00,00,00,15,00,28,00,00,00,10,00,00,00,00,04,00,18,00,00,00,00,0C,06,00,00,E0,00, , ,Potion, ,728e7c847e8bffffffff,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,petrify,toad,,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,lightning,,
13,0D,Octoraken,monster,D001A0,D05034,E000D2,Octoraken,Octoraken_13,20,08,03,00,00,00,05,00,60,0,21,45,7,14,08,03,00,00,00,05,00,3C,00,00,00,15,00,2D,00,00,00,10,00,00,00,00,00,00,18,00,00,00,00,0D,07,00,00,E0,00, , ,Potion, ,6e7c8d888b7a847e87ff,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,petrify,toad,,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,,,
14,0E,Gatlings,monster,D001C0,D05038,E000DC,Gatlings,Gatlings_14,20,09,03,00,00,00,05,00,80,0,30,42,7,14,09,03,00,00,00,05,00,50,00,00,00,1E,00,2A,00,00,00,10,00,00,00,00,00,04,00,00,00,00,00,0E,07,EC,00,EC,00,Soft, ,Soft, ,667a8d858287808cffff,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,petrify,toad,,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,,,
15,0F,Bighorn,monster,D001E0,D0503C,E000E6,Bighorn,Bighorn_15,20,10,04,00,00,00,05,00,90,0,40,50,8,14,0A,04,00,00,00,05,00,5A,00,00,00,28,00,32,00,00,00,10,00,00,00,00,00,04,00,00,00,00,00,0F,08,E0,00,E0,00,Potion, ,Potion, ,61828081888b87ffffff,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,petrify,toad,,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,,,
16,10,Tatu,monster,D00200,D05040,E000F0,Tatu,Tatu_16,20,11,03,10,03,00,10,10,100,0,50,70,8,14,0B,03,0A,03,00,0A,0A,64,00,00,00,32,00,46,00,00,00,10,00,00,00,00,82,04,00,00,00,00,00,10,08,E0,00,F0,00,Potion, ,Tent, ,737a8d8effffffffffff,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,petrify,toad,,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,water,,,,,,ice,
17,11,Bander S.,monster,D00220,D05044,E000FA,Bander_S,Bander_S_17,15,14,05,10,00,00,05,00,120,0,60,100,9,0F,0E,05,0A,00,00,05,00,78,00,00,00,3C,00,64,00,00,00,00,00,00,00,00,00,04,00,00,00,00,00,11,09,00,E0,E0,00, ,Potion,Potion, ,617a877d7e8b9672a3ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,petrify,toad,mini,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,,,
18,12,Galura,monster,D00240,D05048,E00104,Galura,Galura_18,10,12,04,00,05,00,05,00,499,0,0,0,9,0A,0C,04,00,05,00,05,00,F4,01,00,00,00,00,00,00,00,00,30,00,00,00,00,FF,20,18,00,00,00,00,12,09,E5,E5,00,00,Maiden's Kiss,Maiden's Kiss, , ,667a858e8b7affffffff,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,petrify,,,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,water,wind,earth,holy,poison,lightning,ice,fire
19,13,Skeleton,monster,D00260,D0504C,E0010E,Skeleton,Skeleton_19,15,08,03,00,00,00,05,00,70,0,38,57,10,0F,08,03,00,00,00,05,00,46,00,00,00,26,00,39,00,03,00,F7,F7,01,08,00,11,01,00,00,00,00,00,13,0A,00,00,03,00, , ,Dagger, ,72847e857e8d8887ffff,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,float,,,,,,,,berserk,,,,wall,armor,shell,stop,haste,slow,invul,,,,,,,,,,,,,,poison,,,,,,,holy,,,,fire
20,14,Carcurser,monster,D00280,D05050,E00118,Carcurser,Carcurser_20,15,08,04,00,00,00,05,00,75,50,38,60,10,0F,08,04,00,00,00,05,00,4B,00,32,00,26,00,3C,00,00,01,30,00,00,80,00,04,01,00,00,00,00,00,14,0A,E0,E0,E3,00,Potion,Potion,Elixir, ,627a8b7c8e8b8c7e8bff,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,petrify,,,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,fire,water,,,,,,,,,,,,,lightning,,
21,15,UndeadRusk,monster,D002A0,D05054,E00122,UndeadRusk,UndeadRusk_21,20,10,03,00,01,00,05,00,130,0,46,63,11,14,0A,03,00,01,00,05,00,82,00,00,00,2E,00,3F,00,00,00,10,00,00,20,02,44,01,00,00,00,00,00,15,0B,E2,E0,E3,00,Ether,Potion,Elixir, ,74877d7e7a7d718e8c84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,,petrify,toad,,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,earth,,,,,,,wind,,,,lightning,,
22,16,PsychoHead,monster,D002C0,D05058,E0012C,PsychoHead,PsychoHead_22,10,09,03,00,00,00,05,00,90,100,46,66,11,0A,09,03,00,00,00,05,00,5A,00,64,00,2E,00,42,00,00,00,7F,FF,FF,00,00,00,01,00,00,00,00,00,16,0B,00,00,FC,00, , ,Flame Scroll, ,6f8c927c8188677e7a7d,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,17,RockGarter,monster,D002E0,D0505C,E00136,RockGarter,RockGarter_23,10,13,03,00,00,00,05,00,120,0,46,69,11,0A,0D,03,00,00,00,05,00,78,00,00,00,2E,00,45,00,00,00,30,00,00,00,00,01,00,00,00,00,00,00,17,0B,00,E0,00,00, ,Potion, , ,71887c84667a8b8d7e8b,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,petrify,,,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,,,fire
24,18,Gala Cat,monster,D00300,D05060,E00140,Gala_Cat,Gala_Cat_24,15,12,04,15,00,00,00,00,100,20,55,72,12,0F,0C,04,0F,00,00,00,00,64,00,14,00,37,00,48,00,00,20,00,00,00,00,40,00,00,00,88,00,00,00,18,0C,E0,E0,00,00,Potion,Potion, , ,667a857a96627a8dffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,petrify,toad,mini,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,earth,,,,,,,,,,,,,,,,,,,,,
25,19,Cockatrice,monster,D00320,D05064,E0014A,Cockatrice,Cockatrice_25,15,15,03,30,00,00,05,00,100,0,55,75,12,0F,0F,03,1E,00,00,05,00,64,00,00,00,37,00,4B,00,00,10,30,00,00,00,40,00,00,00,88,00,00,00,19,0C,00,EC,00,00, ,Soft, , ,62887c847a8d8b827c7e,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,petrify,,,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,holy,,,,,,,,,,,,,,,,,,,,
26,1A,Blocks,monster,D00340,D05068,E00154,Blocks,Blocks_26,10,13,04,00,08,00,05,00,50,0,55,78,12,0A,0D,04,00,08,00,05,00,32,00,00,00,37,00,4E,00,00,EB,7E,FF,00,00,20,04,00,00,00,00,00,00,1A,0C,E1,B4,00,00,HiPotion,Glasses, , ,6185887c848cffffffff,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,darkness,,,,,,,,,wall,armor,shell,stop,haste,slow,invul,regen,water,wind,earth,,poison,,ice,fire,,,,,,,,,,,,,,lightning,,
27,1B,Elf Toad,monster,D00360,D0506C,E0015E,Elf_Toad,Elf_Toad_27,10,15,04,00,00,00,05,00,160,50,65,81,13,0A,0F,04,00,00,00,05,00,A0,00,32,00,41,00,51,00,00,00,30,00,00,00,00,02,00,00,00,00,00,00,1B,0D,00,00,E0,00, , ,Potion, ,64857f9673887a7dffff,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,petrify,,,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,,ice,
28,1C,IceSoldier,monster,D00380,D05070,E00168,IceSoldier,IceSoldier_28,15,17,04,00,00,00,05,00,160,20,65,84,13,0F,11,04,00,00,00,05,00,A0,00,14,00,41,00,54,00,0E,00,20,00,00,02,40,01,80,00,00,00,00,00,1C,0D,E0,0F,0E,00,Potion,Mythril Sword,RegalCut, ,687c7e7288857d827e8b,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,petrify,,mini,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,ice,,,,,,,,,fire
29,1D,RikaldMage,monster,D003A0,D05074,E00172,RikaldMage,RikaldMage_29,15,17,02,00,00,01,05,00,100,70,75,87,10,0F,11,02,00,00,01,05,00,64,00,46,00,4B,00,57,00,00,00,20,40,00,00,00,00,80,18,00,00,00,00,1D,0A,00,31,32,00, ,Rod,Fire Rod, ,7182847a857d6c7a807e,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,petrify,,mini,float,poison,zombie,darkness,aging,,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,,,
30,1E,Wyvern,monster,D003C0,D05078,E0017C,Wyvern,Wyvern_30,18,17,05,00,00,00,05,00,200,0,160,90,14,12,11,05,00,00,00,05,00,C8,00,00,00,A0,00,5A,00,00,00,30,60,00,00,00,00,00,18,00,00,00,00,1E,0E,00,04,00,E0, ,Mythril Knife, ,Potion,76928f7e8b87ffffffff,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,petrify,,,float,poison,zombie,darkness,aging,,,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,,,
31,1F,Padosule,monster,D003E0,D0507C,E00186,Padosule,Padosule_31,15,19,06,00,00,00,05,00,279,50,100,93,14,0F,13,06,00,00,00,05,00,18,01,32,00,64,00,5D,00,00,00,30,60,00,00,00,04,00,18,00,00,00,00,1F,0E,00,E0,00,00, ,Potion, , ,6f7a7d888c8e857effff,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,petrify,,,float,poison,zombie,darkness,aging,,,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,lightning,,
