name,readable_location,type,type_address,type_data,item_address,item_data,kind,,,
Glasses,Worus Town Pot,Item,D13292,40,D13293,B4,Reward,,,
Hi-Potion,Tycoon Castle Pot,Item,D13296,40,D13297,E1,Reward,,,
Ether,Tycoon Castle Pot,Item,D1329A,40,D1329B,E2,Reward,,,
Elixir,Tycoon Castle Barrel,Item,D1329E,40,D1329F,E3,Reward,,,
Phoenix Down,Tycoon Castle Barrel,Item,D132A2,40,D132A3,E4,Reward,,,
Cabin,Tycoon Castle Barrel,Item,D132A6,40,D132A7,F1,Reward,,,
Ether,Tycoon Castle Pot,Item,D132AA,40,D132AB,E2,Reward,,,
Elixir,Tycoon Castle Pot,Item,D132AE,40,D132AF,E3,Reward,,,
Phoenix Down,Tycoon Castle Pot,Item,D132B2,40,D132B3,E4,Reward,,,
Maiden's Kiss,Tycoon Castle Pot,Item,D132B6,40,D132B7,E5,Reward,,,
Shuriken,Tycoon Castle Chest,Item,D132BA,40,D132BB,5A,Reward,,,
Giyaman,Tycoon Castle Chest,Item,D132BE,40,D132BF,50,Reward,,,
Katana,Tycoon Castle Chest,Item,D132C2,40,D132C3,29,Reward,,,
Elf Cape,Worus Castle Chest,Item,D132C6,40,D132C7,B2,Reward,,,
1000,Worus Castle Pot,Gil,D132CA,03,D132CB,01,Reward,,,
Drag,Worus Castle Pot,Magic,D132CE,20,D132CF,36,Reward,,,
1000,Worus Castle Pot,Gil,D132D2,03,D132D3,01,Reward,,,
490,Worus Castle Box,Gil,D132D6,01,D132D7,31,Reward,,,
Tent,Worus Castle Barrel,Item,D132DA,40,D132DB,F0,Reward,,,
Phoenix Down,Worus Castle Barrel,Item,D132DE,40,D132DF,E4,Reward,,,
Silk robe,Worus Tower Chest,Item,D132E2,40,D132E3,A8,Reward,,,
Maiden's Kiss,Worus Tower Chest,Item,D132E6,40,D132E7,E5,Reward,,,
Silver Armlet,Worus Tower Chest,Item,D132EA,40,D132EB,B7,Reward,,,
Ether,Worus Tower Chest,Item,D132EE,40,D132EF,E2,Reward,,,
Phoenix Down,Tycoon Meteor Chest,Item,D132F2,40,D132F3,E4,Reward,,,
Gungnir,Karnak Castle Chest,Monster,D132F6,E2,D132F7,1D,Reward,,,
Thunder Scroll,Karnak Castle Chest,Monster,D132FA,A0,D132FB,FE,Reward,,,
2000,Karnak Castle Chest,Gil,D132FE,03,D132FF,02,Reward,,,
Elixir,Karnak Castle Chest,Monster,D13302,A0,D13303,E3,Reward,,,
Elixir,Karnak Castle Chest,Monster,D13306,A1,D13307,E3,Reward,,,
Elixir,Karnak Castle Chest,Monster,D1330A,A0,D1330B,E3,Reward,,,
2000,Karnak Castle Chest,Gil,D1330E,03,D1330F,02,Reward,,,
Elixir,Karnak Castle Chest,Monster,D13312,A1,D13313,E3,Reward,,,
Elixir,Karnak Castle Chest,Monster,D13316,A0,D13317,E3,Reward,,,
Ribbon,Karnak Castle Chest,Monster,D1331A,A2,D1331B,95,Reward,,,
Shuriken,Karnak Castle Chest,Monster,D1331E,A1,D1331F,5A,Reward,,,
2000,Karnak Castle Chest,Gil,D13322,01,D13323,C8,Reward,,,
Elixir,Karnak Castle Chest,Monster,D13326,A0,D13327,E3,Reward,,,
Elf Cape,Karnak Castle Chest,Monster,D1332A,A3,D1332B,B2,Reward,,,
Guardian,Karnak Castle Chest,Monster,D1332E,A3,D1332F,07,Reward,,,
Fire Rod,Karnak Town Barrel,Item,D13332,40,D13333,32,Reward,,,
Cabin,Steamship Chest,Item,D13336,40,D13337,F1,Reward,,,
Phoenix Down,Steamship Chest,Item,D1333A,40,D1333B,E4,Reward,,,
Elixir,Steamship Chest,Item,D1333E,40,D1333F,E3,Reward,,,
GrnBeret,Steamship Chest,Item,D13342,40,D13343,97,Reward,,,
Thief's Glove,Steamship Chest,Item,D13346,40,D13347,B0,Reward,,,
Elixir,Steamship Chest,Item,D1334A,40,D1334B,E3,Reward,,,
Ether,Ancient Library Chest,Item,D1334E,40,D1334F,E2,Reward,,,
Phoenix Down,Ancient Library Chest,Item,D13352,40,D13353,E4,Reward,,,
Stealth Suit,Ancient Library Chest,Item,D13356,40,D13357,A4,Reward,,,
Shuriken,Jacole Cave Chest,Item,D1335A,40,D1335B,5A,Reward,,,
Tent,Jacole Cave Chest,Item,D1335E,40,D1335F,F0,Reward,,,
Shuriken,Ruined City Chest,Item,D13362,40,D13363,5A,Reward,,,
Shuriken,Ruined City Chest,Item,D13366,40,D13367,5A,Reward,,,
Size,Ruined City Chest,Magic,D1336A,20,D1336B,17,Reward,,,
Golden Armor,Flying Lonka Ruins Chest,Item,D1336E,40,D1336F,9E,Reward,,,
Elixir,Flying Lonka Ruins Chest,Item,D13372,40,D13373,E3,Reward,,,
Phoenix Down,Flying Lonka Ruins Chest,Item,D13376,40,D13377,E4,Reward,,,
Golden Shield,Flying Lonka Ruins Chest,Item,D1337A,40,D1337B,85,Reward,,,
Mythril Glove,Steamship Chest,Item,D1337E,40,D1337F,B6,Reward,,,
Elixir,Steamship Chest,Item,D13382,40,D13383,E3,Reward,,,
Full Moon,Steamship Chest,Item,D13386,40,D13387,59,Reward,,,
Hi-Potion,Flying Lonka Ruins Chest,Item,D1338A,40,D1338B,E1,Reward,,,
5000,Flying Lonka Ruins Chest,Gil,D1338E,03,D1338F,05,Reward,,,
Shuriken,Flying Lonka Ruins Chest,Item,D13392,40,D13393,5A,Reward,,,
Ancient Sword,Flying Lonka Ruins Chest,Item,D13396,40,D13397,11,Reward,,,
Full Moon,Flying Lonka Ruins Chest,Item,D1339A,40,D1339B,59,Reward,,,
Power Wrist,Flying Lonka Ruins Chest,Item,D1339E,40,D1339F,BA,Reward,,,
Ether,Flying Lonka Ruins Chest,Item,D133A2,40,D133A3,E2,Reward,,,
Cabin,Flying Lonka Ruins Chest,Item,D133A6,40,D133A7,F1,Reward,,,
Ether,Exdeath’s Castle Chest,Item,D133AA,40,D133AB,E2,Reward,,,
Diamond Shield,Exdeath’s Castle Chest,Item,D133AE,40,D133AF,87,Reward,,,
Ice Shield,Exdeath’s Castle Chest,Item,D133B2,40,D133B3,CD,Reward,,,
Ether,Exdeath’s Castle Chest,Item,D133B6,40,D133B7,E2,Reward,,,
Elixir,Exdeath’s Castle Chest,Item,D133BA,40,D133BB,E3,Reward,,,
Gale Bow,Exdeath’s Castle Chest,Item,D133BE,40,D133BF,66,Reward,,,
IceBrand,Exdeath’s Castle Chest,Item,D133C2,40,D133C3,58,Reward,,,
Kotetsu,Exdeath’s Castle Chest,Item,D133C6,40,D133C7,2B,Reward,,,
9900,Exdeath’s Castle Chest,Gil,D133CA,02,D133CB,63,Reward,,,
Elixir,Exdeath’s Castle Chest,Item,D133CE,40,D133CF,E3,Reward,,,
8000,Exdeath’s Castle Chest,Gil,D133D2,03,D133D3,08,Reward,,,
DblLance,Exdeath’s Castle Chest,Item,D133D6,40,D133D7,1E,Reward,,,
Partisan,Exdeath’s Castle Chest,Item,D133DA,40,D133DB,1C,Reward,,,
Pinwheel,Exdeath’s Castle Chest,Item,D133DE,40,D133DF,5B,Reward,,,
4400,Moogle Cave Chest,Gil,D133E2,02,D133E3,2C,Reward,,,
Phoenix Down,Moogle Cave Chest,Item,D133E6,40,D133E7,E4,Reward,,,
Cabin,Moogle Village Chest,Item,D133EA,40,D133EB,F1,Reward,,,
Dancing Dagger,Moogle Village Chest,Item,D133EE,40,D133EF,6D,Reward,,,
1,Moogle Village Chest,Gil,D133F2,00,D133F3,01,Reward,,,
10000,Moogle Village Chest,Gil,D133F6,04,D133F7,01,Reward,,,
Phoenix Down,Moogle Village Chest,Item,D133FA,40,D133FB,E4,Reward,,,
Ether,Moogle Village Chest,Item,D133FE,40,D133FF,E2,Reward,,,
Elf Cape,Moogle Village Chest,Item,D13402,40,D13403,B2,Reward,,,
Angel Gwn,Bal Castle Chest,Item,D13406,40,D13407,BB,Reward,,,
Hero Drink,Bal Castle Chest,Item,D1340A,40,D1340B,F6,Reward,,,
Exit,Bal Castle Chest,Magic,D1340E,20,D1340F,3E,Reward,,,
Bone Mail,Hiryuu Valley Skull,Item,D13412,40,D13413,BF,Reward,,,
5000,Hiryuu Valley Chest,Gil,D13416,03,D13417,05,Reward,,,
Cabin,Hiryuu Valley Chest,Item,D1341A,40,D1341B,F1,Reward,,,
7000,Hiryuu Valley Chest,Gil,D1341E,03,D1341F,07,Reward,,,
Coronet,Hiryuu Valley Chest,Item,D13422,40,D13423,CB,Reward,,,
Air Blade,Hiryuu Valley Chest,Item,D13426,40,D13427,2A,Reward,,,
Phoenix Down,Hiryuu Valley Chest,Item,D1342A,40,D1342B,E4,Reward,,,
5000,Surgate Castle Chest,Gil,D1342E,03,D1342F,05,Reward,,,
Float,Surgate Castle Chest,Magic,D13432,20,D13433,3B,Reward,,,
Drain Sword,Barrier Tower Chest,Monster,D13436,A5,D13437,55,Reward,,,
9000,Barrier Tower Chest,Gil,D1343A,03,D1343B,09,Reward,,,
18000,Barrier Tower Chest,Gil,D1343E,03,D1343F,12,Reward,,,
Gold Hairpin,Barrier Tower Chest,Monster,D13442,A5,D13443,94,Reward,,,
Guardian,Mua Town Barrel,Item,D13446,40,D13447,07,Reward,,,
2500,Mua Forest Chest,Gil,D1344A,02,D1344B,19,Reward,,,
Ether,Mua Forest Chest,Item,D1344E,40,D1344F,E2,Reward,,,
4900,Mua Forest Chest,Gil,D13452,02,D13453,31,Reward,,,
Phoenix Down,Mua Forest Chest,Item,D13456,40,D13457,E4,Reward,,,
9500,Mua Forest Chest,Gil,D1345A,02,D1345B,5F,Reward,,,
Soot,Mua Forest Chest,Item,D1345E,40,D1345F,62,Reward,,,
Flametongue,Mua Forest Chest,Item,D13462,40,D13463,57,Reward,,,
Cabin,Mua Forest Chest,Item,D13466,40,D13467,F1,Reward,,,
Giant Drink,Mua Forest Chest,Item,D1346A,40,D1346B,F2,Reward,,,
Elixir,Mua Forest Chest,Item,D1346E,40,D1346F,E3,Reward,,,
Morning Star,Mua Forest Chest,Item,D13472,40,D13473,5F,Reward,,,
Ether,Solitary Island Chest,Item,D13476,40,D13477,E2,Reward,,,
DragonFang,Solitary Island Chest,Item,D1347A,40,D1347B,EA,Reward,,,
Elixir,Pyramid Chest,Item,D1347E,40,D1347F,E3,Reward,,,
Elixir,Pyramid Chest,Item,D13482,40,D13483,E3,Reward,,,
Black Robe,Pyramid Chest,Monster,D13486,A7,D13487,AC,Reward,,,
Thornlet,Pyramid Chest,Item,D1348A,40,D1348B,CC,Reward,,,
DarkMatter,Pyramid Chest,Monster,D1348E,A6,D1348F,EB,Reward,,,
Crystal Armor,Pyramid Chest,Monster,D13492,AA,D13493,A0,Reward,,,
Cursed Ring,Pyramid Chest,Item,D13496,40,D13497,B3,Reward,,,
Ice Shield,Pyramid Chest,Monster,D1349A,A6,D1349B,CD,Reward,,,
Flame Shield,Pyramid Chest,Monster,D1349E,A6,D1349F,C4,Reward,,,
DarkMatter,Pyramid Chest,Monster,D134A2,A6,D134A3,EB,Reward,,,
White Robe,Pyramid Chest,Monster,D134A6,A8,D134A7,AD,Reward,,,
DarkSuit,Pyramid Chest,Monster,D134AA,A9,D134AB,A6,Reward,,,
DarkMatter,Pyramid Chest,Monster,D134AE,A6,D134AF,EB,Reward,,,
DarkMatter,Pyramid Chest,Monster,D134B2,A6,D134B3,EB,Reward,,,
DarkMatter,Pyramid Chest,Monster,D134B6,A6,D134B7,EB,Reward,,,
9000,Pyramid Chest,Gil,D134BA,03,D134BB,09,Reward,,,
8000,Pyramid Chest,Gil,D134BE,03,D134BF,08,Reward,,,
Earth Hammer,Pyramid Chest,Monster,D134C2,A6,D134C3,26,Reward,,,
10000,Pyramid Chest,Gil,D134C6,03,D134C7,0A,Reward,,,
Cabin,Pyramid Chest,Item,D134CA,40,D134CB,F1,Reward,,,
Elixir,Pyramid Chest,Item,D134CE,40,D134CF,E3,Reward,,,
12000,Pyramid Chest,Gil,D134D2,03,D134D3,0C,Reward,,,
DarkMatter,Pyramid Chest,Monster,D134D6,A6,D134D7,EB,Reward,,,
Elixir,Pyramid Chest,Item,D134DA,40,D134DB,E3,Reward,,,
DarkMatter,Pyramid Chest,Monster,D134DE,A6,D134DF,EB,Reward,,,
Guard Ring,Pyramid Chest,Item,D134E2,40,D134E3,AF,Reward,,,
Ribbon,Pyramid Chest,Item,D134E6,40,D134E7,95,Reward,,,
Gold Hairpin,Pyramid Chest,Item,D134EA,40,D134EB,94,Reward,,,
12000,Solitary Island Chest,Gil,D134EE,03,D134EF,0C,Reward,,,
Hi-Potion,Solitary Island Chest,Item,D134F2,40,D134F3,E1,Reward,,,
Protect Drink,Solitary Island Chest,Item,D134F6,40,D134F7,F5,Reward,,,
BeastKiller,Solitary Island Chest,Item,D134FA,40,D134FB,5D,Reward,,,
RisingSun,Solitary Island Chest,Monster,D134FE,AB,D134FF,64,Reward,,,
Ether,Solitary Island Chest,Item,D13502,40,D13503,E2,Reward,,,
Guard Ring,Solitary Island Chest,Monster,D13506,AC,D13507,AF,Reward,,,
Crystal Helm,Solitary Island Chest,Item,D1350A,40,D1350B,8F,Reward,,,
9000,Solitary Island Chest,Gil,D1350E,03,D1350F,09,Reward,,,
Elixir,Solitary Island Chest,Item,D13512,40,D13513,E3,Reward,,,
DarkMatter,Solitary Island Chest,Item,D13516,40,D13517,EB,Reward,,,
Circlet,Solitary Island Chest,Item,D1351A,40,D1351B,93,Reward,,,
Ether,Fork Tower L. Chest,Item,D1351E,40,D1351F,E2,Reward,,,
Wonder Wand,Fork Tower L. Chest,Item,D13522,40,D13523,60,Reward,,,
Hi-Potion,Fork Tower R. Chest,Item,D13526,40,D13527,E1,Reward,,,
Defender Sword,Fork Tower R. Chest,Item,D1352A,40,D1352B,14,Reward,,,
Water Scroll,Great Trench Chest,Item,D1352E,40,D1352F,FD,Reward,,,
Flame Ring,Great Trench Chest,Item,D13532,40,D13533,BD,Reward,,,
DragonFang,Great Trench Chest,Item,D13536,40,D13537,EA,Reward,,,
Ether,Great Trench Chest,Item,D1353A,40,D1353B,E2,Reward,,,
Phoenix Down,Great Trench Chest,Item,D1353E,40,D1353F,E4,Reward,,,
Kaiser Knuckles,Great Trench Chest,Item,D13542,40,D13543,C1,Reward,,,
Ether,Istory Falls Chest,Item,D13546,40,D13547,E2,Reward,,,
TurtleShell,Istory Falls Chest,Item,D1354A,40,D1354B,E7,Reward,,,
Air Lance,Istory Falls Chest,Item,D1354E,40,D1354F,0A,Reward,,,
Giant Drink,Istory Falls Chest,Item,D13552,40,D13553,F2,Reward,,,
RuneEdge,Istory Falls Chest,Item,D13556,40,D13557,56,Reward,,,
Guard Ring,Istory Falls Chest,Item,D1355A,40,D1355B,AF,Reward,,,
Wall Ring,Istory Falls Chest,Item,D1355E,40,D1355F,CA,Reward,,,
Phoenix Down,Istory Falls Chest,Item,D13562,40,D13563,E4,Reward,,,
Enhancer,Istory Falls Chest,Item,D13566,40,D13567,6E,Reward,,,
12000,Istory Falls Chest,Gil,D1356A,02,D1356B,78,Reward,,,
Artemis Bow,Istory Falls Chest,Item,D1356E,40,D1356F,46,Reward,,,
Pinwheel,Istory Falls Chest,Item,D13572,40,D13573,5B,Reward,,,
Aegis Shield,Istory Falls Chest,Item,D13576,40,D13577,86,Reward,,,
Giant's Axe,Istory Falls Chest,Item,D1357A,40,D1357B,6A,Reward,,,
5000,Phoenix Tower Pot,Gil,D1357E,03,D1357F,05,Reward,,,
Phoenix Down,Phoenix Tower Pot,Monster,D13582,AD,D13583,E4,Reward,,,
10000,Phoenix Tower Pot,Gil,D13586,03,D13587,0A,Reward,,,
Phoenix Down,Phoenix Tower Pot,Monster,D1358A,AD,D1358B,E4,Reward,,,
Phoenix Down,Phoenix Tower Pot,Monster,D1358E,AD,D1358F,E4,Reward,,,
15000,Phoenix Tower Pot,Gil,D13592,03,D13593,0F,Reward,,,
20000,Phoenix Tower Pot,Gil,D13596,03,D13597,14,Reward,,,
Phoenix Down,Phoenix Tower Pot,Monster,D1359A,AD,D1359B,E4,Reward,,,
Avis Killer,Phoenix Tower Pot,Monster,D1359E,AD,D1359F,68,Reward,,,
25000,Phoenix Tower Pot,Gil,D135A2,03,D135A3,19,Reward,,,
Thief Knife,Mirage Village Barrel,Item,D135A6,40,D135A7,6C,Reward,,,
Ether,Rift (Ruins) Chest,Item,D135AA,40,D135AB,E2,Reward,,,
Cabin,Rift (Ruins) Chest,Item,D135AE,40,D135AF,F1,Reward,,,
Elixir,Rift (Ruins) Chest,Item,D135B2,40,D135B3,E3,Reward,,,
DarkMatter,Rift (Ruins) Chest,Item,D135B6,40,D135B7,EB,Reward,,,
Elixir,Rift (Ruins) Chest,Item,D135BA,40,D135BB,E3,Reward,,,
Drain Sword,Rift (Ruins) Chest,Item,D135BE,40,D135BF,55,Reward,,,
DragonFang,Rift (Forest) Chest,Item,D135C2,40,D135C3,EA,Reward,,,
Ribbon,Rift (Forest) Chest,Item,D135C6,40,D135C7,95,Reward,,,
Enhancer,Rift (Forest) Chest,Item,D135CA,40,D135CB,6E,Reward,,,
Lillith Rod,Rift (Forest) Chest,Item,D135CE,40,D135CF,36,Reward,,,
Angel Ring,Rift (Cave) Chest,Item,D135D2,40,D135D3,BC,Reward,,,
Coral Ring,Rift (Cave) Chest,Item,D135D6,40,D135D7,BE,Reward,,,
Thor Hammer,Rift (Castle) Chest,Item,D135DA,40,D135DB,28,Reward,,,
Running Shoes,Rift (Castle) Chest,Item,D135DE,40,D135DF,B5,Reward,,,
Red Shoes,Rift (Castle) Chest,Item,D135E2,40,D135E3,D0,Reward,,,
Rainbow Dress,Rift (Castle) Chest,Item,D135E6,40,D135E7,CF,Reward,,,
ManEater,Rift (Castle) Chest,Item,D135EA,40,D135EB,6B,Reward,,,
Pinwheel,The Void Chest,Item,D135EE,40,D135EF,5B,Reward,,,
Pinwheel,The Void Chest,Item,D135F2,40,D135F3,5B,Reward,,,
Elixir,The Void Chest,Item,D135F6,40,D135F7,E3,Reward,,,
Ragnarok,The Void Chest,Monster,D135FA,AE,D135FB,16,Reward,,,
Pinwheel,The Void Chest,Item,D135FE,40,D135FF,5B,Reward,,,
Knight,Wind Crystal,Crystal,C0FAB2,50,C0FAB3,0,Event,,,
Monk,Wind Crystal,Crystal,C0FAB4,50,C0FAB5,1,Event,,,
Thief,Wind Crystal,Crystal,C0FAB6,50,C0FAB7,2,Event,,,
WhiteMage,Wind Crystal,Crystal,C0FAB8,50,C0FAB9,9,Event,,,
BlackMage,Wind Crystal,Crystal,C0FABA,50,C0FABB,0A,Event,,,
BlueMage,Wind Crystal,Crystal,C0FABC,50,C0FABD,0D,Event,,,
Mediator,Fire Crystal,Crystal,C0FABE,50,C0FABF,0F,Event,,,
Geomancer,Fire Crystal,Crystal,C0FAC0,50,C0FAC1,11,Event,,,
Ninja,Fire Crystal,Crystal,C0FAC2,50,C0FAC3,4,Event,,,
Hunter,Black Choco Crystals,Crystal,C0FAC4,50,C0FAC5,7,Event,,,
Bard,Black Choco Crystals,Crystal,C0FAC6,50,C0FAC7,12,Event,,,
Chemist,Earth Crystal,Crystal,C0FAC8,50,C0FAC9,10,Event,,,
Dancer,Earth Crystal,Crystal,C0FACA,50,C0FACB,13,Event,,,
Dragoon,Earth Crystal,Crystal,C0FACC,50,C0FACD,3,Event,,,
Samurai,Earth Crystal,Crystal,C0FACE,50,C0FACF,5,Event,,,
Levia,Leviathan,Magic,C0FAD0,20,C0FAD1,55,Event,,,
Titan,Titan,Magic,C0FAD2,20,C0FAD3,4E,Event,,,
Crbnkl,Carbuncle,Magic,C0FAD4,20,C0FAD5,51,Event,,,
Syldra,Syldra,Magic,C0FAD6,20,C0FAD7,52,Event,,,
Odin,Odin,Magic,C0FAD8,20,C0FAD9,53,Event,,,
Phenix,Phoenix,Magic,C0FADA,20,C0FADB,54,Event,,,
Bahmut,Bahamut,Magic,C0FADC,20,C0FADD,56,Event,,,
Vitality,Life Song from Crescent Town bard,Magic,C0FADE,20,C0FADF,59,Event,,,
Charm,Temptation Song at Lix,Magic,C0FAE0,20,C0FAE1,5E,Event,,,
Love,Love Song at Istory,Magic,C0FAE2,20,C0FAE3,5D,Event,,,
Requiem,Requiem Song at Kelb,Magic,C0FAE4,20,C0FAE5,5C,Event,,,
Speed,Speed Song at Surgate,Magic,C0FAE6,20,C0FAE7,58,Event,,,
Magic,Magic Song at Ancient Library,Magic,C0FAE8,20,C0FAE9,5A,Event,,,
Power,Power Song from Crescent Town,Magic,C0FAEA,20,C0FAEB,57,Event,,,
Hero,Hero Song from Crescent Town,Magic,C0FAEC,20,C0FAED,5B,Event,,,
Holy,"Fork Tower, two Magics",Magic,C0FAEE,20,C0FAEF,0F,Event,,,
Flare,"Fork Tower, two Magics",Magic,C0FAF0,20,C0FAF1,10,Event,,,
Meteo,Meteo,Magic,C0FAF2,20,C0FAF3,45,Event,,,
Potion,"5 potions in Wind Shrine, bottom left guy",Item,C0FAF4,40,C0FAF5,E0,Event,,,
Potion,"8 potions, Pirate after Torna Canal Key acquired",Item,C0FAF6,40,C0FAF7,E0,Event,,,
Staff of Light,Chancellor at Tycoon,Item,C0FAF8,40,C0FAF9,3C,Event,,,
Mythril Helm,Magisa & Forza,Item,C0FAFA,40,C0FAFB,8C,Event,,,
CornaJar,CornaJar at Kelb,Item,C0FAFC,40,C0FAFD,C5,Event,,,
Ribbon,Ribbon from girl in Rugor,Item,C0FAFE,40,C0FAFF,95,Event,,,
Mirage Vest,Mirage Vest from Chocobo Tour/Mirage Village,Item,C0FB00,40,C0FB01,AE,Event,,,
Excalibur,12 Kuzar Events,Item,C0FB02,40,C0FB03,15,Event,,,
Assassin,12 Kuzar Events,Item,C0FB04,40,C0FB05,0B,Event,,,
Sasuke,12 Kuzar Events,Item,C0FB06,40,C0FB07,0C,Event,,,
Holy Lance,12 Kuzar Events,Item,C0FB08,40,C0FB09,1F,Event,,,
Rune Axe,12 Kuzar Events,Item,C0FB0A,40,C0FB0B,27,Event,,,
Masamune,12 Kuzar Events,Item,C0FB0C,40,C0FB0D,2F,Event,,,
Yoichi Bow,12 Kuzar Events,Item,C0FB0E,40,C0FB0F,45,Event,,,
Flame Whip,12 Kuzar Events,Item,C0FB10,40,C0FB11,4E,Event,,,
Sage's Staff,12 Kuzar Events,Item,C0FB12,40,C0FB13,3D,Event,,,
Wizard Rod,12 Kuzar Events,Item,C0FB14,40,C0FB15,37,Event,,,
Apollo's Harp,12 Kuzar Events,Item,C0FB16,40,C0FB17,4A,Event,,,
Earth Bell,12 Kuzar Events,Item,C0FB18,40,C0FB19,51,Event,,,
Shiva,Shiva,Magic,C0FB1A,20,C0FB1B,4B,Event,,,
Ifrit,Ifrit,Magic,C0FB1C,20,C0FB1D,4D,Event,,,
TimeMage,Water Crystal,Crystal,C0FB1E,50,C0FB1F,0B,Event,,,
Summoner,Water Crystal,Crystal,C0FB20,50,C0FB21,0C,Event,,,
Berserker,Water Crystal,Crystal,C0FB22,50,C0FB23,6,Event,,,
MysticKnight,Water Crystal,Crystal,C0FB24,50,C0FB25,8,Event,,,
RedMage,Water Crystal,Crystal,C0FB26,50,C0FB27,0E,Event,,,
Mimic,GoGo's Crystal,Crystal,C0FB28,50,C0FB29,14,Event,,,
Potion,Goblin Rare Steal,Item,-,40,D05001,E0,Loot,,,
Leather Cap,Goblin Common Drop,Item,-,40,D05002,89,Loot,,,
Potion,Killer Bee Common Steal,Item,-,40,D05004,E0,Loot,,,
Potion,Nut Eater Common Steal,Item,-,40,D05008,E0,Loot,,,
Potion,Nut Eater Rare Steal,Item,-,40,D05009,E0,Loot,,,
Potion,Nut Eater Common Drop,Item,-,40,D0500A,E0,Loot,,,
Potion,Stray Cat Common Steal,Item,-,40,D0500C,E0,Loot,,,
Potion,Steel Bat Common Steal,Item,-,40,D05010,E0,Loot,,,
Potion,Dearo Common Steal,Item,-,40,D05014,E0,Loot,,,
Potion,Stroper Common Steal,Item,-,40,D05018,E0,Loot,,,
Potion,Stroper Rare Steal,Item,-,40,D05019,E0,Loot,,,
Potion,Black Goblin Common Steal,Item,-,40,D0501C,E0,Loot,,,
Potion,Black Goblin Rare Steal,Item,-,40,D0501D,E0,Loot,,,
Leather Shoes,Black Goblin Common Drop,Item,-,40,D0501E,C0,Loot,,,
Potion,White Snake Common Steal,Item,-,40,D05020,E0,Loot,,,
Elixir,Mold Wind Common Drop,Item,-,40,D05026,E3,Loot,,,
Potion,ManiWizard Common Steal,Item,-,40,D05028,E0,Loot,,,
Potion,ManiWizard Rare Steal,Item,-,40,D05029,E0,Loot,,,
Rod,ManiWizard Common Drop,Item,-,40,D0502A,31,Loot,,,
HiPotion,Magic Pot Common Steal,Item,-,40,D0502C,E1,Loot,,,
Elixir,Magic Pot Common Drop,Item,-,40,D0502E,E3,Loot,,,
Potion,Sucker Common Drop,Item,-,40,D05032,E0,Loot,,,
Potion,Octoraken Common Drop,Item,-,40,D05036,E0,Loot,,,
Soft,Gatlings Common Steal,Item,-,40,D05038,EC,Loot,,,
Soft,Gatlings Common Drop,Item,-,40,D0503A,EC,Loot,,,
Potion,Bighorn Common Steal,Item,-,40,D0503C,E0,Loot,,,
