idx,address,shop_type,slot1,slot2,slot3,slot4,slot5,slot6,slot7,slot8,readable_name,valid,num_items,tier
34,D12E69,01,09,24,29,13,1B,42,48,4C,Bal/Kelb Weapon,TRUE,8,3
35,D12E72,02,85,8D,97,91,9E,A4,A9,C2,Bal/Kelb Armor,TRUE,8,3
36,D12E7B,01,08,43,35,5A,FC,FD,FE,00,Kelb Weapon,TRUE,7,3
37,D12E84,02,96,B9,BA,00,00,00,00,00,Kelb Armor,TRUE,3,3
38,D12E8D,00,1B,1C,1D,00,00,00,00,00,Common World 2 Magic 1,TRUE,3,3
39,D12E96,00,2D,2E,2F,00,00,00,00,00,Common World 2 Magic 2,TRUE,3,3
40,D12E9F,00,3F,40,41,00,00,00,00,00,Common World 2 Magic 3,TRUE,3,3
41,D12EA8,01,12,1D,2C,25,00,00,00,00,Surgate Weapon,TRUE,4,3
42,D12EB1,02,85,8D,96,91,9E,B9,A9,C2,Surgate Armor,TRUE,8,3
43,D12EBA,01,0A,44,00,00,00,00,00,00,Mua Weapon,TRUE,2,3
44,D12EC3,02,87,8E,C3,92,9F,A5,AB,B8,Mua Armor,TRUE,8,3
45,D12ECC,00,1E,1F,20,1B,1C,1D,00,00,Mua Magic 1,TRUE,6,3
46,D12ED5,00,30,31,32,2D,2E,2F,00,00,Mua Magic 2,TRUE,6,3
47,D12EDE,00,42,43,44,3F,40,41,00,00,Mua Magic 3,TRUE,6,3
48,D12EE7,01,00,00,00,00,00,00,00,00,0 Weapon,FALSE,0,3
49,D12EF0,02,00,00,00,00,00,00,00,00,0 Armor,FALSE,0,3
50,D12EF9,83,E2,E0,E8,E9,ED,E5,EC,F0,Lix Inn,TRUE,8,3
51,D12F02,00,21,23,34,35,46,47,00,00,Dwarf Magic,FALSE,6,5
52,D12F0B,01,26,5F,67,2D,00,00,00,00,Dwarf Weapon,TRUE,4,5
53,D12F14,02,88,8F,98,93,A0,A6,AC,AD,Dwarf Armor,TRUE,8,5
54,D12F1D,03,00,00,00,00,00,00,00,00,0 Inn,FALSE,0,5
55,D12F26,01,57,58,26,5F,67,2D,1C,00,Mirage Weapon,TRUE,7,6
56,D12F2F,05,5B,5A,1E,59,FC,FD,FE,00,Mirage Guild,TRUE,7,5
57,D12F38,02,88,8F,98,93,A0,A6,AC,AD,Mirage Armor,TRUE,8,6
58,D12F41,04,B5,BC,BD,BE,99,BB,00,00,Mirage Relic,TRUE,6,5
59,D12F4A,00,21,23,34,35,46,47,00,00,Mirage Magic 1,TRUE,6,5
60,D12F53,00,17,29,36,3B,3E,48,49,4A,Mirage Magic 2,TRUE,8,6
61,D12F5C,03,E0,E1,E4,E5,E8,E9,EC,ED,Mirage Inn 1,TRUE,8,5
62,D12F65,06,E3,E2,E6,F2,F3,F4,F5,F6,Mirage Inn 2,TRUE,8,6
63,D12F6E,81,04,0F,22,32,33,34,5E,00,Karnak Weapon (discount),FALSE,7,3
64,D12F77,82,84,8C,9D,A3,A8,B6,B7,00,Karnak Armor (discount),FALSE,7,3
