idx,address,original_reward,area,description,reward_style,event_flag_asar,event_flag_type,event_flag_direction1,event_flag_byte,event_flag_bit,event_flag_direction,note
23,C0FAE0,Charm,Lix,Temptation Song at Lix,event,"$A2, $D3",standard,on,0A2E,08,ON,
24,C0FAE2,Love,Istory Falls,Love Song at Istory,event,"$A4, $11",standard,on,0A36,02,ON,
25,C0FAE4,Requiem,Kelb,Requiem Song at Kelb,event,"$A2, $D1",standard,on,0A2E,02,ON,
26,C0FAE6,Speed,Surgate Castle,Speed Song at Surgate,event,"$A2, $E6",standard,on,0A30,40,ON,
27,C0FAE8,Magic,Ancient Library,Magic Song at Ancient Library,event,"$A4, $51",standard,on,0A3E,02,ON,
28,C0FAEA,Power,Crescent Island,Power Song from Crescent Town,event,"$A2, $CF",standard,on,0A2D,80,ON,
29,C0FAEC,Hero,Crescent Island,Hero Song from Crescent Town,event,"$A2, $CE",standard,on,0A2D,40,ON,
30,C0FAEE,Holy,Fork Tower,"Fork Tower, two Magics",event,"$A4, $F2",standard,on,0A52,04,ON,
31,C0FAF0,Flare,Fork Tower,"Fork Tower, two Magics",event,"$A4, $F2",standard,on,0A52,04,ON,
32,C0FAF2,Meteo,Great Trench,Meteo,event,"$A2, $0E",standard,on,0A15,40,ON,
33,C0FAF4,Potion,Wind Shrine,5 potions (from NPC),event,"$A4, $26",standard,on,0A38,40,ON,
34,C0FAF6,Potion,Pirate's Cave,8 potions (from NPC),event,"$A4, $4E",standard,on,0A3D,40,ON,
35,C0FAF8,Healing Staff,Tycoon Castle,Chancellor at Tycoon,event,"$A2, $2C",standard,on,0A19,10,ON,
36,C0FAFA,Mythril Helm,North Mountain,Magisa & Forza,event,"$A2, $23",standard,on,0A18,08,ON,
37,C0FAFC,CornaJar,Kelb,CornaJar at Kelb,event,"$A2, $0C",standard,on,0A15,10,ON,
38,C0FAFE,Ribbon,Rugor,Ribbon from girl in Rugor,event,"$A4, $6B",standard,on,0A41,08,ON,
39,C0FB02,Assassin,Kuzar,12 Kuzar Events,event,"$CB, $24, $01",npc,off,0A78,10,OFF,
40,C0FB04,Apollo's Harp,Kuzar,12 Kuzar Events,event,"$CB, $25, $01",npc,off,0A78,20,OFF,
41,C0FB06,Excalibur,Kuzar,12 Kuzar Events,event,"$CB, $26, $01",npc,off,0A78,40,OFF,
42,C0FB08,Flame Whip,Kuzar,12 Kuzar Events,event,"$CB, $27, $01",npc,off,0A78,80,OFF,
43,C0FB0A,Earth Bell,Kuzar,12 Kuzar Events,event,"$CB, $28, $01",npc,off,0A79,01,OFF,
44,C0FB0C,Holy Lance,Kuzar,12 Kuzar Events,event,"$CB, $29, $01",npc,off,0A79,02,OFF,
45,C0FB0E,Masamune,Kuzar,12 Kuzar Events,event,"$CB, $2A, $01 ",npc,off,0A79,04,OFF,
46,C0FB10,Wizard Rod,Kuzar,12 Kuzar Events,event,"$CB, $2B, $01",npc,off,0A79,08,OFF,
47,C0FB12,Rune Axe,Kuzar,12 Kuzar Events,event,"$CB, $2C, $01",npc,off,0A79,10,OFF,
48,C0FB14,Sage's Staff,Kuzar,12 Kuzar Events,event,"$CB, $2D, $01",npc,off,0A79,20,OFF,
49,C0FB16,Hardened Dagger,Kuzar,12 Kuzar Events,event,"$CB, $2E, $01",npc,off,0A79,40,OFF,
50,C0FB18,Yoichi Bow,Kuzar,12 Kuzar Events,event,"$CB, $2F, $01",npc,off,0A79,80,OFF,
51,C0FB1A,Shiva,Walse,Shiva,event,"$A2, $25",standard,on,0A18,20,ON,
52,C0FB1C,Ifrit,Ancient Library,Ifrit,event,"$CB, $97, $01",npc,off,0A86,80,OFF,
53,C0FB1E,Samurai,Walse,Water Crystal,event,"$A2, $27",standard,on,0A18,80,ON,
54,C0FB20,Berserker,Walse,Water Crystal,event,"$A2, $27",standard,on,0A18,80,ON,
55,C0FB22,MysticKnight,Walse,Water Crystal,event,"$A2, $27",standard,on,0A18,80,ON,
56,C0FB24,TimeMage,Walse,Water Crystal,event,"$A2, $27",standard,on,0A18,80,ON,
57,C0FB26,Summoner,Walse,Water Crystal,event,"$A2, $27",standard,on,0A18,80,ON,
58,C0FB28,Brave Blade,Mua,Brave Blade,event,"$CB, $79, $79",npc,off,1443,02,OFF,
59,C0FB2A,Chicken Knife,Mua,Chicken Knife,event,"$CB, $79, $79",npc,off,1443,02,OFF,
60,C0FB2C,Cabin,Tycoon Castle,Tycoon Castle Cabin,event,,standard,on,0A14,04,ON,
61,C0FB2E,Cabin,Tycoon Castle,Tycoon Castle Cabin,event,,standard,on,0A14,08,ON,
62,C0FB30,GoGo,Walse,Walse Tower Chest,event,"$CB, $EB, $00",npc,off,0A71,08,OFF,
63,C0FB32,Pyramid Tablet,Pyramid,Pyramid Top,event,"$A2, $78",standard,on,0A23,01,ON,
64,C0FB34,Toad,Istory Falls,Toad Event,event,"$A4, $16",standard,on,0A36,40,ON,
65,C0FB36,Aegis Shield,Mua,Aegis Shield Chest,event,"$A2, $73",standard,on,0A22,08,ON,
66,C0FB38,Cabin,Carwen,Lone Wolf Barrel,event,"$A2, $85",standard,on,0A24,20,ON,
67,C0FB3A,Thunder Whip,Bal Castle,Lone Wolf Chest,event,"$A2, $0B",standard,on,0A15,08,ON,
68,C0FB3C,Epee,Bal Castle,Moat Item,event,"$A4, $98",standard,on,0A47,01,ON,
69,C0FB3E,Lamia Harp,Bal Castle,Shop Backdoor,event,"$A4, $17",standard,on,0A36,80,ON,
70,C0FB40,Magic Lamp,Istory Falls,Top of the Falls,event,"$A4, $96",standard,on,0A46,40,ON,
323,C0FB70,Boss,Ancient Library,Byblos,key,"$A4, $2A",standard,on,0A39,04,ON,
324,C0FB72,Boss,Wind Shrine,WingRaptor,key,"$A4, $20",standard,on,0A38,01,ON,
325,C0FB74,Boss,Torna Canal,Karlabos,key,"$A4, $22",standard,on,0A38,04,ON,
326,C0FB76,Boss,Ship Graveyard,Siren,key,"$A2, $21",standard,on,0A18,02,ON,
327,C0FB78,Boss,North Mountain,Magisa & Forza,key,"$A2, $23",standard,on,0A18,08,ON,
328,C0FB7A,Boss,Walse Tower,Galura,key,"$A2, $27",standard,on,0A18,80,ON,
329,C0FB7C,Boss,Steamship,LiquiFlame,key,"$A2, $2F",standard,on,0A19,80,ON,
330,C0FB7E,Boss,Karnak,Sergeant & DeathClaw,key,"$A2, $31",standard,on,0A1A,02,ON,
331,C0FB80,Boss,Desert of Shifting Sands,Sandworm,key,"$A2, $3C",standard,on,0A1B,10,ON,
332,C0FB82,Boss,Tycoon Meteor,AdamanTiMi,key,"$A2, $48",standard,on,0A1D,01,ON,
333,C0FB84,Boss,Flying Lonka Ruins,Sol Cannon,key,"$A2, $B7",standard,on,0A2A,80,ON,
334,C0FB86,Boss,Flying Lonka Ruins,ArchaeAvis,key,"$CB, $CD, $00",npc,off,0A6D,20,OFF,
335,C0FB88,Boss,Lonka Meteor,Chim.Brain,key,"$A2, $54",standard,on,0A1E,10,ON,
336,C0FB8A,Boss,Walse Meteor,Puroboros,key,"$A2, $53",standard,on,0A1E,08,ON,
337,C0FB8C,Boss,Karnak Meteor,Titan,key,"$A2, $50",standard,on,0A1E,01,ON,
338,C0FBB6,Boss,Ancient Library,Ifrit,key,"$CB, $97, $01",npc,off,0A86,80,OFF,
339,C0FBB8,Boss,Walse Kingdom,Shiva,key,"$A2, $25",standard,on,0A18,20,ON,
340,C0FBBA,Boss,Catapult,Crayclaw,key,"$A2, $44",standard,on,0A1C,10,ON,
341,C0FB8E,Boss,Exdeath's Castle,Gilgamesh 1,key,"$A2, $58",standard,on,0A1F,01,ON,
342,C0FB90,Boss,Big Bridge,Gilgamesh 2,key,"$A2, $45",standard,on,0A1C,20,ON,
343,C0FB92,Boss,Moogle Waterway,Tyrasaurus,key,"$A4, $3C",standard,on,0A3B,10,ON,
344,C0FB94,Boss,Bal Castle,Abductor,key,"$A2, $61",standard,on,0A20,02,ON,
345,C0FB96,Boss,Hiryuu Valley,HiryuuPlant,key,"$A2, $66",standard,on,0A20,40,ON,
346,C0FB98,Boss,Zeza Fleet,Gilgamesh 3 & Enkidou,key,"$A2, $AA",standard,on,0A29,04,ON,
347,C0FB9A,Boss,Barrier Tower,Atmos,key,"$A2, $77",standard,on,0A22,80,ON,
348,C0FB9C,Boss,Mua Forest,Guardians,key,"$A2, $75",standard,on,0A22,20,ON,
349,C0FB9E,Boss,Exdeath's Castle,Carbunkle,key,"$CB, $87, $01",npc,off,0A84,80,OFF,
350,C0FBA0,Boss,Exdeath's Castle,Gilgamesh 4,key,"$A4, $4B",standard,on,0A3D,08,ON,
351,C0FBA2,Boss,Tule Pass,Antlion,key,"$A2, $7F",standard,on,0A23,80,ON,
352,C0FBA4,Boss,Pyramid,Merugene,key,"$A2, $78",standard,on,0A23,01,ON,
353,C0FBA6,Boss,Bal Castle,Odin,key,"$CB, $2F, $00",npc,off,0A59,80,OFF,
354,C0FBA8,Boss,Great Trench,"Triton, Neregeid & Phobos",key,"$A2, $0E",standard,on,0A15,40,ON,
355,C0FBAA,Boss,Fork Tower,Omniscient,key,"$A4, $F2",standard,on,0A52,04,ON,
356,C0FBAC,Boss,Fork Tower,Minotauros,key,"$A4, $F2",standard,on,0A52,04,ON,
357,C0FBAE,Boss,Istory Falls,Leviathan,key,"$A2, $0E",standard,on,0A15,40,ON,
358,C0FBB0,Boss,Solitary Island,Stalker,key,"$A4, $53",standard,on,0A3E,08,ON,check
359,C0FBB2,Boss,Walse Tower,GoGo,key,"$CB, $EB, $00",npc,off,0A71,08,OFF,
360,C0FBB4,Boss,North Mountain,Bahamut,key,"$A2, $D4",standard,on,0A2E,10,ON,
