item_id,readable_name,valid,type,subtype,value,max_count,tier,related_jobs
3C,Staff of Light,TRUE,weapon,staff,5,3,5,"[“WhiteMage”, “TimeMage”, “RedMage”, “Chemist”, “Mimic”]"
3D,Sage's Staff,TRUE,weapon,staff,7,3,7,"[“WhiteMage”, “TimeMage”, “RedMage”, “Chemist”, “Mimic”]"
3E,Judgement Staff,TRUE,weapon,staff,7,1,7,"[“WhiteMage”, “TimeMage”, “RedMage”, “Chemist”, “Mimic”]"
3F,Fire Bow,TRUE,weapon,bow,2,3,2,[“Hunter”]
40,Ice Bow,TRUE,weapon,bow,2,3,2,[“Hunter”]
41,Thunder Bow,TRUE,weapon,bow,2,3,2,[“Hunter”]
42,Darkness Bow,TRUE,weapon,bow,2,3,2,[“Hunter”]
43,Killer Bow,TRUE,weapon,bow,2,3,2,[“Hunter”]
44,Elven Bow,TRUE,weapon,bow,3,3,3,[“Hunter”]
45,Yoichi Bow,TRUE,weapon,bow,4,1,4,[“Hunter”]
46,Artemis Bow,TRUE,weapon,bow,4,1,4,[“Hunter”]
47,Silver Harp,TRUE,weapon,harp,1,3,1,[“Bard”]
48,Dream Harp,TRUE,weapon,harp,2,3,2,[“Bard”]
49,Lamia's Harp,TRUE,weapon,harp,3,3,3,[“Bard”]
4A,Apollo's Harp,TRUE,weapon,harp,7,1,7,[“Bard”]
4B,Whip,TRUE,weapon,whip,1,3,1,[“Mediator”]
4C,Chain Whip,TRUE,weapon,whip,2,3,2,[“Mediator”]
4D,Thunder Whip,TRUE,weapon,whip,3,3,3,[“Mediator”]
4E,Flame Whip,TRUE,weapon,whip,4,3,4,[“Mediator”]
4F,Dragon's Whisker,TRUE,weapon,whip,7,1,7,[“Mediator”]
50,Giyaman,TRUE,weapon,bell,1,3,1,[“Geomancer”]
51,Earth Bell,TRUE,weapon,bell,2,3,2,[“Geomancer”]
52,Rune Chime,TRUE,weapon,bell,3,1,3,[“Geomancer”]
53,Tinkerbell,TRUE,weapon,bell,7,1,7,[“Geomancer”]
54,Sabre (*Dummy),FALSE,dummy,dummy,0,0,0,[]
55,Drain Sword,TRUE,weapon,sword,3,3,3,[“Knight”]
56,RuneEdge,TRUE,weapon,sword,5,3,5,"[""Knight"", ""MysticKnight"", ""BlueMage"", ""RedMage""]"
57,Flametongue,TRUE,weapon,sword,5,3,5,[“Knight”]
58,IceBrand,TRUE,weapon,sword,5,3,5,[“Knight”]
59,Full Moon,TRUE,weapon,flail,4,3,4,"[“Thief”, “Ninja”, “Mimic”]"
5A,Shuriken,TRUE,item,throw,3,3,3,[“Ninja”]
5B,Pinwheel,TRUE,item,throw,5,3,5,[“Ninja”]
5C,Excailbur,TRUE,item,throw,1,1,1,"[""Knight"", ""Mystic Knight"", ""Blue Mage"", ""Red Mage""]"
5D,BeastKiller,TRUE,weapon,whip,5,3,5,[“Mediator”]
5E,Flail,TRUE,weapon,flail,2,3,2,"[“WhiteMage”, “TimeMage”, “RedMage”, “Chemist”, “Mimic”]"
5F,Morning Star,TRUE,weapon,flail,3,3,3,"[“WhiteMage”, “TimeMage”, “RedMage”, “Chemist”, “Mimic”]"
60,Wonder Wand,TRUE,weapon,rod,5,1,5,"[“Black Mage”, “Time Mage”, “Summoner”, “Red Mage”, “Mimic”]"
61,Brave Blade,TRUE,weapon,sword,8,1,8,[“Knight”]
62,Soot,TRUE,weapon,flail,1,3,1,[“Ninja”]
63,Chicken Knife,TRUE,weapon,knife,8,1,8,"[""Knight"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""Mystic Knight"", ""Black Mage"", ""Time Mage"", ""Summoner"", ""Blue Mage"", ""Red Mage"", ""Mediator"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
64,RisingSun,TRUE,item,throw,3,3,3,"[“Thief”, “Ninja”, “Mimic”]"
65,Silver Bow,TRUE,weapon,bow,3,3,3,[“Hunter”]
66,Gale Bow,TRUE,weapon,bow,3,3,3,[“Hunter”]
67,AntiMagic Bow,TRUE,weapon,bow,4,3,4,[“Hunter”]
68,Avis Killer,TRUE,weapon,bow,4,3,4,[“Hunter”]
69,DoomCut,TRUE,weapon,axe,5,3,5,[“Berserker”]
6A,Giant's Axe,TRUE,weapon,axe,5,3,5,[“Berserker”]
6B,ManEater,TRUE,weapon,knife,6,3,6,[“Dancer”]
6C,Thief Knife,TRUE,weapon,knife,3,1,3,"[""Knight"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""Mystic Knight"", ""Black Mage"", ""Time Mage"", ""Summoner"", ""Blue Mage"", ""Red Mage"", ""Mediator"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
6D,Dancing Dagger,TRUE,weapon,knife,4,1,4,"[""Knight"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""Mystic Knight"", ""Black Mage"", ""Time Mage"", ""Summoner"", ""Blue Mage"", ""Red Mage"", ""Mediator"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
6E,Enhancer,TRUE,weapon,sword,5,3,5,"[""Knight"", ""Mystic Knight"", ""Blue Mage"", ""Red Mage""]"
6F,L. Hand,FALSE,dummy,dummy,0,0,0,[]
70,R. Hand,FALSE,dummy,dummy,0,0,0,[]
71,<dummy>,FALSE,dummy,dummy,0,0,0,[]
72,<dummy>,FALSE,dummy,dummy,0,0,0,[]
73,<dummy>,FALSE,dummy,dummy,0,0,0,[]
74,<dummy>,FALSE,dummy,dummy,0,0,0,[]
75,<dummy>,FALSE,dummy,dummy,0,0,0,[]
76,<dummy>,FALSE,dummy,dummy,0,0,0,[]
77,<dummy>,FALSE,dummy,dummy,0,0,0,[]
78,<dummy>,FALSE,dummy,dummy,0,0,0,[]
79,<dummy>,FALSE,dummy,dummy,0,0,0,[]
7A,<dummy>,FALSE,dummy,dummy,0,0,0,[]
7B,<dummy>,FALSE,dummy,dummy,0,0,0,[]
7C,<dummy>,FALSE,dummy,dummy,0,0,0,[]
7D,<dummy>,FALSE,dummy,dummy,0,0,0,[]
7E,<dummy>,FALSE,dummy,dummy,0,0,0,[]
7F,<dummy>,FALSE,dummy,dummy,0,0,0,[]
80,<blank>,FALSE,dummy,dummy,0,0,0,[]
81,Leather Shield,TRUE,armor,shield,1,3,1,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""BlueMage"", ""Mimic""]"
82,Bronze Shield,TRUE,armor,shield,2,3,2,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""BlueMage"", ""Mimic""]"
83,Iron Shield,TRUE,armor,shield,2,3,2,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""BlueMage"", ""Mimic""]"
84,Mythril Shield,TRUE,armor,shield,3,3,3,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""BlueMage"", ""Mimic""]"
85,Golden Shield,TRUE,armor,shield,4,3,4,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""BlueMage"", ""Mimic""]"
86,Aegis Shield,TRUE,armor,shield,5,1,5,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""BlueMage"", ""Mimic""]"
87,Diamond Shield,TRUE,armor,shield,6,3,6,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""BlueMage"", ""Mimic""]"
88,Crystal Shield,TRUE,armor,shield,7,3,7,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""BlueMage"", ""Mimic""]"
89,Leather Cap,TRUE,armor,helm,1,3,1,[“All”]
8A,Bronze Helm,TRUE,armor,helm,2,3,2,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
8B,Iron Helm,TRUE,armor,helm,2,3,2,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
8C,Mythril Helm,TRUE,armor,helm,2,3,2,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
8D,Golden Helm,TRUE,armor,helm,3,3,3,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
8E,Diamond Helm,TRUE,armor,helm,5,3,5,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
8F,Crystal Helm,TRUE,armor,helm,7,3,7,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
90,Plumed Hat,TRUE,armor,helm,1,3,1,[“All”]
91,Tricorn Hat,TRUE,armor,helm,2,3,2,"[""WhiteMage"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""BlueMage"", ""RedMage"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
92,Magus,TRUE,armor,helm,3,3,3,"[""WhiteMage"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""BlueMage"", ""RedMage"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
93,Circlet,TRUE,armor,helm,3,3,3,"[""WhiteMage"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""BlueMage"", ""RedMage"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
94,Gold Hairpin,TRUE,armor,helm,4,2,4,"[""WhiteMage"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""BlueMage"", ""RedMage"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
95,Ribbon,TRUE,armor,helm,4,2,4,[“Dancer”]
96,Bandana,TRUE,armor,helm,1,3,1,"[""Monk"", ""Thief"", ""Ninja"", ""Hunter"", ""BlueMage"", ""RedMage"", ""Mediator"", ""Chemist"", ""Dancer"", ""Mimic""]"
97,GrnBeret,TRUE,armor,helm,2,3,2,"[""Monk"", ""Thief"", ""Ninja"", ""Hunter"", ""BlueMage"", ""RedMage"", ""Mediator"", ""Chemist"", ""Dancer"", ""Mimic""]"
98,DarkHood,TRUE,armor,helm,3,3,3,"[""Monk"", ""Thief"", ""Ninja"", ""Hunter"", ""BlueMage"", ""RedMage"", ""Mediator"", ""Chemist"", ""Dancer"", ""Mimic""]"
99,Lamia's Tiara,TRUE,armor,helm,4,3,4,"[""WhiteMage"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""BlueMage"", ""RedMage"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
9A,Leather Armor,TRUE,armor,armor,1,3,1,[“All”]
9B,Bronze Armor,TRUE,armor,armor,2,3,2,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
9C,Iron Armor,TRUE,armor,armor,2,3,2,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
9D,Mythril Armor,TRUE,armor,armor,3,3,3,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
9E,Golden Armor,TRUE,armor,armor,4,3,4,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
9F,Diamond Armor,TRUE,armor,armor,5,3,5,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
A0,Crystal Armor,TRUE,armor,armor,7,3,7,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
A1,CopperPlt,TRUE,armor,armor,1,3,1,"[""Knight"", ""Monk"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""MysticKnight"", ""BlueMage"", ""RedMage"", ""Mediator"", ""Chemist"", ""Dancer"", ""Mimic""]"
A2,Training Suit,TRUE,armor,armor,2,3,2,"[""Knight"", ""Monk"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""MysticKnight"", ""BlueMage"", ""RedMage"", ""Mediator"", ""Chemist"", ""Dancer"", ""Mimic""]"
A3,Silver Plate,TRUE,armor,armor,3,3,3,"[""Knight"", ""Monk"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""MysticKnight"", ""BlueMage"", ""RedMage"", ""Mediator"", ""Chemist"", ""Dancer"", ""Mimic""]"
A4,Stealth Suit,TRUE,armor,armor,4,3,4,"[""Knight"", ""Monk"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""MysticKnight"", ""BlueMage"", ""RedMage"", ""Mediator"", ""Chemist"", ""Dancer"", ""Mimic""]"
A5,DiamndPlt,TRUE,armor,armor,5,3,5,"[""Knight"", ""Monk"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""MysticKnight"", ""BlueMage"", ""RedMage"", ""Mediator"", ""Chemist"", ""Dancer"", ""Mimic""]"
A6,DarkSuit,TRUE,armor,armor,6,3,6,"[""Knight"", ""Monk"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""MysticKnight"", ""BlueMage"", ""RedMage"", ""Mediator"", ""Chemist"", ""Dancer"", ""Mimic""]"
A7,Cotton Robe,TRUE,armor,armor,1,3,1,"[""WhiteMage"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""BlueMage"", ""RedMage"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
A8,Silk robe,TRUE,armor,armor,2,3,2,"[""WhiteMage"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""BlueMage"", ""RedMage"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
A9,Gaia Gear,TRUE,armor,armor,3,3,3,"[""WhiteMage"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""BlueMage"", ""RedMage"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
AA,Bard's Surplice,TRUE,armor,armor,4,3,4,"[""WhiteMage"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""BlueMage"", ""RedMage"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
AB,Lumina Robe,TRUE,armor,armor,5,3,5,"[""WhiteMage"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""BlueMage"", ""RedMage"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
AC,Black Robe,TRUE,armor,armor,6,3,6,"[""WhiteMage"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""BlueMage"", ""RedMage"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
AD,White Robe,TRUE,armor,armor,6,3,6,"[""WhiteMage"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""BlueMage"", ""RedMage"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
AE,Mirage Vest,TRUE,armor,armor,7,2,7,"[""Knight"", ""Monk"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""MysticKnight"", ""BlueMage"", ""RedMage"", ""Mediator"", ""Chemist"", ""Dancer"", ""Mimic""]"
AF,Guard Ring,TRUE,armor,acc,7,2,7,[“All”]
B0,Thief's Glove,TRUE,armor,acc,3,3,3,"[“Thief”, “Mimic”]"
B1,Giant's Gloves,TRUE,armor,acc,3,3,3,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
B2,Elf Cape,TRUE,armor,acc,6,2,6,[“All”]
B3,Cursed Ring,TRUE,armor,acc,1,1,1,[“All”]
B4,Glasses,TRUE,armor,acc,1,3,1,[“All”]
B5,Running Shoes,TRUE,armor,acc,7,2,7,[“All”]
B6,Mythril Glove,TRUE,armor,acc,1,3,1,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
B7,Silver Armlet,TRUE,armor,acc,2,3,2,"[""Monk"", ""Thief"", ""Ninja"", ""Hunter"", ""WhiteMage"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""BlueMage"", ""RedMage"", ""Mediator"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
B8,Diamond Armlet,TRUE,armor,acc,3,3,3,"[""Monk"", ""Thief"", ""Ninja"", ""Hunter"", ""WhiteMage"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""BlueMage"", ""RedMage"", ""Mediator"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
B9,Strength,TRUE,armor,acc,4,3,4,"[""Knight"", ""Monk"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""MysticKnight"", ""BlueMage"", ""RedMage"", ""Mediator"", ""Chemist"", ""Dancer"", ""Mimic""]"
BA,Power Wrist,TRUE,armor,acc,4,3,4,"[""Monk"", ""Thief"", ""Ninja"", ""Hunter"", ""WhiteMage"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""BlueMage"", ""RedMage"", ""Mediator"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
BB,Angel Gwn,TRUE,armor,acc,5,3,5,"[“Chemist”, “Mimic”]"
BC,Angel Ring,TRUE,armor,acc,7,2,7,[“All”]
BD,Flame Ring,TRUE,armor,acc,7,2,7,[“All”]
BE,Coral Ring,TRUE,armor,acc,7,2,7,[“All”]
BF,Bone Mail,TRUE,armor,armor,6,1,6,"[""Knight"", ""Monk"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""MysticKnight"", ""BlueMage"", ""RedMage"", ""Mediator"", ""Chemist"", ""Dancer"", ""Mimic""]"
C0,Leather Shoes,TRUE,armor,acc,1,3,1,[“All”]
C1,Kaiser Knuckles,TRUE,armor,acc,2,1,2,[“All”]
C2,Gauntlets,TRUE,armor,acc,2,3,2,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
C3,Tiger Mask,TRUE,armor,acc,2,3,2,"[""Monk"", ""Thief"", ""Ninja"", ""Hunter"", ""BlueMage"", ""RedMage"", ""Mediator"", ""Chemist"", ""Dancer"", ""Mimic""]"
C4,Flame Shield,TRUE,armor,shield,3,2,3,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""BlueMage"", ""Mimic""]"
C5,CornaJar,TRUE,armor,acc,3,1,3,[“All”]
C6,Genji Shield,TRUE,armor,shield,8,1,8,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""BlueMage"", ""Mimic""]"
C7,Genji Helm,TRUE,armor,helm,8,1,8,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
C8,Genji Armor,TRUE,armor,armor,8,1,8,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
C9,Genji Gloves,TRUE,armor,acc,8,1,8,"[""Knight"", ""Dragoon"", ""Samurai"", ""Berserker"", ""MysticKnight"", ""Mimic""]"
CA,Wall Ring,TRUE,armor,acc,6,2,6,[“All”]
CB,Coronet,TRUE,armor,helm,5,3,5,[“All”]
