item_id,readable_name,valid,type,subtype,value,max_count,tier,byte_data,addr,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8,byte9,byte10,byte11,byte12
9D,Mythril Armor,TRUE,armor,armor,3,3,3,020816800000000900020000,D1075C,02,08,16,80,00,00,00,09,00,02,00,00
9E,Golden Armor,TRUE,armor,armor,4,3,4,020816800000000c00020000,D10768,02,08,16,80,00,00,00,0c,00,02,00,00
9F,Diamond Armor,TRUE,armor,armor,5,3,5,020816800000000f00020100,D10774,02,08,16,80,00,00,00,0f,00,02,01,00
A0,Crystal Armor,TRUE,armor,armor,7,3,7,020816800000001400020000,D10780,02,08,16,80,00,00,00,14,00,02,00,00
A1,CopperPlt,TRUE,armor,armor,1,3,1,020417800000000300020000,D1078C,02,04,17,80,00,00,00,03,00,02,00,00
A2,Training Suit,TRUE,armor,armor,2,3,2,020317c00000000500020000,D10798,02,03,17,c0,00,00,00,05,00,02,00,00
A3,Silver Plate,TRUE,armor,armor,3,3,3,020417800000000700020000,D107A4,02,04,17,80,00,00,00,07,00,02,00,00
A4,Stealth Suit,TRUE,armor,armor,4,3,4,020317a00000000900020000,D107B0,02,03,17,a0,00,00,00,09,00,02,00,00
A5,DiamndPlt,TRUE,armor,armor,5,3,5,020417800000000d00020100,D107BC,02,04,17,80,00,00,00,0d,00,02,01,00
A6,DarkSuit,TRUE,armor,armor,6,3,6,020317e00000001100020000,D107C8,02,03,17,e0,00,00,00,11,00,02,00,00
A7,Cotton Robe,TRUE,armor,armor,1,3,1,02021880000000020f040000,D107D4,02,02,18,80,00,00,00,02,0f,04,00,00
A8,Silk robe,TRUE,armor,armor,2,3,2,020218800000000410060000,D107E0,02,02,18,80,00,00,00,04,10,06,00,00
A9,Gaia Gear,TRUE,armor,armor,3,3,3,0202182000000008120a0000,D107EC,02,02,18,20,00,00,00,08,12,0a,00,00
AA,Bard's Surplice,TRUE,armor,armor,4,3,4,020218800000000611080007,D107F8,02,02,18,80,00,00,00,06,11,08,00,07
AB,Lumina Robe,TRUE,armor,armor,5,3,5,020218890000000b130c0000,D10804,02,02,18,89,00,00,00,0b,13,0c,00,00
AC,Black Robe,TRUE,armor,armor,6,3,6,0202188f0000000e140e0000,D10810,02,02,18,8f,00,00,00,0e,14,0e,00,00
AD,White Robe,TRUE,armor,armor,6,3,6,0202189a0000000e140e0000,D1081C,02,02,18,9a,00,00,00,0e,14,0e,00,00
AE,Mirage Vest,TRUE,armor,armor,7,2,7,020317800000000e0304000f,D10828,02,03,17,80,00,00,00,0e,03,04,00,0f
AF,Guard Ring,TRUE,armor,acc,7,2,7,01011b970000000a0a0a0001,D10834,01,01,1b,97,00,00,00,0a,0a,0a,00,01
B0,Thief's Glove,TRUE,armor,acc,3,3,3,01011ca01d10000400000000,D10840,01,01,1c,a0,1d,10,00,04,00,00,00,00
B1,Giant's Gloves,TRUE,armor,acc,3,3,3,010a19d5000000090001000c,D1084C,01,0a,19,d5,00,00,00,09,00,01,00,0c
B2,Elf Cape,TRUE,armor,acc,6,2,6,01011ba80040000005030000,D10858,01,01,1b,a8,00,40,00,00,05,03,00,00
B3,Cursed Ring,TRUE,armor,acc,1,1,1,01011b802d0000190a050002,D10864,01,01,1b,80,2d,00,00,19,0a,05,00,02
B4,Glasses,TRUE,armor,acc,1,3,1,01011b800000000103010008,D10870,01,01,1b,80,00,00,00,01,03,01,00,08
B5,Running Shoes,TRUE,armor,acc,7,2,7,01011b800000000005030003,D1087C,01,01,1b,80,00,00,00,00,05,03,00,03
B6,Mythril Glove,TRUE,armor,acc,1,3,1,010519800000000300000000,D10888,01,05,19,80,00,00,00,03,00,00,00,00
B7,Silver Armlet,TRUE,armor,acc,2,3,2,01031a800000000205030000,D10894,01,03,1a,80,00,00,00,02,05,03,00,00
B8,Diamond Armlet,TRUE,armor,acc,3,3,3,01031a800000000405050000,D108A0,01,03,1a,80,00,00,00,04,05,05,00,00
B9,Strength,TRUE,armor,acc,4,3,4,020017c20000000b00000000,D108AC,02,00,17,c2,00,00,00,0b,00,00,00,00
BA,Power Wrist,TRUE,armor,acc,4,3,4,01001ac20000000300000000,D108B8,01,00,1a,c2,00,00,00,03,00,00,00,00
BB,Angel Gwn,TRUE,armor,acc,5,3,5,02021d970000000a190b0309,D108C4,02,02,1d,97,00,00,00,0a,19,0b,03,09
BC,Angel Ring,TRUE,armor,acc,7,2,7,01011b80200000050a0a000d,D108D0,01,01,1b,80,20,00,00,05,0a,0a,00,0d
BD,Flame Ring,TRUE,armor,acc,7,2,7,01011b800000000505050400,D108DC,01,01,1b,80,00,00,00,05,05,05,04,00
BE,Coral Ring,TRUE,armor,acc,7,2,7,01011b800000000505050500,D108E8,01,01,1b,80,00,00,00,05,05,05,05,00
BF,Bone Mail,TRUE,armor,armor,6,1,6,020317ee2b02001e0a05060a,D108F4,02,03,17,ee,2b,02,00,1e,0a,05,06,0a
C0,Leather Shoes,TRUE,armor,acc,1,3,1,010101800000000100010000,D10900,01,01,01,80,00,00,00,01,00,01,00,00
C1,Kaiser Knuckles,TRUE,armor,acc,2,1,2,01011bc72420000800000000,D1090C,01,01,1b,c7,24,20,00,08,00,00,00,00
C2,Gauntlets,TRUE,armor,acc,2,3,2,010519800000000600010000,D10918,01,05,19,80,00,00,00,06,00,01,00,00
C3,Tiger Mask,TRUE,armor,acc,2,3,2,040213800000000900020000,D10924,04,02,13,80,00,00,00,09,00,02,00,00
C4,Flame Shield,TRUE,armor,shield,3,2,3,080511800000280705050700,D10930,08,05,11,80,00,00,28,07,05,05,07,00
C5,CornaJar,TRUE,armor,acc,3,1,3,010f1b802601000000000000,D1093C,01,0f,1b,80,26,01,00,00,00,00,00,00
C6,Genji Shield,TRUE,armor,shield,8,1,8,080611800000320900010010,D10948,08,06,11,80,00,00,32,09,00,01,00,10
C7,Genji Helm,TRUE,armor,helm,8,1,8,040512800000000f00020011,D10954,04,05,12,80,00,00,00,0f,00,02,00,11
C8,Genji Armor,TRUE,armor,armor,8,1,8,020916800000001600020012,D10960,02,09,16,80,00,00,00,16,00,02,00,12
C9,Genji Gloves,TRUE,armor,acc,8,1,8,010619800000000c00010013,D1096C,01,06,19,80,00,00,00,0c,00,01,00,13
CA,Wall Ring,TRUE,armor,acc,6,2,6,01011b80000000000000000b,D10978,01,01,1b,80,00,00,00,00,00,00,00,0b
CB,Coronet,TRUE,armor,helm,5,3,5,04081b882500000505040000,D10984,04,08,1b,88,25,00,00,05,05,04,00,00
CC,Thornlet,TRUE,armor,helm,5,3,5,040412f62a0000140a05000e,D10990,04,04,12,f6,2a,00,00,14,0a,05,00,0e
CD,Ice Shield,TRUE,armor,shield,6,2,6,080511800000280705050800,D1099C,08,05,11,80,00,00,28,07,05,05,08,00
CE,Cursed Shield,TRUE,armor,shield,1,3,1,080511802c00010f0a050000,D109A8,08,05,11,80,2c,00,01,0f,0a,05,00,00
CF,Rainbow Dress,TRUE,armor,armor,5,1,5,020315800004001204030006,D109B4,02,03,15,80,00,04,00,12,04,03,00,06
D0,Red Shoes,TRUE,armor,acc,5,1,5,010115800004000b03020006,D109C0,01,01,15,80,00,04,00,0b,03,02,00,06
