index,weapon_name_menu,weapon_name_textbox,weapon_str,weapon_type,tier,magic_id,magic_type,killer_type,ability,ability_id,adjustment_type,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8,byte9,byte10,byte11,byte12
30,<Knif>Fire3,Fire3 Knife,82,knife,4,30,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
31,<Knif>Ice3,Ice3 Knife,82,knife,4,31,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
32,<Knif>Bolt3,Bolt3 Knife,82,knife,4,32,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
33,<Knif>Flare,Flare Knife,113,knife,7,33,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
34,<Knif>Doom,Doom Knife,108,knife,5,34,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
35,<Knif>Psych,Psych Knife,95,knife,3,35,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
36,<Knif>Slow,Slow Knife,52,knife,1,37,Time,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
37,<Knif>Regen,Regen Knife,56,knife,1,38,Time,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
38,<Knif>Haste,Haste Knife,59,knife,1,3A,Time,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
39,<Knif>Float,Float Knife,60,knife,1,3B,Time,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
40,<Knif>Demi,Demi Knife,65,knife,1,3C,Time,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
41,<Knif>Stop,Stop Knife,73,knife,2,3D,Time,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
42,<Knif>Comet,Comet Knife,95,knife,3,3F,Time,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
43,<Knif>Slow2,Slow2 Knife,84,knife,3,40,Time,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
44,<Knif>Qrter,Qrter Knife,100,knife,4,42,Time,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
45,<Knif>Hast2,Hast2 Knife,97,knife,4,43,Time,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
46,<Knif>Old,Old Knife,102,knife,3,44,Time,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
47,<Knif>Meteo,Meteo Knife,113,knife,7,45,Time,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
48,<Knif>Xzone,Xzone Knife,108,knife,4,47,Time,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
49,<Knif>Condemn,Condemn Knife,37,knife,4,82,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
50,<Knif>Roulette,Roulette Knife,15,knife,1,83,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
51,<Knif>AquaRake,AquaRake Knife,50,knife,2,84,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
52,<Knif>L5 Doom,L5 Doom Knife,87,knife,6,85,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
53,<Knif>L4 Qrter,L4 Qrter Knife,68,knife,4,86,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
54,<Knif>L2 Old,L2 Old Knife,68,knife,6,87,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
55,<Knif>L3 Flare,L3 Flare Knife,68,knife,4,88,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
56,<Knif>FrogSong,FrogSong Knife,25,knife,1,89,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
57,<Knif>TinySong,TinySong Knife,26,knife,1,8A,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
58,<Knif>Flash,Flash Knife,20,knife,1,8B,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
59,<Knif>Time Sli,Time Slip Knife,19,knife,1,8C,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
60,<Knif>MoonFlut,MoonFlut Knife,20,knife,1,8D,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
61,<Knif>DethClaw,DethClaw Knife,42,knife,2,8E,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
62,<Knif>Aero,Aero Knife,37,knife,1,8F,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
63,<Knif>Aero 2,Aero 2 Knife,58,knife,2,90,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
64,<Knif>Aero 3,Aero 3 Knife,82,knife,5,91,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
65,<Knif>Emission,Emission Knife,47,knife,2,92,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
66,<Knif>GblinPnc,GblinPnch Knife,12,knife,1,93,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
67,<Knif>DrkShock,DrkShock Knife,80,knife,4,94,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
68,<Knif>GuardOff,GuardOff Knife,69,knife,3,95,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
69,<Knif>Fusion,Fusion Knife,32,knife,2,96,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
70,<Knif>MindBlst,MindBlst Knife,90,knife,5,97,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
71,<Knif>Vampire,Vampire Knife,16,knife,1,98,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
72,<Knif>Hammer,Hammer Knife,24,knife,1,99,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
73,<Knif>BigGuard,BigGuard Knife,105,knife,7,9A,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
74,<Knif>Exploder,Exploder Knife,35,knife,2,9B,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
75,<Knif>????,???? Knife,19,knife,1,9C,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
76,<Knif>Blowfish,Blowfish Knife,62,knife,5,9D,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
77,<Knif>WhiteWin,WhiteWind Knife,71,knife,5,9E,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
78,<Knif>Missile,Missile Knife,36,knife,2,9F,Blue,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
79,<Swrd>Cure,Cure Sword,7,sword,1,12,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
80,<Swrd>Scan,Scan Sword,10,sword,1,13,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
81,<Swrd>Antdt,Antdt Sword,13,sword,1,14,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
82,<Swrd>Mute,Mute Sword,16,sword,1,15,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
83,<Swrd>Armor,Armor Sword,19,sword,1,16,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
84,<Swrd>Size,Size Sword,22,sword,1,17,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
85,<Swrd>Cure2,Cure2 Sword,25,sword,2,18,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
86,<Swrd>Life,Life Sword,28,sword,2,19,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
87,<Swrd>Charm,Charm Sword,31,sword,2,1A,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
88,<Swrd>Image,Image Sword,34,sword,2,1B,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
89,<Swrd>Shell,Shell Sword,37,sword,2,1C,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
90,<Swrd>Heal,Heal Sword,40,sword,3,1D,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
91,<Swrd>Cure3,Cure3 Sword,43,sword,4,1E,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
92,<Swrd>Wall,Wall Sword,46,sword,3,1F,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
93,<Swrd>Bersk,Bersk Sword,49,sword,3,20,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
94,<Swrd>Life2,Life2 Sword,52,sword,4,21,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
95,<Swrd>Holy,Holy Sword,55,sword,7,22,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
96,<Swrd>Dispel,Dispel Sword,58,sword,3,23,White,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
97,<Swrd>Fire,Fire Sword,38,sword,1,24,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
98,<Swrd>Ice,Ice Sword,38,sword,1,25,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
99,<Swrd>Bolt,Bolt Sword,38,sword,1,26,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
100,<Swrd>Venom,Venom Sword,50,sword,1,27,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
101,<Swrd>Sleep,Sleep Sword,51,sword,1,28,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
102,<Swrd>Toad,Toad Sword,53,sword,1,29,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
103,<Swrd>Fire2,Fire2 Sword,59,sword,2,2A,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
104,<Swrd>Ice2,Ice2 Sword,59,sword,2,2B,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
105,<Swrd>Bolt2,Bolt2 Sword,59,sword,2,2C,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
106,<Swrd>Drain,Drain Sword,67,sword,2,2D,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
107,<Swrd>Break,Break Sword,74,sword,3,2E,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
108,<Swrd>Bio,Bio Sword,74,sword,3,2F,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
109,<Swrd>Fire3,Fire3 Sword,83,sword,4,30,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
110,<Swrd>Ice3,Ice3 Sword,83,sword,4,31,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
111,<Swrd>Bolt3,Bolt3 Sword,83,sword,4,32,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
112,<Swrd>Flare,Flare Sword,114,sword,7,33,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
113,<Swrd>Doom,Doom Sword,109,sword,5,34,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
114,<Swrd>Psych,Psych Sword,96,sword,3,35,Black,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
115,<Swrd>Slow,Slow Sword,53,sword,1,37,Time,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
116,<Swrd>Regen,Regen Sword,57,sword,1,38,Time,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
117,<Swrd>Haste,Haste Sword,60,sword,1,3A,Time,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
118,<Swrd>Float,Float Sword,61,sword,1,3B,Time,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
119,<Swrd>Demi,Demi Sword,66,sword,1,3C,Time,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
120,<Swrd>Stop,Stop Sword,74,sword,2,3D,Time,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
121,<Swrd>Comet,Comet Sword,96,sword,3,3F,Time,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
122,<Swrd>Slow2,Slow2 Sword,85,sword,3,40,Time,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
123,<Swrd>Qrter,Qrter Sword,101,sword,4,42,Time,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
124,<Swrd>Hast2,Hast2 Sword,98,sword,4,43,Time,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
125,<Swrd>Old,Old Sword,103,sword,3,44,Time,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
126,<Swrd>Meteo,Meteo Sword,114,sword,7,45,Time,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
127,<Swrd>Xzone,Xzone Sword,109,sword,4,47,Time,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
128,<Swrd>Condemn,Condemn Sword,38,sword,4,82,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
129,<Swrd>Roulette,Roulette Sword,16,sword,1,83,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
130,<Swrd>AquaRake,AquaRake Sword,51,sword,2,84,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
131,<Swrd>L5 Doom,L5 Doom Sword,88,sword,6,85,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
132,<Swrd>L4 Qrter,L4 Qrter Sword,69,sword,4,86,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
133,<Swrd>L2 Old,L2 Old Sword,69,sword,6,87,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
134,<Swrd>L3 Flare,L3 Flare Sword,69,sword,4,88,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
135,<Swrd>FrogSong,FrogSong Sword,26,sword,1,89,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
136,<Swrd>TinySong,TinySong Sword,27,sword,1,8A,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
137,<Swrd>Flash,Flash Sword,21,sword,1,8B,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
138,<Swrd>Time Sli,Time Slip Sword,20,sword,1,8C,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
139,<Swrd>MoonFlut,MoonFlut Sword,21,sword,1,8D,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
140,<Swrd>DethClaw,DethClaw Sword,43,sword,2,8E,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
141,<Swrd>Aero,Aero Sword,38,sword,1,8F,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
142,<Swrd>Aero 2,Aero 2 Sword,59,sword,2,90,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
143,<Swrd>Aero 3,Aero 3 Sword,83,sword,5,91,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
144,<Swrd>Emission,Emission Sword,48,sword,2,92,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
145,<Swrd>GblinPnc,GblinPnch Sword,13,sword,1,93,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
146,<Swrd>DrkShock,DrkShock Sword,81,sword,4,94,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
147,<Swrd>GuardOff,GuardOff Sword,70,sword,3,95,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
148,<Swrd>Fusion,Fusion Sword,33,sword,2,96,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
149,<Swrd>MindBlst,MindBlst Sword,91,sword,5,97,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
150,<Swrd>Vampire,Vampire Sword,17,sword,1,98,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
151,<Swrd>Hammer,Hammer Sword,25,sword,1,99,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
152,<Swrd>BigGuard,BigGuard Sword,106,sword,7,9A,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
153,<Swrd>Exploder,Exploder Sword,36,sword,2,9B,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
154,<Swrd>????,???? Sword,20,sword,1,9C,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
155,<Swrd>Blowfish,Blowfish Sword,63,sword,5,9D,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
156,<Swrd>WhiteWin,WhiteWind Sword,72,sword,5,9E,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
157,<Swrd>Missile,Missile Sword,37,sword,2,9F,Blue,,,,spell,00,80,04,80,55,04,78,00,31,00,00,00
158,<Swrd>Cure,Cure Knightsword,14,knightsword,1,12,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
159,<Swrd>Scan,Scan Knightsword,17,knightsword,1,13,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
160,<Swrd>Antdt,Antdt Knightsword,20,knightsword,1,14,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
161,<Swrd>Mute,Mute Knightsword,23,knightsword,1,15,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
162,<Swrd>Armor,Armor Knightsword,26,knightsword,1,16,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
163,<Swrd>Size,Size Knightsword,29,knightsword,1,17,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
164,<Swrd>Cure2,Cure2 Knightsword,32,knightsword,2,18,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
165,<Swrd>Life,Life Knightsword,35,knightsword,2,19,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
166,<Swrd>Charm,Charm Knightsword,38,knightsword,2,1A,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
167,<Swrd>Image,Image Knightsword,41,knightsword,2,1B,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
168,<Swrd>Shell,Shell Knightsword,44,knightsword,2,1C,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
169,<Swrd>Heal,Heal Knightsword,47,knightsword,3,1D,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
170,<Swrd>Cure3,Cure3 Knightsword,50,knightsword,4,1E,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
171,<Swrd>Wall,Wall Knightsword,53,knightsword,3,1F,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
172,<Swrd>Bersk,Bersk Knightsword,56,knightsword,3,20,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
173,<Swrd>Life2,Life2 Knightsword,59,knightsword,4,21,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
174,<Swrd>Holy,Holy Knightsword,62,knightsword,7,22,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
175,<Swrd>Dispel,Dispel Knightsword,65,knightsword,3,23,White,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
176,<Swrd>Fire,Fire Knightsword,45,knightsword,1,24,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
177,<Swrd>Ice,Ice Knightsword,45,knightsword,1,25,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
178,<Swrd>Bolt,Bolt Knightsword,45,knightsword,1,26,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
179,<Swrd>Venom,Venom Knightsword,57,knightsword,1,27,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
180,<Swrd>Sleep,Sleep Knightsword,58,knightsword,1,28,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
181,<Swrd>Toad,Toad Knightsword,60,knightsword,1,29,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
182,<Swrd>Fire2,Fire2 Knightsword,66,knightsword,2,2A,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
183,<Swrd>Ice2,Ice2 Knightsword,66,knightsword,2,2B,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
184,<Swrd>Bolt2,Bolt2 Knightsword,66,knightsword,2,2C,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
185,<Swrd>Drain,Drain Knightsword,74,knightsword,2,2D,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
186,<Swrd>Break,Break Knightsword,81,knightsword,3,2E,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
187,<Swrd>Bio,Bio Knightsword,81,knightsword,3,2F,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
188,<Swrd>Fire3,Fire3 Knightsword,90,knightsword,4,30,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
189,<Swrd>Ice3,Ice3 Knightsword,90,knightsword,4,31,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
190,<Swrd>Bolt3,Bolt3 Knightsword,90,knightsword,4,32,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
191,<Swrd>Flare,Flare Knightsword,121,knightsword,7,33,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
192,<Swrd>Doom,Doom Knightsword,116,knightsword,5,34,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
193,<Swrd>Psych,Psych Knightsword,103,knightsword,3,35,Black,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
194,<Swrd>Slow,Slow Knightsword,60,knightsword,1,37,Time,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
195,<Swrd>Regen,Regen Knightsword,64,knightsword,1,38,Time,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
196,<Swrd>Haste,Haste Knightsword,67,knightsword,1,3A,Time,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
197,<Swrd>Float,Float Knightsword,68,knightsword,1,3B,Time,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
198,<Swrd>Demi,Demi Knightsword,73,knightsword,1,3C,Time,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
199,<Swrd>Stop,Stop Knightsword,81,knightsword,2,3D,Time,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
200,<Swrd>Comet,Comet Knightsword,103,knightsword,3,3F,Time,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
201,<Swrd>Slow2,Slow2 Knightsword,92,knightsword,3,40,Time,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
202,<Swrd>Qrter,Qrter Knightsword,108,knightsword,4,42,Time,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
203,<Swrd>Hast2,Hast2 Knightsword,105,knightsword,4,43,Time,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
204,<Swrd>Old,Old Knightsword,110,knightsword,3,44,Time,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
205,<Swrd>Meteo,Meteo Knightsword,121,knightsword,7,45,Time,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
206,<Swrd>Xzone,Xzone Knightsword,116,knightsword,4,47,Time,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
207,<Swrd>Condemn,Condemn Knightsword,45,knightsword,4,82,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
208,<Swrd>Roulette,Roulette Knightsword,23,knightsword,1,83,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
209,<Swrd>AquaRake,AquaRake Knightsword,58,knightsword,2,84,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
210,<Swrd>L5 Doom,L5 Doom Knightsword,95,knightsword,6,85,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
211,<Swrd>L4 Qrter,L4 Qrter Knightsword,76,knightsword,4,86,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
212,<Swrd>L2 Old,L2 Old Knightsword,76,knightsword,6,87,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
213,<Swrd>L3 Flare,L3 Flare Knightsword,76,knightsword,4,88,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
214,<Swrd>FrogSong,FrogSong Knightsword,33,knightsword,1,89,Blue,,,,spell,00,80,05,80,55,04,78,00,31,00,00,00
