idx,address,shop_type,id,content_name,price,resell_byte,price_byte,int_price,resell
109,D12AD8,3,6C,Thief Knife,244,2,44,6800,HALF
110,D12ADA,3,6D,Dancing Dagger,023a,2,3a,5800,HALF
111,D12ADC,3,6E,Enhancer,402,4,2,20000,HALF
112,D12ADE,3,6F,L. Hand,010a,1,0a,100,HALF
113,D12AE0,3,70,R. Hand,010a,1,0a,100,HALF
114,D12AE2,3,71,<dummy>,010a,1,0a,100,HALF
115,D12AE4,3,72,<dummy>,010a,1,0a,100,HALF
116,D12AE6,3,73,<dummy>,010a,1,0a,100,HALF
117,D12AE8,3,74,<dummy>,010a,1,0a,100,HALF
118,D12AEA,3,75,<dummy>,010a,1,0a,100,HALF
119,D12AEC,3,76,<dummy>,010a,1,0a,100,HALF
120,D12AEE,3,77,<dummy>,010a,1,0a,100,HALF
121,D12AF0,3,78,<dummy>,010a,1,0a,100,HALF
122,D12AF2,3,79,<dummy>,010a,1,0a,100,HALF
123,D12AF4,3,7A,<dummy>,010a,1,0a,100,HALF
124,D12AF6,3,7B,<dummy>,010a,1,0a,100,HALF
125,D12AF8,3,7C,<dummy>,010a,1,0a,100,HALF
126,D12AFA,3,7D,<dummy>,010a,1,0a,100,HALF
127,D12AFC,3,7E,<dummy>,010a,1,0a,100,HALF
128,D12AFE,3,7F,<dummy>,010a,1,0a,100,HALF
129,D12B00,3,80,<blank>,100,1,0a,100,HALF
130,D12B02,3,81,Leather Shield,109,1,9,90,HALF
131,D12B04,3,82,Bronze Shield,011d,1,1d,290,HALF
132,D12B06,3,83,Iron Shield,127,1,27,390,HALF
133,D12B08,3,84,Mythril Shield,013b,1,3b,590,HALF
134,D12B0A,3,85,Golden Shield,021e,2,1e,3000,HALF
135,D12B0C,3,86,Aegis Shield,022d,2,2d,4500,HALF
136,D12B0E,3,87,Diamond Shield,023c,2,3c,6000,HALF
137,D12B10,3,88,Crystal Shield,025a,2,5a,9000,HALF
138,D12B12,3,89,Leather Cap,105,1,5,50,HALF
139,D12B14,3,8A,Bronze Helm,119,1,19,250,HALF
140,D12B16,3,8B,Iron Helm,123,1,23,350,HALF
141,D12B18,3,8C,Mythril Helm,137,1,37,550,HALF
142,D12B1A,3,8D,Golden Helm,223,2,23,3500,HALF
143,D12B1C,3,8E,Diamond Helm,246,2,46,7000,HALF
144,D12B1E,3,8F,Crystal Helm,269,2,69,10500,HALF
145,D12B20,3,90,Plumed Hat,123,1,23,350,HALF
146,D12B22,3,91,Tricorn Hat,020f,2,0f,1500,HALF
147,D12B24,3,92,Magus,021e,2,1e,3000,HALF
148,D12B26,3,93,Circlet,022d,2,2d,4500,HALF
149,D12B28,3,94,Gold Hairpin,403,4,3,30000,HALF
150,D12B2A,3,95,Ribbon,2,3,23,35000,HALF
151,D12B2C,3,96,Bandana,223,2,23,3500,HALF
152,D12B2E,3,97,GrnBeret,219,2,19,2500,HALF
153,D12B30,3,98,DarkHood,241,2,41,6500,HALF
154,D12B32,3,99,Lamia's Tiara,219,2,19,2500,HALF
155,D12B34,3,9A,Leather Armor,108,1,8,80,HALF
156,D12B36,3,9B,Bronze Armor,128,1,28,400,HALF
157,D12B38,3,9C,Iron Armor,132,1,32,500,HALF
158,D12B3A,3,9D,Mythril Armor,146,1,46,700,HALF
159,D12B3C,3,9E,Golden Armor,228,2,28,4000,HALF
160,D12B3E,3,9F,Diamond Armor,250,2,50,8000,HALF
161,D12B40,3,A0,Crystal Armor,030c,3,0c,12000,HALF
162,D12B42,3,A1,CopperPlt,123,1,23,350,HALF
163,D12B44,3,A2,Training Suit,012d,1,2d,450,HALF
164,D12B46,3,A3,Silver Plate,013c,1,3c,600,HALF
165,D12B48,3,A4,Stealth Suit,021e,2,1e,3000,HALF
166,D12B4A,3,A5,DiamndPlt,023c,2,3c,6000,HALF
167,D12B4C,3,A6,DarkSuit,025a,2,5a,9000,HALF
168,D12B4E,3,A7,Cotton Robe,011e,1,1e,300,HALF
169,D12B50,3,A8,Silk robe,132,1,32,500,HALF
170,D12B52,3,A9,Gaia Gear,214,2,14,2000,HALF
171,D12B54,3,AA,Bard's Surplice,020a,2,0a,1000,HALF
172,D12B56,3,AB,Lumina Robe,228,2,28,4000,HALF
173,D12B58,3,AC,Black Robe,308,3,8,8000,HALF
174,D12B5A,3,AD,White Robe,308,3,8,8000,HALF
175,D12B5C,3,AE,Mirage Vest,010a,3,0a,10000,HALF
176,D12B5E,3,AF,Guard Ring,403,4,3,30000,HALF
177,D12B60,3,B0,Thief's Glove,303,3,3,3000,HALF
178,D12B62,3,B1,Giant's Gloves,305,3,5,5000,HALF
179,D12B64,3,B2,Elf Cape,228,2,28,4000,HALF
180,D12B66,3,B3,Cursed Ring,2,3,5,5000,HALF
181,D12B68,3,B4,Glasses,119,1,19,250,HALF
182,D12B6A,3,B5,Running Shoes,405,4,5,50000,HALF
183,D12B6C,3,B6,Mythril Glove,013c,1,3c,600,HALF
184,D12B6E,3,B7,Silver Armlet,132,1,32,500,HALF
185,D12B70,3,B8,Diamond Armlet,228,2,28,4000,HALF
186,D12B72,3,B9,Strength,022d,2,2d,4500,HALF
187,D12B74,3,BA,Power Wrist,219,2,19,2500,HALF
188,D12B76,3,BB,Angel Gwn,021e,2,1e,3000,HALF
189,D12B78,3,BC,Angel Ring,405,4,5,50000,HALF
190,D12B7A,3,BD,Flame Ring,405,4,5,50000,HALF
191,D12B7C,3,BE,Coral Ring,405,4,5,50000,HALF
192,D12B7E,3,BF,Bone Mail,2,4,3,30000,HALF
193,D12B80,3,C0,Leather Shoes,107,1,7,70,HALF
194,D12B82,3,C1,Kaiser Knuckles,030f,3,0f,15000,HALF
195,D12B84,3,C2,Gauntlets,021e,2,1e,3000,HALF
196,D12B86,3,C3,Tiger Mask,232,2,32,5000,HALF
197,D12B88,3,C4,Flame Shield,404,4,4,40000,HALF
198,D12B8A,3,C5,CornaJar,401,4,1,10000,HALF
199,D12B8C,3,C6,Genji Shield,314,3,14,20000,HALF
200,D12B8E,3,C7,Genji Helm,319,3,19,25000,HALF
201,D12B90,3,C8,Genji Armor,031e,3,1e,30000,HALF
202,D12B92,3,C9,Genji Gloves,030f,3,0f,15000,HALF
203,D12B94,3,CA,Wall Ring,402,4,2,20000,HALF
204,D12B96,3,CB,Coronet,034b,3,0C,12000,HALF
205,D12B98,3,CC,Thornlet,2,4,2,20000,HALF
206,D12B9A,3,CD,Ice Shield,404,4,4,40000,HALF
207,D12B9C,3,CE,Cursed Shield,2,4,1,10000,HALF
208,D12B9E,3,CF,Rainbow Dress,023a,2,3a,5800,HALF
209,D12BA0,3,D0,Red Shoes,262,2,62,9800,HALF
210,D12BA2,3,D1,<dummy>,010a,1,0a,100,HALF
211,D12BA4,3,D2,<dummy>,010a,1,0a,100,HALF
212,D12BA6,3,D3,<dummy>,010a,1,0a,100,HALF
213,D12BA8,3,D4,<dummy>,010a,1,0a,100,HALF
214,D12BAA,3,D5,<dummy>,010a,1,0a,100,HALF
215,D12BAC,3,D6,<dummy>,010a,1,0a,100,HALF
216,D12BAE,3,D7,<dummy>,010a,1,0a,100,HALF
217,D12BB0,3,D8,<dummy>,010a,1,0a,100,HALF
218,D12BB2,3,D9,<dummy>,010a,1,0a,100,HALF
219,D12BB4,3,DA,<dummy>,010a,1,0a,100,HALF
220,D12BB6,3,DB,<dummy>,010a,1,0a,100,HALF
221,D12BB8,3,DC,<dummy>,010a,1,0a,100,HALF
222,D12BBA,3,DD,<dummy>,010a,1,0a,100,HALF
223,D12BBC,3,DE,<dummy>,010a,1,0a,100,HALF
224,D12BBE,3,DF,<dummy>,010a,1,0a,100,HALF
225,D12BC0,3,E0,Potion,104,1,4,40,HALF
226,D12BC2,3,E1,HiPotion,124,1,24,360,HALF
227,D12BC4,3,E2,Ether,020f,2,0f,1500,HALF
228,D12BC6,3,E3,Elixir,4405,4,2,20000,HALF
229,D12BC8,3,E4,Phoenix Down,301,3,1,1000,HALF
230,D12BCA,3,E5,Maiden's Kiss,106,1,6,60,HALF
231,D12BCC,3,E6,Revivify,010f,1,0f,150,HALF
232,D12BCE,3,E7,TurtleShell,010f,1,0f,150,HALF
233,D12BD0,3,E8,Antidote,103,1,3,30,HALF
234,D12BD2,3,E9,Eyedrop,102,1,2,20,HALF
235,D12BD4,3,EA,DragonFang,305,3,5,5000,HALF
236,D12BD6,3,EB,DarkMatter,4501,4,3,30000,HALF
237,D12BD8,3,EC,Soft,010f,1,0f,150,HALF
238,D12BDA,3,ED,LuckMallet,105,1,5,50,HALF
239,D12BDC,3,EE,WarpShard,8100,81,0,0,NOSELL
240,D12BDE,3,EF,Magic Lamp,401,4,1,10000,HALF
241,D12BE0,3,F0,Tent,119,1,19,250,HALF
242,D12BE2,3,F1,Cabin,013c,1,3c,600,HALF
243,D12BE4,3,F2,Giant Drink,010b,1,0b,110,HALF
244,D12BE6,3,F3,Power Drink,010b,1,0b,110,HALF
245,D12BE8,3,F4,Speed Drink,010b,1,0b,110,HALF
246,D12BEA,3,F5,Protect Drink,010b,1,0b,110,HALF
247,D12BEC,3,F6,Hero Drink,010b,1,0b,110,HALF
248,D12BEE,3,F7,DrgnCrest,8002,83,20,64000,NOSELL
249,D12BF0,3,F8,OmegaMedl,8002,83,20,64000,NOSELL
250,D12BF2,3,F9,Ramuh,8305,83,7,7000,HALF
251,D12BF4,3,FA,Shoat,8305,83,9,9000,HALF
252,D12BF6,3,FB,Golem,8305,83,0e,15000,HALF
253,D12BF8,3,FC,Flame Scroll,202,2,2,200,HALF
254,D12BFA,3,FD,Water Scroll,202,2,2,200,HALF
255,D12BFC,3,FE,Thunder Scroll,202,2,2,200,HALF
256,D12BFE,3,FF,<dummy>,8100,81,0,0,NOSELL
257,F80000,0,0,Fire,010F,1,0F,150,HALF
258,F80002,0,1,Ice,010F,1,0F,150,HALF
259,F80004,0,2,Bolt,010F,1,0F,150,HALF
260,F80006,0,3,Venom,011D,1,1D,290,HALF
261,F80008,0,4,Mute,011C,1,1C,280,HALF
262,F8000A,0,5,Sleep,0203,2,03,300,HALF
263,F8000C,0,6,Fire2,0206,2,06,600,HALF
264,F8000E,0,7,Ice2,0206,2,06,600,HALF
265,F80010,0,8,Bolt2,0206,2,06,600,HALF
266,F80012,0,9,Drain,0219,2,19,2500,HALF
267,F80014,0,0A,Break,0219,2,19,2500,HALF
268,F80016,0,0B,Bio,0219,2,19,2500,HALF
269,F80018,0,0C,Fire3,0223,2,23,3500,HALF
270,F8001A,0,0D,Ice3,0223,2,23,3500,HALF
271,F8001C,0,0E,Bolt3,0223,2,23,3500,HALF
272,F8001E,0,0F,Holy,0305,3,05,5000,HALF
273,F80020,0,10,Flare,0305,3,05,5000,HALF
274,F80022,0,11,Psych,0219,2,19,2500,HALF
275,F80024,0,12,Cure,0112,1,12,180,HALF
276,F80026,0,13,Scan,0109,1,09,90,HALF
277,F80028,0,14,Antdt,0109,1,09,90,HALF
278,F8002A,0,15,Mute,011C,1,1C,280,HALF
279,F8002C,0,16,Armor,011C,1,1C,280,HALF
280,F8002E,0,17,Size,0203,2,03,300,HALF
281,F80030,0,18,Cure2,0206,2,06,600,HALF
282,F80032,0,19,Life,0206,2,06,600,HALF
283,F80034,0,1A,Charm,0206,2,06,600,HALF
284,F80036,0,1B,Image,0219,2,19,2500,HALF
285,F80038,0,1C,Shell,0219,2,19,2500,HALF
286,F8003A,0,1D,Heal,0219,2,19,2500,HALF
287,F8003C,0,1E,Cure3,0304,3,04,4000,HALF
288,F8003E,0,1F,Wall,0304,3,04,4000,HALF
289,F80040,0,20,Bersk,0304,3,04,4000,HALF
290,F80042,0,21,Life2,024B,2,4B,7500,HALF
291,F80044,0,22,Holy,0401,4,01,10000,HALF
292,F80046,0,23,Dispel,0305,3,05,5000,HALF
293,F80048,0,24,Fire,010F,1,0F,150,HALF
294,F8004A,0,25,Ice,010F,1,0F,150,HALF
295,F8004C,0,26,Bolt,010F,1,0F,150,HALF
296,F8004E,0,27,Venom,011D,1,1D,290,HALF
297,F80050,0,28,Sleep,0203,2,03,300,HALF
298,F80052,0,29,Toad,0203,2,03,300,HALF
299,F80054,0,2A,Fire2,0206,2,06,600,HALF
300,F80056,0,2B,Ice2,0206,2,06,600,HALF
301,F80058,0,2C,Bolt2,0206,2,06,600,HALF
302,F8005A,0,2D,Drain,0302,3,02,2000,HALF
303,F8005C,0,2E,Break,0302,3,02,2000,HALF
304,F8005E,0,2F,Bio,0303,3,03,3000,HALF
305,F80060,0,30,Fire3,022D,2,2D,4500,HALF
306,F80062,0,31,Ice3,022D,2,2D,4500,HALF
307,F80064,0,32,Bolt3,022D,2,2D,4500,HALF
308,F80066,0,33,Flare,0401,4,01,10000,HALF
309,F80068,0,34,Doom,024B,2,4B,7500,HALF
310,F8006A,0,35,Psych,0219,2,19,2500,HALF
311,F8006C,0,36,Drag,0103,1,03,30,HALF
312,F8006E,0,37,Slow,0108,1,08,80,HALF
313,F80070,0,38,Regen,0201,2,01,100,HALF
314,F80072,0,39,Void,0203,2,03,300,HALF
315,F80074,0,3A,Haste,0203,2,03,300,HALF
316,F80076,0,3B,Float,0203,2,03,300,HALF
317,F80078,0,3C,Demi,0206,2,06,600,HALF
318,F8007A,0,3D,Stop,0206,2,06,600,HALF
319,F8007C,0,3E,Exit,0206,2,06,600,HALF
320,F8007E,0,3F,Comet,0303,3,03,3000,HALF
321,F80080,0,40,Slow2,0303,3,03,3000,HALF
322,F80082,0,41,Reset,0205,2,05,500,HALF
323,F80084,0,42,Qrter,022D,2,2D,4500,HALF
324,F80086,0,43,Hast2,0306,3,06,6000,HALF
325,F80088,0,44,Old,0303,3,03,3000,HALF
326,F8008A,0,45,Meteo,0401,4,01,10000,HALF
327,F8008C,0,46,Quick,0401,4,01,10000,HALF
328,F8008E,0,47,Xzone,0305,3,05,5000,HALF
329,F80090,0,48,Chocob,0119,1,19,250,HALF
330,F80092,0,49,Sylph,0119,1,19,250,HALF
331,F80094,0,4A,Remora,0119,1,19,250,HALF
332,F80096,0,4B,Shiva,020F,2,0F,1500,HALF
333,F80098,0,4C,Ramuh,020F,2,0F,1500,HALF
334,F8009A,0,4D,Ifrit,020F,2,0F,1500,HALF
335,F8009C,0,4E,Titan,0308,3,08,8000,HALF
336,F8009E,0,4F,Golem,030F,3,0F,15000,HALF
337,F800A0,0,50,Shoat,0308,3,08,8000,HALF
338,F800A2,0,51,Crbnkl,0401,4,01,10000,HALF
339,F800A4,0,52,Syldra,030C,3,0C,12000,HALF
340,F800A6,0,53,Odin,030C,3,0C,12000,HALF
341,F800A8,0,54,Phenix,030C,3,0C,12000,HALF
342,F800AA,0,55,Levia,030F,3,0F,15000,HALF
343,F800AC,0,56,Bahmut,030F,3,0F,15000,HALF
344,F800AE,0,57,Power,0302,3,02,2000,HALF
345,F800B0,0,58,Speed,0302,3,02,2000,HALF
346,F800B2,0,59,Vitality,0302,3,02,2000,HALF
347,F800B4,0,5A,Magic,0302,3,02,2000,HALF
348,F800B6,0,5B,Hero,0305,3,05,5000,HALF
349,F800B8,0,5C,Requiem,0302,3,02,2000,HALF
350,F800BA,0,5D,Love,0301,3,01,1000,HALF
351,F800BC,0,5E,Charm,0301,3,01,1000,HALF
352,F800BE,0,5F,<not used>,0100,1,00,0,HALF
353,F800C0,0,60,<not used>,0100,1,00,0,HALF
354,F800C2,0,61,<not used>,0100,1,00,0,HALF
355,F800C4,0,62,<not used>,0100,1,00,0,HALF
356,F800C6,0,63,<not used>,0100,1,00,0,HALF
357,F800C8,0,64,<not used>,0100,1,00,0,HALF
358,F800CA,0,65,<not used>,0100,1,00,0,HALF
359,F800CC,0,66,<not used>,0100,1,00,0,HALF
360,F800CE,0,67,<not used>,0100,1,00,0,HALF
361,F800D0,0,68,<not used>,0100,1,00,0,HALF
362,F800D2,0,69,<not used>,0100,1,00,0,HALF
363,F800D4,0,6A,<not used>,0100,1,00,0,HALF
364,F800D6,0,6B,<not used>,0100,1,00,0,HALF
365,F800D8,0,6C,<not used>,0100,1,00,0,HALF
366,F800DA,0,6D,<not used>,0100,1,00,0,HALF
367,F800DC,0,6E,<not used>,0100,1,00,0,HALF
368,F800DE,0,6F,<not used>,0100,1,00,0,HALF
369,F800E0,0,70,<not used>,0100,1,00,0,HALF
370,F800E2,0,71,<not used>,0100,1,00,0,HALF
371,F800E4,0,72,<not used>,0100,1,00,0,HALF
372,F800E6,0,73,<not used>,0100,1,00,0,HALF
373,F800E8,0,74,<not used>,0100,1,00,0,HALF
374,F800EA,0,75,<not used>,0100,1,00,0,HALF
375,F800EC,0,76,<not used>,0100,1,00,0,HALF
376,F800EE,0,77,<not used>,0100,1,00,0,HALF
377,F800F0,0,78,<not used>,0100,1,00,0,HALF
378,F800F2,0,79,<not used>,0100,1,00,0,HALF
379,F800F4,0,7A,<not used>,0100,1,00,0,HALF
380,F800F6,0,7B,<not used>,0100,1,00,0,HALF
381,F800F8,0,7C,<not used>,0100,1,00,0,HALF
382,F800FA,0,7D,<not used>,0100,1,00,0,HALF
383,F800FC,0,7E,<not used>,0100,1,00,0,HALF
384,F800FE,0,7F,<not used>,0100,1,00,0,HALF
385,F80100,0,80,<not used>,0100,1,00,0,HALF
386,F80102,0,81,<not used>,0100,1,00,0,HALF
387,F80104,0,82,Condemn,0301,3,01,1000,HALF
388,F80106,0,83,Roulette,0301,3,01,1000,HALF
389,F80108,0,84,AquaRake,0305,3,05,5000,HALF
390,F8010A,0,85,L5 Doom,0308,3,08,8000,HALF
391,F8010C,0,86,L4 Qrter,0305,3,05,5000,HALF
392,F8010E,0,87,L2 Old,0305,3,05,5000,HALF
393,F80110,0,88,L3 Flare,0305,3,05,5000,HALF
394,F80112,0,89,FrogSong,0301,3,01,1000,HALF
395,F80114,0,8A,TinySong,0301,3,01,1000,HALF
396,F80116,0,8B,Flash,0301,3,01,1000,HALF
397,F80118,0,8C,Time Slip,0301,3,01,1000,HALF
398,F8011A,0,8D,MoonFlut,0301,3,01,1000,HALF
399,F8011C,0,8E,DethClaw,0305,3,05,5000,HALF
400,F8011E,0,8F,Aero,010F,1,0F,150,HALF
401,F80120,0,90,Aero 2,0206,2,06,600,HALF
402,F80122,0,91,Aero 3,0304,3,04,4000,HALF
403,F80124,0,92,Emission,014B,1,4B,750,HALF
404,F80126,0,93,GblinPnch,0203,2,03,300,HALF
405,F80128,0,94,DrkShock,0219,2,19,2500,HALF
406,F8012A,0,95,GuardOff,0301,3,01,1000,HALF
407,F8012C,0,96,Fusion,0301,3,01,1000,HALF
408,F8012E,0,97,MindBlst,0305,3,05,5000,HALF
409,F80130,0,98,Vampire,0205,2,05,500,HALF
410,F80132,0,99,Hammer,0205,2,05,500,HALF
411,F80134,0,9A,MgthyGrd,0401,4,01,10000,HALF
412,F80136,0,9B,Exploder,0303,3,03,3000,HALF
413,F80138,0,9C,????,0301,3,01,1000,HALF
414,F8013A,0,9D,Blowfish,0401,4,01,10000,HALF
415,F8013C,0,9E,WhiteWind,0308,3,08,8000,HALF
416,F8013E,0,9F,Missile,0302,3,02,2000,HALF
417,F80140,0,A0,<not used>,0100,1,00,0,HALF
418,F80142,0,A1,<not used>,0100,1,00,0,HALF
419,F80144,0,A2,<not used>,0100,1,00,0,HALF
420,F80146,0,A3,<not used>,0100,1,00,0,HALF
421,F80148,0,A4,<not used>,0100,1,00,0,HALF
422,F8014A,0,A5,<not used>,0100,1,00,0,HALF
423,F8014C,0,A6,<not used>,0100,1,00,0,HALF
424,F8014E,0,A7,<not used>,0100,1,00,0,HALF
425,F80150,0,A8,<not used>,0100,1,00,0,HALF
426,F80152,0,A9,<not used>,0100,1,00,0,HALF
427,F80154,0,AA,<not used>,0100,1,00,0,HALF
428,F80156,0,AB,<not used>,0100,1,00,0,HALF
429,F80158,0,AC,<not used>,0100,1,00,0,HALF
430,F8015A,0,AD,<not used>,0100,1,00,0,HALF
431,F8015C,0,AE,<not used>,0100,1,00,0,HALF
432,F8015E,0,AF,<not used>,0100,1,00,0,HALF
433,F80160,0,B0,<not used>,0100,1,00,0,HALF
434,F80162,0,B1,<not used>,0100,1,00,0,HALF
435,F80164,0,B2,<not used>,0100,1,00,0,HALF
436,F80166,0,B3,<not used>,0100,1,00,0,HALF
437,F80168,0,B4,<not used>,0100,1,00,0,HALF
438,F8016A,0,B5,<not used>,0100,1,00,0,HALF
439,F8016C,0,B6,<not used>,0100,1,00,0,HALF
440,F8016E,0,B7,<not used>,0100,1,00,0,HALF
441,F80170,0,B8,<not used>,0100,1,00,0,HALF
442,F80172,0,B9,<not used>,0100,1,00,0,HALF
443,F80174,0,BA,<not used>,0100,1,00,0,HALF
444,F80176,0,BB,<not used>,0100,1,00,0,HALF
445,F80178,0,BC,<not used>,0100,1,00,0,HALF
446,F8017A,0,BD,<not used>,0100,1,00,0,HALF
